,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,NINJ3,2022-06-06,3.79,3.85,3.61,3.62,189800,275,10,373,658,0,0
1,NINJ3,2022-06-07,3.66,3.66,3.5,3.56,168700,399,15,345,759,0,0
2,NINJ3,2022-06-08,3.54,3.69,3.46,3.64,160300,399,0,355,754,0,0
3,NINJ3,2022-06-09,3.69,3.7,3.55,3.55,125800,301,0,344,645,0,0
4,NINJ3,2022-06-10,3.59,3.59,3.35,3.36,200100,317,24,487,828,0,0
5,NINJ3,2022-06-13,3.37,3.37,3.14,3.2,373800,390,8,720,1118,0,0
6,NINJ3,2022-06-14,3.35,3.35,3.07,3.08,303600,469,11,614,1094,0,0
7,NINJ3,2022-06-15,3.08,3.16,3.01,3.01,307800,523,18,674,1215,0,0
8,NINJ3,2022-06-17,3.0,3.0,2.81,2.85,434300,622,97,686,1341,64,0
9,NINJ3,2022-06-20,2.92,2.95,2.8,2.81,170200,310,7,707,1024,0,0
10,NINJ3,2022-06-21,2.88,2.9,2.69,2.79,327500,418,0,973,1391,0,0
11,NINJ3,2022-06-22,2.78,2.92,2.67,2.85,401400,617,14,581,1212,0,0
12,NINJ3,2022-06-23,2.85,2.9,2.73,2.73,391000,407,17,509,933,0,0
13,NINJ3,2022-06-24,2.73,2.75,2.57,2.62,3699900,427,104,534,1065,0,0
14,NINJ3,2022-06-27,2.61,2.68,2.53,2.55,355400,594,12,522,1128,0,0
15,NINJ3,2022-06-28,2.63,2.66,2.51,2.54,207400,346,0,381,727,0,0
16,NINJ3,2022-06-29,2.58,2.58,2.46,2.51,240800,381,5,354,740,0,0
17,NINJ3,2022-06-30,2.49,2.66,2.4,2.56,453900,840,0,511,1351,0,0
18,NINJ3,2022-07-01,2.61,3.02,2.57,2.8,610800,782,0,723,1505,0,0
19,NINJ3,2022-07-04,2.82,2.96,2.75,2.83,314500,499,7,414,920,0,0
20,NINJ3,2022-07-05,2.75,2.94,2.74,2.9,291600,557,7,544,1108,0,0
21,NINJ3,2022-07-06,2.95,3.0,2.69,2.88,487800,710,1,879,1590,0,0
22,NINJ3,2022-07-07,2.9,2.93,2.81,2.82,252200,484,10,412,906,0,0
23,NINJ3,2022-07-08,2.86,2.9,2.73,2.73,189200,330,0,385,715,0,0
24,NINJ3,2022-07-11,2.67,2.8,2.52,2.56,521800,617,0,563,1180,0,0
25,NINJ3,2022-07-12,2.55,2.67,2.53,2.54,362900,484,0,793,1277,0,0
26,NINJ3,2022-07-13,2.55,2.74,2.48,2.5,256400,474,0,555,1029,0,0
27,NINJ3,2022-07-14,2.53,2.56,2.43,2.5,278100,465,0,595,1060,0,0
28,NINJ3,2022-07-15,2.53,2.65,2.45,2.59,232300,375,0,492,867,0,0
29,NINJ3,2022-07-18,2.66,2.69,2.55,2.6,218300,354,0,552,906,0,0
30,NINJ3,2022-07-19,2.56,2.65,2.55,2.64,139500,396,0,480,876,0,0
31,NINJ3,2022-07-20,2.63,2.83,2.6,2.83,410400,544,18,709,1271,0,0
32,NINJ3,2022-07-21,2.83,2.91,2.76,2.8,158100,408,19,465,892,0,0
33,NINJ3,2022-07-22,2.78,2.84,2.66,2.69,224500,336,0,488,824,0,0
34,NINJ3,2022-07-25,2.69,2.7,2.59,2.59,624700,354,2,519,873,2,0
35,NINJ3,2022-07-26,2.61,2.62,2.54,2.54,172000,348,0,342,690,0,0
36,NINJ3,2022-07-27,2.63,2.69,2.58,2.6,123300,296,0,292,588,0,0
37,NINJ3,2022-07-28,2.58,2.87,2.58,2.84,287200,489,0,405,894,0,0
38,NINJ3,2022-07-29,2.88,2.91,2.76,2.89,128700,313,0,419,732,0,0
39,NINJ3,2022-08-01,2.92,2.97,2.77,2.88,204000,393,0,477,870,0,0
40,NINJ3,2022-08-02,2.92,2.92,2.77,2.77,152400,176,0,437,613,0,0
41,NINJ3,2022-08-03,2.81,3.26,2.81,3.26,535500,804,0,595,1399,0,0
42,NINJ3,2022-08-08,3.12,3.48,3.12,3.4,241500,473,0,529,1002,0,0
43,NINJ3,2022-08-09,3.38,3.4,3.22,3.3,138500,289,0,410,699,0,0
44,NINJ3,2022-08-10,3.39,3.59,3.32,3.47,180300,363,6,407,776,0,0
45,NINJ3,2022-08-12,3.44,3.56,3.4,3.54,127500,318,7,332,657,0,0
46,NINJ3,2022-08-15,3.43,3.84,3.38,3.8,417100,475,21,580,1076,0,0
47,NINJ3,2022-08-16,3.43,3.49,3.21,3.37,608900,732,19,702,1453,0,0
48,NINJ3,2022-08-17,3.36,3.39,3.15,3.15,316000,363,11,551,925,0,0
49,NINJ3,2022-08-18,3.19,3.19,3.03,3.03,164900,321,0,415,736,0,0
50,NINJ3,2022-08-19,3.08,3.08,2.9,2.92,164900,301,0,523,824,0,0
51,NINJ3,2022-08-22,2.9,2.92,2.75,2.81,129100,302,0,349,651,0,0
52,NINJ3,2022-08-23,2.86,2.98,2.81,2.92,114400,299,0,309,608,0,0
53,NINJ3,2022-08-24,2.93,3.01,2.88,2.9,214300,374,0,351,725,0,0
54,NINJ3,2022-08-25,2.91,3.17,2.91,3.0,207600,376,0,391,767,0,0
55,NINJ3,2022-08-26,3.06,3.14,2.94,3.0,183500,300,1,532,833,0,0
56,NINJ3,2022-08-29,3.0,3.01,2.96,2.98,144800,308,14,375,697,0,0
57,NINJ3,2022-08-30,3.04,3.05,2.83,2.85,243000,351,0,769,1120,0,0
58,NINJ3,2022-08-31,2.87,2.87,2.75,2.83,262000,468,0,957,1425,0,0
59,NINJ3,2022-09-01,2.76,2.92,2.7,2.85,331400,676,0,1130,1806,0,0
60,NINJ3,2022-09-02,2.85,2.95,2.78,2.85,359900,499,5,644,1148,0,0
61,NINJ3,2022-09-05,2.77,2.9,2.77,2.8,143500,430,0,560,990,0,0
62,NINJ3,2022-09-06,2.78,2.8,2.65,2.7,229600,424,0,433,857,0,0
63,NINJ3,2022-09-08,2.72,2.75,2.67,2.72,284200,364,0,413,777,0,0
64,NINJ3,2022-09-09,2.69,2.84,2.69,2.7,117500,306,2,332,640,0,0
65,NINJ3,2022-09-12,2.71,2.82,2.68,2.73,316200,465,1,602,1068,0,0
66,NINJ3,2022-09-13,2.65,2.72,2.65,2.72,109400,314,0,278,592,0,0
67,NINJ3,2022-09-15,2.68,2.7,2.6,2.63,124400,304,0,316,620,0,0
