,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,NTCO3,2022-06-06,17.9,17.96,16.68,17.0,9748000,10377,201,9825,20401,2,0
1,NTCO3,2022-06-07,16.85,17.29,16.51,17.07,5517500,9249,190,8223,17662,0,0
2,NTCO3,2022-06-08,16.9,17.43,16.36,16.76,12730700,12824,178,12737,25733,6,0
3,NTCO3,2022-06-09,16.84,17.26,16.52,16.61,6591300,9288,268,9218,18772,2,0
4,NTCO3,2022-06-10,16.35,16.51,15.59,15.61,8071700,10800,358,9691,20711,138,0
5,NTCO3,2022-06-13,15.29,15.42,14.2,14.4,14088200,15974,326,15560,31858,2,0
6,NTCO3,2022-06-14,14.41,14.57,13.95,13.98,8102900,9378,278,12033,21684,5,0
7,NTCO3,2022-06-15,14.31,15.72,14.16,15.1,32615300,36125,469,30130,66655,69,0
8,NTCO3,2022-06-17,14.6,14.71,14.11,14.41,33146300,20695,638,19564,40653,244,0
9,NTCO3,2022-06-20,14.42,14.44,13.32,13.35,18885000,14741,264,17513,32505,13,0
10,NTCO3,2022-06-21,13.53,13.92,13.29,13.84,11369200,16498,380,19706,36506,78,0
11,NTCO3,2022-06-22,13.44,14.84,13.38,14.35,12274200,14135,238,19233,33598,8,0
12,NTCO3,2022-06-23,14.38,15.02,14.35,14.63,8200700,12710,201,16461,29370,2,0
13,NTCO3,2022-06-24,14.79,14.98,14.13,14.92,6885800,12503,166,12584,25252,1,0
14,NTCO3,2022-06-27,15.1,15.1,14.36,14.49,9274500,10705,211,9537,20452,1,0
15,NTCO3,2022-06-28,14.48,14.67,13.96,14.02,7388000,8127,214,10181,18518,4,0
16,NTCO3,2022-06-29,14.17,14.2,13.37,13.53,7432700,9792,305,15971,25951,117,0
17,NTCO3,2022-06-30,13.41,13.92,13.02,13.36,11384400,12352,969,16301,28927,695,0
18,NTCO3,2022-07-01,13.33,13.43,12.86,13.22,19659900,20103,225,16398,36720,6,0
19,NTCO3,2022-07-04,13.18,13.64,12.82,12.85,8271500,10044,184,9336,19558,6,0
20,NTCO3,2022-07-05,12.89,13.29,12.5,13.17,18904900,19425,241,22964,42618,12,0
21,NTCO3,2022-07-06,13.16,14.33,13.13,13.94,12324600,12977,245,18575,31796,1,0
22,NTCO3,2022-07-07,14.25,14.99,14.14,14.65,9420600,14678,233,19188,34098,1,0
23,NTCO3,2022-07-08,14.58,14.87,14.08,14.23,6946200,8841,172,11837,20842,8,0
24,NTCO3,2022-07-11,13.92,14.15,13.57,13.6,6755900,11339,175,11361,22869,6,0
25,NTCO3,2022-07-12,13.57,15.0,13.51,14.7,20323800,22982,140,18777,41896,3,0
26,NTCO3,2022-07-13,14.25,15.2,14.14,15.1,13147500,14186,236,17807,32225,4,0
27,NTCO3,2022-07-14,14.87,15.34,14.67,15.15,14011700,18414,265,29208,47880,7,0
28,NTCO3,2022-07-15,15.28,15.97,14.94,15.65,12827200,14239,232,14540,29003,8,0
29,NTCO3,2022-07-18,15.77,16.37,15.49,15.54,11447300,17971,191,14910,33069,3,0
30,NTCO3,2022-07-19,15.64,16.05,15.23,16.01,6339200,8264,129,9040,17430,3,0
31,NTCO3,2022-07-20,15.94,16.83,15.86,16.1,10332100,11649,227,12885,24759,2,0
32,NTCO3,2022-07-21,16.19,16.19,15.62,15.74,5659300,9773,240,8384,18394,3,0
33,NTCO3,2022-07-22,15.82,16.26,15.64,15.67,7314400,9780,131,10587,20496,2,0
34,NTCO3,2022-07-25,15.95,16.05,15.35,15.36,3830800,6037,148,6640,12825,0,0
35,NTCO3,2022-07-26,15.4,15.41,14.69,14.7,6185300,6432,215,10736,17382,1,0
36,NTCO3,2022-07-27,14.99,15.48,14.98,15.41,4974200,6878,126,6351,13355,0,0
37,NTCO3,2022-07-28,15.35,16.47,15.0,16.27,6506200,9685,284,8258,18192,35,0
38,NTCO3,2022-07-29,16.27,16.35,15.35,15.53,8367700,13428,162,14106,27693,3,0
39,NTCO3,2022-08-01,15.68,16.09,15.06,15.3,7524900,11053,154,14754,25959,2,0
40,NTCO3,2022-08-02,15.24,16.21,15.11,15.83,7905300,9542,220,11976,21738,0,0
41,NTCO3,2022-08-03,15.9,17.55,15.76,17.51,12998000,11692,389,14129,26207,3,0
42,NTCO3,2022-08-08,17.81,18.93,17.74,18.29,8239200,14978,212,14023,29212,1,0
43,NTCO3,2022-08-09,18.31,18.42,16.22,16.48,12649300,16729,305,16691,33720,5,0
44,NTCO3,2022-08-10,17.19,17.9,15.91,16.19,15771000,18992,419,19027,38433,5,0
45,NTCO3,2022-08-12,14.5,15.81,13.67,14.25,56366300,41534,737,48096,90350,17,0
46,NTCO3,2022-08-15,14.25,15.37,13.87,14.94,18815900,18397,306,25698,44399,2,0
47,NTCO3,2022-08-16,15.03,15.25,14.38,14.65,12016200,14883,210,16872,31964,1,0
48,NTCO3,2022-08-17,14.5,14.86,13.95,14.3,23859700,22290,263,17889,40433,9,0
49,NTCO3,2022-08-18,14.4,15.19,14.4,15.06,12408800,12529,182,12344,25051,4,0
50,NTCO3,2022-08-19,14.8,15.13,14.3,14.47,10885600,13881,205,16631,30653,64,0
51,NTCO3,2022-08-22,14.43,14.43,13.94,14.09,11802400,9508,290,16875,26669,4,0
52,NTCO3,2022-08-23,14.12,14.86,13.9,14.76,13130900,12496,228,9965,22688,1,0
53,NTCO3,2022-08-24,14.8,16.24,14.8,15.86,25041600,24041,266,23291,47594,4,0
54,NTCO3,2022-08-25,16.17,16.68,15.7,16.59,17648900,17351,286,16477,34056,58,0
55,NTCO3,2022-08-26,16.7,16.78,15.4,15.51,11457500,12307,286,16676,29265,4,0
56,NTCO3,2022-08-29,15.36,15.7,15.03,15.05,7657100,9867,320,7712,17890,9,0
57,NTCO3,2022-08-30,15.17,15.5,14.46,14.67,10763800,9589,189,9769,19546,1,0
58,NTCO3,2022-08-31,14.85,15.16,14.36,14.41,9930700,9922,363,7877,18161,1,0
59,NTCO3,2022-09-01,14.57,14.71,13.86,14.46,23730100,18157,230,13821,32192,16,0
60,NTCO3,2022-09-02,14.67,15.0,14.28,14.85,11243000,12933,296,13198,26422,5,0
61,NTCO3,2022-09-05,15.05,15.67,15.04,15.37,8426200,9165,261,11473,20882,17,0
62,NTCO3,2022-09-06,15.14,15.19,14.32,14.67,11984200,19314,233,15501,35048,0,0
63,NTCO3,2022-09-08,14.92,15.42,14.68,15.28,10370300,11725,241,12791,24756,1,0
64,NTCO3,2022-09-09,15.52,16.3,15.43,16.12,13192700,15721,220,13591,29530,2,0
65,NTCO3,2022-09-12,16.29,17.0,16.22,16.98,11156900,15408,292,13311,29008,3,0
66,NTCO3,2022-09-13,15.96,16.38,15.56,15.86,20894200,16524,428,17260,34202,10,0
67,NTCO3,2022-09-15,16.59,17.42,16.55,16.68,32080000,27453,384,32419,60241,15,0
68,NTCO3,2022-09-16,15.74,15.8,14.76,14.95,45430500,45598,657,23436,69685,6,0
69,NTCO3,2022-09-19,14.99,15.45,14.73,15.37,16840200,13866,303,11519,25682,6,0
70,NTCO3,2022-09-20,15.27,15.63,15.08,15.38,10532000,10654,239,10358,21246,5,0
71,NTCO3,2022-09-21,15.46,15.88,15.13,15.49,9729400,11722,261,8707,20690,0,0
72,NTCO3,2022-09-22,15.82,16.0,15.3,15.86,13652700,13475,233,8920,22622,6,0
73,NTCO3,2022-09-23,15.48,15.62,15.06,15.49,9055300,12026,302,8127,20453,2,0
74,NTCO3,2022-09-27,14.8,15.03,13.82,14.21,14002500,12454,300,13530,26246,38,0
75,NTCO3,2022-09-28,14.3,14.5,14.12,14.31,8234700,9535,218,10093,19842,4,0
76,NTCO3,2022-09-29,14.12,14.18,13.64,13.78,12601300,9992,328,19784,30101,3,0
77,NTCO3,2022-09-30,13.92,14.95,13.53,14.7,15458800,15306,271,14186,29762,1,0
78,NTCO3,2022-10-03,15.24,15.34,14.81,14.87,13650200,17079,310,18246,35630,5,0
79,NTCO3,2022-10-04,15.06,15.3,14.41,14.59,15478300,13984,257,14473,28711,3,0
80,NTCO3,2022-10-05,14.75,14.75,14.03,14.37,17524100,15829,278,14334,30435,6,0
81,NTCO3,2022-10-06,14.46,14.73,14.18,14.44,11681300,11295,306,8903,20481,23,0
82,NTCO3,2022-10-07,14.49,14.49,13.68,13.81,16216100,12074,295,19827,32195,1,0
83,NTCO3,2022-10-10,13.83,13.98,13.12,13.16,14581800,15949,361,18871,35180,1,0
84,NTCO3,2022-10-11,13.19,13.48,12.9,13.15,12169300,11392,386,12211,23989,0,0
85,NTCO3,2022-10-13,13.17,13.41,12.71,13.16,16377500,15923,386,17118,33420,7,0
86,NTCO3,2022-10-14,13.34,13.71,12.61,12.8,14905800,12220,386,12345,24949,2,0
87,NTCO3,2022-10-17,13.14,13.49,12.89,13.0,10563200,12843,364,9287,22494,0,0
88,NTCO3,2022-10-18,14.9,15.4,14.09,14.28,75691800,40505,1046,61130,102653,28,0
89,NTCO3,2022-10-19,14.18,14.18,13.62,14.0,40524600,41424,826,36240,78462,28,0
90,NTCO3,2022-10-20,14.23,14.73,14.11,14.5,17613400,18638,655,20237,39197,333,0
91,NTCO3,2022-10-21,14.57,15.3,14.22,15.12,17110400,21673,343,15120,37116,20,0
92,NTCO3,2022-10-24,14.85,15.03,14.3,14.6,9974500,11470,240,10923,22631,2,0
93,NTCO3,2022-10-25,14.58,14.76,14.18,14.21,11857600,12282,337,14072,26688,3,0
94,NTCO3,2022-10-26,14.15,14.24,13.5,13.7,10997800,9407,333,15013,24751,2,0
95,NTCO3,2022-10-27,13.78,14.3,13.67,13.99,8410000,10474,328,10846,21648,0,0
96,NTCO3,2022-10-28,13.96,14.25,13.8,14.07,8084100,9445,252,12432,22127,2,0
