,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,NUBR33,2023-07-12,6.36,6.38,6.27,6.27,848477,3296,76,1990,5361,1,0
1,NUBR33,2022-11-10,4.02,4.36,3.9,4.09,8905843,5444,64,3994,9502,0,0
2,NUBR33,2022-11-24,3.9,3.94,3.87,3.89,446908,1899,0,1614,3513,0,0
3,NUBR33,2023-06-07,5.79,6.12,5.76,5.99,5408514,4462,32,3208,7700,2,0
4,NUBR33,2023-05-30,5.69,5.79,5.62,5.66,2507801,3600,46,5514,9160,0,0
5,NUBR33,2023-02-06,4.12,4.26,4.07,4.2,2528193,5353,0,7077,12430,0,0
6,NUBR33,2022-11-23,3.74,3.95,3.69,3.89,5611968,5075,74,3249,8398,0,0
7,NUBR33,2023-04-28,4.18,4.28,4.1,4.23,1403345,15390,69,5099,20558,0,0
8,NUBR33,2023-06-22,6.01,6.11,5.91,6.0,3462832,3053,38,3530,6621,0,0
9,NUBR33,2023-02-08,4.23,4.36,4.18,4.26,2326534,3627,48,4479,8154,0,0
10,NUBR33,2022-12-19,3.39,3.45,3.31,3.31,3187790,4601,263,2436,7300,0,0
11,NUBR33,2023-07-04,6.3,6.41,6.3,6.4,307063,1939,25,4084,6048,0,0
12,NUBR33,2023-03-23,3.81,3.9,3.7,3.72,1635473,1606,51,3310,4967,0,0
13,NUBR33,2022-12-23,3.3,3.35,3.23,3.35,3362939,4271,162,1953,6386,0,0
14,NUBR33,2023-06-13,6.13,6.18,5.92,6.06,1363919,2500,48,3210,5758,0,0
15,NUBR33,2022-10-26,3.95,4.14,3.84,3.92,6175036,4759,28,3962,8749,0,0
16,NUBR33,2023-06-27,5.74,6.15,5.73,6.15,5068587,2651,76,4278,7005,0,0
17,NUBR33,2023-06-26,5.95,5.99,5.68,5.7,6566838,5530,82,5952,11564,0,0
18,NUBR33,2023-04-20,3.97,4.2,3.9,4.06,1977923,2319,60,3401,5780,0,0
19,NUBR33,2022-11-25,3.93,4.02,3.86,3.92,2401866,5603,56,1991,7650,0,0
20,NUBR33,2022-11-04,4.19,4.25,3.99,4.07,5888110,2525,32,4434,6991,0,0
21,NUBR33,2023-06-01,5.65,5.71,5.52,5.62,2535330,4243,38,3975,8256,0,0
22,NUBR33,2023-03-30,3.86,4.21,3.86,4.1,3234870,2288,89,4527,6903,1,0
23,NUBR33,2022-12-05,3.81,3.82,3.57,3.57,3435103,4124,47,3126,7297,0,0
24,NUBR33,2023-05-17,5.05,5.09,4.76,5.02,5512664,10031,66,4852,14949,0,0
25,NUBR33,2023-04-06,3.68,3.77,3.67,3.77,1243423,2022,66,5058,7146,0,0
26,NUBR33,2022-11-21,3.87,3.88,3.72,3.76,4188370,4193,50,2801,7044,0,0
27,NUBR33,2023-04-21,3.97,4.2,3.9,4.06,1977923,2319,60,3401,5780,0,0
28,NUBR33,2023-02-03,4.13,4.24,3.99,4.16,3154916,3794,51,6874,10719,0,0
29,NUBR33,2023-05-29,5.6,5.65,5.57,5.62,377386,3781,187,4182,8150,0,0
30,NUBR33,2023-05-19,5.3,5.44,5.26,5.4,3373309,4372,76,3432,7879,1,0
31,NUBR33,2022-12-15,3.34,3.41,3.28,3.3,1690626,2990,791,3905,7686,0,0
32,NUBR33,2023-04-11,3.74,3.83,3.74,3.78,2249084,2570,45,2695,5310,0,0
33,NUBR33,2023-01-25,3.38,3.47,3.28,3.44,2641517,3436,49,6830,10315,0,0
34,NUBR33,2023-02-17,4.51,4.53,4.22,4.23,5189003,5679,60,6209,11948,0,0
35,NUBR33,2023-07-03,6.36,6.39,6.23,6.35,2600448,4113,57,4596,8766,0,0
36,NUBR33,2023-04-14,3.81,3.89,3.73,3.76,1892714,1512,44,3995,5550,1,0
37,NUBR33,2023-03-28,3.72,3.79,3.66,3.66,2685559,2633,110,3294,6037,0,0
38,NUBR33,2023-02-14,4.21,4.37,4.14,4.3,2484233,3610,894,4078,8582,0,0
39,NUBR33,2022-12-27,3.33,3.38,3.29,3.35,5605155,7788,43,6896,14727,0,0
40,NUBR33,2023-06-16,5.94,6.05,5.93,5.97,2456846,4081,170,3747,7998,0,0
