,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,NUTR3,2022-08-09,251.0,251.0,251.0,251.0,100,0,1,0,1,0,0
1,NUTR3,2022-08-18,255.0,255.0,255.0,255.0,300,0,2,0,2,0,0
2,NUTR3,2022-08-29,280.0,280.0,280.0,280.0,100,0,1,0,1,0,0
3,NUTR3,2023-05-03,4.0,4.0,4.0,4.0,600,2,1,0,3,0,0
4,NUTR3,2023-05-04,5.44,8.0,5.44,8.0,26500,70,0,50,120,0,0
5,NUTR3,2023-05-05,12.0,15.0,7.1,7.5,43600,114,0,158,272,0,0
6,NUTR3,2023-05-08,7.2,7.5,5.5,6.33,43500,95,3,146,244,0,0
7,NUTR3,2023-05-09,6.33,6.8,5.9,6.01,28000,56,0,70,126,0,0
8,NUTR3,2023-05-10,6.18,6.31,5.8,5.88,18800,48,1,60,109,0,0
9,NUTR3,2023-05-11,6.01,6.13,5.81,6.0,7200,27,1,26,54,0,0
10,NUTR3,2023-05-12,5.9,6.15,5.0,5.31,25400,61,0,60,121,0,0
11,NUTR3,2023-05-15,5.58,5.78,5.0,5.34,6500,28,0,24,52,0,0
12,NUTR3,2023-05-16,5.49,5.49,5.23,5.23,3800,13,0,19,32,0,0
13,NUTR3,2023-05-17,5.25,5.4,5.1,5.27,6800,23,0,18,41,0,0
14,NUTR3,2023-05-18,5.27,5.4,5.08,5.29,5800,22,1,7,30,0,0
15,NUTR3,2023-05-19,5.17,5.26,5.16,5.22,4700,10,0,9,19,0,0
16,NUTR3,2023-05-22,5.13,5.26,5.07,5.25,3600,9,0,11,20,0,0
17,NUTR3,2023-05-23,5.25,5.35,5.2,5.26,2300,7,0,6,13,0,0
18,NUTR3,2023-05-24,5.35,5.35,5.1,5.35,4200,22,0,4,26,0,0
19,NUTR3,2023-05-25,5.35,5.35,5.15,5.16,4100,18,1,5,24,0,0
20,NUTR3,2023-05-26,5.33,5.39,5.01,5.07,5000,10,1,13,24,0,0
21,NUTR3,2023-05-29,5.29,5.29,4.99,5.0,3900,15,1,9,25,0,0
22,NUTR3,2023-05-30,4.98,5.15,4.57,4.68,7800,13,1,15,29,0,0
23,NUTR3,2023-05-31,4.7,5.1,4.7,5.01,5200,13,0,23,36,0,0
24,NUTR3,2023-06-01,5.01,5.01,4.61,4.99,2600,15,0,1,16,0,0
25,NUTR3,2023-06-02,5.09,5.09,4.5,4.78,7800,25,0,20,45,0,0
26,NUTR3,2023-06-05,4.77,4.9,4.76,4.88,2200,13,1,4,18,0,0
27,NUTR3,2023-06-06,4.87,5.3,4.87,4.93,3700,23,0,5,28,0,0
