,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ODPV3,2023-02-20,12.88,13.08,12.59,13.03,4315700,6570,81,7941,14586,6,0
1,ODPV3,2023-05-16,11.35,11.49,11.06,11.14,2584100,2138,1804,3473,5702,1713,0
2,ODPV3,2023-06-20,11.49,11.7,11.44,11.66,1337000,3182,77,1999,5258,0,0
3,ODPV3,2023-04-18,10.73,10.8,10.33,10.45,1417000,2274,61,2601,4936,0,0
4,ODPV3,2023-01-11,9.53,9.87,9.5,9.85,3133400,3621,67,2813,6500,1,0
5,ODPV3,2023-03-31,11.02,11.1,10.91,11.08,2468100,2897,87,2330,5314,0,0
6,ODPV3,2022-08-12,9.48,9.82,9.42,9.7,1976600,4143,49,2983,7175,0,0
7,ODPV3,2023-03-16,11.15,11.27,10.98,11.21,1087200,1679,66,2615,4360,0,0
8,ODPV3,2022-11-25,8.46,8.49,8.24,8.43,858900,1386,53,1047,2486,0,0
9,ODPV3,2022-09-09,9.83,9.98,9.79,9.95,1082100,1298,52,1215,2565,0,0
10,ODPV3,2022-07-20,9.1,9.49,9.0,9.39,1341900,2491,59,1537,4087,0,0
11,ODPV3,2023-08-02,12.16,12.17,11.87,12.15,853900,1192,41,2408,3639,2,0
12,ODPV3,2023-04-26,9.88,9.97,9.8,9.86,2980400,2322,63,1303,3687,1,0
13,ODPV3,2023-07-12,12.69,12.87,12.29,12.42,2245600,2923,57,3820,6799,1,0
14,ODPV3,2023-08-16,11.42,11.5,11.28,11.48,1269500,2054,74,1799,3926,1,0
15,ODPV3,2023-08-11,11.5,11.82,11.5,11.64,907600,1481,61,2038,3580,0,0
16,ODPV3,2023-06-12,11.99,12.21,11.84,12.15,2095600,2837,73,3132,6041,1,0
17,ODPV3,2022-07-19,9.58,9.58,9.05,9.09,923700,2067,85,1765,3917,0,0
18,ODPV3,2023-05-17,11.15,11.23,11.09,11.14,912700,1276,74,1507,2856,1,0
19,ODPV3,2023-05-04,9.95,9.99,9.87,9.92,961400,1741,67,1178,2986,0,0
20,ODPV3,2023-05-25,11.55,11.73,11.46,11.65,1599700,2697,75,3029,5801,0,0
21,ODPV3,2022-06-17,9.34,9.74,9.34,9.55,1716200,2156,107,2597,4859,1,0
22,ODPV3,2022-11-08,8.47,8.77,8.34,8.73,2640400,2985,76,3481,6542,0,0
23,ODPV3,2022-07-28,9.62,10.1,9.62,9.95,1151500,2040,62,2985,5071,16,0
24,ODPV3,2023-04-04,10.96,11.19,10.87,11.04,3922300,3580,62,3511,7151,2,0
25,ODPV3,2022-10-27,8.38,8.46,8.18,8.21,3979300,3473,85,5939,9496,1,0
26,ODPV3,2023-05-11,10.69,11.33,10.63,11.07,6701000,6277,102,7599,13973,5,0
27,ODPV3,2023-03-08,11.97,11.99,11.66,11.71,1421400,2475,89,2240,4803,1,0
28,ODPV3,2022-12-22,8.78,8.97,8.76,8.87,2164800,4024,57,2376,6457,0,0
29,ODPV3,2023-02-24,12.62,12.71,11.95,12.16,5220500,4766,134,5666,10561,5,0
30,ODPV3,2023-02-15,11.99,12.47,11.85,12.47,1838200,3510,80,2534,6124,0,0
31,ODPV3,2022-08-30,9.86,9.86,9.45,9.49,993500,1713,53,2069,3835,0,0
32,ODPV3,2022-09-30,8.93,8.93,8.72,8.78,2444900,3934,74,3316,7323,1,0
33,ODPV3,2023-04-07,10.56,10.91,10.48,10.82,1170000,2073,84,1864,4021,0,0
34,ODPV3,2022-12-27,8.93,9.0,8.78,8.98,1057100,1641,46,1559,3246,0,0
35,ODPV3,2022-09-05,9.76,9.89,9.55,9.82,920000,1044,95,1900,3002,37,0
36,ODPV3,2023-07-20,12.29,12.51,12.24,12.51,874300,1531,60,944,2535,0,0
37,ODPV3,2022-10-26,8.51,8.53,8.27,8.3,1926900,3202,97,2359,5658,0,0
38,ODPV3,2023-06-26,12.0,12.02,11.68,11.85,842400,978,54,1347,2379,0,0
39,ODPV3,2023-02-10,11.69,12.0,11.68,12.0,1497300,2721,68,2577,5366,0,0
40,ODPV3,2022-12-01,8.42,8.49,8.3,8.41,1404900,2017,62,2803,4882,0,0
41,ODPV3,2022-11-10,8.78,8.83,8.22,8.35,5444800,4398,85,7949,12431,1,0
42,ODPV3,2022-06-15,9.41,9.62,9.34,9.5,1127600,1884,42,1914,3839,1,0
43,ODPV3,2023-04-12,10.61,10.95,10.56,10.81,4206100,4628,71,3712,8407,4,0
44,ODPV3,2022-11-29,8.18,8.33,8.13,8.26,2029100,1967,92,2806,4865,0,0
45,ODPV3,2022-08-16,9.97,10.06,9.8,9.89,1661400,4032,47,2984,7063,0,0
46,ODPV3,2023-02-21,12.88,13.08,12.59,13.03,4315700,6570,81,7941,14586,6,0
47,ODPV3,2022-08-25,10.21,10.28,10.07,10.18,473200,980,33,1227,2240,0,0
48,ODPV3,2023-07-10,12.75,12.76,12.44,12.44,1749000,2778,101,3126,6005,0,0
49,ODPV3,2022-12-28,9.02,9.18,8.89,9.15,1020500,2023,52,1129,3204,0,0
50,ODPV3,2022-07-05,9.3,9.43,9.22,9.43,547900,1724,52,1129,2905,0,0
51,ODPV3,2023-01-13,10.1,10.16,9.8,9.97,1995300,4767,65,2081,6913,0,0
52,ODPV3,2022-09-28,9.06,9.18,9.0,9.07,1285600,1822,51,2067,3940,0,0
53,ODPV3,2022-06-29,9.14,9.23,9.01,9.21,851200,1028,31,1886,2945,0,0
54,ODPV3,2022-10-05,9.44,9.45,9.1,9.21,1631900,3144,54,2742,5939,1,0
55,ODPV3,2022-10-13,8.72,8.84,8.67,8.8,4193100,3405,85,3277,6761,6,0
56,ODPV3,2023-08-25,10.85,10.85,10.33,10.47,1481800,2136,85,2641,4862,0,0
57,ODPV3,2022-06-21,9.55,9.55,9.25,9.37,620900,1474,55,1191,2720,0,0
58,ODPV3,2023-08-22,11.06,11.19,10.98,11.15,881200,2197,110,1039,3346,0,0
59,ODPV3,2023-08-21,11.06,11.17,10.84,11.09,1107300,1813,96,1993,3901,1,0
60,ODPV3,2023-06-09,11.67,11.95,11.64,11.79,2243800,3754,75,3395,7224,0,0
61,ODPV3,2023-03-20,10.92,11.05,10.84,10.96,1378700,2511,57,1855,4423,0,0
62,ODPV3,2023-05-12,11.06,11.23,10.92,11.08,1418300,2595,66,2339,5000,0,0
63,ODPV3,2023-06-05,11.11,11.45,10.89,11.43,3613700,2470,57,2393,4914,6,0
64,ODPV3,2022-09-02,9.56,9.77,9.53,9.7,2032200,2071,107,4367,6545,0,0
65,ODPV3,2022-06-24,9.28,9.32,9.16,9.23,564800,1495,40,1258,2793,0,0
66,ODPV3,2022-06-10,9.54,9.72,9.46,9.62,1433300,2557,39,1347,3940,3,0
67,ODPV3,2023-06-19,11.55,11.68,11.42,11.53,1007100,900,55,872,1825,2,0
68,ODPV3,2023-04-25,9.88,9.88,9.68,9.88,1254100,1784,77,2082,3943,0,0
69,ODPV3,2023-01-03,8.84,8.84,8.64,8.69,1931000,2751,52,2785,5588,0,0
70,ODPV3,2022-08-23,10.16,10.19,10.12,10.16,913100,2263,76,1626,3965,0,0
71,ODPV3,2023-07-19,12.28,12.43,12.18,12.3,1013000,1217,47,1044,2307,1,0
72,ODPV3,2022-12-20,8.6,8.8,8.55,8.66,2322300,1892,51,2227,4169,1,0
73,ODPV3,2023-03-21,11.04,11.26,10.99,11.04,1240200,2741,53,1824,4618,0,0
74,ODPV3,2022-06-28,9.13,9.22,9.02,9.15,1655900,1301,46,2088,3432,3,0
75,ODPV3,2023-06-16,11.8,11.83,11.55,11.65,8472800,3794,128,6046,9958,10,0
76,ODPV3,2022-09-29,9.0,9.09,8.91,8.93,4157600,2521,72,1755,4341,7,0
77,ODPV3,2022-10-06,9.2,9.34,9.11,9.14,1579400,2909,46,1892,4846,1,0
78,ODPV3,2022-11-09,8.68,8.92,8.64,8.83,2642200,2733,60,3872,6665,0,0
79,ODPV3,2022-08-09,9.75,9.81,9.46,9.8,1348600,1639,42,2020,3701,0,0
80,ODPV3,2022-09-20,9.23,9.54,9.23,9.36,888500,1548,44,2626,4218,0,0
81,ODPV3,2023-08-17,11.5,11.86,11.47,11.81,2130100,2264,79,2622,4960,5,0
82,ODPV3,2023-07-11,12.5,12.75,12.41,12.7,1291300,2970,56,2070,5095,1,0
83,ODPV3,2023-06-15,12.19,12.21,11.75,11.9,4188800,2631,75,2277,4976,7,0
84,ODPV3,2023-02-01,11.39,11.52,11.27,11.49,1558300,2782,70,2831,5682,1,0
85,ODPV3,2023-07-27,12.35,12.51,12.23,12.23,1494400,1126,58,1161,2344,1,0
86,ODPV3,2022-11-14,8.56,8.69,8.37,8.61,3205000,5858,67,4967,10891,1,0
87,ODPV3,2023-06-22,12.02,12.04,11.94,11.99,2685700,4998,56,2104,7158,0,0
88,ODPV3,2022-10-10,9.0,9.01,8.78,8.88,2471500,3347,110,3342,6795,4,0
89,ODPV3,2023-04-06,10.56,10.91,10.48,10.82,1170000,2073,84,1864,4021,0,0
90,ODPV3,2023-08-09,12.5,12.64,12.34,12.64,987200,1206,59,1100,2365,0,0
91,ODPV3,2023-02-27,11.8,11.95,10.8,10.95,4985700,4010,109,5631,9750,0,0
92,ODPV3,2022-10-28,8.2,8.54,8.05,8.1,3619400,3565,69,4099,7733,0,0
93,ODPV3,2022-11-21,8.31,8.45,8.19,8.32,1987200,4808,47,5114,9969,0,0
94,ODPV3,2023-04-27,9.88,9.95,9.8,9.93,3518900,4308,64,2341,6711,2,0
95,ODPV3,2022-09-19,9.06,9.32,9.0,9.21,886800,1814,50,1797,3661,0,0
96,ODPV3,2023-08-15,11.32,11.49,11.32,11.38,1263100,2607,62,2858,5527,0,0
97,ODPV3,2022-12-08,8.55,8.68,8.47,8.57,2580900,3542,52,4120,7714,0,0
98,ODPV3,2023-04-24,10.18,10.18,9.85,9.87,1733900,1807,62,2393,4259,3,0
99,ODPV3,2023-05-15,11.08,11.35,11.08,11.27,1633000,3101,87,1765,4952,1,0
100,ODPV3,2022-10-03,8.91,9.09,8.81,9.03,2771000,5619,58,3562,9238,1,0
101,ODPV3,2023-03-10,11.52,11.65,11.2,11.51,1297100,1902,57,2469,4428,0,0
102,ODPV3,2022-08-08,9.67,9.87,9.52,9.7,839100,2819,33,1873,4725,0,0
103,ODPV3,2022-11-24,8.16,8.54,8.15,8.46,1261000,2416,60,1044,3519,1,0
104,ODPV3,2023-07-05,12.26,12.34,12.1,12.14,1249200,2393,75,2927,5395,0,0
105,ODPV3,2022-11-30,8.25,8.45,8.19,8.45,1315700,1308,80,1556,2944,0,0
106,ODPV3,2023-07-17,12.0,12.14,11.92,11.97,1120100,1050,108,1885,3043,0,0
107,ODPV3,2023-03-27,11.02,11.22,10.92,11.03,1069000,1984,53,1790,3827,0,0
108,ODPV3,2023-02-09,11.75,11.83,11.62,11.72,2312800,3598,91,2760,6449,0,0
109,ODPV3,2023-02-28,10.85,11.54,10.49,11.54,5295200,8947,104,5448,14499,0,0
110,ODPV3,2022-11-03,8.52,8.81,8.41,8.7,4190000,5265,99,4390,9754,0,0
111,ODPV3,2022-07-15,9.52,9.6,9.35,9.42,412300,1227,53,909,2189,0,0
112,ODPV3,2022-11-18,8.36,8.56,8.15,8.15,2688100,5494,49,3358,8901,0,0
113,ODPV3,2022-11-22,8.37,8.42,8.15,8.24,1195700,1114,51,1893,3057,1,0
114,ODPV3,2022-08-10,9.9,9.9,9.62,9.68,1095300,3346,62,2482,5890,0,0
115,ODPV3,2023-06-29,11.58,11.98,11.44,11.95,2094700,3830,60,3744,7634,0,0
116,ODPV3,2022-10-18,8.63,8.82,8.5,8.68,4314600,2903,77,2681,5653,8,0
117,ODPV3,2022-08-15,9.75,10.0,9.67,9.93,1826700,3860,48,3978,7886,0,0
118,ODPV3,2022-06-13,9.53,9.55,9.33,9.44,2964700,5258,62,4087,9407,0,0
119,ODPV3,2023-02-13,12.0,12.12,11.59,12.08,2984400,4583,115,3556,8253,1,0
120,ODPV3,2022-07-27,9.37,9.61,9.36,9.6,550200,2166,47,1374,3587,0,0
121,ODPV3,2023-01-09,9.27,9.27,8.94,9.13,2293900,1835,65,3105,5005,0,0
122,ODPV3,2022-08-29,9.85,9.95,9.55,9.88,984700,1971,43,1754,3768,0,0
123,ODPV3,2022-06-06,10.2,10.2,9.79,9.83,644900,1307,48,2119,3474,0,0
124,ODPV3,2022-08-18,9.91,10.04,9.81,9.98,733000,1636,47,1993,3676,0,0
125,ODPV3,2022-11-17,8.1,8.33,8.05,8.26,3377500,4432,73,6330,10835,0,0
126,ODPV3,2023-04-20,10.28,10.42,10.18,10.3,1291200,2035,75,2115,4224,1,0
127,ODPV3,2023-04-28,9.93,10.06,9.9,9.99,5599300,5759,93,2076,7923,5,0
128,ODPV3,2022-12-29,9.18,9.29,9.02,9.03,1537100,3608,82,1714,5404,0,0
129,ODPV3,2022-08-01,9.9,10.19,9.9,9.92,959100,2533,45,2941,5519,0,0
