,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,OIBR4,2022-06-06,1.23,1.24,1.21,1.22,487900,150,0,145,295,0,0
1,OIBR4,2022-06-07,1.21,1.23,1.2,1.21,394900,149,0,153,302,0,0
2,OIBR4,2022-06-08,1.2,1.2,1.17,1.19,438300,146,0,242,388,0,0
3,OIBR4,2022-06-09,1.18,1.19,1.15,1.16,384700,85,0,253,338,0,0
4,OIBR4,2022-06-10,1.15,1.16,1.08,1.1,988500,294,9,415,718,0,0
5,OIBR4,2022-06-13,1.09,1.09,0.97,0.99,1089000,348,0,442,790,0,0
6,OIBR4,2022-06-14,0.98,1.0,0.94,0.95,693400,278,7,257,542,0,0
7,OIBR4,2022-06-15,0.95,1.01,0.95,1.0,875100,326,5,132,463,0,0
8,OIBR4,2022-06-17,1.0,1.0,0.95,0.97,951500,235,0,290,525,0,0
9,OIBR4,2022-06-20,0.98,1.01,0.95,1.01,598500,216,0,168,384,0,0
10,OIBR4,2022-06-21,1.01,1.01,0.97,0.98,639100,129,5,202,336,0,0
11,OIBR4,2022-06-22,0.99,0.99,0.95,0.99,746500,184,18,159,361,0,0
12,OIBR4,2022-06-23,0.99,1.0,0.97,0.97,286500,88,2,93,183,0,0
13,OIBR4,2022-06-24,0.99,1.05,0.97,1.05,725600,294,0,162,456,0,0
14,OIBR4,2022-06-27,1.05,1.12,1.05,1.09,1172800,371,0,332,703,0,0
15,OIBR4,2022-06-28,1.1,1.11,1.04,1.05,1060900,200,13,299,512,0,0
16,OIBR4,2022-06-29,1.15,1.15,1.06,1.07,1874300,384,0,507,891,0,0
17,OIBR4,2022-06-30,1.05,1.16,1.04,1.12,1979600,520,10,323,853,0,0
18,OIBR4,2022-07-01,1.09,1.14,1.09,1.11,1214200,250,10,216,476,0,0
19,OIBR4,2022-07-04,1.11,1.14,1.1,1.12,537300,157,0,148,305,0,0
20,OIBR4,2022-07-05,1.11,1.13,1.06,1.13,924400,204,21,254,479,0,0
21,OIBR4,2022-07-06,1.13,1.13,1.09,1.09,628700,173,0,180,353,0,0
22,OIBR4,2022-07-07,1.1,1.1,1.09,1.09,274200,99,0,113,212,0,0
23,OIBR4,2022-07-08,1.09,1.13,1.07,1.1,1125900,182,11,280,473,0,0
24,OIBR4,2022-07-11,1.09,1.1,1.03,1.04,737800,171,6,328,505,0,0
25,OIBR4,2022-07-12,1.04,1.06,1.02,1.05,701900,217,1,174,392,0,0
26,OIBR4,2022-07-13,1.04,1.05,1.01,1.02,843700,164,0,258,422,0,0
27,OIBR4,2022-07-14,1.01,1.04,1.0,1.02,638800,168,0,211,379,0,0
28,OIBR4,2022-07-15,1.02,1.04,1.01,1.01,520900,147,2,108,257,0,0
29,OIBR4,2022-07-18,1.01,1.04,1.0,1.02,578000,135,0,220,355,0,0
30,OIBR4,2022-07-19,1.01,1.02,0.99,1.01,317800,85,4,190,279,0,0
31,OIBR4,2022-07-20,1.01,1.03,1.0,1.03,470200,145,7,144,296,0,0
32,OIBR4,2022-07-21,1.02,1.03,1.01,1.01,491200,128,0,158,286,0,0
33,OIBR4,2022-07-22,1.01,1.03,1.0,1.01,788200,174,0,196,370,0,0
34,OIBR4,2022-07-25,1.01,1.01,0.99,0.99,556000,166,0,191,357,0,0
35,OIBR4,2022-07-26,0.99,1.0,0.97,0.99,320200,123,0,213,336,0,0
36,OIBR4,2022-07-27,0.99,1.0,0.98,0.99,403200,143,0,128,271,0,0
37,OIBR4,2022-07-28,0.99,0.99,0.96,0.97,602600,108,6,203,317,0,0
38,OIBR4,2022-07-29,0.98,0.98,0.94,0.96,1000300,197,0,295,492,0,0
39,OIBR4,2022-08-01,0.99,1.02,0.98,0.98,1433700,243,1,342,585,1,0
40,OIBR4,2022-08-02,0.98,1.0,0.97,0.98,490500,169,0,190,359,0,0
41,OIBR4,2022-08-03,0.97,1.0,0.97,1.0,967700,230,0,140,370,0,0
42,OIBR4,2022-08-08,1.17,1.27,1.16,1.23,2519400,989,26,875,1890,0,0
43,OIBR4,2022-08-09,1.23,1.25,1.15,1.18,1354200,475,0,416,891,0,0
44,OIBR4,2022-08-10,1.2,1.22,1.14,1.16,1590600,380,12,457,849,0,0
45,OIBR4,2022-08-12,1.09,1.13,1.06,1.09,1404000,276,0,461,737,0,0
46,OIBR4,2022-08-15,1.07,1.12,1.05,1.11,1248800,392,0,364,756,0,0
47,OIBR4,2022-08-16,1.11,1.15,1.11,1.12,1398600,500,8,298,806,0,0
48,OIBR4,2022-08-17,1.13,1.17,1.12,1.15,1515800,336,0,352,688,0,0
49,OIBR4,2022-08-18,1.15,1.2,1.13,1.16,2510800,535,9,330,874,0,0
50,OIBR4,2022-08-19,1.15,1.16,1.1,1.12,1265900,242,1,231,474,0,0
51,OIBR4,2022-08-22,1.14,1.17,1.11,1.13,1856100,411,12,288,711,0,0
52,OIBR4,2022-08-23,1.12,1.14,1.1,1.11,1283200,230,1,234,464,1,0
53,OIBR4,2022-08-24,1.11,1.13,1.07,1.09,1042000,225,0,318,543,0,0
54,OIBR4,2022-08-25,1.09,1.11,1.07,1.1,622300,169,0,138,307,0,0
55,OIBR4,2022-08-26,1.1,1.12,1.07,1.08,850600,136,0,265,401,0,0
56,OIBR4,2022-08-29,1.1,1.1,1.06,1.07,374300,129,1,288,417,1,0
57,OIBR4,2022-08-30,1.06,1.07,1.01,1.02,937700,164,0,412,576,0,0
58,OIBR4,2022-08-31,1.03,1.06,1.01,1.06,1795600,467,0,278,745,0,0
59,OIBR4,2022-09-01,1.05,1.1,1.05,1.08,1045100,320,10,193,523,0,0
60,OIBR4,2022-09-02,1.06,1.09,1.05,1.07,817200,148,15,242,404,1,0
61,OIBR4,2022-09-05,1.06,1.07,1.04,1.07,667900,183,1,156,339,1,0
62,OIBR4,2022-09-06,1.07,1.07,1.03,1.03,1077700,143,0,303,446,0,0
