,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ORVR3,2022-06-06,32.02,32.28,31.5,31.61,275000,466,52,895,1412,1,0
1,ORVR3,2022-06-07,31.2,31.32,30.69,30.77,278600,581,49,905,1535,0,0
2,ORVR3,2022-06-08,30.43,31.01,30.25,30.43,254300,481,54,785,1320,0,0
3,ORVR3,2022-06-09,30.77,31.15,30.5,30.78,251800,678,47,727,1452,0,0
4,ORVR3,2022-06-10,30.35,30.51,29.8,30.32,431100,743,56,1258,2057,0,0
5,ORVR3,2022-06-13,29.67,29.97,29.0,29.58,378300,1124,56,788,1967,1,0
6,ORVR3,2022-06-14,29.46,29.69,28.46,28.9,299300,981,63,862,1905,1,0
7,ORVR3,2022-06-15,29.37,29.45,28.81,29.21,369300,1014,76,977,2066,1,0
8,ORVR3,2022-06-17,28.86,29.12,28.07,28.75,311700,1153,63,932,2147,1,0
9,ORVR3,2022-06-20,28.94,29.13,28.15,28.55,203200,701,77,524,1302,0,0
10,ORVR3,2022-06-21,28.51,28.78,27.59,27.67,317200,998,61,944,2002,1,0
11,ORVR3,2022-06-22,27.22,28.1,26.88,27.8,306600,895,52,582,1529,0,0
12,ORVR3,2022-06-23,28.01,28.25,27.55,27.85,427600,952,50,666,1666,2,0
13,ORVR3,2022-06-24,28.38,28.39,27.4,27.95,454600,1124,62,815,1998,3,0
14,ORVR3,2022-06-27,28.29,28.67,27.73,27.86,469600,1407,63,1150,2620,0,0
15,ORVR3,2022-06-28,28.07,28.31,27.65,28.0,367600,933,48,656,1633,4,0
16,ORVR3,2022-06-29,28.02,28.23,27.69,28.02,499500,1287,46,888,2217,4,0
17,ORVR3,2022-06-30,27.71,28.3,27.26,28.19,852200,1592,65,1443,3097,3,0
18,ORVR3,2022-07-01,27.92,28.69,27.85,28.41,502900,1367,52,1135,2553,1,0
19,ORVR3,2022-07-04,28.37,28.72,27.61,27.62,450100,782,49,782,1610,3,0
20,ORVR3,2022-07-05,27.3,27.34,26.49,26.87,500300,1325,78,1128,2531,0,0
21,ORVR3,2022-07-06,26.67,27.0,25.91,26.35,441500,1621,71,938,2629,1,0
22,ORVR3,2022-07-07,26.37,27.3,26.32,27.08,662800,1709,71,1026,2806,0,0
23,ORVR3,2022-07-08,26.98,27.35,26.32,26.32,262600,805,69,665,1539,0,0
24,ORVR3,2022-07-11,26.24,26.24,25.06,25.06,513200,1564,76,1004,2643,1,0
25,ORVR3,2022-07-12,25.39,25.39,24.5,24.85,541500,1308,58,1152,2514,4,0
26,ORVR3,2022-07-13,24.7,25.05,24.56,24.7,368200,1021,42,756,1818,1,0
27,ORVR3,2022-07-14,24.46,24.75,24.3,24.65,308800,761,55,644,1459,1,0
28,ORVR3,2022-07-15,24.62,26.01,24.58,25.92,607100,843,54,528,1421,4,0
29,ORVR3,2022-07-18,25.92,26.22,25.32,25.41,327900,662,38,1132,1831,1,0
30,ORVR3,2022-07-19,25.62,25.86,25.15,25.74,501300,981,50,799,1830,0,0
31,ORVR3,2022-07-20,25.61,26.65,25.57,26.65,603000,1231,69,741,2038,3,0
32,ORVR3,2022-07-21,26.51,26.81,26.15,26.7,465100,1095,52,1020,2163,4,0
33,ORVR3,2022-07-22,26.94,27.43,26.79,27.0,318600,773,52,514,1337,2,0
34,ORVR3,2022-07-25,27.37,27.51,26.86,27.15,217900,630,53,376,1058,1,0
35,ORVR3,2022-07-26,27.28,27.44,26.99,27.16,332100,794,50,837,1681,0,0
36,ORVR3,2022-07-27,27.41,28.09,27.4,27.8,281600,829,47,720,1595,1,0
37,ORVR3,2022-07-28,27.99,28.53,27.9,28.5,316700,888,65,499,1452,0,0
38,ORVR3,2022-07-29,28.53,28.78,28.15,28.28,305300,1034,59,750,1842,1,0
39,ORVR3,2022-08-01,28.08,29.15,28.08,28.89,477800,1375,59,1227,2660,1,0
40,ORVR3,2022-08-02,28.86,29.22,28.63,28.8,341500,767,58,822,1643,4,0
41,ORVR3,2022-08-03,29.0,29.8,28.8,29.57,442900,1328,62,1034,2423,1,0
42,ORVR3,2022-08-08,32.1,32.9,32.04,32.35,594200,1269,70,1379,2716,2,0
43,ORVR3,2022-08-09,32.32,32.86,31.5,31.59,538500,1211,42,1076,2327,2,0
44,ORVR3,2022-08-10,31.96,32.83,31.76,32.6,627100,1336,42,1332,2709,1,0
45,ORVR3,2022-08-12,31.99,33.12,31.48,32.93,641600,1154,54,1209,2413,4,0
46,ORVR3,2022-08-15,32.74,33.98,32.33,33.69,432500,1249,46,1389,2683,1,0
47,ORVR3,2022-08-16,33.45,34.93,33.31,34.93,615000,1399,46,1769,3213,1,0
48,ORVR3,2022-08-17,34.58,34.98,34.17,34.4,206300,521,36,1060,1616,1,0
49,ORVR3,2022-08-18,34.8,35.03,34.02,34.06,243800,613,34,782,1429,0,0
50,ORVR3,2022-08-19,33.62,33.88,33.11,33.44,314400,762,32,1411,2205,0,0
51,ORVR3,2022-08-22,33.13,33.14,32.56,32.81,368600,888,48,1229,2164,1,0
52,ORVR3,2022-08-23,32.48,33.28,32.45,32.9,305900,655,81,773,1508,1,0
53,ORVR3,2022-08-24,32.7,33.71,32.64,33.29,204200,462,41,736,1239,0,0
54,ORVR3,2022-08-25,33.3,33.87,32.97,33.66,138600,483,44,442,969,0,0
55,ORVR3,2022-08-26,33.77,34.05,33.37,33.84,235300,814,35,497,1346,0,0
56,ORVR3,2022-08-29,33.55,34.93,33.41,34.78,309900,732,57,693,1479,3,0
57,ORVR3,2022-08-30,35.06,35.71,34.51,35.28,622400,1236,43,1107,2386,0,0
58,ORVR3,2022-08-31,35.46,35.8,34.89,35.8,454100,1080,58,835,1967,6,0
59,ORVR3,2022-09-01,35.59,36.36,35.2,36.25,265900,781,57,648,1486,0,0
60,ORVR3,2022-09-02,36.69,37.47,35.92,37.44,989500,1544,77,1408,3021,8,0
61,ORVR3,2022-09-05,37.62,38.58,37.08,38.48,540900,1163,71,709,1929,14,0
62,ORVR3,2022-09-06,38.18,39.0,38.03,39.0,549700,1527,64,1118,2709,0,0
63,ORVR3,2022-09-08,38.93,41.31,38.93,40.34,1151400,3030,81,3189,6298,2,0
64,ORVR3,2022-09-09,40.41,41.12,39.87,40.62,393300,1314,61,1398,2773,0,0
65,ORVR3,2022-09-12,40.9,41.79,40.83,41.68,651300,2019,63,1902,3984,0,0
66,ORVR3,2022-09-13,40.55,41.38,40.43,40.69,410700,1628,52,1423,3102,1,0
67,ORVR3,2022-09-15,41.19,41.4,40.56,40.8,369700,1310,74,1354,2738,0,0
68,ORVR3,2022-09-16,40.56,40.59,39.33,39.86,685400,2764,69,2026,4858,1,0
69,ORVR3,2022-09-19,39.66,40.65,39.46,40.65,255700,831,39,879,1748,1,0
70,ORVR3,2022-09-20,40.48,41.26,40.1,40.63,351800,1114,56,1268,2438,0,0
71,ORVR3,2022-09-21,40.51,41.0,39.97,40.8,474700,1197,35,1547,2779,0,0
72,ORVR3,2022-09-22,40.98,41.07,39.9,41.07,461000,1363,51,1769,3183,0,0
73,ORVR3,2022-09-23,40.39,41.56,40.12,41.4,446000,1468,54,1264,2785,1,0
74,ORVR3,2022-09-27,40.32,40.55,39.73,40.19,221900,760,67,622,1449,0,0
75,ORVR3,2022-09-28,40.12,40.54,39.49,39.95,356100,801,79,974,1853,1,0
76,ORVR3,2022-09-29,39.53,39.94,38.9,39.19,374500,1011,85,1212,2308,0,0
77,ORVR3,2022-09-30,39.35,40.14,39.03,39.83,663500,1711,78,2305,4093,1,0
78,ORVR3,2022-10-03,40.23,40.73,38.5,38.8,1566800,2602,92,3159,5851,2,0
79,ORVR3,2022-10-04,39.0,39.77,39.0,39.5,342800,956,85,1222,2263,0,0
80,ORVR3,2022-10-05,39.77,40.6,39.16,40.49,337700,761,49,1076,1885,1,0
81,ORVR3,2022-10-06,40.74,41.59,40.48,41.33,283700,606,54,705,1365,0,0
82,ORVR3,2022-10-07,41.34,42.0,40.99,41.8,335000,1198,55,1016,2269,0,0
83,ORVR3,2022-10-10,41.95,42.0,41.03,42.0,220900,684,38,477,1199,0,0
84,ORVR3,2022-10-11,41.69,42.63,41.66,42.36,335200,1250,51,910,2211,0,0
85,ORVR3,2022-10-13,41.7,42.66,41.49,42.5,373700,836,77,831,1742,2,0
86,ORVR3,2022-10-14,42.71,42.72,41.75,42.16,309800,892,56,841,1788,1,0
87,ORVR3,2022-10-17,42.05,42.41,41.54,41.71,293600,558,62,615,1235,0,0
88,ORVR3,2022-10-18,42.3,42.32,40.53,42.16,306800,751,57,851,1658,1,0
89,ORVR3,2022-10-19,41.5,41.93,41.15,41.87,714600,1506,112,1684,3302,0,0
90,ORVR3,2022-10-20,42.12,42.2,41.03,42.0,167100,496,55,573,1124,0,0
91,ORVR3,2022-10-21,41.49,43.24,41.49,43.06,354100,918,52,605,1574,1,0
92,ORVR3,2022-10-24,42.55,43.41,42.0,43.3,323900,972,79,817,1868,0,0
93,ORVR3,2022-10-25,43.11,43.43,42.32,42.72,213100,584,49,863,1496,0,0
94,ORVR3,2022-10-26,42.4,42.46,40.75,41.0,737300,1869,71,1916,3856,0,0
95,ORVR3,2022-10-27,40.7,42.43,40.6,42.29,273100,904,48,654,1606,0,0
96,ORVR3,2022-10-28,42.39,42.5,41.6,42.04,251200,811,61,736,1607,1,0
