,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PARD3,2022-06-06,21.3,21.3,20.62,20.67,332700,211,54,304,569,0,0
1,PARD3,2022-06-07,20.64,20.64,19.89,19.89,127600,210,84,469,763,0,0
2,PARD3,2022-06-08,19.96,20.33,19.65,19.81,206300,589,20,935,1544,0,0
3,PARD3,2022-06-09,19.64,20.2,19.43,19.57,295400,446,32,387,863,2,0
4,PARD3,2022-06-10,19.18,19.34,18.54,18.89,111000,251,47,518,816,0,0
5,PARD3,2022-06-13,18.39,18.45,17.54,17.87,185100,535,29,443,1007,0,0
6,PARD3,2022-06-14,17.71,17.71,16.8,17.02,153400,322,44,508,874,0,0
7,PARD3,2022-06-15,17.19,17.74,17.18,17.31,225100,510,35,673,1218,0,0
8,PARD3,2022-06-17,17.05,18.85,16.6,18.83,714900,1678,110,758,2508,38,0
9,PARD3,2022-06-20,18.78,18.88,17.92,18.87,205400,610,61,519,1190,0,0
10,PARD3,2022-06-21,18.62,18.66,17.55,17.65,373800,524,94,614,1232,0,0
11,PARD3,2022-06-22,17.32,18.3,17.32,18.06,149100,542,39,437,1018,0,0
12,PARD3,2022-06-23,18.24,18.41,18.01,18.13,87000,403,18,289,710,0,0
13,PARD3,2022-06-24,18.13,18.4,17.69,17.91,104200,313,15,415,743,0,0
14,PARD3,2022-06-27,18.02,18.5,17.57,17.68,101500,274,14,345,633,0,0
15,PARD3,2022-06-28,17.68,17.95,17.15,17.39,102400,287,19,481,787,0,0
16,PARD3,2022-06-29,17.71,17.71,16.65,16.84,114100,288,28,415,731,0,0
17,PARD3,2022-06-30,19.07,20.89,18.71,19.94,3130200,4736,64,3779,8576,3,0
18,PARD3,2022-07-01,19.92,20.5,19.19,20.09,2726500,2990,32,2566,5583,5,0
19,PARD3,2022-07-04,19.87,20.45,19.61,20.09,822500,1914,37,2616,4566,1,0
20,PARD3,2022-07-05,19.98,20.29,19.63,20.13,473700,1505,51,1596,3152,0,0
21,PARD3,2022-07-06,20.21,20.95,19.9,20.27,606700,970,51,1334,2355,0,0
22,PARD3,2022-07-07,20.51,20.81,20.24,20.81,319400,622,61,709,1392,0,0
23,PARD3,2022-07-08,20.57,20.8,20.21,20.46,604300,1420,50,1112,2582,0,0
24,PARD3,2022-07-11,20.77,20.77,20.23,20.4,243700,372,48,833,1253,0,0
25,PARD3,2022-07-12,20.4,20.53,20.1,20.2,341100,721,67,995,1783,0,0
26,PARD3,2022-07-13,20.07,20.62,20.0,20.03,535700,1268,49,989,2306,0,0
27,PARD3,2022-07-14,19.85,20.31,19.85,20.31,265900,711,48,420,1179,0,0
28,PARD3,2022-07-15,20.4,20.65,20.19,20.64,550500,814,103,629,1546,0,0
29,PARD3,2022-07-18,20.59,20.59,19.74,20.06,280300,487,0,755,1242,0,0
30,PARD3,2022-07-19,20.09,20.18,19.62,19.84,156500,447,59,354,860,0,0
