,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PCAR3,2022-06-06,19.88,20.0,19.5,19.75,3382600,3483,126,6489,10096,2,0
1,PCAR3,2022-06-07,19.65,19.86,19.45,19.58,2050100,3338,92,7546,10975,1,0
2,PCAR3,2022-06-08,19.52,19.86,19.43,19.56,1491900,3663,119,5319,9101,0,0
3,PCAR3,2022-06-09,19.59,20.42,19.4,19.94,3519700,7446,89,9062,16596,1,0
4,PCAR3,2022-06-10,19.81,19.93,19.34,19.71,2434300,4706,124,7278,12108,0,0
5,PCAR3,2022-06-13,19.4,19.51,18.57,18.76,2474600,5110,102,5453,10664,1,0
6,PCAR3,2022-06-14,18.7,18.73,17.81,17.97,2602100,5222,185,5713,11119,1,0
7,PCAR3,2022-06-15,18.25,18.68,18.09,18.47,2923100,6573,127,6838,13534,4,0
8,PCAR3,2022-06-17,17.99,18.0,17.6,17.97,3312900,4931,125,7304,12360,0,0
9,PCAR3,2022-06-20,17.89,17.94,16.65,16.7,2647600,5089,103,3673,8865,0,0
10,PCAR3,2022-06-21,16.89,16.98,16.42,16.61,3440200,5821,219,5952,11992,0,0
11,PCAR3,2022-06-22,16.43,16.65,16.27,16.35,2068400,4917,136,3323,8375,1,0
12,PCAR3,2022-06-23,16.37,16.84,16.28,16.68,1901100,3873,124,3833,7829,1,0
13,PCAR3,2022-06-24,16.76,16.83,16.42,16.62,1332200,3633,62,2305,6000,0,0
14,PCAR3,2022-06-27,16.63,16.9,16.32,16.5,1405800,3818,83,2736,6637,0,0
15,PCAR3,2022-06-28,16.79,17.34,16.67,16.83,3173400,6835,151,5516,12502,0,0
16,PCAR3,2022-06-29,17.14,17.15,16.45,16.5,1385000,2588,145,2883,5615,1,0
17,PCAR3,2022-06-30,16.39,16.51,16.07,16.25,1725200,3051,126,4411,7588,0,0
18,PCAR3,2022-07-01,16.29,16.79,16.17,16.75,1981000,4169,103,4881,9153,0,0
19,PCAR3,2022-07-04,16.94,17.03,16.52,16.54,1003700,2030,199,2173,4402,0,0
20,PCAR3,2022-07-05,16.53,16.92,16.35,16.82,1647200,4481,98,4707,9285,1,0
21,PCAR3,2022-07-06,16.82,17.54,16.77,17.33,2055400,4838,100,6074,11011,1,0
22,PCAR3,2022-07-07,17.51,18.09,17.44,17.9,2536000,5142,85,7971,13198,0,0
23,PCAR3,2022-07-08,17.93,18.13,17.67,17.81,1629600,3350,76,3420,6842,4,0
24,PCAR3,2022-07-11,17.69,17.77,17.15,17.15,1568000,3643,80,3663,7383,3,0
25,PCAR3,2022-07-12,16.95,17.15,16.59,16.65,3461700,6974,109,6356,13439,0,0
26,PCAR3,2022-07-13,16.33,16.85,16.32,16.54,3193100,8748,87,6648,15483,0,0
27,PCAR3,2022-07-14,16.4,16.65,16.05,16.11,2592800,7277,99,7694,15069,1,0
28,PCAR3,2022-07-15,16.11,16.22,15.71,15.77,4200200,6744,101,6209,13053,1,0
29,PCAR3,2022-07-18,15.86,16.4,15.73,15.98,2712500,6001,176,6511,12681,7,0
30,PCAR3,2022-07-19,16.08,16.52,15.95,16.43,1958900,4264,95,4684,9041,2,0
31,PCAR3,2022-07-20,16.5,17.0,16.43,16.89,2753900,6949,96,5923,12968,0,0
32,PCAR3,2022-07-21,16.98,17.27,16.67,16.99,1803300,2569,125,3762,6454,2,0
33,PCAR3,2022-07-22,17.08,17.2,16.72,16.78,863400,1569,85,2401,4055,0,0
34,PCAR3,2022-07-25,16.55,16.58,15.71,15.74,3791600,5934,192,5073,11199,0,0
35,PCAR3,2022-07-26,15.6,15.7,14.84,14.96,4193300,7545,96,8053,15692,2,0
36,PCAR3,2022-07-27,15.24,16.5,15.2,16.32,5209900,9726,136,10104,19964,2,0
37,PCAR3,2022-07-28,15.93,16.33,15.63,16.02,4092200,6939,123,7326,14369,19,0
38,PCAR3,2022-07-29,16.0,16.49,15.93,16.28,2258300,3631,143,3481,7254,1,0
39,PCAR3,2022-08-01,16.29,16.33,15.68,15.81,2337700,4954,121,3301,8376,0,0
40,PCAR3,2022-08-02,15.88,15.88,15.4,15.64,2418600,5102,124,3976,9201,1,0
41,PCAR3,2022-08-03,15.77,16.34,15.68,16.25,2657500,4317,113,5530,9960,0,0
42,PCAR3,2022-08-08,16.64,17.04,16.45,16.85,2192300,5775,92,5734,11601,0,0
43,PCAR3,2022-08-09,16.97,17.03,16.42,16.42,1545500,3950,84,4264,8295,3,0
44,PCAR3,2022-08-10,17.0,17.68,16.75,17.47,3184400,6557,164,7560,14278,3,0
45,PCAR3,2022-08-12,17.79,18.78,17.79,18.6,3149400,7465,135,5525,13125,0,0
46,PCAR3,2022-08-15,18.08,18.6,18.08,18.45,2073900,5413,126,5116,10654,1,0
47,PCAR3,2022-08-16,18.32,19.15,18.18,18.98,3285800,6227,99,7779,14103,2,0
48,PCAR3,2022-08-17,19.02,20.0,18.74,19.66,5352500,11318,114,8870,20301,1,0
49,PCAR3,2022-08-18,19.99,20.38,19.46,19.6,2504800,5293,93,7495,12880,1,0
50,PCAR3,2022-08-19,19.4,19.46,18.8,18.99,1564700,2979,85,3664,6728,0,0
51,PCAR3,2022-08-22,18.46,18.96,18.3,18.77,1292300,3107,85,3352,6544,0,0
52,PCAR3,2022-08-23,18.69,19.33,18.61,19.29,2931500,3505,127,3667,7296,3,0
53,PCAR3,2022-08-24,19.3,19.71,19.3,19.54,2568500,3885,116,4293,8293,1,0
54,PCAR3,2022-08-25,19.78,19.97,19.5,19.89,3245900,5326,3582,5276,10682,3502,0
55,PCAR3,2022-08-26,19.91,20.67,19.89,20.5,3953500,5526,89,5720,11332,3,0
56,PCAR3,2022-08-29,20.5,21.17,20.26,21.03,2909300,11493,91,5070,16653,1,0
57,PCAR3,2022-08-30,21.06,21.74,20.74,20.84,4957500,7756,6634,9775,17639,6526,0
58,PCAR3,2022-08-31,21.02,21.79,21.02,21.66,4440500,9750,207,6730,16671,16,0
59,PCAR3,2022-09-01,21.69,21.82,20.39,20.56,3718600,7802,199,10467,18468,0,0
60,PCAR3,2022-09-02,21.01,21.95,21.01,21.55,3784700,10756,187,7072,18014,1,0
61,PCAR3,2022-09-05,21.78,24.17,21.67,24.17,6917700,9675,147,8191,18012,1,0
62,PCAR3,2022-09-06,23.71,24.41,22.26,22.58,10642700,12814,287,15238,28338,1,0
63,PCAR3,2022-09-08,22.87,22.95,21.48,21.94,6536700,8900,124,10405,19428,1,0
64,PCAR3,2022-09-09,22.1,22.54,21.73,21.97,3798400,6250,105,6185,12540,0,0
65,PCAR3,2022-09-12,22.12,22.65,21.97,22.35,1863100,3654,112,3301,7067,0,0
66,PCAR3,2022-09-13,22.08,22.22,21.43,21.58,2867200,5653,104,7633,13389,1,0
67,PCAR3,2022-09-15,21.25,21.55,21.16,21.38,2793900,5189,79,5817,11084,1,0
68,PCAR3,2022-09-16,21.1,21.42,20.95,21.2,6122500,5154,180,8828,14161,1,0
69,PCAR3,2022-09-19,21.05,21.4,20.81,21.4,2818600,5516,107,3408,9031,0,0
70,PCAR3,2022-09-20,21.4,22.08,21.4,21.79,2990200,5048,131,5553,10730,2,0
71,PCAR3,2022-09-21,21.91,22.08,21.32,21.53,3767400,7606,116,12635,20356,1,0
72,PCAR3,2022-09-22,21.9,21.92,21.08,21.82,2974000,6662,99,5846,12607,0,0
73,PCAR3,2022-09-23,21.5,21.64,20.74,21.05,4476400,8319,103,7567,15988,1,0
