,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PDGR3,2022-06-06,1.34,1.35,1.27,1.29,270800,81,0,98,179,0,0
1,PDGR3,2022-06-07,1.27,1.28,1.26,1.27,193600,43,0,78,121,0,0
2,PDGR3,2022-06-08,1.26,1.3,1.24,1.25,492600,115,0,310,425,0,0
3,PDGR3,2022-06-09,1.25,1.26,1.2,1.22,437000,102,0,149,251,0,0
4,PDGR3,2022-06-10,1.22,1.22,1.17,1.18,306100,105,0,179,284,0,0
5,PDGR3,2022-06-13,1.15,1.15,1.1,1.12,496600,100,0,198,298,0,0
6,PDGR3,2022-06-14,1.1,1.13,1.03,1.03,630700,164,0,273,437,0,0
7,PDGR3,2022-06-15,1.04,1.13,1.04,1.12,561900,146,0,162,308,0,0
8,PDGR3,2022-06-17,1.11,1.13,1.08,1.09,358100,93,2,140,235,0,0
9,PDGR3,2022-06-20,1.08,1.09,1.04,1.05,364600,87,17,102,206,0,0
10,PDGR3,2022-06-21,1.05,1.09,1.04,1.06,427800,138,0,125,263,0,0
11,PDGR3,2022-06-22,1.05,1.07,1.03,1.06,510900,90,0,167,257,0,0
12,PDGR3,2022-06-23,1.05,1.09,1.02,1.04,1009900,163,2,244,409,0,0
13,PDGR3,2022-06-24,1.05,1.06,1.02,1.04,524100,138,0,183,321,0,0
14,PDGR3,2022-06-27,1.03,1.05,1.02,1.02,490400,135,2,148,285,0,0
15,PDGR3,2022-06-28,1.02,1.03,0.98,0.98,572200,117,0,236,353,0,0
16,PDGR3,2022-06-29,0.99,0.99,0.91,0.92,500800,124,3,181,308,0,0
17,PDGR3,2022-06-30,0.9,0.96,0.9,0.91,399000,147,14,146,307,0,0
18,PDGR3,2022-07-01,0.92,0.92,0.9,0.91,240200,123,0,57,180,0,0
19,PDGR3,2022-07-04,0.89,0.91,0.89,0.9,94200,42,3,80,125,0,0
20,PDGR3,2022-07-05,0.9,0.91,0.88,0.9,409500,119,0,108,227,0,0
21,PDGR3,2022-07-06,0.9,0.96,0.89,0.92,752000,228,4,156,388,0,0
22,PDGR3,2022-07-07,0.93,0.95,0.92,0.94,368300,123,0,106,229,0,0
23,PDGR3,2022-07-08,0.93,1.03,0.93,0.95,1683800,389,0,357,746,0,0
24,PDGR3,2022-07-11,0.95,0.95,0.91,0.92,303500,96,0,114,210,0,0
25,PDGR3,2022-07-12,0.91,0.94,0.9,0.93,628800,175,0,95,270,0,0
26,PDGR3,2022-07-13,0.92,0.96,0.9,0.92,543200,141,0,121,262,0,0
27,PDGR3,2022-07-14,0.91,0.92,0.88,0.9,527400,127,0,158,285,0,0
28,PDGR3,2022-07-15,0.9,0.9,0.87,0.88,517100,81,0,117,198,0,0
29,PDGR3,2022-07-18,0.88,0.9,0.86,0.86,394900,64,24,125,213,0,0
30,PDGR3,2022-07-19,0.87,0.88,0.85,0.86,308100,78,4,130,212,0,0
31,PDGR3,2022-07-20,0.86,0.89,0.85,0.87,736700,147,16,141,304,0,0
32,PDGR3,2022-07-21,0.87,0.88,0.86,0.87,294700,156,12,71,239,0,0
33,PDGR3,2022-07-22,0.86,0.89,0.86,0.86,689000,134,18,124,276,0,0
34,PDGR3,2022-07-25,0.86,0.87,0.85,0.85,422600,57,7,194,258,0,0
35,PDGR3,2022-07-26,0.85,0.86,0.83,0.84,420700,36,11,110,157,0,0
36,PDGR3,2022-07-27,0.85,0.86,0.83,0.84,394200,81,9,142,232,0,0
37,PDGR3,2022-07-28,0.86,0.87,0.84,0.86,206900,80,12,76,168,0,0
38,PDGR3,2022-07-29,0.85,0.87,0.84,0.85,193100,56,11,63,130,0,0
39,PDGR3,2022-08-01,0.85,0.89,0.85,0.88,478100,144,0,128,272,0,0
40,PDGR3,2022-08-02,0.88,0.91,0.86,0.88,689700,165,0,126,291,0,0
41,PDGR3,2022-08-03,0.87,0.91,0.87,0.88,458900,125,0,97,222,0,0
42,PDGR3,2022-08-08,0.96,1.02,0.96,0.98,840800,342,12,147,501,0,0
43,PDGR3,2022-08-09,0.98,1.01,0.94,0.96,592100,101,0,153,254,0,0
44,PDGR3,2022-08-10,0.98,1.03,0.97,0.99,837200,220,0,166,386,0,0
45,PDGR3,2022-08-12,0.99,1.07,0.97,1.02,1405200,391,16,279,686,0,0
46,PDGR3,2022-08-15,1.07,1.15,1.06,1.06,3206100,437,0,410,847,0,0
47,PDGR3,2022-08-16,1.06,1.07,1.03,1.05,1352600,126,0,217,343,0,0
48,PDGR3,2022-08-17,1.04,1.08,1.02,1.06,1062800,231,0,132,363,0,0
49,PDGR3,2022-08-18,1.04,1.05,0.99,0.99,1561200,256,17,242,515,0,0
50,PDGR3,2022-08-19,0.96,0.98,0.95,0.96,596000,90,0,168,258,0,0
51,PDGR3,2022-08-22,0.95,0.95,0.92,0.94,506700,81,9,137,227,0,0
52,PDGR3,2022-08-23,0.94,0.95,0.92,0.92,610900,94,0,95,189,0,0
53,PDGR3,2022-08-24,0.93,1.07,0.92,1.02,3923500,911,0,531,1442,0,0
54,PDGR3,2022-08-25,1.02,1.06,0.97,0.99,1679600,457,0,334,791,0,0
55,PDGR3,2022-08-26,0.98,0.99,0.94,0.95,860300,172,0,149,321,0,0
56,PDGR3,2022-08-29,0.94,0.95,0.91,0.92,950600,229,0,177,406,0,0
57,PDGR3,2022-08-30,0.93,0.93,0.86,0.87,1898100,265,23,325,613,0,0
58,PDGR3,2022-08-31,0.86,0.88,0.85,0.85,739800,123,0,130,253,0,0
59,PDGR3,2022-09-01,0.86,0.86,0.83,0.85,488100,127,0,136,263,0,0
60,PDGR3,2022-09-02,0.85,0.88,0.84,0.85,950200,188,17,132,337,0,0
61,PDGR3,2022-09-05,0.84,0.85,0.83,0.85,337900,84,0,109,193,0,0
62,PDGR3,2022-09-06,0.84,0.84,0.81,0.81,497800,91,0,137,228,0,0
63,PDGR3,2022-09-08,0.82,0.85,0.81,0.81,713300,134,0,81,215,0,0
64,PDGR3,2022-09-09,0.81,0.83,0.81,0.82,545900,124,0,87,211,0,0
65,PDGR3,2022-09-12,0.82,0.84,0.81,0.82,595600,111,0,96,207,0,0
66,PDGR3,2022-09-13,0.81,0.82,0.8,0.82,477300,128,0,121,249,0,0
67,PDGR3,2022-09-15,0.81,0.91,0.81,0.85,3997700,672,54,443,1169,0,0
68,PDGR3,2022-09-16,0.85,0.85,0.81,0.82,925900,117,0,202,319,0,0
69,PDGR3,2022-09-19,0.81,0.82,0.8,0.81,1196100,129,0,163,292,0,0
70,PDGR3,2022-09-20,0.81,0.81,0.79,0.8,780000,111,0,118,229,0,0
71,PDGR3,2022-09-21,0.8,0.81,0.78,0.79,626700,96,0,124,220,0,0
72,PDGR3,2022-09-22,0.79,0.81,0.78,0.8,624200,111,0,73,184,0,0
73,PDGR3,2022-09-23,0.79,0.8,0.77,0.78,534000,90,0,125,215,0,0
74,PDGR3,2022-09-27,0.74,0.75,0.68,0.69,770100,152,0,184,336,0,0
75,PDGR3,2022-09-28,0.69,0.71,0.68,0.69,341400,72,0,70,142,0,0
76,PDGR3,2022-09-29,0.69,0.69,0.67,0.67,386900,131,0,100,231,0,0
77,PDGR3,2022-09-30,0.67,0.71,0.67,0.7,741800,392,0,125,517,0,0
78,PDGR3,2022-10-03,0.71,0.75,0.7,0.71,898000,94,0,93,187,0,0
79,PDGR3,2022-10-04,0.72,0.73,0.69,0.69,478500,104,0,97,201,0,0
80,PDGR3,2022-10-05,0.69,0.7,0.68,0.69,459600,119,0,71,190,0,0
81,PDGR3,2022-10-06,0.69,0.71,0.68,0.7,1322800,226,0,97,323,0,0
82,PDGR3,2022-10-07,0.7,0.71,0.69,0.7,402200,64,1,68,133,0,0
83,PDGR3,2022-10-10,0.7,0.7,0.67,0.68,373600,58,2,108,168,0,0
84,PDGR3,2022-10-11,0.68,0.69,0.66,0.66,408200,58,0,127,185,0,0
85,PDGR3,2022-10-13,0.67,0.67,0.65,0.66,348900,113,0,104,217,0,0
86,PDGR3,2022-10-14,0.66,0.67,0.64,0.64,454400,58,5,148,211,0,0
87,PDGR3,2022-10-17,0.64,0.65,0.62,0.63,546900,84,0,100,184,0,0
88,PDGR3,2022-10-18,0.63,0.63,0.6,0.61,371600,82,0,131,213,0,0
89,PDGR3,2022-10-19,0.6,0.6,0.58,0.59,964400,158,0,158,316,0,0
90,PDGR3,2022-10-20,0.59,0.6,0.56,0.57,221900,48,0,86,134,0,0
91,PDGR3,2022-10-21,0.57,0.7,0.56,0.61,2828500,540,27,406,973,0,0
92,PDGR3,2022-10-24,0.6,0.64,0.58,0.6,1212400,172,10,162,344,0,0
93,PDGR3,2022-10-25,0.6,0.6,0.58,0.6,338400,56,0,100,156,0,0
94,PDGR3,2022-10-26,0.59,0.59,0.55,0.55,458400,60,3,147,210,0,0
95,PDGR3,2022-10-27,0.56,0.58,0.55,0.57,699200,92,0,155,247,0,0
96,PDGR3,2022-10-28,0.55,0.57,0.55,0.56,892100,112,0,98,210,0,0
97,PDGR3,2022-10-31,0.55,0.58,0.52,0.54,1258000,200,0,182,382,0,0
98,PDGR3,2022-11-01,0.56,0.6,0.56,0.58,2302300,389,19,181,589,0,0
99,PDGR3,2022-11-03,0.57,0.69,0.56,0.64,6099800,1371,25,536,1932,0,0
100,PDGR3,2022-11-04,0.67,0.73,0.63,0.63,5427600,650,44,540,1234,0,0
101,PDGR3,2022-11-07,0.63,0.7,0.6,0.62,3569500,280,51,388,719,0,0
102,PDGR3,2022-11-08,0.62,0.69,0.6,0.63,4832300,440,52,460,952,0,0
103,PDGR3,2022-11-09,0.63,0.64,0.58,0.61,2247400,207,0,258,465,0,0
104,PDGR3,2022-11-10,0.6,0.61,0.55,0.58,1748800,212,5,270,487,0,0
105,PDGR3,2022-11-14,0.59,0.6,0.54,0.55,2655400,178,14,250,442,0,0
106,PDGR3,2022-11-17,0.46,0.47,0.43,0.46,4084600,332,58,315,705,0,0
107,PDGR3,2022-11-18,0.46,0.47,0.42,0.42,2310700,226,0,306,532,0,0
108,PDGR3,2022-11-21,0.41,0.43,0.4,0.41,2088300,202,0,234,436,0,0
109,PDGR3,2022-11-22,0.41,0.41,0.38,0.38,1866200,209,15,202,426,0,0
110,PDGR3,2022-11-23,0.37,0.38,0.29,0.32,8503900,470,26,4878,5374,0,0
111,PDGR3,2022-11-24,0.32,0.34,0.29,0.31,7388200,500,40,2894,3434,0,0
112,PDGR3,2022-11-25,0.3,0.31,0.28,0.28,3488100,271,0,617,888,0,0
113,PDGR3,2022-11-28,0.28,0.28,0.25,0.25,2994300,212,76,367,655,0,0
114,PDGR3,2022-11-29,0.25,0.29,0.2,0.21,35191400,1423,99,24070,25592,0,0
115,PDGR3,2022-11-30,0.22,0.22,0.17,0.17,30788200,1245,111,7437,8793,0,0
116,PDGR3,2022-12-01,0.17,0.21,0.16,0.17,29415800,932,280,16872,18084,0,0
117,PDGR3,2022-12-02,0.17,0.19,0.16,0.17,21360300,711,151,15087,15949,0,0
118,PDGR3,2022-12-05,0.17,0.21,0.16,0.17,35181600,1416,137,10444,11997,0,0
119,PDGR3,2022-12-06,0.17,0.18,0.15,0.15,23803500,529,158,9586,10273,0,0
120,PDGR3,2022-12-07,0.15,0.16,0.14,0.15,17475300,619,24,6335,6978,0,0
121,PDGR3,2022-12-08,0.14,0.15,0.12,0.12,22690400,345,187,13590,14122,0,0
122,PDGR3,2022-12-09,0.13,0.15,0.12,0.13,19863300,2690,111,563,3364,0,0
123,PDGR3,2022-12-12,0.13,0.14,0.12,0.12,14367500,353,202,432,987,0,0
124,PDGR3,2022-12-13,0.13,0.13,0.12,0.12,7551400,277,37,301,615,0,0
125,PDGR3,2022-12-14,0.12,0.15,0.12,0.13,17176500,563,82,582,1227,0,0
126,PDGR3,2022-12-15,0.13,0.14,0.13,0.13,11031700,380,44,493,917,0,0
127,PDGR3,2022-12-16,0.13,0.14,0.11,0.12,17599000,358,33,610,1001,0,0
128,PDGR3,2022-12-19,0.12,0.12,0.11,0.11,10177900,289,69,317,675,0,0
129,PDGR3,2022-12-20,0.11,0.12,0.11,0.11,9392100,507,36,347,890,0,0
130,PDGR3,2022-12-21,0.12,0.12,0.1,0.1,29227900,939,478,538,1955,0,0
131,PDGR3,2022-12-22,0.1,0.14,0.1,0.12,49442100,1279,149,745,2173,0,0
132,PDGR3,2022-12-23,0.12,0.13,0.11,0.12,22085400,399,157,419,975,0,0
133,PDGR3,2022-12-26,0.12,0.13,0.11,0.12,16970900,297,0,585,882,0,0
134,PDGR3,2022-12-27,0.13,0.13,0.11,0.11,16948000,241,75,509,825,0,0
135,PDGR3,2022-12-28,0.11,0.12,0.1,0.11,17146800,473,41,526,1040,0,0
136,PDGR3,2022-12-29,0.11,0.12,0.1,0.12,14238500,293,0,380,673,0,0
137,PDGR3,2023-01-02,0.11,0.12,0.11,0.12,3305700,303,0,236,539,0,0
138,PDGR3,2023-01-03,0.12,0.12,0.11,0.11,5038400,230,16,178,424,0,0
139,PDGR3,2023-01-04,0.11,0.12,0.11,0.11,6104500,683,74,172,929,0,0
140,PDGR3,2023-01-05,0.11,0.15,0.11,0.15,56839300,2529,529,613,3671,0,0
141,PDGR3,2023-01-06,0.16,0.24,0.14,0.14,117365100,1758,2184,2534,6476,0,0
142,PDGR3,2023-01-09,0.14,0.16,0.13,0.15,53430300,1256,311,973,2540,0,0
143,PDGR3,2023-01-10,0.16,0.18,0.15,0.18,61797200,1240,288,1313,2841,0,0
144,PDGR3,2023-01-11,0.19,0.2,0.18,0.19,44144000,1015,452,863,2330,0,0
145,PDGR3,2023-01-12,0.19,0.2,0.15,0.17,47913700,813,63,1478,2354,0,0
146,PDGR3,2023-01-13,0.17,0.18,0.16,0.17,18111700,619,28,396,1043,0,0
147,PDGR3,2023-01-16,0.17,0.17,0.14,0.15,18552900,955,156,773,1884,0,0
148,PDGR3,2023-01-17,0.15,0.16,0.14,0.15,18137400,465,34,542,1041,0,0
149,PDGR3,2023-01-18,0.15,0.16,0.14,0.14,22567000,550,94,282,926,0,0
