,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PDTC3,2022-06-06,3.5,3.5,3.3,3.31,58100,127,1,185,313,0,0
1,PDTC3,2022-06-07,3.31,3.6,3.31,3.42,109800,216,2,254,472,0,0
2,PDTC3,2022-06-08,3.39,3.51,3.35,3.39,70900,171,0,170,341,0,0
3,PDTC3,2022-06-09,3.37,3.48,3.35,3.4,42800,136,1,148,285,0,0
4,PDTC3,2022-06-10,3.43,3.44,3.3,3.3,62500,133,0,177,310,0,0
5,PDTC3,2022-06-13,3.25,3.26,3.0,3.14,58400,147,2,181,330,0,0
6,PDTC3,2022-06-14,3.25,3.25,2.9,2.92,45800,106,3,184,293,0,0
7,PDTC3,2022-06-15,2.93,3.1,2.93,3.1,49100,151,0,160,311,0,0
8,PDTC3,2022-06-17,3.07,3.07,2.9,2.99,50600,140,0,158,298,0,0
9,PDTC3,2022-06-20,3.12,3.13,2.93,3.13,42100,148,0,148,296,0,0
10,PDTC3,2022-06-21,3.14,3.14,2.95,3.0,39600,129,0,146,275,0,0
11,PDTC3,2022-06-22,2.94,3.1,2.88,3.1,41500,164,0,124,288,0,0
12,PDTC3,2022-06-23,3.14,3.14,2.97,3.1,35600,129,0,141,270,0,0
13,PDTC3,2022-06-24,3.12,3.15,3.01,3.08,39200,129,0,140,269,0,0
14,PDTC3,2022-06-27,3.1,3.14,3.01,3.07,45200,145,1,135,281,0,0
15,PDTC3,2022-06-28,3.04,3.11,3.01,3.06,32300,113,0,134,247,0,0
16,PDTC3,2022-06-29,3.01,3.08,2.93,2.94,38300,106,0,164,270,0,0
17,PDTC3,2022-06-30,2.91,3.0,2.85,2.85,44200,132,0,204,336,0,0
18,PDTC3,2022-07-01,2.84,3.07,2.83,2.85,41800,146,0,135,281,0,0
19,PDTC3,2022-07-04,2.9,2.95,2.77,2.83,45900,139,0,153,292,0,0
20,PDTC3,2022-07-05,2.79,2.94,2.75,2.93,32300,105,0,135,240,0,0
21,PDTC3,2022-07-06,3.01,3.01,2.91,3.01,32900,140,0,121,261,0,0
22,PDTC3,2022-07-07,3.01,3.12,3.0,3.12,38900,158,1,130,289,0,0
23,PDTC3,2022-07-08,3.14,3.2,3.05,3.2,33800,142,0,132,274,0,0
24,PDTC3,2022-07-11,3.19,3.19,2.87,2.92,80800,197,0,207,404,0,0
25,PDTC3,2022-07-12,2.91,2.94,2.83,2.9,41000,148,0,138,286,0,0
26,PDTC3,2022-07-13,2.9,2.9,2.85,2.86,28800,96,0,103,199,0,0
27,PDTC3,2022-07-14,2.91,3.01,2.81,2.81,43500,135,0,154,289,0,0
28,PDTC3,2022-07-15,2.81,2.96,2.78,2.96,58200,179,0,161,340,0,0
29,PDTC3,2022-07-18,3.02,3.02,2.8,2.8,45800,127,0,164,291,0,0
30,PDTC3,2022-07-19,2.85,2.92,2.74,2.82,48900,154,0,160,314,0,0
31,PDTC3,2022-07-20,2.84,2.97,2.8,2.9,57900,186,0,154,340,0,0
32,PDTC3,2022-07-21,2.91,3.2,2.89,3.19,116300,274,0,171,445,0,0
33,PDTC3,2022-07-22,3.2,3.32,3.12,3.2,66200,164,0,188,352,0,0
34,PDTC3,2022-07-25,3.25,3.32,3.14,3.32,41300,144,7,153,304,0,0
35,PDTC3,2022-07-26,3.32,3.38,3.25,3.38,51300,163,0,164,327,0,0
36,PDTC3,2022-07-27,3.39,3.6,3.35,3.58,89900,261,11,152,424,0,0
37,PDTC3,2022-07-28,3.54,3.8,3.54,3.8,114700,285,10,178,473,0,0
38,PDTC3,2022-07-29,3.77,3.87,3.7,3.78,93700,190,1,177,368,0,0
39,PDTC3,2022-08-01,3.84,3.85,3.6,3.8,71000,197,0,202,399,0,0
40,PDTC3,2022-08-02,3.76,3.85,3.63,3.85,51600,163,14,177,354,0,0
41,PDTC3,2022-08-03,3.82,3.82,3.73,3.75,35200,129,0,164,293,0,0
42,PDTC3,2022-08-08,3.93,3.98,3.84,3.98,56800,163,1,176,340,0,0
43,PDTC3,2022-08-09,3.97,3.97,3.77,3.81,67200,116,0,199,315,0,0
44,PDTC3,2022-08-10,3.81,3.94,3.81,3.87,34800,143,13,129,285,0,0
45,PDTC3,2022-08-12,3.76,3.88,3.67,3.87,59900,196,1,188,385,0,0
46,PDTC3,2022-08-15,3.6,3.76,3.59,3.72,97700,230,25,209,464,0,0
47,PDTC3,2022-08-16,3.77,3.79,3.54,3.57,61200,145,12,171,328,0,0
48,PDTC3,2022-08-17,3.52,3.76,3.5,3.76,95400,205,16,166,387,0,0
49,PDTC3,2022-08-18,3.79,3.79,3.6,3.6,52400,150,11,168,329,0,0
50,PDTC3,2022-08-19,3.69,3.69,3.34,3.4,63400,152,6,182,340,0,0
51,PDTC3,2022-08-22,3.35,3.4,3.3,3.33,40600,123,8,159,290,0,0
52,PDTC3,2022-08-23,3.3,3.5,3.3,3.5,50000,186,8,145,339,0,0
53,PDTC3,2022-08-24,3.41,3.59,3.4,3.4,57100,216,0,178,394,0,0
54,PDTC3,2022-08-25,3.45,3.54,3.39,3.54,55600,194,0,158,352,0,0
55,PDTC3,2022-08-26,3.55,3.65,3.52,3.59,73000,222,9,165,396,0,0
56,PDTC3,2022-08-29,3.57,3.68,3.5,3.61,87600,218,0,200,418,0,0
57,PDTC3,2022-08-30,3.68,3.69,3.34,3.42,110600,277,0,291,568,0,0
58,PDTC3,2022-08-31,3.49,3.71,3.37,3.69,114800,342,0,283,625,0,0
59,PDTC3,2022-09-01,3.67,3.86,3.55,3.74,90600,207,0,234,441,0,0
60,PDTC3,2022-09-02,3.76,3.76,3.5,3.57,72400,183,0,225,408,0,0
61,PDTC3,2022-09-05,3.68,3.7,3.54,3.7,74500,233,0,205,438,0,0
62,PDTC3,2022-09-06,3.69,3.7,3.56,3.62,90600,196,8,216,420,0,0
63,PDTC3,2022-09-08,3.71,3.71,3.57,3.6,92900,200,0,225,425,0,0
64,PDTC3,2022-09-09,3.64,3.8,3.62,3.8,97100,256,9,153,418,0,0
65,PDTC3,2022-09-12,3.83,3.93,3.73,3.8,47800,155,0,142,297,0,0
66,PDTC3,2022-09-13,3.7,3.9,3.66,3.66,79600,181,0,206,387,0,0
67,PDTC3,2022-09-15,3.69,3.69,3.56,3.58,88100,249,0,230,479,0,0
68,PDTC3,2022-09-16,3.58,3.59,3.51,3.55,53800,153,1,179,333,0,0
69,PDTC3,2022-09-19,3.58,3.6,3.53,3.6,27900,111,0,132,243,0,0
70,PDTC3,2022-09-20,3.62,3.71,3.61,3.69,47700,132,11,108,251,0,0
71,PDTC3,2022-09-21,3.71,3.75,3.63,3.65,35800,125,0,159,284,0,0
72,PDTC3,2022-09-22,3.69,3.72,3.56,3.6,77300,194,0,231,425,0,0
73,PDTC3,2022-09-23,3.65,3.65,3.48,3.48,85800,135,0,187,322,0,0
74,PDTC3,2022-09-27,3.4,3.41,3.21,3.28,50800,124,0,200,324,0,0
75,PDTC3,2022-09-28,3.27,3.27,3.1,3.1,66600,150,1,174,325,0,0
76,PDTC3,2022-09-29,3.17,3.17,3.01,3.01,51500,155,6,165,326,0,0
77,PDTC3,2022-09-30,3.01,3.22,2.91,3.22,81200,203,0,195,398,0,0
