,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PEAB3,2022-06-14,57.59,58.5,57.0,57.0,500,4,0,1,5,0,0
1,PEAB3,2022-06-17,52.2,52.2,52.0,52.0,900,4,0,2,6,0,0
2,PEAB3,2022-06-20,52.0,52.0,52.0,52.0,200,2,0,0,2,0,0
3,PEAB3,2022-06-21,53.0,53.0,53.0,53.0,100,0,0,1,1,0,0
4,PEAB3,2022-06-22,50.13,50.13,50.13,50.13,100,0,0,1,1,0,0
5,PEAB3,2022-06-23,50.14,50.15,50.14,50.14,300,0,0,3,3,0,0
6,PEAB3,2022-06-24,50.2,50.2,50.2,50.2,100,0,0,1,1,0,0
7,PEAB3,2022-06-27,50.15,50.15,50.14,50.14,200,1,0,1,2,0,0
8,PEAB3,2022-06-28,50.2,50.2,50.2,50.2,100,0,1,0,1,0,0
9,PEAB3,2022-07-04,50.3,50.3,50.3,50.3,100,1,0,0,1,0,0
10,PEAB3,2022-07-05,50.3,50.3,50.3,50.3,100,1,0,0,1,0,0
11,PEAB3,2022-07-14,50.34,50.34,50.34,50.34,100,0,0,1,1,0,0
12,PEAB3,2022-07-18,51.0,51.0,51.0,51.0,100,1,0,0,1,0,0
13,PEAB3,2022-07-22,52.0,52.0,52.0,52.0,100,0,0,1,1,0,0
14,PEAB3,2022-07-26,52.0,52.0,52.0,52.0,400,0,1,0,1,0,0
15,PEAB3,2022-08-02,51.0,51.0,51.0,51.0,200,0,1,0,1,0,0
16,PEAB3,2022-08-03,55.0,55.0,55.0,55.0,100,1,0,0,1,0,0
17,PEAB3,2022-08-16,51.0,51.35,51.0,51.35,500,3,0,2,5,0,0
18,PEAB3,2022-08-17,55.5,55.5,55.0,55.0,200,2,0,0,2,0,0
19,PEAB3,2022-08-18,51.21,51.21,51.21,51.21,100,0,0,1,1,0,0
20,PEAB3,2022-08-19,54.79,54.79,53.99,53.99,200,2,0,0,2,0,0
21,PEAB3,2022-08-24,55.0,55.0,55.0,55.0,100,1,0,0,1,0,0
22,PEAB3,2022-08-31,56.0,56.0,56.0,56.0,200,1,0,0,1,0,0
23,PEAB3,2022-09-01,55.9,57.0,55.85,57.0,500,2,0,1,3,0,0
24,PEAB3,2022-09-08,57.5,57.5,57.5,57.5,200,2,0,0,2,0,0
25,PEAB3,2022-09-13,54.59,57.0,52.91,57.0,300,2,0,1,3,0,0
26,PEAB3,2022-09-21,57.0,57.0,57.0,57.0,200,0,0,2,2,0,0
27,PEAB3,2022-09-22,57.0,58.0,57.0,58.0,300,2,0,0,2,0,0
28,PEAB3,2022-09-23,59.0,59.2,59.0,59.0,300,0,0,3,3,0,0
29,PEAB3,2022-10-04,59.5,59.5,59.5,59.5,100,0,1,0,1,0,0
30,PEAB3,2022-10-06,56.1,59.0,56.1,59.0,300,3,0,0,3,0,0
31,PEAB3,2022-10-07,55.0,55.0,54.12,54.12,500,4,0,1,5,0,0
32,PEAB3,2022-10-10,56.4,56.4,56.4,56.4,300,3,0,0,3,0,0
33,PEAB3,2022-10-11,58.0,58.0,58.0,58.0,1000,2,0,0,2,0,0
34,PEAB3,2022-10-21,57.99,57.99,57.99,57.99,100,0,0,1,1,0,0
35,PEAB3,2022-10-24,57.99,57.99,57.99,57.99,100,1,0,0,1,0,0
36,PEAB3,2022-10-31,54.5,56.7,54.5,56.7,200,2,0,0,2,0,0
37,PEAB3,2022-11-01,56.7,56.7,56.7,56.7,200,1,0,1,2,0,0
38,PEAB3,2022-11-03,52.2,53.5,52.2,53.5,500,1,0,4,5,0,0
39,PEAB3,2022-11-04,53.0,53.0,52.5,52.5,800,5,0,2,7,0,0
40,PEAB3,2022-11-07,51.5,51.5,49.01,49.01,900,0,0,9,9,0,0
41,PEAB3,2022-11-08,49.02,49.02,49.02,49.02,300,0,0,2,2,0,0
42,PEAB3,2022-11-09,48.74,48.74,48.07,48.07,1000,0,0,7,7,0,0
43,PEAB3,2022-11-10,48.04,51.5,47.03,47.03,700,3,0,4,7,0,0
44,PEAB3,2022-12-01,44.57,44.57,44.57,44.57,200,0,1,1,2,0,0
45,PEAB3,2022-12-09,44.57,44.57,44.57,44.57,500,0,1,0,1,0,0
46,PEAB3,2022-12-12,42.2,42.2,42.2,42.2,100,1,0,0,1,0,0
47,PEAB3,2022-12-14,38.99,38.99,38.99,38.99,100,1,0,0,1,0,0
48,PEAB3,2022-12-16,42.9,42.9,42.9,42.9,200,0,0,2,2,0,0
49,PEAB3,2022-12-20,42.0,42.0,42.0,42.0,100,1,0,0,1,0,0
50,PEAB3,2022-12-29,50.5,50.5,50.5,50.5,100,0,0,1,1,0,0
51,PEAB3,2023-01-02,50.5,50.5,50.5,50.5,100,0,0,1,1,0,0
52,PEAB3,2023-01-03,43.0,43.0,43.0,43.0,100,0,1,0,1,0,0
53,PEAB3,2023-01-10,43.02,43.02,43.02,43.02,300,0,0,2,2,0,0
54,PEAB3,2023-01-19,40.9,40.9,40.0,40.0,700,2,1,0,3,0,0
55,PEAB3,2023-01-23,40.0,40.0,40.0,40.0,100,1,0,0,1,0,0
56,PEAB3,2023-01-24,40.0,40.0,40.0,40.0,500,2,0,0,2,0,0
57,PEAB3,2023-02-01,39.3,39.5,39.3,39.5,400,3,1,0,4,0,0
58,PEAB3,2023-02-02,38.13,38.13,38.13,38.13,100,1,0,0,1,0,0
59,PEAB3,2023-02-07,38.0,38.0,38.0,38.0,200,0,0,1,1,0,0
60,PEAB3,2023-02-10,38.0,38.0,38.0,38.0,300,0,0,1,1,0,0
61,PEAB3,2023-03-01,35.0,35.0,35.0,35.0,300,0,0,3,3,0,0
62,PEAB3,2023-03-06,35.0,35.0,35.0,35.0,100,0,0,1,1,0,0
63,PEAB3,2023-03-17,32.03,32.03,32.03,32.03,500,3,0,0,3,0,0
64,PEAB3,2023-03-21,32.0,32.0,31.65,31.65,400,2,0,1,3,0,0
65,PEAB3,2023-03-28,30.11,30.11,30.02,30.03,300,1,0,2,3,0,0
66,PEAB3,2023-04-04,30.04,30.04,30.04,30.04,100,0,1,0,1,0,0
67,PEAB3,2023-04-17,30.04,30.04,30.04,30.04,200,0,0,2,2,0,0
68,PEAB3,2023-04-18,30.04,30.04,30.04,30.04,100,0,0,1,1,0,0
69,PEAB3,2023-05-02,30.03,30.03,30.03,30.03,300,0,0,2,2,0,0
70,PEAB3,2023-05-04,30.03,30.03,30.03,30.03,100,0,0,1,1,0,0
71,PEAB3,2023-05-08,28.01,28.01,28.0,28.0,200,0,0,2,2,0,0
72,PEAB3,2023-05-10,28.35,28.4,28.35,28.4,200,0,0,2,2,0,0
73,PEAB3,2023-05-18,29.11,29.11,29.11,29.11,100,1,0,0,1,0,0
74,PEAB3,2023-05-19,32.0,32.0,32.0,32.0,100,0,1,0,1,0,0
75,PEAB3,2023-05-23,30.0,31.0,29.99,31.0,1500,7,0,5,12,0,0
76,PEAB3,2023-05-24,30.0,30.9,30.0,30.88,300,2,0,1,3,0,0
77,PEAB3,2023-05-29,31.9,31.9,31.9,31.9,100,0,0,1,1,0,0
78,PEAB3,2023-05-30,30.2,30.2,30.2,30.2,100,0,0,1,1,0,0
79,PEAB3,2023-06-01,31.9,31.9,31.9,31.9,100,1,0,0,1,0,0
80,PEAB3,2023-06-05,30.01,30.02,30.01,30.01,200,0,0,2,2,0,0
81,PEAB3,2023-06-07,32.0,33.5,32.0,33.5,500,4,0,1,5,0,0
