,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PETR3,2022-06-06,33.89,34.11,33.38,33.79,9285200,8929,179,9451,18558,1,0
1,PETR3,2022-06-07,33.55,34.63,33.55,33.72,10982800,11039,193,11432,22664,0,0
2,PETR3,2022-06-08,33.73,34.23,33.56,33.67,7258500,7965,141,7758,15863,1,0
3,PETR3,2022-06-09,33.74,33.88,33.22,33.4,11378500,10990,193,9784,20966,1,0
4,PETR3,2022-06-10,33.12,33.16,32.36,32.82,14670200,14312,139,11556,26007,0,0
5,PETR3,2022-06-13,32.45,32.79,31.71,32.45,21250400,16213,305,14213,30730,1,0
6,PETR3,2022-06-14,32.67,33.29,32.37,32.65,14530600,14609,131,13270,28010,0,0
7,PETR3,2022-06-15,33.1,33.18,31.95,32.2,20159500,21501,275,16912,38683,5,0
8,PETR3,2022-06-17,31.1,31.41,28.84,29.39,37348400,25948,590,23952,50489,1,0
9,PETR3,2022-06-20,28.79,30.68,28.57,30.17,10868300,13739,431,11647,25816,1,0
10,PETR3,2022-06-21,30.47,30.77,29.64,29.91,23224300,19512,233,18799,38544,0,0
11,PETR3,2022-06-22,29.36,30.32,29.04,29.68,13553800,10753,266,11291,22306,4,0
12,PETR3,2022-06-23,29.77,30.2,28.8,28.96,14734000,11705,188,9795,21687,1,0
13,PETR3,2022-06-24,29.51,29.67,28.8,28.93,15527600,10632,198,13245,24074,1,0
14,PETR3,2022-06-27,29.3,31.04,29.2,30.99,17707400,15702,282,12937,28921,0,0
15,PETR3,2022-06-28,31.69,31.85,31.09,31.45,12443600,14443,301,12753,27497,0,0
16,PETR3,2022-06-29,31.46,31.9,30.73,30.9,10631700,8307,217,12203,20725,2,0
17,PETR3,2022-06-30,30.36,30.75,30.11,30.51,19935200,20142,297,20529,40967,1,0
18,PETR3,2022-07-01,30.65,31.41,30.0,31.28,13968700,16463,288,11911,28661,1,0
19,PETR3,2022-07-04,31.22,32.13,31.12,31.88,5781000,8263,189,7598,16050,0,0
20,PETR3,2022-07-05,31.45,31.5,29.84,30.45,17539000,19496,295,19263,39053,1,0
21,PETR3,2022-07-06,30.76,30.82,29.28,30.16,11767100,10963,257,12692,23911,1,0
22,PETR3,2022-07-07,30.73,31.21,30.61,30.92,10338500,9249,251,11222,20721,1,0
23,PETR3,2022-07-08,31.13,31.59,30.96,31.22,4878800,5437,143,4867,10447,0,0
24,PETR3,2022-07-11,30.96,31.3,30.62,31.07,10408500,8562,178,11683,20423,0,0
25,PETR3,2022-07-12,30.98,30.99,30.37,30.56,9506400,11829,148,8665,20641,1,0
26,PETR3,2022-07-13,30.56,31.01,30.32,30.61,8369200,8451,162,9012,17625,0,0
27,PETR3,2022-07-14,30.25,30.35,29.56,29.58,11563000,8888,197,9073,18157,1,0
28,PETR3,2022-07-15,30.0,30.44,29.73,30.2,5827800,5702,143,6145,11989,1,0
29,PETR3,2022-07-18,30.8,31.4,30.72,31.26,13368200,8240,227,10584,19050,1,0
30,PETR3,2022-07-19,31.32,31.81,31.04,31.7,11651400,10060,118,10986,21164,0,0
31,PETR3,2022-07-20,31.46,31.94,31.44,31.94,16825300,8561,241,15984,24785,1,0
32,PETR3,2022-07-21,31.82,31.89,30.6,31.48,17144600,10568,224,13076,23862,6,0
33,PETR3,2022-07-22,31.55,32.11,31.45,32.01,11108300,10665,159,7265,18088,1,0
34,PETR3,2022-07-25,32.55,33.41,32.34,33.38,14075100,20219,248,13567,34033,1,0
35,PETR3,2022-07-26,33.48,34.21,33.37,33.72,10807900,10241,205,11380,21826,0,0
36,PETR3,2022-07-27,34.0,34.09,33.2,34.09,11672500,9246,259,7618,17123,0,0
37,PETR3,2022-07-28,34.22,35.29,33.92,35.25,19301100,16879,372,18695,35818,128,0
38,PETR3,2022-07-29,36.07,37.38,35.45,36.92,49607100,30270,472,32829,63555,16,0
39,PETR3,2022-08-01,36.94,36.96,36.1,36.2,21493500,24968,319,20159,45444,2,0
40,PETR3,2022-08-02,36.49,37.21,36.32,36.52,14991800,12942,268,14902,28107,5,0
41,PETR3,2022-08-03,36.83,37.01,36.23,36.23,12927700,11241,227,10907,22373,2,0
42,PETR3,2022-08-08,37.62,39.59,37.62,39.42,24523600,23119,189,26939,50247,0,0
43,PETR3,2022-08-09,39.74,40.1,39.44,40.08,16911500,12565,201,16857,29619,4,0
44,PETR3,2022-08-10,40.25,40.25,39.27,39.74,15755100,14420,234,12540,27189,5,0
45,PETR3,2022-08-12,31.94,34.9,31.36,34.75,52964400,27404,588,36836,64822,6,0
46,PETR3,2022-08-15,33.89,35.27,33.42,34.63,29426900,23962,370,19164,43486,10,0
47,PETR3,2022-08-16,34.81,35.39,34.69,35.34,12902900,10249,297,10045,20589,2,0
48,PETR3,2022-08-17,34.95,36.38,34.82,36.2,19005700,19819,245,16596,36659,1,0
49,PETR3,2022-08-18,36.6,37.23,36.47,36.78,14964500,29635,132,10518,40284,1,0
50,PETR3,2022-08-19,36.3,36.55,35.07,35.35,21653900,15178,179,12503,27858,2,0
51,PETR3,2022-08-22,35.07,36.11,34.16,35.9,19298900,15392,273,20836,36501,0,0
52,PETR3,2022-08-23,36.0,37.39,35.89,37.29,19895400,14396,221,20805,35419,3,0
53,PETR3,2022-08-24,37.42,37.93,36.8,37.49,16000500,8971,218,13339,22523,5,0
54,PETR3,2022-08-25,37.87,38.3,36.31,36.94,19357900,11869,195,23014,35077,1,0
55,PETR3,2022-08-26,37.21,37.5,36.37,37.38,12463200,11207,170,12790,24166,1,0
56,PETR3,2022-08-29,37.62,38.76,37.51,38.3,21428300,14409,192,12185,26784,2,0
57,PETR3,2022-08-30,37.7,37.82,35.95,36.05,22463400,14792,366,14645,29796,7,0
58,PETR3,2022-08-31,36.0,37.46,35.44,37.23,36015200,15377,378,20107,35858,4,0
59,PETR3,2022-09-01,37.4,37.9,36.65,37.89,26204000,15304,269,18431,34001,3,0
60,PETR3,2022-09-02,38.35,38.71,37.17,37.31,21607500,12542,323,11135,23998,2,0
61,PETR3,2022-09-05,37.8,37.96,37.07,37.26,12457600,5799,315,7505,13618,1,0
62,PETR3,2022-09-06,36.16,36.47,35.34,35.85,28334900,22613,370,19415,42397,1,0
63,PETR3,2022-09-08,36.12,36.54,35.21,35.6,14310900,11313,263,14237,25811,2,0
64,PETR3,2022-09-09,36.22,36.45,35.45,35.45,9017600,7595,248,8816,16659,0,0
65,PETR3,2022-09-12,35.9,36.5,35.27,35.43,15413700,8864,244,9723,18829,2,0
66,PETR3,2022-09-13,34.73,35.31,34.09,34.28,25361200,17978,282,15617,33875,2,0
67,PETR3,2022-09-15,34.36,34.88,34.35,34.67,9164700,9589,180,7734,17502,1,0
68,PETR3,2022-09-16,34.17,34.58,34.0,34.45,34954800,37897,257,20322,58474,2,0
69,PETR3,2022-09-19,33.82,35.21,33.82,35.2,24596800,17309,333,18753,36395,0,0
70,PETR3,2022-09-20,35.19,35.38,34.55,34.76,21181600,11708,185,13127,25016,4,0
71,PETR3,2022-09-21,35.05,35.28,34.47,34.72,16168700,12672,243,13032,25945,2,0
72,PETR3,2022-09-22,35.11,35.56,34.75,35.4,27515600,16685,214,15709,32598,10,0
73,PETR3,2022-09-23,34.71,34.81,32.74,32.99,48903800,26553,384,24675,51595,17,0
74,PETR3,2022-09-27,33.29,33.36,32.7,32.91,17568400,16968,259,12965,30192,0,0
75,PETR3,2022-09-28,32.87,33.0,31.89,32.6,17515100,13486,233,14619,28337,1,0
76,PETR3,2022-09-29,32.31,32.88,32.05,32.85,24350900,14998,280,14224,29495,7,0
77,PETR3,2022-09-30,32.51,33.7,32.4,33.32,28412400,16210,260,22590,39058,2,0
78,PETR3,2022-10-03,35.36,36.2,35.22,35.97,46548300,45851,386,27364,73595,6,0
79,PETR3,2022-10-04,36.8,36.82,35.15,35.3,26112400,18906,191,26819,45915,1,0
80,PETR3,2022-10-05,35.5,36.79,35.3,36.77,24446100,19164,215,35437,54815,1,0
81,PETR3,2022-10-06,36.98,37.73,36.6,37.54,23327000,18060,274,21732,40035,31,0
82,PETR3,2022-10-07,37.53,38.41,37.19,37.65,18217500,10653,201,27259,38111,2,0
83,PETR3,2022-10-10,37.6,37.81,36.88,37.11,12316500,10601,122,11962,22683,2,0
