,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PETZ3,2022-06-06,12.65,12.7,11.78,11.97,7733600,5434,131,6730,12294,1,0
1,PETZ3,2022-06-07,11.84,11.89,11.46,11.72,6528400,7611,166,9575,17352,0,0
2,PETZ3,2022-06-08,11.72,11.95,11.55,11.67,3986000,4701,129,5316,10145,1,0
3,PETZ3,2022-06-09,11.69,12.05,11.57,11.9,6439800,7927,115,6195,14237,0,0
4,PETZ3,2022-06-10,11.72,11.89,11.06,11.25,9785500,10244,166,12966,23373,3,0
5,PETZ3,2022-06-13,10.84,10.86,9.99,10.04,15841800,16948,292,10939,28175,4,0
6,PETZ3,2022-06-14,10.18,10.23,9.75,10.14,11693000,9761,1029,11902,21793,899,0
7,PETZ3,2022-06-15,10.32,11.04,10.27,10.63,17409800,14683,199,14420,29296,6,0
8,PETZ3,2022-06-17,10.15,10.63,9.86,10.48,12115500,12707,240,9851,22794,4,0
9,PETZ3,2022-06-20,10.42,10.69,10.13,10.54,5065400,5746,129,5311,11186,0,0
10,PETZ3,2022-06-21,10.65,10.99,10.39,10.55,11117700,11975,192,16788,28925,30,0
11,PETZ3,2022-06-22,10.22,10.9,10.22,10.74,6980100,10444,168,8997,19609,0,0
12,PETZ3,2022-06-23,10.8,11.43,10.67,11.43,8158700,10134,150,9125,19407,2,0
13,PETZ3,2022-06-24,11.37,11.39,10.56,10.76,10011700,11114,203,10945,22259,3,0
14,PETZ3,2022-06-27,10.93,11.05,10.58,10.72,5116400,5896,196,5992,12079,5,0
15,PETZ3,2022-06-28,10.77,10.83,10.31,10.54,6702500,10340,101,8492,18932,1,0
16,PETZ3,2022-06-29,10.63,10.68,10.26,10.28,4612500,6073,131,7786,13988,2,0
17,PETZ3,2022-06-30,10.21,10.33,9.82,9.93,12101900,13036,228,11115,24379,0,0
18,PETZ3,2022-07-01,9.98,10.01,9.47,9.81,10585700,13913,178,12693,26779,5,0
19,PETZ3,2022-07-04,9.78,10.08,9.57,9.6,4764700,4761,127,6898,11785,1,0
20,PETZ3,2022-07-05,9.57,10.52,9.42,10.45,15210300,12377,279,13171,25825,2,0
