,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PGMN3,2022-06-06,6.34,6.35,6.13,6.27,965600,1719,37,2397,4152,1,0
1,PGMN3,2022-06-07,6.27,6.27,6.07,6.1,727700,859,20,1536,2415,0,0
2,PGMN3,2022-06-08,6.09,6.09,5.86,5.92,959100,1160,33,1414,2607,0,0
3,PGMN3,2022-06-09,5.88,5.91,5.75,5.82,597100,1103,35,1766,2904,0,0
4,PGMN3,2022-06-10,5.78,5.78,5.55,5.64,815000,1279,30,2125,3434,0,0
5,PGMN3,2022-06-13,5.5,5.57,5.18,5.22,899000,1532,45,2809,4385,1,0
6,PGMN3,2022-06-14,5.19,5.21,4.85,4.88,1204600,1668,54,2130,3851,1,0
7,PGMN3,2022-06-15,4.99,5.06,4.72,4.81,1704200,2689,48,3968,6705,0,0
8,PGMN3,2022-06-17,4.66,4.81,4.59,4.73,961900,1824,43,2460,4326,1,0
9,PGMN3,2022-06-20,4.74,4.86,4.65,4.75,476500,1097,37,1068,2202,0,0
10,PGMN3,2022-06-21,4.75,4.92,4.62,4.63,498700,989,33,1252,2272,2,0
11,PGMN3,2022-06-22,4.61,4.84,4.53,4.71,384400,1252,27,943,2222,0,0
12,PGMN3,2022-06-23,4.81,4.86,4.72,4.72,702900,1759,23,1375,3156,1,0
13,PGMN3,2022-06-24,4.82,4.82,4.65,4.66,1086900,1601,30,2011,3642,0,0
14,PGMN3,2022-06-27,4.69,4.79,4.61,4.61,412700,754,25,1224,2003,0,0
15,PGMN3,2022-06-28,4.65,4.73,4.44,4.49,610100,1127,37,1698,2862,0,0
16,PGMN3,2022-06-29,4.49,4.49,4.3,4.4,685700,961,52,1490,2502,1,0
17,PGMN3,2022-06-30,4.39,4.51,4.23,4.33,1666000,1697,52,2033,3782,0,0
18,PGMN3,2022-07-01,4.34,4.4,4.14,4.22,1374700,1869,41,2831,4741,0,0
19,PGMN3,2022-07-04,4.2,4.28,4.06,4.07,614100,1427,38,878,2343,0,0
20,PGMN3,2022-07-05,4.07,4.2,3.97,4.15,3111500,1726,53,1983,3761,1,0
21,PGMN3,2022-07-06,4.22,4.96,4.19,4.88,2917200,4306,70,2621,6995,2,0
22,PGMN3,2022-07-07,4.9,4.95,4.62,4.88,1332800,2386,40,1354,3780,0,0
23,PGMN3,2022-07-08,4.87,4.9,4.6,4.64,1646000,1123,41,1449,2612,1,0
24,PGMN3,2022-07-11,4.59,4.68,4.51,4.59,494300,1113,29,1254,2395,1,0
25,PGMN3,2022-07-12,4.65,4.66,4.52,4.55,484800,1063,24,1376,2463,0,0
26,PGMN3,2022-07-13,4.61,4.71,4.51,4.53,564200,1920,24,972,2916,0,0
27,PGMN3,2022-07-14,4.5,4.53,4.24,4.31,1153500,1116,35,1734,2885,0,0
28,PGMN3,2022-07-15,4.35,4.41,4.17,4.25,697900,1142,92,1385,2619,0,0
29,PGMN3,2022-07-18,4.27,4.32,4.15,4.16,562900,1018,34,1726,2777,1,0
30,PGMN3,2022-07-19,4.22,4.22,4.05,4.1,521600,1033,26,1322,2381,0,0
31,PGMN3,2022-07-20,4.1,4.32,4.08,4.31,521100,1472,25,881,2378,0,0
32,PGMN3,2022-07-21,4.33,4.5,4.26,4.43,706700,1942,41,1299,3281,1,0
33,PGMN3,2022-07-22,4.48,4.54,4.33,4.35,754100,1141,43,2185,3368,1,0
34,PGMN3,2022-07-25,4.52,4.55,4.32,4.37,590100,2400,32,1062,3494,0,0
35,PGMN3,2022-07-26,4.44,4.44,4.13,4.15,427800,821,37,872,1730,0,0
36,PGMN3,2022-07-27,4.17,4.38,4.1,4.36,810600,1167,947,1120,2338,896,0
37,PGMN3,2022-07-28,4.4,4.52,4.25,4.4,1145700,2494,468,1826,4388,400,0
38,PGMN3,2022-07-29,4.44,4.5,4.33,4.48,515800,1924,38,689,2650,1,0
39,PGMN3,2022-08-01,4.49,4.62,4.42,4.48,1077400,2675,44,1221,3940,0,0
40,PGMN3,2022-08-02,4.53,4.81,4.44,4.69,1714300,2446,27,1661,4132,2,0
41,PGMN3,2022-08-03,4.76,4.96,4.71,4.9,980000,2395,528,1773,4196,500,0
42,PGMN3,2022-08-08,5.14,5.34,5.1,5.18,1254700,3115,35,3716,6866,0,0
43,PGMN3,2022-08-09,5.22,5.32,5.12,5.19,2369900,3844,43,2575,6460,2,0
44,PGMN3,2022-08-10,5.16,5.34,5.16,5.21,3943400,4340,241,3115,7494,202,0
45,PGMN3,2022-08-12,5.25,5.25,5.09,5.25,5244900,2529,52,2081,4658,4,0
46,PGMN3,2022-08-15,5.2,5.44,5.01,5.3,3206600,5261,62,4242,9563,2,0
47,PGMN3,2022-08-16,5.38,5.43,5.2,5.27,1501600,2776,53,1848,4677,0,0
48,PGMN3,2022-08-17,5.21,5.43,5.13,5.22,1707200,2378,38,2595,5010,1,0
49,PGMN3,2022-08-18,5.27,5.4,5.06,5.11,1789100,1952,29,2709,4689,1,0
50,PGMN3,2022-08-19,5.12,5.12,4.8,4.9,2095900,2071,33,2515,4618,1,0
51,PGMN3,2022-08-22,4.88,4.99,4.8,4.93,890600,3029,24,1525,4577,1,0
52,PGMN3,2022-08-23,4.92,5.19,4.9,5.17,2705600,1864,39,1098,3000,1,0
53,PGMN3,2022-08-24,5.16,5.29,5.12,5.26,1544200,2685,236,1889,4610,200,0
54,PGMN3,2022-08-25,5.32,5.57,5.27,5.52,1922100,4545,26,1848,6419,0,0
55,PGMN3,2022-08-26,5.54,5.54,5.34,5.41,1082200,3896,39,1523,5458,0,0
56,PGMN3,2022-08-29,5.42,5.49,5.31,5.42,823100,2130,1043,1388,3560,1001,0
57,PGMN3,2022-08-30,5.44,5.45,5.07,5.15,1080800,1621,50,1389,3060,0,0
58,PGMN3,2022-08-31,5.15,5.2,5.02,5.06,868000,1383,488,1250,2671,450,0
59,PGMN3,2022-09-01,5.11,5.32,5.06,5.32,1234500,4581,19,1746,6346,0,0
