,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PINE4,2022-06-06,1.31,1.31,1.24,1.25,148100,50,0,71,121,0,0
1,PINE4,2022-06-07,1.25,1.27,1.23,1.23,101900,31,0,73,104,0,0
2,PINE4,2022-06-08,1.24,1.29,1.2,1.2,240400,95,0,112,207,0,0
3,PINE4,2022-06-09,1.2,1.24,1.16,1.22,428200,135,0,249,384,0,0
4,PINE4,2022-06-10,1.2,1.2,1.18,1.19,153200,56,0,149,205,0,0
5,PINE4,2022-06-13,1.19,1.19,1.15,1.15,126700,35,2,100,137,0,0
6,PINE4,2022-06-14,1.16,1.17,0.99,1.07,695900,198,5,277,480,0,0
7,PINE4,2022-06-15,1.06,1.1,1.04,1.05,129000,65,0,121,186,0,0
8,PINE4,2022-06-17,1.05,1.07,1.01,1.06,111900,70,2,70,142,0,0
9,PINE4,2022-06-20,1.05,1.14,1.03,1.06,162900,120,0,111,231,0,0
10,PINE4,2022-06-21,1.06,1.1,1.06,1.08,86900,38,2,100,140,0,0
11,PINE4,2022-06-22,1.06,1.08,1.06,1.06,43900,28,1,43,72,0,0
12,PINE4,2022-06-23,1.07,1.1,1.05,1.05,157400,33,1,67,100,1,0
13,PINE4,2022-06-24,1.06,1.07,1.03,1.05,104300,39,0,89,128,0,0
14,PINE4,2022-06-27,1.03,1.07,1.03,1.06,81400,26,0,63,89,0,0
15,PINE4,2022-06-28,1.06,1.06,1.01,1.03,172500,53,1,92,146,0,0
16,PINE4,2022-06-29,1.04,1.04,0.96,1.01,247100,76,1,122,199,0,0
17,PINE4,2022-06-30,1.0,1.01,0.97,1.0,121500,54,0,79,133,0,0
18,PINE4,2022-07-01,1.01,1.01,0.98,0.99,58800,37,0,37,74,0,0
19,PINE4,2022-07-04,0.99,1.02,0.99,1.0,134200,29,1,42,72,0,0
20,PINE4,2022-07-05,1.01,1.01,0.97,0.98,229000,53,0,42,95,0,0
21,PINE4,2022-07-06,1.01,1.02,0.99,1.01,95300,34,0,44,78,0,0
22,PINE4,2022-07-07,1.02,1.06,1.02,1.04,139800,73,1,60,134,0,0
23,PINE4,2022-07-08,1.05,1.06,1.01,1.01,134900,47,4,59,110,0,0
24,PINE4,2022-07-11,1.01,1.02,0.98,1.0,141700,28,0,83,111,0,0
25,PINE4,2022-07-12,1.0,1.01,0.98,1.01,134200,45,0,41,86,0,0
26,PINE4,2022-07-13,1.01,1.04,0.99,1.02,67700,37,2,37,76,0,0
27,PINE4,2022-07-14,1.03,1.03,0.97,1.0,306100,56,0,131,187,0,0
28,PINE4,2022-07-15,0.99,1.01,0.98,0.99,141400,32,1,55,88,0,0
29,PINE4,2022-07-18,1.0,1.01,0.99,1.0,92000,39,0,36,75,0,0
30,PINE4,2022-07-19,1.01,1.02,0.99,1.01,70500,48,3,28,79,0,0
31,PINE4,2022-07-20,1.01,1.06,1.0,1.04,192200,92,0,56,148,0,0
32,PINE4,2022-07-21,1.05,1.09,1.05,1.09,153400,88,0,74,162,0,0
33,PINE4,2022-07-22,1.09,1.14,1.09,1.13,198200,62,0,72,134,0,0
34,PINE4,2022-07-25,1.11,1.21,1.11,1.21,286500,121,0,62,183,0,0
35,PINE4,2022-07-26,1.17,1.18,1.11,1.12,99900,50,0,103,153,0,0
36,PINE4,2022-07-27,1.13,1.13,1.07,1.12,99400,52,0,50,102,0,0
37,PINE4,2022-07-28,1.1,1.13,1.1,1.11,33200,26,0,32,58,0,0
38,PINE4,2022-07-29,1.11,1.18,1.1,1.12,101100,53,0,73,126,0,0
39,PINE4,2022-08-01,1.11,1.14,1.04,1.07,320800,128,0,173,301,0,0
40,PINE4,2022-08-02,1.06,1.06,1.01,1.03,561200,366,0,130,496,0,0
41,PINE4,2022-08-03,1.03,1.04,1.01,1.04,170200,73,0,65,138,0,0
42,PINE4,2022-08-08,1.16,1.19,1.11,1.14,296700,182,3,133,318,0,0
43,PINE4,2022-08-09,1.18,1.19,1.14,1.14,143800,60,6,70,136,0,0
44,PINE4,2022-08-10,1.17,1.2,1.15,1.19,192700,95,0,43,138,0,0
45,PINE4,2022-08-12,1.22,1.32,1.22,1.32,748700,1618,5,148,1771,0,0
