,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PLAS3,2022-06-06,7.63,7.63,7.62,7.62,400,3,0,0,3,0,0
1,PLAS3,2022-06-07,7.98,8.01,7.52,7.99,900,5,0,1,6,0,0
2,PLAS3,2022-06-09,7.51,7.77,7.51,7.77,1200,1,0,3,4,0,0
3,PLAS3,2022-06-23,7.59,7.59,7.59,7.59,200,1,1,0,2,0,0
4,PLAS3,2022-06-29,6.34,7.58,6.34,7.58,500,0,1,4,5,0,0
5,PLAS3,2022-07-01,7.5,7.5,7.5,7.5,2300,0,1,0,1,0,0
6,PLAS3,2022-07-08,7.0,7.0,7.0,7.0,1200,3,0,0,3,0,0
7,PLAS3,2022-07-12,7.0,7.0,7.0,7.0,400,1,0,0,1,0,0
8,PLAS3,2022-07-19,6.18,6.32,6.18,6.32,500,0,0,5,5,0,0
9,PLAS3,2022-07-20,6.0,6.5,6.0,6.5,1700,3,0,6,9,0,0
10,PLAS3,2022-07-21,6.5,6.5,6.5,6.5,200,1,0,0,1,0,0
11,PLAS3,2022-07-22,6.45,6.45,6.35,6.37,300,3,0,0,3,0,0
12,PLAS3,2022-07-26,6.01,6.55,6.01,6.55,1300,5,0,4,9,0,0
13,PLAS3,2022-07-27,6.55,7.0,6.55,7.0,300,2,1,0,3,0,0
14,PLAS3,2022-07-28,7.3,7.31,6.25,6.78,5000,18,0,14,32,0,0
15,PLAS3,2022-07-29,6.7,6.7,6.7,6.7,400,2,0,0,2,0,0
16,PLAS3,2022-08-08,6.98,6.98,6.98,6.98,100,1,0,0,1,0,0
17,PLAS3,2022-08-09,6.6,6.66,6.6,6.66,1200,0,0,2,2,0,0
18,PLAS3,2022-08-10,6.61,7.51,6.61,7.51,2700,3,0,5,8,0,0
19,PLAS3,2022-08-12,8.0,8.1,8.0,8.1,400,2,0,1,3,0,0
20,PLAS3,2022-08-16,8.0,8.0,7.76,8.0,800,2,0,0,2,0,0
21,PLAS3,2022-08-17,8.5,8.97,8.5,8.5,800,4,0,2,6,0,0
22,PLAS3,2022-08-18,8.5,8.5,8.5,8.5,100,0,0,1,1,0,0
23,PLAS3,2022-08-19,8.5,9.0,8.5,9.0,1400,3,0,3,6,0,0
24,PLAS3,2022-08-22,9.0,9.28,9.0,9.28,300,1,0,2,3,0,0
25,PLAS3,2022-08-23,9.28,9.78,9.28,9.78,3600,3,0,2,5,0,0
26,PLAS3,2022-08-24,10.5,12.0,10.2,12.0,7400,11,2,9,22,0,0
27,PLAS3,2022-08-25,12.49,12.5,10.0,11.13,7500,24,3,34,61,0,0
28,PLAS3,2022-08-26,11.0,11.0,9.22,9.49,5500,12,0,33,45,0,0
