,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PLPL3,2022-06-06,2.57,2.61,2.47,2.49,610500,249,17,902,1168,0,0
1,PLPL3,2022-06-07,2.51,2.54,2.39,2.49,825200,1082,18,1488,2588,0,0
2,PLPL3,2022-06-08,2.47,2.53,2.41,2.43,563100,648,11,977,1636,0,0
3,PLPL3,2022-06-09,2.43,2.45,2.35,2.37,922000,373,18,2085,2476,0,0
4,PLPL3,2022-06-10,2.36,2.39,2.29,2.37,868900,886,13,2234,3133,0,0
5,PLPL3,2022-06-13,2.33,2.36,2.2,2.27,758300,1055,30,568,1652,1,0
6,PLPL3,2022-06-14,2.24,2.29,2.15,2.17,790800,918,20,813,1750,1,0
7,PLPL3,2022-06-15,2.19,2.3,2.18,2.24,822600,1281,34,631,1946,0,0
8,PLPL3,2022-06-17,2.26,2.27,2.1,2.16,639600,533,47,1373,1953,0,0
9,PLPL3,2022-06-20,2.14,2.2,2.09,2.16,389700,146,18,370,534,0,0
10,PLPL3,2022-06-21,2.17,2.21,2.11,2.16,302600,300,0,362,662,0,0
11,PLPL3,2022-06-22,2.14,2.26,2.08,2.15,465400,338,15,362,715,0,0
12,PLPL3,2022-06-23,2.17,2.22,2.12,2.21,339100,584,30,1028,1642,0,0
13,PLPL3,2022-06-24,2.2,2.25,2.15,2.15,528000,290,27,514,831,0,0
14,PLPL3,2022-06-27,2.17,2.2,2.11,2.12,522800,308,10,1067,1385,0,0
15,PLPL3,2022-06-28,2.15,2.17,2.01,2.04,1589500,1143,0,2527,3670,0,0
16,PLPL3,2022-06-29,2.03,2.03,1.94,1.95,932300,318,48,654,1020,0,0
17,PLPL3,2022-06-30,1.96,1.98,1.9,1.93,1030300,484,0,758,1242,0,0
18,PLPL3,2022-07-01,1.94,2.04,1.91,1.95,1380400,2109,9,1214,3332,0,0
19,PLPL3,2022-07-04,1.96,1.98,1.9,1.93,777300,354,13,563,930,0,0
20,PLPL3,2022-07-05,1.91,2.0,1.86,1.95,1289200,787,14,977,1778,0,0
21,PLPL3,2022-07-06,2.0,2.06,1.97,2.02,830200,679,15,773,1467,0,0
22,PLPL3,2022-07-07,2.06,2.17,2.06,2.15,811800,575,24,507,1106,0,0
23,PLPL3,2022-07-08,2.18,2.36,2.16,2.35,914100,811,47,778,1636,0,0
24,PLPL3,2022-07-11,2.33,2.4,2.25,2.26,651700,682,43,564,1289,0,0
25,PLPL3,2022-07-12,2.25,2.46,2.21,2.36,602300,730,19,388,1137,0,0
26,PLPL3,2022-07-13,2.39,2.48,2.3,2.46,595100,400,24,294,718,0,0
27,PLPL3,2022-07-14,2.48,2.48,2.33,2.34,660500,561,31,1863,2455,0,0
28,PLPL3,2022-07-15,2.41,2.41,2.3,2.35,345000,391,42,748,1181,0,0
29,PLPL3,2022-07-18,2.32,2.42,2.15,2.19,472700,281,0,507,788,0,0
30,PLPL3,2022-07-19,2.2,2.33,2.18,2.27,637800,728,25,538,1291,0,0
31,PLPL3,2022-07-20,2.21,2.43,2.21,2.41,416600,534,26,243,803,0,0
32,PLPL3,2022-07-21,2.4,2.48,2.37,2.48,257700,410,14,239,663,0,0
33,PLPL3,2022-07-22,2.46,2.58,2.43,2.49,393900,384,22,458,864,0,0
34,PLPL3,2022-07-25,2.46,2.5,2.32,2.35,529300,356,46,593,995,0,0
35,PLPL3,2022-07-26,2.38,2.39,2.27,2.29,507800,262,21,440,723,0,0
36,PLPL3,2022-07-27,2.34,2.38,2.29,2.38,453800,492,22,285,799,0,0
37,PLPL3,2022-07-28,2.38,2.5,2.38,2.48,267000,364,24,223,611,0,0
38,PLPL3,2022-07-29,2.49,2.5,2.41,2.41,352900,382,14,673,1069,0,0
39,PLPL3,2022-08-01,2.41,2.49,2.37,2.45,342600,504,14,348,865,1,0
40,PLPL3,2022-08-02,2.46,2.5,2.41,2.47,284500,383,15,333,731,0,0
41,PLPL3,2022-08-03,2.46,2.59,2.46,2.56,680600,497,24,451,972,0,0
42,PLPL3,2022-08-08,2.89,3.02,2.86,2.89,931400,969,26,528,1523,0,0
43,PLPL3,2022-08-09,2.93,2.98,2.67,2.67,861900,460,66,750,1276,0,0
44,PLPL3,2022-08-10,2.82,2.93,2.8,2.83,955400,905,21,612,1538,0,0
45,PLPL3,2022-08-12,2.95,2.97,2.72,2.83,923700,830,17,1019,1866,0,0
46,PLPL3,2022-08-15,2.77,2.93,2.69,2.91,637200,903,20,625,1548,0,0
47,PLPL3,2022-08-16,2.89,2.96,2.79,2.82,489400,635,6,563,1204,0,0
48,PLPL3,2022-08-17,2.85,3.04,2.81,3.0,984700,729,12,780,1521,0,0
49,PLPL3,2022-08-18,3.1,3.15,2.89,2.98,795000,430,36,758,1224,0,0
50,PLPL3,2022-08-19,2.98,2.98,2.82,2.91,575700,456,16,492,964,0,0
51,PLPL3,2022-08-22,2.91,2.91,2.72,2.85,515300,387,0,482,869,0,0
52,PLPL3,2022-08-23,2.9,2.91,2.82,2.83,541400,346,17,470,833,0,0
53,PLPL3,2022-08-24,2.83,2.95,2.83,2.9,625400,313,14,592,919,0,0
54,PLPL3,2022-08-25,2.92,2.98,2.84,2.88,405300,137,22,206,365,0,0
55,PLPL3,2022-08-26,2.86,2.94,2.81,2.88,438200,304,10,380,694,0,0
56,PLPL3,2022-08-29,2.88,3.05,2.87,3.0,472700,508,18,395,921,0,0
57,PLPL3,2022-08-30,3.04,3.08,2.89,2.95,497200,266,11,270,547,0,0
58,PLPL3,2022-08-31,2.96,2.96,2.83,2.86,476900,210,15,628,853,0,0
59,PLPL3,2022-09-01,2.9,2.97,2.78,2.85,1145400,876,0,941,1817,0,0
60,PLPL3,2022-09-02,2.84,2.95,2.73,2.8,2944400,843,73,1425,2341,0,0
61,PLPL3,2022-09-05,2.73,2.9,2.73,2.85,553900,525,0,354,879,0,0
62,PLPL3,2022-09-06,2.79,2.84,2.71,2.76,691300,351,0,639,990,0,0
63,PLPL3,2022-09-08,2.8,2.88,2.72,2.75,676400,581,46,1006,1633,0,0
64,PLPL3,2022-09-09,2.78,3.0,2.77,2.96,1479700,1239,46,2176,3461,0,0
65,PLPL3,2022-09-12,2.96,3.27,2.96,3.25,2384900,1092,1,1039,2131,1,0
66,PLPL3,2022-09-13,3.17,3.23,3.07,3.2,596500,826,0,388,1214,0,0
67,PLPL3,2022-09-15,3.43,3.48,3.27,3.46,1041000,493,15,894,1402,0,0
68,PLPL3,2022-09-16,3.35,3.54,3.35,3.49,682000,492,22,654,1168,0,0
69,PLPL3,2022-09-19,3.4,3.55,3.4,3.5,988800,466,0,898,1364,0,0
70,PLPL3,2022-09-20,3.5,3.71,3.45,3.63,2182000,850,33,1006,1889,0,0
71,PLPL3,2022-09-21,3.67,4.0,3.57,3.86,2673900,1668,33,1272,2973,0,0
72,PLPL3,2022-09-22,3.94,4.03,3.82,3.96,1029500,966,50,1054,2070,0,0
73,PLPL3,2022-09-23,3.95,4.23,3.83,4.18,1032200,935,45,649,1629,0,0
74,PLPL3,2022-09-27,4.02,4.12,3.81,3.9,1004800,679,32,1277,1988,0,0
75,PLPL3,2022-09-28,3.81,4.08,3.71,3.95,667400,540,25,606,1171,0,0
76,PLPL3,2022-09-29,3.95,3.98,3.83,3.88,806000,1129,15,885,2029,0,0
77,PLPL3,2022-09-30,3.93,4.14,3.87,4.01,902800,989,21,672,1682,0,0
78,PLPL3,2022-10-03,4.09,4.42,4.09,4.27,1210800,932,28,1214,2174,0,0
79,PLPL3,2022-10-04,4.34,4.45,4.2,4.2,1113300,503,27,846,1376,0,0
80,PLPL3,2022-10-05,4.2,4.36,4.18,4.29,572800,428,19,575,1022,0,0
81,PLPL3,2022-10-06,4.32,4.49,4.29,4.4,679900,473,35,413,921,0,0
82,PLPL3,2022-10-07,4.44,4.44,4.26,4.29,614700,495,16,541,1052,0,0
83,PLPL3,2022-10-10,4.3,4.35,4.07,4.09,620100,478,39,891,1408,0,0
84,PLPL3,2022-10-11,4.05,4.15,3.89,4.11,535800,526,22,795,1343,0,0
85,PLPL3,2022-10-13,4.1,4.2,3.99,4.17,543200,524,30,825,1379,0,0
86,PLPL3,2022-10-14,4.26,4.4,4.17,4.17,1280800,1054,29,757,1840,0,0
87,PLPL3,2022-10-17,4.23,4.27,4.08,4.1,922800,1225,19,637,1880,1,0
88,PLPL3,2022-10-18,4.14,4.18,3.92,4.01,868200,560,11,612,1183,0,0
89,PLPL3,2022-10-19,3.99,4.03,3.83,4.03,1861200,1780,26,1542,3348,0,0
90,PLPL3,2022-10-20,4.09,4.09,3.91,3.95,580400,459,27,466,952,0,0
91,PLPL3,2022-10-21,3.94,4.1,3.92,4.05,444200,649,17,459,1125,0,0
92,PLPL3,2022-10-24,3.98,4.08,3.88,4.06,677900,702,17,687,1406,0,0
93,PLPL3,2022-10-25,4.02,4.28,3.97,4.05,447300,1220,20,485,1725,0,0
94,PLPL3,2022-10-26,4.04,4.11,3.91,3.93,609100,376,18,327,721,0,0
95,PLPL3,2022-10-27,4.02,4.17,3.94,4.05,417700,373,19,382,774,0,0
96,PLPL3,2022-10-28,4.02,4.22,4.0,4.22,670300,339,0,309,648,0,0
97,PLPL3,2022-10-31,4.15,4.58,4.12,4.52,2141400,1246,49,688,1983,0,0
98,PLPL3,2022-11-01,4.6,4.78,4.28,4.6,1330200,1014,47,630,1691,0,0
99,PLPL3,2022-11-03,4.67,4.83,4.49,4.78,789600,624,34,466,1124,0,0
100,PLPL3,2022-11-04,4.8,4.84,4.65,4.77,876400,918,0,500,1418,0,0
101,PLPL3,2022-11-07,4.75,4.83,4.56,4.8,2042800,996,29,847,1872,0,0
102,PLPL3,2022-11-08,4.8,4.8,4.46,4.53,744600,582,33,776,1391,0,0
103,PLPL3,2022-11-09,4.54,4.8,4.5,4.8,1263400,713,42,876,1630,1,0
104,PLPL3,2022-11-10,4.71,4.71,4.02,4.02,1743100,953,42,2066,3061,0,0
105,PLPL3,2022-11-14,4.07,4.37,4.06,4.28,828700,752,12,727,1491,0,0
106,PLPL3,2022-11-17,3.75,3.86,3.52,3.8,2567400,1193,30,1691,2914,0,0
