,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PNVL3,2022-06-06,11.36,11.48,10.84,10.91,590600,1197,38,1824,3059,0,0
1,PNVL3,2022-06-07,10.94,10.94,10.57,10.77,591700,1860,30,1874,3764,0,0
2,PNVL3,2022-06-08,10.69,10.8,10.55,10.71,503200,1198,35,1501,2734,0,0
3,PNVL3,2022-06-09,10.65,10.77,10.43,10.55,522600,1500,42,1396,2938,0,0
4,PNVL3,2022-06-10,10.45,10.46,10.08,10.28,793800,1952,27,2387,4366,0,0
5,PNVL3,2022-06-13,10.12,10.15,9.81,9.94,755400,2057,27,1665,3749,0,0
6,PNVL3,2022-06-14,9.9,9.99,9.53,9.64,807200,2080,59,2085,4224,0,0
7,PNVL3,2022-06-15,9.89,10.01,9.69,9.85,557000,1424,36,1454,2914,0,0
8,PNVL3,2022-06-17,9.61,9.8,9.5,9.6,566600,1646,58,1258,2961,1,0
9,PNVL3,2022-06-20,9.6,9.76,9.38,9.49,422000,892,43,1198,2133,0,0
10,PNVL3,2022-06-21,9.52,9.66,9.15,9.37,570100,1536,38,1546,3120,0,0
11,PNVL3,2022-06-22,9.27,9.9,9.18,9.72,1299400,1989,44,1634,3667,0,0
12,PNVL3,2022-06-23,9.84,10.13,9.8,9.88,585600,1510,43,1685,3238,0,0
13,PNVL3,2022-06-24,9.97,10.08,9.6,9.79,535200,1197,44,1678,2919,0,0
14,PNVL3,2022-06-27,9.85,9.96,9.64,9.69,375200,1059,16,1329,2404,0,0
15,PNVL3,2022-06-28,9.71,9.76,9.45,9.53,400600,1043,45,1316,2404,0,0
16,PNVL3,2022-06-29,9.64,9.64,9.32,9.46,380400,1189,26,1220,2435,0,0
17,PNVL3,2022-06-30,9.34,9.76,9.27,9.56,915100,1798,37,1479,3314,0,0
18,PNVL3,2022-07-01,9.61,9.69,9.22,9.35,543300,1528,52,1872,3452,0,0
19,PNVL3,2022-07-04,9.29,9.48,9.06,9.09,375100,950,51,1107,2108,0,0
20,PNVL3,2022-07-05,9.03,9.51,8.95,9.46,727100,1746,45,1760,3551,0,0
21,PNVL3,2022-07-06,9.43,10.01,9.41,10.0,617600,1608,50,1678,3336,0,0
22,PNVL3,2022-07-07,10.11,10.33,9.9,10.17,544000,1704,49,1585,3338,0,0
23,PNVL3,2022-07-08,10.1,10.27,10.01,10.1,408600,1154,40,1520,2714,0,0
24,PNVL3,2022-07-11,9.94,10.18,9.84,10.01,598700,1532,63,1557,3152,0,0
25,PNVL3,2022-07-12,10.04,10.36,9.86,10.18,496700,1365,41,1278,2684,0,0
26,PNVL3,2022-07-13,10.09,10.42,9.99,10.11,437800,1129,41,1211,2381,0,0
27,PNVL3,2022-07-14,9.77,10.15,9.77,10.1,546000,1634,31,1550,3215,0,0
28,PNVL3,2022-07-15,10.15,10.27,9.96,10.2,465600,1483,33,1546,3062,0,0
29,PNVL3,2022-07-18,10.67,10.69,10.35,10.46,678500,2036,33,1984,4053,0,0
30,PNVL3,2022-07-19,10.5,10.58,10.01,10.15,597800,1633,33,1588,3254,0,0
31,PNVL3,2022-07-20,10.04,10.33,10.04,10.17,775800,1275,24,992,2291,0,0
32,PNVL3,2022-07-21,10.07,10.43,10.04,10.39,369500,1117,36,1054,2207,0,0
33,PNVL3,2022-07-22,10.36,10.52,10.15,10.3,384400,1232,26,1097,2355,0,0
34,PNVL3,2022-07-25,10.2,10.46,10.04,10.41,490100,1281,228,1452,2748,213,0
35,PNVL3,2022-07-26,10.32,10.36,10.08,10.22,381300,946,42,1155,2143,0,0
36,PNVL3,2022-07-27,10.27,10.64,10.25,10.54,539600,1258,37,1250,2545,0,0
37,PNVL3,2022-07-28,10.55,11.31,10.55,11.06,920000,1412,69,1428,2909,0,0
38,PNVL3,2022-07-29,11.08,11.13,10.78,10.9,511700,1314,308,1245,2627,240,0
39,PNVL3,2022-08-01,10.92,11.5,10.86,11.41,824400,1837,68,1701,3605,1,0
40,PNVL3,2022-08-02,11.5,11.76,11.32,11.68,783000,2499,41,1726,4266,0,0
41,PNVL3,2022-08-03,11.7,12.14,11.66,11.9,852800,2423,48,1775,4244,2,0
42,PNVL3,2022-08-08,12.12,12.31,11.97,12.1,466700,1077,55,1215,2347,0,0
43,PNVL3,2022-08-09,12.18,12.21,11.75,11.93,345400,917,35,1231,2183,0,0
44,PNVL3,2022-08-10,12.07,12.59,12.04,12.32,503700,1743,59,1131,2933,0,0
45,PNVL3,2022-08-12,12.66,13.03,12.46,12.46,656700,1939,58,1600,3597,0,0
