,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,POMO4,2022-06-06,2.85,2.85,2.75,2.78,1715000,1086,66,1510,2662,0,0
1,POMO4,2022-06-07,2.77,2.81,2.73,2.77,2219100,2797,65,2131,4993,0,0
2,POMO4,2022-06-08,2.75,2.77,2.71,2.73,1429900,1186,48,954,2188,0,0
3,POMO4,2022-06-09,2.72,2.8,2.72,2.77,2722700,1650,52,1665,3367,0,0
4,POMO4,2022-06-10,2.73,2.74,2.67,2.67,2540600,1797,48,2005,3850,0,0
5,POMO4,2022-06-13,2.63,2.65,2.48,2.54,7963000,2815,58,3917,6790,0,0
6,POMO4,2022-06-14,2.52,2.59,2.47,2.5,4522000,1614,52,1792,3458,0,0
7,POMO4,2022-06-15,2.52,2.59,2.51,2.58,3468800,2285,952,1672,4014,895,0
8,POMO4,2022-06-17,2.54,2.58,2.48,2.55,3029400,2973,942,1593,4625,883,0
9,POMO4,2022-06-20,2.58,2.63,2.52,2.58,2592600,4141,692,1048,5245,636,0
10,POMO4,2022-06-21,2.58,2.61,2.52,2.56,2435900,1191,681,1744,2990,626,0
11,POMO4,2022-06-22,2.54,2.6,2.51,2.56,2799000,3542,452,1332,4954,372,0
12,POMO4,2022-06-23,2.57,2.63,2.57,2.6,2907300,4115,48,2008,6171,0,0
13,POMO4,2022-06-24,2.62,2.68,2.59,2.66,2708500,3160,53,2678,5891,0,0
14,POMO4,2022-06-27,2.67,2.69,2.62,2.65,2633400,2364,386,2442,4850,342,0
15,POMO4,2022-06-28,2.64,2.67,2.56,2.57,2645400,2089,298,2572,4719,240,0
16,POMO4,2022-06-29,2.57,2.58,2.52,2.54,2215000,1557,448,2055,3648,412,0
17,POMO4,2022-06-30,2.54,2.54,2.45,2.45,4268500,1933,62,3454,5449,0,0
18,POMO4,2022-07-01,2.45,2.49,2.43,2.47,3572700,2852,56,2543,5451,0,0
19,POMO4,2022-07-04,2.45,2.48,2.45,2.47,2760600,1229,64,978,2271,0,0
20,POMO4,2022-07-05,2.47,2.47,2.39,2.42,3349100,2432,58,3671,6161,0,0
21,POMO4,2022-07-06,2.44,2.52,2.42,2.52,3743100,4822,49,2831,7702,0,0
22,POMO4,2022-07-07,2.52,2.6,2.52,2.59,2931300,3072,41,1211,4324,0,0
23,POMO4,2022-07-08,2.59,2.65,2.57,2.63,2559800,5892,48,1200,7140,0,0
24,POMO4,2022-07-11,2.62,2.66,2.57,2.62,3023500,4315,43,1423,5781,0,0
25,POMO4,2022-07-12,2.61,2.64,2.54,2.57,4984200,4579,43,3205,7827,0,0
26,POMO4,2022-07-13,2.54,2.62,2.53,2.56,2718900,2415,39,1352,3806,0,0
27,POMO4,2022-07-14,2.55,2.58,2.54,2.55,1892900,2986,65,1283,4334,0,0
28,POMO4,2022-07-15,2.57,2.59,2.53,2.53,2443200,2958,96,2185,5239,0,0
29,POMO4,2022-07-18,2.59,2.59,2.49,2.52,3020900,1882,75,1631,3588,0,0
30,POMO4,2022-07-19,2.5,2.55,2.48,2.52,2292200,3295,68,1132,4495,0,0
31,POMO4,2022-07-20,2.5,2.54,2.5,2.51,2608000,5516,72,1947,7535,0,0
32,POMO4,2022-07-21,2.51,2.53,2.48,2.51,3174200,1173,51,1607,2831,0,0
33,POMO4,2022-07-22,2.51,2.53,2.48,2.49,2418000,645,55,1027,1727,0,0
34,POMO4,2022-07-25,2.49,2.53,2.48,2.5,2688900,3121,53,1009,4183,0,0
35,POMO4,2022-07-26,2.49,2.51,2.44,2.45,3069300,3452,51,2390,5893,0,0
36,POMO4,2022-07-27,2.47,2.49,2.44,2.47,4097300,1456,50,2183,3689,0,0
37,POMO4,2022-07-28,2.47,2.5,2.45,2.47,3305000,1132,42,916,2090,0,0
38,POMO4,2022-07-29,2.47,2.51,2.46,2.48,4028800,3765,54,1281,5100,0,0
39,POMO4,2022-08-01,2.48,2.51,2.43,2.44,5923700,3268,1133,2391,5701,1091,0
40,POMO4,2022-08-02,2.42,2.44,2.34,2.37,8728200,4658,51,2104,6813,0,0
41,POMO4,2022-08-03,2.37,2.53,2.37,2.51,4965500,7551,58,1315,8924,0,0
42,POMO4,2022-08-08,2.53,2.56,2.5,2.5,2934800,2574,95,1419,4088,0,0
43,POMO4,2022-08-09,2.52,2.53,2.5,2.51,2080300,2434,76,2572,5082,0,0
44,POMO4,2022-08-10,2.52,2.62,2.52,2.6,5043700,4447,52,2511,7010,0,0
45,POMO4,2022-08-12,2.56,2.58,2.52,2.54,4992900,7586,73,4400,12058,1,0
46,POMO4,2022-08-15,2.51,2.54,2.5,2.53,5158000,2581,44,9196,11821,0,0
47,POMO4,2022-08-16,2.53,2.55,2.48,2.51,4344300,1168,46,6322,7535,1,0
48,POMO4,2022-08-17,2.49,2.53,2.47,2.5,4958200,2210,63,3175,5448,0,0
49,POMO4,2022-08-18,2.5,2.51,2.47,2.49,2501200,1016,39,1705,2759,1,0
50,POMO4,2022-08-19,2.48,2.48,2.43,2.45,3661200,832,39,3140,4011,0,0
51,POMO4,2022-08-22,2.44,2.45,2.39,2.44,3415600,835,38,1582,2454,1,0
52,POMO4,2022-08-23,2.43,2.49,2.43,2.48,2159500,1063,31,534,1628,0,0
53,POMO4,2022-08-24,2.51,2.54,2.5,2.5,6312400,2529,58,1333,3920,0,0
54,POMO4,2022-08-25,2.55,2.56,2.51,2.52,4777100,937,35,1064,2035,1,0
55,POMO4,2022-08-26,2.53,2.65,2.51,2.62,12360200,1170,62,3546,4777,1,0
56,POMO4,2022-08-29,2.6,2.69,2.58,2.64,5344100,1576,40,2360,3976,0,0
57,POMO4,2022-08-30,2.66,2.68,2.62,2.66,3565900,913,53,1595,2561,0,0
58,POMO4,2022-08-31,2.69,2.72,2.6,2.6,4638800,1596,45,4458,6099,0,0
59,POMO4,2022-09-01,2.63,2.71,2.57,2.68,7044000,3358,49,4794,8201,0,0
60,POMO4,2022-09-02,2.71,2.77,2.66,2.72,5126200,1828,49,2433,4310,0,0
61,POMO4,2022-09-05,2.72,2.73,2.64,2.67,2530100,671,42,1906,2619,0,0
62,POMO4,2022-09-06,2.64,2.67,2.58,2.62,4800600,828,38,3616,4482,0,0
63,POMO4,2022-09-08,2.62,2.63,2.58,2.61,4486300,3784,42,2671,6497,0,0
64,POMO4,2022-09-09,2.65,2.65,2.58,2.6,6769400,1959,77,2684,4720,0,0
65,POMO4,2022-09-12,2.62,2.63,2.59,2.6,6182800,2672,63,4152,6887,0,0
66,POMO4,2022-09-13,2.59,2.59,2.52,2.54,7348600,1634,46,5479,7159,0,0
67,POMO4,2022-09-15,2.56,2.63,2.54,2.61,3173400,4531,32,2909,7472,0,0
68,POMO4,2022-09-16,2.6,2.61,2.55,2.61,4910400,2836,51,4376,7263,0,0
69,POMO4,2022-09-19,2.61,2.71,2.58,2.71,7175700,5927,47,2001,7975,0,0
70,POMO4,2022-09-20,2.73,2.76,2.64,2.67,4954000,1785,48,3024,4857,0,0
71,POMO4,2022-09-21,2.68,2.7,2.64,2.65,3508900,2091,35,1772,3898,0,0
72,POMO4,2022-09-22,2.66,2.71,2.63,2.68,2558200,1550,39,1516,3105,0,0
73,POMO4,2022-09-23,2.66,2.72,2.64,2.72,3021300,2630,43,2124,4797,0,0
74,POMO4,2022-09-27,2.7,2.75,2.66,2.69,6274200,2260,37,2899,5196,0,0
