,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,POSI3,2023-07-03,9.25,9.36,9.14,9.2,1249300,2740,62,1847,4649,0,0
1,POSI3,2022-10-19,12.62,12.94,12.49,12.74,4108400,4392,148,4128,8664,4,0
2,POSI3,2023-02-08,7.59,7.75,7.44,7.7,1593800,2450,54,2076,4580,0,0
3,POSI3,2023-06-21,9.7,9.83,9.4,9.58,2197800,1930,60,2274,4264,0,0
4,POSI3,2023-05-30,6.89,6.92,6.74,6.76,2159500,1448,46,1883,3377,0,0
5,POSI3,2022-08-25,11.61,11.91,11.31,11.45,3113800,2669,92,3724,6485,0,0
6,POSI3,2022-12-01,8.41,8.96,8.38,8.67,2198600,3546,82,4376,8004,0,0
7,POSI3,2023-04-21,7.65,7.76,7.32,7.45,1949200,2111,86,2473,4669,1,0
8,POSI3,2023-04-20,7.65,7.76,7.32,7.45,1949200,2111,86,2473,4669,1,0
9,POSI3,2023-08-21,8.6,8.62,8.3,8.56,1036600,1454,47,2152,3652,1,0
10,POSI3,2023-02-03,8.29,8.37,7.92,7.92,1062500,1753,66,2291,4110,0,0
11,POSI3,2023-01-13,8.11,8.13,7.51,7.56,2917700,2718,82,3807,6606,1,0
12,POSI3,2023-03-13,7.13,7.13,6.42,6.89,4276300,4534,103,4776,9413,0,0
13,POSI3,2023-06-15,8.39,9.09,8.35,9.04,4243700,3938,71,4995,9003,1,0
14,POSI3,2023-07-20,8.3,8.31,8.15,8.15,856200,1538,41,738,2316,1,0
15,POSI3,2023-02-16,7.25,7.3,7.01,7.23,879500,1376,38,1265,2679,0,0
16,POSI3,2022-10-18,12.6,12.77,12.18,12.62,2422900,3510,83,3155,6748,0,0
17,POSI3,2022-12-14,7.65,7.89,7.52,7.76,2218300,3568,81,3799,7443,5,0
18,POSI3,2023-04-17,7.86,8.4,7.82,8.17,2514800,2479,84,3091,5654,0,0
19,POSI3,2022-08-19,10.5,10.71,10.2,10.31,3605200,3307,136,4586,8029,0,0
20,POSI3,2023-03-20,6.48,6.53,6.28,6.47,1396800,1788,45,1424,3257,0,0
21,POSI3,2023-05-11,7.49,8.04,7.34,7.96,3259000,2842,78,2262,5180,2,0
22,POSI3,2023-08-02,8.45,8.51,8.31,8.37,1043700,1137,40,1126,2303,0,0
