,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PRNR3,2022-06-06,6.73,6.73,6.43,6.44,55700,129,19,207,355,0,0
1,PRNR3,2022-06-07,6.46,6.53,6.28,6.37,47100,113,12,168,293,0,0
2,PRNR3,2022-06-08,6.37,6.4,6.17,6.4,91500,153,17,192,362,0,0
3,PRNR3,2022-06-09,6.32,6.41,6.07,6.07,148600,304,0,413,717,0,0
4,PRNR3,2022-06-10,6.03,6.19,5.85,6.19,117500,208,45,269,522,0,0
5,PRNR3,2022-06-13,6.04,6.04,5.7,5.7,137200,227,0,328,555,0,0
6,PRNR3,2022-06-14,5.83,5.94,5.32,5.38,95100,163,23,305,491,0,0
7,PRNR3,2022-06-15,5.45,5.54,5.18,5.21,94900,284,0,280,564,0,0
8,PRNR3,2022-06-17,5.2,5.25,5.04,5.13,121000,221,15,255,491,0,0
9,PRNR3,2022-06-20,5.06,5.55,5.05,5.45,264400,236,3,223,462,0,0
10,PRNR3,2022-06-21,5.51,6.04,5.41,5.66,190600,362,0,360,722,0,0
11,PRNR3,2022-06-22,5.59,5.71,5.59,5.6,121800,250,9,175,434,0,0
12,PRNR3,2022-06-23,5.5,5.63,5.36,5.63,56200,152,0,185,337,0,0
13,PRNR3,2022-06-24,5.58,5.77,5.42,5.5,64100,172,16,181,369,0,0
14,PRNR3,2022-06-27,5.53,5.55,5.42,5.5,93700,202,16,216,434,0,0
15,PRNR3,2022-06-28,5.46,5.5,5.29,5.48,85400,170,0,242,412,0,0
16,PRNR3,2022-06-29,5.45,5.45,5.02,5.2,129900,191,20,370,581,0,0
17,PRNR3,2022-06-30,5.26,5.36,5.06,5.2,374100,359,27,479,865,0,0
18,PRNR3,2022-07-01,5.2,5.3,5.06,5.06,216100,695,0,1209,1904,0,0
19,PRNR3,2022-07-04,5.13,5.23,5.01,5.14,71800,213,0,203,416,0,0
20,PRNR3,2022-07-05,5.2,5.2,5.08,5.18,76800,325,0,309,634,0,0
21,PRNR3,2022-07-06,5.09,5.69,5.09,5.6,118100,399,0,207,606,0,0
22,PRNR3,2022-07-07,5.77,5.81,5.65,5.76,39800,134,9,125,268,0,0
23,PRNR3,2022-07-08,6.18,6.18,5.62,5.76,107000,244,23,222,489,0,0
24,PRNR3,2022-07-11,5.84,5.84,5.46,5.47,42900,122,0,185,307,0,0
25,PRNR3,2022-07-12,5.57,5.57,5.32,5.32,86700,221,9,313,543,0,0
26,PRNR3,2022-07-13,5.3,5.5,5.15,5.38,308000,357,10,519,886,0,0
27,PRNR3,2022-07-14,5.4,5.5,5.2,5.2,147500,152,0,246,398,0,0
28,PRNR3,2022-07-15,5.39,5.48,5.25,5.42,165200,171,12,227,410,0,0
29,PRNR3,2022-07-18,5.45,5.52,5.32,5.41,77400,166,1,232,399,0,0
30,PRNR3,2022-07-19,5.45,5.7,5.42,5.63,85600,274,0,238,512,0,0
31,PRNR3,2022-07-20,5.63,5.66,5.4,5.59,193700,320,0,358,678,0,0
32,PRNR3,2022-07-21,5.61,5.98,5.56,5.75,100200,235,9,226,470,0,0
33,PRNR3,2022-07-22,5.84,5.93,5.71,5.79,145000,146,0,250,396,0,0
34,PRNR3,2022-07-25,5.86,5.87,5.3,5.35,205000,379,0,408,787,0,0
35,PRNR3,2022-07-26,5.45,5.48,5.15,5.17,146700,195,9,248,452,0,0
36,PRNR3,2022-07-27,5.17,5.24,5.12,5.21,180900,630,0,380,1010,0,0
37,PRNR3,2022-07-28,5.3,5.31,5.17,5.19,86900,283,0,169,452,0,0
38,PRNR3,2022-07-29,5.22,5.3,5.18,5.2,84500,145,11,213,369,0,0
39,PRNR3,2022-08-01,5.19,5.39,5.19,5.25,97800,303,0,334,637,0,0
40,PRNR3,2022-08-02,5.28,5.43,5.12,5.23,95800,261,0,244,505,0,0
41,PRNR3,2022-08-03,5.24,5.45,5.22,5.3,99100,345,0,293,638,0,0
42,PRNR3,2022-08-08,5.45,5.54,5.35,5.4,137400,348,0,518,866,0,0
43,PRNR3,2022-08-09,5.37,5.44,5.21,5.3,72600,179,0,218,397,0,0
44,PRNR3,2022-08-10,5.41,5.51,5.35,5.41,154200,269,1,396,666,0,0
45,PRNR3,2022-08-12,5.69,5.8,5.62,5.7,162200,265,0,354,619,0,0
46,PRNR3,2022-08-15,5.69,5.85,5.55,5.84,173800,467,1,544,1011,1,0
47,PRNR3,2022-08-16,5.88,5.89,5.66,5.74,124700,233,0,302,535,0,0
48,PRNR3,2022-08-17,5.83,5.85,5.66,5.69,99000,194,11,265,469,1,0
49,PRNR3,2022-08-18,5.64,5.68,5.52,5.65,76000,187,0,199,386,0,0
50,PRNR3,2022-08-19,5.62,5.62,5.36,5.48,92600,190,9,405,604,0,0
51,PRNR3,2022-08-22,5.55,5.55,5.26,5.26,164300,212,26,225,463,0,0
52,PRNR3,2022-08-23,5.3,5.38,5.24,5.37,116900,278,0,228,506,0,0
53,PRNR3,2022-08-24,5.3,5.44,5.3,5.44,190200,389,7,321,717,0,0
54,PRNR3,2022-08-25,5.49,5.54,5.39,5.41,46100,131,0,185,316,0,0
55,PRNR3,2022-08-26,5.41,5.49,5.33,5.46,210200,330,16,347,693,0,0
56,PRNR3,2022-08-29,5.57,5.57,5.36,5.38,145300,311,0,372,683,0,0
57,PRNR3,2022-08-30,5.47,5.57,5.3,5.52,145500,328,0,461,789,0,0
58,PRNR3,2022-08-31,5.51,5.67,5.41,5.52,157100,370,0,412,782,0,0
59,PRNR3,2022-09-01,5.52,5.82,5.5,5.7,201900,307,8,278,593,0,0
60,PRNR3,2022-09-02,5.78,6.13,5.67,6.06,951500,622,71,450,1143,0,0
61,PRNR3,2022-09-05,6.1,6.1,5.79,6.06,155600,127,24,310,461,0,0
62,PRNR3,2022-09-06,6.04,6.04,5.67,5.74,200500,312,15,508,835,0,0
63,PRNR3,2022-09-08,5.85,6.05,5.78,5.98,77600,154,9,181,344,0,0
64,PRNR3,2022-09-09,6.06,6.19,5.92,6.17,129000,219,9,192,420,0,0
65,PRNR3,2022-09-12,6.12,6.35,6.01,6.28,118900,301,16,273,590,0,0
66,PRNR3,2022-09-13,6.2,6.26,6.05,6.2,83600,166,15,220,401,0,0
67,PRNR3,2022-09-15,6.29,6.34,6.12,6.33,67000,180,8,164,352,0,0
68,PRNR3,2022-09-16,6.28,6.28,6.08,6.25,75000,183,0,211,394,0,0
69,PRNR3,2022-09-19,6.35,6.44,6.09,6.09,119000,272,13,320,605,0,0
70,PRNR3,2022-09-20,6.2,6.2,5.77,5.95,135700,293,8,353,654,0,0
71,PRNR3,2022-09-21,5.89,6.0,5.85,5.94,111700,307,10,231,548,0,0
72,PRNR3,2022-09-22,6.0,6.05,5.84,5.95,114700,281,11,237,529,0,0
73,PRNR3,2022-09-23,5.84,6.01,5.82,5.82,114300,186,21,259,466,0,0
74,PRNR3,2022-09-27,5.84,5.84,5.53,5.62,145600,437,8,383,828,0,0
75,PRNR3,2022-09-28,5.67,5.86,5.56,5.68,95100,208,10,224,442,0,0
76,PRNR3,2022-09-29,5.62,5.66,5.32,5.5,239800,601,13,913,1527,0,0
77,PRNR3,2022-09-30,5.4,5.66,5.36,5.46,205600,240,20,249,509,0,0
78,PRNR3,2022-10-03,5.75,5.75,5.47,5.5,144800,294,0,262,556,0,0
79,PRNR3,2022-10-04,5.55,5.67,5.43,5.54,113400,257,0,265,522,0,0
80,PRNR3,2022-10-05,5.95,6.36,5.81,5.9,786800,990,62,984,2036,0,0
81,PRNR3,2022-10-06,5.93,6.02,5.81,5.89,277500,466,19,440,925,0,0
82,PRNR3,2022-10-07,5.88,5.95,5.8,5.9,128700,168,20,235,423,0,0
83,PRNR3,2022-10-10,5.9,5.98,5.8,5.97,72800,175,0,203,378,0,0
84,PRNR3,2022-10-11,5.95,6.37,5.82,6.2,421400,664,12,648,1324,0,0
85,PRNR3,2022-10-13,6.13,6.35,5.99,6.35,250000,467,14,488,969,0,0
86,PRNR3,2022-10-14,6.34,6.7,6.22,6.54,304400,524,26,455,1005,0,0
