,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PSSA3,2022-06-06,20.12,20.22,19.36,19.5,1869900,3819,78,5556,9453,0,0
1,PSSA3,2022-06-07,19.39,19.61,19.18,19.35,673400,1869,40,2014,3922,1,0
2,PSSA3,2022-06-08,19.25,19.36,18.9,19.13,1104900,3003,43,3622,6668,0,0
3,PSSA3,2022-06-09,19.08,19.45,18.86,19.16,985800,2099,53,2200,4351,1,0
4,PSSA3,2022-06-10,19.01,19.08,18.72,18.84,1059800,2658,70,2206,4934,0,0
5,PSSA3,2022-06-13,18.69,18.95,18.48,18.76,1399200,3079,52,2790,5921,0,0
6,PSSA3,2022-06-14,18.77,18.81,18.5,18.55,1239100,3150,68,2123,5341,0,0
7,PSSA3,2022-06-15,18.72,18.98,18.57,18.78,832900,2245,51,1376,3672,0,0
8,PSSA3,2022-06-17,18.68,18.68,18.21,18.5,1921300,3746,99,4693,8538,0,0
9,PSSA3,2022-06-20,18.67,18.85,18.31,18.59,1054200,2264,49,2513,4825,1,0
10,PSSA3,2022-06-21,18.6,19.43,18.51,19.03,2073600,4439,84,3368,7890,1,0
11,PSSA3,2022-06-22,18.91,19.22,18.73,18.79,1444200,4054,81,3206,7341,0,0
12,PSSA3,2022-06-23,18.93,19.08,18.56,18.68,909400,1966,93,2027,4085,1,0
13,PSSA3,2022-06-24,18.82,18.87,18.32,18.44,1071300,2533,104,2171,4807,1,0
14,PSSA3,2022-06-27,18.52,18.57,18.27,18.43,998000,2748,70,2788,5606,0,0
15,PSSA3,2022-06-28,18.49,18.6,18.06,18.23,1408700,2718,69,2927,5714,0,0
16,PSSA3,2022-06-29,18.28,18.35,18.01,18.18,1097700,2903,136,2812,5762,89,0
17,PSSA3,2022-06-30,18.06,18.09,17.6,17.8,3219800,6263,92,6192,12525,22,0
18,PSSA3,2022-07-01,17.75,18.09,17.62,18.05,1591200,6273,60,4126,10457,2,0
19,PSSA3,2022-07-04,18.03,18.18,17.7,17.85,707800,1626,51,1770,3447,0,0
20,PSSA3,2022-07-05,17.74,18.41,17.63,18.38,1844300,4210,55,3559,7824,0,0
21,PSSA3,2022-07-06,18.41,18.51,17.95,18.14,831500,2741,48,2061,4850,0,0
22,PSSA3,2022-07-07,18.26,18.32,18.12,18.21,781600,1914,71,1628,3613,0,0
