,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PTBL3,2022-06-06,8.4,8.46,7.87,7.96,670300,718,43,1003,1764,0,0
1,PTBL3,2022-06-07,7.99,8.06,7.74,7.98,470500,698,37,885,1620,0,0
2,PTBL3,2022-06-08,7.88,8.12,7.78,7.95,600200,993,24,1521,2538,0,0
3,PTBL3,2022-06-09,7.9,7.96,7.76,7.82,481000,969,26,848,1843,0,0
4,PTBL3,2022-06-10,7.75,7.79,7.6,7.76,586200,881,35,1015,1931,0,0
5,PTBL3,2022-06-13,7.59,7.61,6.91,7.01,1262300,1389,87,2390,3866,0,0
6,PTBL3,2022-06-14,6.99,7.15,6.41,6.54,1331100,1892,39,3126,5057,0,0
7,PTBL3,2022-06-15,6.71,6.86,6.47,6.71,938200,1416,34,2590,4040,0,0
8,PTBL3,2022-06-17,6.52,6.58,6.24,6.42,723100,767,34,1618,2419,0,0
9,PTBL3,2022-06-20,6.49,6.63,6.25,6.47,485800,718,38,654,1410,0,0
10,PTBL3,2022-06-21,6.51,6.63,6.16,6.25,465400,636,16,912,1564,0,0
11,PTBL3,2022-06-22,6.2,6.57,6.01,6.52,650700,975,27,785,1787,0,0
12,PTBL3,2022-06-23,6.52,6.74,6.5,6.66,580500,968,45,795,1808,0,0
13,PTBL3,2022-06-24,6.69,6.98,6.63,6.84,732300,839,36,1125,2000,0,0
14,PTBL3,2022-06-27,6.66,6.84,6.43,6.58,903800,1532,42,1805,3379,0,0
15,PTBL3,2022-06-28,6.6,6.71,6.2,6.24,777500,971,31,2000,3002,0,0
16,PTBL3,2022-06-29,6.26,6.38,6.08,6.28,739900,846,27,1223,2096,0,0
17,PTBL3,2022-06-30,6.2,6.44,6.02,6.44,708200,1438,33,1234,2705,0,0
18,PTBL3,2022-07-01,6.36,6.5,6.24,6.37,565000,800,46,834,1680,0,0
19,PTBL3,2022-07-04,6.3,6.54,6.28,6.38,301700,358,19,495,872,0,0
20,PTBL3,2022-07-05,6.34,6.73,6.14,6.73,536200,959,53,939,1951,0,0
21,PTBL3,2022-07-06,6.63,7.48,6.63,7.42,1169700,1949,58,1241,3248,0,0
22,PTBL3,2022-07-07,7.57,7.61,7.26,7.28,910800,1917,51,1975,3943,0,0
23,PTBL3,2022-07-08,7.25,7.47,7.04,7.14,607600,1040,41,1637,2718,0,0
24,PTBL3,2022-07-11,7.08,7.95,6.92,7.47,1305000,2215,65,2191,4471,0,0
25,PTBL3,2022-07-12,7.43,7.76,7.23,7.42,724800,927,44,1213,2184,0,0
26,PTBL3,2022-07-13,7.44,7.68,7.28,7.37,739500,1596,36,1294,2926,0,0
27,PTBL3,2022-07-14,7.32,7.61,7.28,7.38,477600,554,46,852,1452,0,0
28,PTBL3,2022-07-15,7.37,7.52,7.32,7.34,261300,532,81,461,1074,0,0
29,PTBL3,2022-07-18,7.42,7.47,7.0,7.05,571200,700,56,862,1618,0,0
30,PTBL3,2022-07-19,7.05,7.16,6.86,6.99,544000,716,26,726,1468,0,0
31,PTBL3,2022-07-20,6.94,7.83,6.94,7.65,1348300,2151,53,1565,3769,0,0
32,PTBL3,2022-07-21,7.6,8.0,7.4,7.92,886300,1742,62,2279,4083,0,0
33,PTBL3,2022-07-22,7.94,8.06,7.82,7.92,523300,975,29,852,1856,0,0
34,PTBL3,2022-07-25,7.98,8.06,7.79,7.85,385600,340,26,545,911,0,0
35,PTBL3,2022-07-26,7.88,8.11,7.64,7.92,672500,996,31,1241,2268,0,0
36,PTBL3,2022-07-27,7.93,8.28,7.87,8.24,517200,912,40,431,1383,0,0
37,PTBL3,2022-07-28,8.15,8.47,8.1,8.21,562800,1023,23,1064,2110,0,0
38,PTBL3,2022-07-29,8.25,8.7,8.25,8.6,848200,2066,37,1388,3491,0,0
39,PTBL3,2022-08-01,8.65,8.89,8.38,8.43,689000,1232,41,1088,2361,0,0
40,PTBL3,2022-08-02,8.46,8.52,8.26,8.27,403400,561,50,774,1385,0,0
41,PTBL3,2022-08-03,8.34,8.62,8.31,8.55,362700,648,26,621,1295,0,0
42,PTBL3,2022-08-08,8.76,9.19,8.76,8.92,667800,1001,33,1061,2095,0,0
43,PTBL3,2022-08-09,9.03,9.42,9.0,9.34,1024400,1307,0,1689,2996,0,0
44,PTBL3,2022-08-10,9.4,9.77,9.15,9.51,1048600,2200,40,1938,4178,0,0
45,PTBL3,2022-08-12,9.54,9.99,9.54,9.94,532100,1036,37,910,1983,0,0
46,PTBL3,2022-08-15,9.92,10.13,9.79,10.05,539800,1089,34,1214,2337,0,0
47,PTBL3,2022-08-16,10.05,10.19,9.82,9.95,401300,621,32,950,1603,0,0
48,PTBL3,2022-08-17,9.85,10.29,9.84,9.99,681300,977,35,1226,2238,0,0
49,PTBL3,2022-08-18,10.09,10.11,9.37,9.55,1185300,1043,62,2273,3378,0,0
50,PTBL3,2022-08-19,9.08,9.25,8.95,9.14,645100,1329,42,1627,2997,1,0
51,PTBL3,2022-08-22,9.05,9.84,8.84,9.69,974700,1496,49,1734,3279,0,0
52,PTBL3,2022-08-23,9.72,9.82,9.51,9.68,426400,754,43,685,1482,0,0
53,PTBL3,2022-08-24,9.73,10.12,9.55,9.74,654700,1155,29,1094,2278,0,0
54,PTBL3,2022-08-25,9.77,9.88,9.59,9.59,307100,490,45,687,1222,0,0
55,PTBL3,2022-08-26,9.7,9.8,9.55,9.59,279900,496,33,659,1188,0,0
56,PTBL3,2022-08-29,9.59,10.32,9.48,10.15,1109600,2427,33,1828,4288,0,0
57,PTBL3,2022-08-30,10.15,10.25,9.91,9.95,578000,1102,40,1192,2334,0,0
58,PTBL3,2022-08-31,10.01,10.12,9.84,9.95,475800,1026,35,1091,2152,0,0
59,PTBL3,2022-09-01,9.95,10.89,9.9,10.85,1538800,3436,56,2100,5592,0,0
60,PTBL3,2022-09-02,10.8,11.04,10.42,10.67,1507700,2247,75,2326,4648,0,0
61,PTBL3,2022-09-05,10.67,11.3,10.52,11.19,815900,1555,59,1451,3065,0,0
62,PTBL3,2022-09-06,11.09,11.16,10.67,10.82,596400,885,20,1357,2262,0,0
63,PTBL3,2022-09-08,10.87,11.2,10.52,10.63,695800,1176,46,1593,2815,0,0
64,PTBL3,2022-09-09,10.76,11.03,10.51,10.89,768900,1076,33,1064,2173,0,0
65,PTBL3,2022-09-12,10.89,11.4,10.83,11.26,1142100,1568,52,1350,2970,0,0
66,PTBL3,2022-09-13,11.06,11.53,10.96,11.14,984400,1467,52,1639,3158,0,0
67,PTBL3,2022-09-15,10.88,11.38,10.85,10.96,1066500,1782,49,2340,4171,0,0
68,PTBL3,2022-09-16,11.0,11.51,10.69,11.35,1271200,1827,45,2169,4041,0,0
69,PTBL3,2022-09-19,11.39,11.39,10.98,11.12,1005700,1753,40,1643,3436,0,0
70,PTBL3,2022-09-20,11.12,11.22,10.89,11.03,807000,796,32,1180,2008,0,0
71,PTBL3,2022-09-21,11.03,11.34,10.99,11.21,579700,887,24,1080,1991,0,0
72,PTBL3,2022-09-22,11.3,11.39,10.79,11.14,887200,1387,24,1541,2952,0,0
73,PTBL3,2022-09-23,10.9,11.16,10.84,11.02,416700,521,50,998,1569,0,0
74,PTBL3,2022-09-27,10.35,10.48,9.68,9.82,1275100,1223,47,1819,3089,0,0
75,PTBL3,2022-09-28,9.9,10.27,9.71,10.2,657100,1219,41,1171,2431,0,0
76,PTBL3,2022-09-29,10.11,10.21,9.7,10.08,572400,820,36,959,1815,0,0
77,PTBL3,2022-09-30,10.11,10.48,9.78,10.33,1069300,1483,40,1920,3443,0,0
78,PTBL3,2022-10-03,10.39,11.8,10.39,11.5,2537600,6404,80,3367,9851,0,0
79,PTBL3,2022-10-04,11.73,12.13,11.48,11.86,1289200,2093,63,2303,4459,0,0
80,PTBL3,2022-10-05,11.84,12.25,11.6,11.7,893800,1421,39,1753,3213,0,0
81,PTBL3,2022-10-06,11.79,12.1,11.74,11.82,989600,1308,39,1635,2982,0,0
82,PTBL3,2022-10-07,11.85,12.54,11.81,12.15,1580600,1958,53,2304,4315,0,0
83,PTBL3,2022-10-10,12.18,12.29,11.94,12.03,780600,1442,40,1567,3049,0,0
84,PTBL3,2022-10-11,12.07,12.6,12.07,12.18,991700,1600,40,1985,3625,0,0
85,PTBL3,2022-10-13,12.08,12.75,11.99,12.14,1572600,1926,63,2534,4523,0,0
86,PTBL3,2022-10-14,12.31,12.47,11.95,12.12,790900,1165,53,1507,2725,0,0
87,PTBL3,2022-10-17,12.2,12.69,12.09,12.6,1002100,2061,46,1776,3883,0,0
88,PTBL3,2022-10-18,12.65,12.93,12.35,12.79,1106800,2184,35,2344,4563,0,0
89,PTBL3,2022-10-19,12.81,12.95,12.49,12.72,1573400,3406,82,4616,8104,0,0
90,PTBL3,2022-10-20,12.8,12.81,12.27,12.42,1490100,1957,105,2062,4124,0,0
91,PTBL3,2022-10-21,12.44,13.6,12.41,13.38,1769600,3602,70,2164,5836,0,0
92,PTBL3,2022-10-24,12.94,13.58,12.93,13.23,1427900,3031,58,2054,5143,0,0
93,PTBL3,2022-10-25,13.23,13.46,13.1,13.22,940300,2016,47,1554,3617,0,0
94,PTBL3,2022-10-26,13.0,13.44,12.85,13.05,1065200,2144,68,1592,3804,0,0
95,PTBL3,2022-10-27,12.95,13.29,12.18,12.3,1693600,2430,91,2464,4985,0,0
96,PTBL3,2022-10-28,12.24,12.46,11.86,12.17,1736600,2974,67,3207,6248,0,0
97,PTBL3,2022-10-31,11.9,12.27,11.36,11.66,1435300,2527,71,2482,5080,0,0
98,PTBL3,2022-11-01,11.96,12.74,11.65,12.38,1796800,2952,79,2710,5741,0,0
99,PTBL3,2022-11-03,12.28,12.94,12.0,12.8,1308800,3450,65,2421,5936,0,0
100,PTBL3,2022-11-04,13.1,13.17,12.16,12.3,1401200,3356,52,2008,5416,0,0
101,PTBL3,2022-11-07,12.24,12.51,11.21,11.41,1693400,3030,74,2732,5836,0,0
102,PTBL3,2022-11-08,11.41,11.59,10.87,11.43,1107100,1599,69,1743,3411,0,0
103,PTBL3,2022-11-09,11.35,11.76,10.79,10.95,1177400,1641,75,2589,4305,0,0
104,PTBL3,2022-11-10,10.68,10.82,10.16,10.39,2083000,2424,64,3506,5994,0,0
105,PTBL3,2022-11-14,9.95,10.26,9.62,9.81,1257100,2022,60,2280,4362,0,0
106,PTBL3,2022-11-17,9.41,9.45,8.83,9.35,1596900,2687,71,2744,5502,0,0
107,PTBL3,2022-11-18,9.44,9.68,8.91,9.15,2116400,2704,73,2733,5510,0,0
108,PTBL3,2022-11-21,9.2,9.42,8.69,9.06,2144200,2900,64,2823,5787,0,0
109,PTBL3,2022-11-22,9.1,9.31,8.97,9.22,2339400,2350,75,3279,5704,0,0
110,PTBL3,2022-11-23,9.2,9.2,8.14,8.15,2751700,3221,122,2845,6188,0,0
111,PTBL3,2022-11-24,8.2,8.67,8.05,8.63,1952300,2116,54,1572,3742,0,0
112,PTBL3,2022-11-25,8.66,8.66,8.11,8.31,2203400,1760,38,2203,4001,0,0
113,PTBL3,2022-11-28,8.29,8.37,8.01,8.23,1182100,1437,55,1686,3178,0,0
114,PTBL3,2022-11-29,8.26,8.34,7.9,8.14,1781100,3038,53,2053,5144,0,0
115,PTBL3,2022-11-30,8.14,8.27,7.67,8.12,2522500,3970,74,3813,7857,0,0
116,PTBL3,2022-12-01,8.09,8.14,7.76,7.76,1763900,2085,88,2447,4620,0,0
117,PTBL3,2022-12-02,7.81,8.59,7.67,8.38,2522700,3722,61,3484,7267,0,0
118,PTBL3,2022-12-05,8.32,8.38,7.96,7.96,1280400,1662,55,1713,3430,0,0
119,PTBL3,2022-12-06,7.99,8.36,7.81,8.33,1275100,3830,43,2260,6133,0,0
120,PTBL3,2022-12-07,8.25,8.49,8.15,8.29,1420600,4471,57,2126,6654,0,0
121,PTBL3,2022-12-08,8.23,8.44,7.89,7.92,1422400,2586,47,2883,5516,0,0
122,PTBL3,2022-12-09,7.98,8.24,7.74,8.0,1003800,1680,35,1797,3512,0,0
123,PTBL3,2022-12-12,7.91,8.03,7.42,7.49,1630700,1436,37,2476,3949,0,0
124,PTBL3,2022-12-13,7.54,7.94,7.51,7.77,2141200,1996,42,3303,5341,0,0
125,PTBL3,2022-12-14,7.69,7.89,7.45,7.76,1936600,2223,38,2381,4642,0,0
126,PTBL3,2022-12-15,7.7,8.33,7.66,8.15,1386800,2252,38,1597,3887,0,0
127,PTBL3,2022-12-16,8.12,8.27,7.34,7.5,1803700,1946,54,2175,4175,0,0
128,PTBL3,2022-12-19,7.5,7.67,7.37,7.47,1263200,1644,45,1932,3621,0,0
129,PTBL3,2022-12-20,7.46,8.26,7.34,8.14,1932200,2370,42,1965,4377,0,0
130,PTBL3,2022-12-21,8.16,8.38,7.91,8.08,1320100,1897,40,1629,3566,0,0
131,PTBL3,2022-12-22,8.09,8.25,7.96,8.13,892200,1102,37,1036,2175,0,0
132,PTBL3,2022-12-23,8.17,8.52,8.16,8.43,715200,1087,59,691,1837,0,0
133,PTBL3,2022-12-26,8.41,8.58,8.16,8.25,431300,689,35,636,1360,0,0
134,PTBL3,2022-12-27,8.27,8.3,7.68,7.69,857300,1219,47,1958,3224,0,0
135,PTBL3,2022-12-28,7.71,7.99,7.64,7.97,727500,1401,42,1034,2476,1,0
136,PTBL3,2022-12-29,7.99,8.24,7.91,8.23,782500,1434,53,1107,2594,0,0
137,PTBL3,2023-01-02,8.11,8.12,7.65,7.88,609100,976,38,971,1985,0,0
138,PTBL3,2023-01-03,7.85,8.04,7.51,7.51,1234000,1779,56,2663,4498,0,0
139,PTBL3,2023-01-04,7.55,7.72,7.46,7.55,972200,1325,43,2089,3457,0,0
140,PTBL3,2023-01-05,8.0,8.0,7.51,7.57,1026600,892,52,1868,2812,0,0
141,PTBL3,2023-01-06,7.58,7.91,7.52,7.85,890000,1211,52,1695,2958,0,0
142,PTBL3,2023-01-09,7.8,7.8,7.57,7.6,691100,1139,42,1457,2638,0,0
143,PTBL3,2023-01-10,7.58,8.14,7.53,8.06,822800,1225,55,1139,2419,0,0
144,PTBL3,2023-01-11,8.04,8.12,7.74,7.88,775100,1009,42,875,1926,0,0
145,PTBL3,2023-01-12,7.73,8.03,7.65,7.68,798200,1064,48,1240,2352,0,0
146,PTBL3,2023-01-13,7.68,7.78,7.56,7.56,757100,810,61,1183,2054,0,0
147,PTBL3,2023-01-16,7.56,7.56,7.24,7.28,646600,688,43,1159,1890,0,0
148,PTBL3,2023-01-17,7.22,7.32,7.07,7.26,664100,930,57,1024,2011,0,0
149,PTBL3,2023-01-18,7.27,7.52,7.21,7.26,821400,1051,61,734,1846,0,0
150,PTBL3,2023-01-19,7.05,7.28,7.0,7.18,485700,754,79,629,1462,0,0
151,PTBL3,2023-01-20,7.12,7.35,7.12,7.23,394100,672,61,570,1303,0,0
152,PTBL3,2023-01-23,7.25,7.43,7.22,7.22,555700,835,65,655,1555,0,0
153,PTBL3,2023-01-24,7.21,7.32,7.15,7.24,442300,746,46,766,1558,0,0
154,PTBL3,2023-01-25,7.23,7.4,7.08,7.28,994600,1117,50,900,2067,0,0
155,PTBL3,2023-01-26,7.34,7.65,7.26,7.63,952500,1335,54,680,2069,0,0
156,PTBL3,2023-01-30,7.67,7.94,7.62,7.74,745300,1067,62,1150,2279,0,0
157,PTBL3,2023-01-31,7.77,8.27,7.74,8.16,1219800,1611,61,1248,2920,0,0
158,PTBL3,2023-02-01,8.12,8.24,7.69,7.79,1207400,1808,44,1725,3577,0,0
