,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,PTNT4,2022-06-06,6.2,6.37,6.0,6.15,23000,20,0,34,54,0,0
1,PTNT4,2022-06-07,6.01,6.01,5.65,5.65,49200,38,0,75,113,0,0
2,PTNT4,2022-06-08,5.53,5.65,5.3,5.35,68000,48,0,101,149,0,0
3,PTNT4,2022-06-09,5.4,5.4,5.25,5.25,24800,20,0,49,69,0,0
4,PTNT4,2022-06-10,5.31,5.55,5.07,5.55,31900,48,2,54,104,0,0
5,PTNT4,2022-06-13,5.4,5.48,5.25,5.25,600,2,0,2,4,0,0
6,PTNT4,2022-06-14,5.22,5.3,4.93,5.06,28700,48,0,54,102,0,0
7,PTNT4,2022-06-15,5.13,5.24,4.91,4.91,27600,11,0,37,48,0,0
8,PTNT4,2022-06-17,5.0,5.32,4.51,4.72,81500,61,0,128,189,0,0
9,PTNT4,2022-06-20,4.71,5.0,4.6,4.76,39000,160,0,93,253,0,0
10,PTNT4,2022-06-21,4.93,5.0,4.5,4.81,121500,50,0,145,195,0,0
11,PTNT4,2022-06-22,4.76,4.98,4.6,4.88,37400,36,0,55,91,0,0
12,PTNT4,2022-06-23,4.99,5.0,4.87,4.95,26300,9,0,10,19,0,0
13,PTNT4,2022-06-24,5.0,5.48,5.0,5.48,7000,19,1,6,26,0,0
14,PTNT4,2022-06-27,5.54,5.61,5.4,5.49,15100,18,0,25,43,0,0
15,PTNT4,2022-06-28,5.58,5.8,5.46,5.8,32500,82,0,66,148,0,0
16,PTNT4,2022-06-29,5.67,5.84,5.46,5.5,24600,22,0,71,93,0,0
17,PTNT4,2022-06-30,5.41,6.0,5.41,6.0,22000,82,0,44,126,0,0
18,PTNT4,2022-07-01,6.0,6.05,5.8,6.05,9100,8,4,38,50,0,0
19,PTNT4,2022-07-04,6.1,6.15,5.85,5.91,13100,16,3,48,67,0,0
20,PTNT4,2022-07-05,5.81,5.96,5.8,5.83,9600,19,0,35,54,0,0
21,PTNT4,2022-07-06,5.91,5.91,5.85,5.87,6700,6,0,37,43,0,0
22,PTNT4,2022-07-07,6.03,6.18,6.0,6.1,6900,16,1,4,21,0,0
23,PTNT4,2022-07-08,6.19,6.19,6.14,6.15,1900,3,0,4,7,0,0
24,PTNT4,2022-07-11,6.08,6.15,6.05,6.1,3200,4,0,2,6,0,0
25,PTNT4,2022-07-12,6.09,6.1,6.06,6.08,3700,11,1,0,11,1,0
26,PTNT4,2022-07-13,6.08,6.17,6.05,6.08,10200,14,0,5,19,0,0
27,PTNT4,2022-07-14,5.96,6.07,5.95,6.06,3900,14,0,4,18,0,0
28,PTNT4,2022-07-15,5.96,5.96,5.82,5.82,1700,5,0,5,10,0,0
29,PTNT4,2022-07-18,5.99,6.1,5.86,5.88,3300,4,0,12,16,0,0
30,PTNT4,2022-07-19,5.8,6.1,5.8,6.03,4100,8,0,3,11,0,0
31,PTNT4,2022-07-20,5.86,6.19,5.86,6.14,2900,15,0,6,21,0,0
32,PTNT4,2022-07-21,6.05,6.05,5.96,5.96,24200,5,0,5,10,0,0
33,PTNT4,2022-07-22,5.95,5.95,5.95,5.95,900,0,0,6,6,0,0
34,PTNT4,2022-07-25,6.06,6.06,5.99,6.0,4500,4,0,1,5,0,0
35,PTNT4,2022-07-26,6.02,6.02,5.8,5.83,1000,3,0,5,8,0,0
36,PTNT4,2022-07-27,5.95,6.1,5.95,6.0,3000,8,0,1,9,0,0
37,PTNT4,2022-07-28,5.96,6.03,5.85,6.03,5200,14,0,8,22,0,0
38,PTNT4,2022-07-29,6.05,6.17,5.8,5.8,7100,16,0,12,28,0,0
39,PTNT4,2022-08-01,5.85,5.9,5.64,5.64,9800,11,0,32,43,0,0
40,PTNT4,2022-08-02,5.6,5.82,5.6,5.82,9100,17,0,14,31,0,0
