,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,QUAL3,2022-06-06,11.82,11.99,11.09,11.21,2613800,3835,94,3720,7649,0,0
1,QUAL3,2022-06-07,11.01,11.33,10.84,10.96,2974300,3276,94,3851,7221,0,0
2,QUAL3,2022-06-08,10.87,11.57,10.74,11.32,4322800,5932,118,4876,10926,0,0
3,QUAL3,2022-06-09,11.3,11.55,10.98,11.37,2855600,6949,81,3188,10218,0,0
4,QUAL3,2022-06-10,11.27,12.43,11.11,12.16,7449300,8198,224,8323,16745,0,0
5,QUAL3,2022-06-13,11.99,11.99,11.46,11.75,5065100,6495,184,5143,11822,0,0
6,QUAL3,2022-06-14,11.6,11.76,11.34,11.65,3978500,5775,90,6911,12776,0,0
7,QUAL3,2022-06-15,11.8,13.53,11.71,13.32,6884400,7782,255,8973,17003,7,0
8,QUAL3,2022-06-17,12.99,14.0,12.87,13.92,4597400,6522,207,5923,12652,0,0
9,QUAL3,2022-06-20,13.78,14.2,13.51,13.72,2559900,5016,117,3360,8493,0,0
10,QUAL3,2022-06-21,13.82,14.8,13.56,14.72,2869700,4199,148,4870,9217,0,0
11,QUAL3,2022-06-22,14.34,14.48,14.09,14.12,2986700,4510,143,4318,8971,0,0
12,QUAL3,2022-06-23,14.14,14.2,13.47,13.51,3285700,4625,134,3796,8554,1,0
13,QUAL3,2022-06-24,13.7,13.76,13.03,13.05,2460800,3645,102,3246,6992,1,0
14,QUAL3,2022-06-27,13.05,13.35,12.81,12.99,1941000,3568,77,2847,6492,0,0
15,QUAL3,2022-06-28,13.03,13.18,12.54,12.64,2502900,3399,58,4280,7737,0,0
16,QUAL3,2022-06-29,12.7,12.77,11.48,11.57,3933600,5093,102,7847,13042,0,0
17,QUAL3,2022-06-30,11.39,11.55,11.04,11.13,3484500,5344,189,7091,12624,0,0
18,QUAL3,2022-07-01,11.15,11.45,10.81,11.36,2839700,4282,114,5611,10007,0,0
19,QUAL3,2022-07-04,11.22,11.88,11.16,11.44,2250000,2563,88,3182,5832,1,0
20,QUAL3,2022-07-05,11.42,12.01,11.26,11.93,2539000,4472,92,4236,8800,0,0
21,QUAL3,2022-07-06,11.85,12.5,11.79,12.25,2485400,4872,75,5171,10118,0,0
22,QUAL3,2022-07-07,12.46,12.78,12.32,12.44,1697600,3876,70,3562,7508,0,0
23,QUAL3,2022-07-08,12.54,12.68,12.06,12.21,1755900,3237,74,3413,6724,0,0
24,QUAL3,2022-07-11,11.88,12.14,11.62,11.81,1565800,2613,69,2731,5413,0,0
25,QUAL3,2022-07-12,11.8,12.14,11.71,11.79,1935900,3659,57,3072,6788,0,0
26,QUAL3,2022-07-13,11.67,11.75,11.23,11.33,2488300,4782,87,5071,9940,0,0
27,QUAL3,2022-07-14,11.13,11.28,10.87,11.19,1969500,3031,119,3013,6163,0,0
28,QUAL3,2022-07-15,11.22,11.22,10.74,10.76,1946400,2738,110,3430,6278,0,0
29,QUAL3,2022-07-18,10.81,11.03,10.44,10.44,1769400,2277,84,3336,5697,0,0
30,QUAL3,2022-07-19,10.52,10.64,10.21,10.43,1892800,3549,80,4626,8255,0,0
31,QUAL3,2022-07-20,10.38,10.64,10.24,10.51,2085300,3900,87,4045,8032,0,0
32,QUAL3,2022-07-21,10.54,10.76,10.31,10.46,2345900,3078,104,5165,8347,0,0
33,QUAL3,2022-07-22,10.48,10.74,10.32,10.43,1911300,3178,59,4958,8195,0,0
34,QUAL3,2022-07-25,10.4,10.44,9.95,9.96,2883900,2748,162,5409,8319,0,0
35,QUAL3,2022-07-26,10.0,10.07,9.15,9.19,5322700,4977,133,6920,12030,0,0
36,QUAL3,2022-07-27,9.24,9.67,9.19,9.54,3632700,5229,88,5164,10481,0,0
37,QUAL3,2022-07-28,9.47,10.4,9.47,10.24,5150700,6211,222,7257,13582,108,0
38,QUAL3,2022-07-29,10.3,10.35,9.8,9.87,3259700,4901,87,6039,11027,0,0
39,QUAL3,2022-08-01,9.89,10.6,9.84,10.18,3960600,4546,82,5577,10205,0,0
40,QUAL3,2022-08-02,10.15,10.59,10.02,10.25,3324000,4707,86,3991,8783,1,0
41,QUAL3,2022-08-03,10.28,10.58,10.22,10.39,2676600,2883,68,3377,6328,0,0
42,QUAL3,2022-08-08,11.37,11.62,11.16,11.27,1996600,3306,67,3251,6624,0,0
43,QUAL3,2022-08-09,11.39,11.73,11.09,11.65,3563300,4705,84,4602,9389,2,0
44,QUAL3,2022-08-10,11.78,12.19,11.46,11.59,3752300,6003,129,6552,12681,3,0
45,QUAL3,2022-08-12,10.9,11.9,10.45,11.57,5356800,6085,156,5472,11712,1,0
46,QUAL3,2022-08-15,11.48,12.24,11.46,11.87,3588800,5139,100,5477,10716,0,0
47,QUAL3,2022-08-16,11.9,11.9,11.46,11.69,1646400,2794,72,3014,5879,1,0
48,QUAL3,2022-08-17,11.55,11.65,10.89,11.03,3346900,5811,73,5518,11402,0,0
49,QUAL3,2022-08-18,11.09,11.26,10.7,10.88,2250700,4156,145,4247,8548,0,0
50,QUAL3,2022-08-19,10.7,10.82,10.35,10.45,2248000,3584,86,2969,6639,0,0
51,QUAL3,2022-08-22,10.36,10.54,10.2,10.34,2244200,3570,76,6211,9856,1,0
52,QUAL3,2022-08-23,10.48,10.53,10.28,10.45,1766900,2610,71,4009,6689,1,0
53,QUAL3,2022-08-24,10.47,10.59,10.29,10.4,1040400,1797,104,2011,3912,0,0
