,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,RADL3,2022-06-06,21.46,21.88,21.19,21.85,12265700,9901,159,10093,20141,12,0
1,RADL3,2022-06-07,21.25,21.57,20.88,21.46,7710300,7604,172,9488,17261,3,0
2,RADL3,2022-06-08,21.23,21.41,20.91,21.07,4769700,4304,129,3739,8170,2,0
3,RADL3,2022-06-09,20.94,21.24,20.57,20.84,4417000,7675,175,4307,12157,0,0
4,RADL3,2022-06-10,20.55,20.92,20.17,20.81,4674900,7766,104,8135,16003,2,0
5,RADL3,2022-06-13,20.4,20.69,19.93,20.21,6532500,9132,249,6851,16227,5,0
6,RADL3,2022-06-14,20.2,20.2,19.34,19.44,6764400,9516,749,8684,18323,626,0
7,RADL3,2022-06-15,19.62,19.71,19.05,19.49,6899500,11424,193,6763,18370,10,0
8,RADL3,2022-06-17,19.13,19.27,18.59,18.98,9923300,10780,261,11264,22303,2,0
9,RADL3,2022-06-20,19.13,19.13,18.42,18.57,3247800,3758,126,3508,7392,0,0
10,RADL3,2022-06-21,18.57,18.95,18.24,18.92,4536000,5179,140,6461,11778,2,0
11,RADL3,2022-06-22,18.71,19.72,18.63,19.33,6742300,8410,207,10001,18616,2,0
12,RADL3,2022-06-23,19.5,19.77,19.34,19.6,4570800,7047,159,6278,13481,3,0
13,RADL3,2022-06-24,19.91,20.07,19.53,19.84,3618200,5617,138,5181,10936,0,0
14,RADL3,2022-06-27,19.96,20.08,19.72,19.87,3547000,5140,137,2672,7948,1,0
15,RADL3,2022-06-28,19.91,20.09,19.52,19.69,6151800,9239,160,6656,16053,2,0
16,RADL3,2022-06-29,19.65,19.74,19.0,19.13,3929200,5747,133,7783,13661,2,0
17,RADL3,2022-06-30,18.7,19.4,18.7,19.2,7546000,7824,238,9739,17798,3,0
18,RADL3,2022-07-01,18.95,19.1,18.7,19.04,4755600,7736,229,7877,15841,1,0
19,RADL3,2022-07-04,18.9,19.05,18.64,18.64,1847400,2207,143,4577,6927,0,0
20,RADL3,2022-07-05,18.56,19.2,18.54,19.12,4942400,5229,227,7627,13082,1,0
21,RADL3,2022-07-06,19.05,19.61,18.87,19.48,4534500,4512,214,5361,10085,2,0
22,RADL3,2022-07-07,19.51,20.1,19.43,20.03,6127500,3810,148,8433,12385,6,0
23,RADL3,2022-07-08,20.0,20.31,19.5,20.08,7130700,5588,121,5237,10935,11,0
24,RADL3,2022-07-11,19.82,19.95,19.5,19.79,4967700,5022,110,4382,9509,5,0
25,RADL3,2022-07-12,19.82,20.35,19.71,20.16,7084400,7971,199,8139,16292,17,0
26,RADL3,2022-07-13,20.04,20.49,19.77,19.89,5007900,7511,123,9582,17215,1,0
27,RADL3,2022-07-14,19.69,20.74,19.62,20.67,9302900,9067,256,13206,22523,6,0
28,RADL3,2022-07-15,20.74,21.0,20.44,20.86,6705100,7467,153,7302,14918,4,0
29,RADL3,2022-07-18,20.95,21.04,20.49,20.6,9392400,7716,162,6091,13960,9,0
30,RADL3,2022-07-19,20.65,20.73,20.12,20.28,4624800,5947,155,5695,11793,4,0
31,RADL3,2022-07-20,20.08,20.26,19.51,19.73,7849200,11686,181,9649,21508,8,0
32,RADL3,2022-07-21,19.47,19.72,19.2,19.51,3987600,5465,240,7905,13608,2,0
33,RADL3,2022-07-22,19.66,20.15,19.46,20.15,4436800,6247,170,7197,13610,4,0
34,RADL3,2022-07-25,20.15,20.7,20.15,20.26,5434300,9974,107,10114,20194,1,0
35,RADL3,2022-07-26,20.25,20.27,19.49,19.54,3578800,8016,136,5514,13666,0,0
36,RADL3,2022-07-27,19.82,20.38,19.75,20.27,4456200,3639,130,6734,10500,3,0
37,RADL3,2022-07-28,20.14,20.78,20.11,20.66,2784000,4685,130,6626,11440,1,0
38,RADL3,2022-07-29,20.67,21.24,20.39,21.04,4582700,6708,133,8143,14982,2,0
39,RADL3,2022-08-01,21.75,22.7,21.64,21.7,14440400,15149,280,19655,35076,8,0
40,RADL3,2022-08-02,21.65,21.8,21.3,21.67,8249500,7293,190,11260,18734,9,0
41,RADL3,2022-08-03,21.63,22.11,21.3,22.05,6323900,9478,162,10890,20530,0,0
42,RADL3,2022-08-08,22.22,22.34,21.94,22.25,5471100,8145,2087,9290,17564,1958,0
43,RADL3,2022-08-09,22.32,22.41,22.07,22.27,5212800,6243,168,8381,14787,5,0
44,RADL3,2022-08-10,22.6,22.6,22.33,22.48,7299600,8465,240,9254,17949,10,0
45,RADL3,2022-08-12,22.4,22.55,22.13,22.3,5534400,7188,196,9572,16956,0,0
46,RADL3,2022-08-15,22.2,22.49,22.09,22.3,4867700,4249,158,7461,11868,0,0
47,RADL3,2022-08-16,22.4,22.64,22.24,22.5,3350800,5108,167,6151,11424,2,0
48,RADL3,2022-08-17,22.35,23.58,22.26,23.33,8720700,13632,167,17225,31022,2,0
49,RADL3,2022-08-18,23.45,23.53,22.99,23.41,4127000,8350,122,5367,13837,2,0
50,RADL3,2022-08-19,23.25,23.57,22.73,22.73,5922700,10826,145,5980,16950,1,0
51,RADL3,2022-08-22,22.59,22.94,22.53,22.78,4534900,4261,161,6912,11331,3,0
52,RADL3,2022-08-23,22.68,22.95,22.68,22.9,9502800,7737,157,4880,12764,10,0
53,RADL3,2022-08-24,22.85,22.88,22.4,22.55,7529800,6646,189,8600,15430,5,0
54,RADL3,2022-08-25,22.58,22.7,22.36,22.62,4213500,7222,103,5445,12769,1,0
55,RADL3,2022-08-26,22.78,22.85,22.03,22.17,2876700,6338,123,5113,11574,0,0
56,RADL3,2022-08-29,22.03,22.19,21.87,22.05,4939300,5277,154,3040,8471,0,0
57,RADL3,2022-08-30,22.11,22.4,22.0,22.11,3794300,4088,126,4646,8860,0,0
58,RADL3,2022-08-31,22.22,22.3,21.75,21.99,8585800,6686,318,7071,14074,1,0
59,RADL3,2022-09-01,21.81,22.44,21.77,22.34,7610700,10073,193,12279,22540,5,0
60,RADL3,2022-09-02,22.25,22.82,22.07,22.6,7369100,8271,308,6368,14943,4,0
61,RADL3,2022-09-05,22.25,22.95,22.25,22.75,2561500,7121,326,5000,12257,190,0
62,RADL3,2022-09-06,22.56,22.69,22.13,22.55,4000100,5482,129,6564,12174,1,0
63,RADL3,2022-09-08,22.71,22.86,22.44,22.68,6271000,9218,1411,9083,18469,1243,0
64,RADL3,2022-09-09,22.83,23.31,22.59,22.76,8846800,7233,121,7968,15313,9,0
65,RADL3,2022-09-12,22.75,23.36,22.58,23.22,5259000,7120,210,10834,18158,6,0
66,RADL3,2022-09-13,22.95,23.2,22.61,23.0,6061500,12255,227,12376,24857,1,0
67,RADL3,2022-09-15,22.69,22.9,22.49,22.54,4203800,6417,136,6802,13351,4,0
68,RADL3,2022-09-16,22.5,22.77,22.27,22.27,10431600,9316,224,7265,16799,6,0
69,RADL3,2022-09-19,22.34,23.3,22.28,23.06,3640900,5511,129,6612,12252,0,0
70,RADL3,2022-09-20,23.01,23.3,22.72,23.01,5339900,10922,309,7032,18121,142,0
71,RADL3,2022-09-21,23.0,23.23,22.75,22.85,4840100,11276,178,7978,19430,2,0
72,RADL3,2022-09-22,23.19,23.29,22.57,23.08,5691300,13225,172,8551,21948,0,0
73,RADL3,2022-09-23,22.6,23.52,22.6,23.47,4980100,8991,142,8093,17225,1,0
74,RADL3,2022-09-27,23.1,23.4,22.8,22.95,8069100,9618,9809,8739,18529,9637,0
75,RADL3,2022-09-28,22.8,23.0,22.67,22.74,6155300,9802,168,7602,17570,2,0
76,RADL3,2022-09-29,22.46,22.47,21.81,22.01,11909400,12212,243,12861,25312,4,0
77,RADL3,2022-09-30,22.0,22.89,21.95,22.67,9040600,9625,205,14627,24409,48,0
78,RADL3,2022-10-03,23.25,24.2,22.92,24.19,10329500,16351,252,16680,33282,1,0
79,RADL3,2022-10-04,24.39,24.4,23.59,24.04,6421700,9083,199,10048,19328,2,0
80,RADL3,2022-10-05,24.2,24.2,23.64,23.72,4512700,6850,200,8191,15239,2,0
81,RADL3,2022-10-06,23.98,24.05,23.77,23.79,7192000,6039,155,7124,13287,31,0
82,RADL3,2022-10-07,23.84,24.2,23.37,23.57,6906700,9480,151,10459,20085,5,0
83,RADL3,2022-10-10,23.64,23.89,23.5,23.6,5888700,7724,130,5782,13634,2,0
84,RADL3,2022-10-11,23.61,23.9,23.26,23.43,8401700,11451,201,13867,25506,13,0
85,RADL3,2022-10-13,22.76,23.46,22.74,22.93,4782600,7474,246,12028,19743,5,0
86,RADL3,2022-10-14,23.11,23.16,22.24,22.27,5788800,10968,233,9880,21081,0,0
87,RADL3,2022-10-17,22.56,22.97,22.38,22.85,3932200,6834,146,10737,17714,3,0
88,RADL3,2022-10-18,23.06,23.45,22.93,23.26,6396200,10576,164,8479,19219,0,0
89,RADL3,2022-10-19,23.19,23.5,23.07,23.46,10508600,15418,354,14192,29942,22,0
90,RADL3,2022-10-20,23.5,23.65,23.3,23.51,11654400,10327,206,7312,17838,7,0
91,RADL3,2022-10-21,23.67,24.34,23.52,24.3,10589000,17072,180,10886,28130,8,0
92,RADL3,2022-10-24,23.95,24.42,23.67,24.18,7430200,7743,159,9523,17414,11,0
93,RADL3,2022-10-25,24.29,24.53,23.73,23.95,9983300,11168,207,10368,21728,15,0
94,RADL3,2022-10-26,23.78,24.05,23.33,23.5,7192300,12800,194,13578,26566,6,0
95,RADL3,2022-10-27,23.63,24.62,23.5,24.1,8130900,12860,204,17010,30071,3,0
96,RADL3,2022-10-28,24.08,25.05,24.08,24.81,6234600,15004,3853,10157,25305,3709,0
97,RADL3,2022-10-31,24.74,26.51,24.57,26.05,15077500,25306,204,16874,42381,3,0
98,RADL3,2022-11-01,25.61,27.15,25.34,25.62,14764500,22316,1549,22654,45261,1258,0
99,RADL3,2022-11-03,25.63,26.34,25.31,26.11,11871800,11354,199,14760,26310,3,0
100,RADL3,2022-11-04,26.2,26.71,26.1,26.45,11025300,15236,196,10253,25677,8,0
101,RADL3,2022-11-07,26.31,26.52,25.95,26.1,14038500,13885,1089,13909,27973,910,0
102,RADL3,2022-11-08,25.86,26.16,25.53,25.92,8294400,10485,209,11828,22521,1,0
103,RADL3,2022-11-09,25.8,26.19,25.59,25.77,4646700,13346,189,8682,22217,0,0
104,RADL3,2022-11-10,25.44,25.61,24.17,24.38,10626500,19097,201,17198,36496,0,0
105,RADL3,2022-11-14,23.5,24.17,23.44,23.84,6069500,12104,140,7141,19384,1,0
106,RADL3,2022-11-17,23.01,23.54,22.82,23.0,7857500,14765,228,10679,25671,1,0
107,RADL3,2022-11-18,23.12,23.71,23.01,23.2,5498200,6801,155,12439,19392,3,0
108,RADL3,2022-11-21,23.67,23.67,22.92,23.52,7938700,11679,190,10229,22091,7,0
109,RADL3,2022-11-22,23.52,23.64,22.4,22.65,7838200,10035,1559,11398,21634,1358,0
110,RADL3,2022-11-23,22.61,22.99,22.06,22.5,4226200,7506,177,9162,16845,0,0
111,RADL3,2022-11-24,22.7,23.57,22.6,23.25,2536100,3699,90,3787,7574,2,0
112,RADL3,2022-11-25,23.37,23.38,22.36,22.47,4114500,6027,184,6698,12909,0,0
113,RADL3,2022-11-28,22.83,22.96,22.18,22.35,2425100,3188,172,3817,7176,1,0
114,RADL3,2022-11-29,22.18,22.69,22.01,22.47,3541500,5862,171,6414,12446,1,0
115,RADL3,2022-11-30,22.4,23.05,22.35,23.05,10089200,10759,328,12283,23368,2,0
116,RADL3,2022-12-01,22.66,23.38,22.66,22.85,10233300,12314,218,12801,25327,6,0
117,RADL3,2022-12-02,23.0,23.74,22.48,23.33,13304800,11850,146,12352,24342,6,0
118,RADL3,2022-12-05,23.28,23.49,22.88,23.49,8100400,8329,137,10762,19227,1,0
119,RADL3,2022-12-06,23.58,24.26,23.28,24.06,11063600,11233,150,13658,25040,1,0
