,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,RAIZ4,2022-06-06,6.25,6.25,5.89,5.95,9845400,4539,89,7205,11827,6,0
1,RAIZ4,2022-06-07,5.93,5.95,5.6,5.69,18881300,8975,3596,15270,24341,3500,0
2,RAIZ4,2022-06-08,5.6,5.62,5.37,5.49,13996400,7250,133,9319,16698,4,0
3,RAIZ4,2022-06-09,5.48,5.61,5.4,5.4,8480000,4312,81,6894,11285,2,0
4,RAIZ4,2022-06-10,5.36,5.37,5.25,5.33,4786300,4211,78,3050,7339,0,0
5,RAIZ4,2022-06-13,5.21,5.25,5.06,5.15,7709600,7347,71,3251,10669,0,0
6,RAIZ4,2022-06-14,5.14,5.21,5.0,5.03,9702900,3158,88,6802,10044,4,0
7,RAIZ4,2022-06-15,5.1,5.22,5.03,5.09,10830000,6088,100,11915,18099,4,0
8,RAIZ4,2022-06-17,5.06,5.08,4.84,5.08,10891400,6070,160,4747,10977,0,0
9,RAIZ4,2022-06-20,5.08,5.22,5.0,5.09,7841400,4122,43,7171,11334,2,0
10,RAIZ4,2022-06-21,5.12,5.16,4.99,5.04,7411800,5251,67,6876,12194,0,0
11,RAIZ4,2022-06-22,5.02,5.09,4.94,4.98,8433900,6040,72,7684,13796,0,0
12,RAIZ4,2022-06-23,5.03,5.07,4.78,4.79,8059200,7814,172,8578,16564,0,0
13,RAIZ4,2022-06-24,4.85,4.87,4.75,4.79,7941200,3195,81,6382,9654,4,0
14,RAIZ4,2022-06-27,4.81,4.87,4.76,4.82,10516900,10869,58,6986,17912,1,0
15,RAIZ4,2022-06-28,4.85,5.02,4.81,4.83,8975600,5160,73,6977,12210,0,0
16,RAIZ4,2022-06-29,4.84,4.89,4.77,4.78,7179800,5057,91,8147,13295,0,0
17,RAIZ4,2022-06-30,4.71,4.76,4.55,4.58,6721700,3886,69,3179,7134,0,0
18,RAIZ4,2022-07-01,4.52,4.7,4.52,4.54,12849200,5775,77,6039,11890,1,0
19,RAIZ4,2022-07-04,4.53,4.71,4.5,4.55,5003300,2606,75,1570,4251,0,0
20,RAIZ4,2022-07-05,4.56,4.56,4.38,4.54,9503300,3714,68,4265,8047,0,0
21,RAIZ4,2022-07-06,4.53,4.55,4.25,4.36,11922900,7976,62,7518,15555,1,0
22,RAIZ4,2022-07-07,4.41,4.65,4.41,4.53,10027800,6582,108,7475,14163,2,0
23,RAIZ4,2022-07-08,4.53,4.64,4.39,4.42,7050900,3676,153,3987,7816,0,0
24,RAIZ4,2022-07-11,4.37,4.38,4.13,4.15,13261200,4565,88,11234,15887,0,0
25,RAIZ4,2022-07-12,4.16,4.16,4.02,4.04,14771600,3477,167,4947,8590,1,0
26,RAIZ4,2022-07-13,4.01,4.18,3.9,4.13,14925600,4124,105,4143,8372,0,0
27,RAIZ4,2022-07-14,4.12,4.33,4.1,4.27,9774500,8320,107,4022,12449,0,0
