,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,RANI3,2022-06-06,7.48,7.54,7.29,7.32,920900,2126,36,2121,4283,0,0
1,RANI3,2022-06-07,7.32,7.32,7.1,7.15,756600,1659,46,1538,3243,0,0
2,RANI3,2022-06-08,7.12,7.21,6.89,6.9,1570500,4105,71,2796,6972,0,0
3,RANI3,2022-06-09,6.9,7.09,6.89,6.98,795900,1607,45,1061,2713,0,0
4,RANI3,2022-06-10,6.92,7.19,6.89,7.0,955400,1744,50,1110,2904,0,0
5,RANI3,2022-06-13,6.93,7.03,6.66,6.93,1257300,2929,40,1523,4492,0,0
6,RANI3,2022-06-14,6.94,7.08,6.61,6.75,1017300,1329,47,1651,3027,0,0
7,RANI3,2022-06-15,6.84,6.96,6.75,6.88,921600,1325,446,1937,3312,396,0
8,RANI3,2022-06-17,6.68,6.87,6.63,6.8,861600,1530,472,2056,3635,423,0
9,RANI3,2022-06-20,6.8,7.02,6.72,6.9,787800,1213,322,987,2237,285,0
10,RANI3,2022-06-21,6.92,7.05,6.76,6.84,834900,1466,318,1192,2705,271,0
11,RANI3,2022-06-22,6.8,6.91,6.65,6.7,1005600,2121,242,2025,4187,201,0
12,RANI3,2022-06-23,6.72,6.79,6.5,6.58,818600,1729,222,1602,3380,173,0
13,RANI3,2022-06-24,6.65,6.78,6.57,6.7,792100,2021,43,1466,3530,0,0
14,RANI3,2022-06-27,6.75,6.92,6.75,6.92,823200,2591,44,1176,3811,0,0
15,RANI3,2022-06-28,7.0,7.17,6.81,6.86,1019500,2770,50,2319,5139,0,0
16,RANI3,2022-06-29,6.91,6.94,6.77,6.8,558000,1020,177,1181,2240,138,0
17,RANI3,2022-06-30,6.73,6.86,6.5,6.67,1147200,1907,132,1960,3944,55,0
18,RANI3,2022-07-01,6.7,6.87,6.53,6.74,958600,1620,46,1571,3237,0,0
19,RANI3,2022-07-04,6.68,6.8,6.59,6.6,944200,1370,75,1966,3380,31,0
20,RANI3,2022-07-05,6.6,6.76,6.57,6.69,853200,1513,38,1866,3417,0,0
21,RANI3,2022-07-06,6.75,6.9,6.66,6.9,1331100,3060,34,2693,5787,0,0
22,RANI3,2022-07-07,6.92,7.09,6.82,6.83,1130400,1545,35,1488,3068,0,0
23,RANI3,2022-07-08,6.84,6.98,6.76,6.8,649300,1141,27,1263,2431,0,0
24,RANI3,2022-07-11,6.73,6.81,6.53,6.61,1199200,1807,65,2345,4217,0,0
25,RANI3,2022-07-12,6.57,6.81,6.51,6.75,698400,1831,46,1215,3092,0,0
26,RANI3,2022-07-13,6.71,6.88,6.66,6.85,619000,1079,52,1223,2354,0,0
27,RANI3,2022-07-14,6.75,6.82,6.65,6.78,499900,915,43,799,1756,1,0
