,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,RAPT4,2023-03-02,7.78,7.84,7.48,7.67,4138900,3473,61,5367,8901,0,0
1,RAPT4,2022-12-20,8.49,8.68,8.35,8.38,3297400,6079,54,4235,10368,0,0
2,RAPT4,2023-05-31,10.68,10.92,10.58,10.77,2869700,3111,118,3832,7061,0,0
3,RAPT4,2023-03-07,7.97,8.06,7.88,8.02,2730600,5009,60,2955,8024,0,0
4,RAPT4,2022-09-13,9.3,9.34,9.12,9.22,2922500,2822,65,5582,8469,0,0
5,RAPT4,2022-09-29,9.38,9.44,9.19,9.38,2045800,2248,50,2450,4748,0,0
6,RAPT4,2023-08-08,12.16,12.44,12.02,12.14,2710200,4003,74,2342,6418,1,0
7,RAPT4,2023-08-03,12.92,12.99,12.41,12.41,1501700,2141,135,1959,4235,0,0
8,RAPT4,2022-09-09,9.28,9.44,9.18,9.38,2366100,4108,66,3546,7720,0,0
9,RAPT4,2023-07-20,12.0,12.09,11.88,12.06,1257000,1803,73,1383,3259,0,0
10,RAPT4,2023-03-17,7.48,7.51,7.32,7.46,3724800,3999,56,3026,7080,1,0
11,RAPT4,2023-01-31,8.06,8.23,8.04,8.1,3054100,4073,68,3301,7442,0,0
12,RAPT4,2022-07-18,9.77,10.0,9.56,9.69,1363500,1408,63,2811,4282,0,0
13,RAPT4,2022-08-22,10.52,10.6,10.35,10.53,1102800,1831,79,1807,3717,0,0
14,RAPT4,2022-06-09,9.84,10.26,9.74,10.0,3826200,4440,54,6881,11373,2,0
15,RAPT4,2022-10-07,9.95,10.04,9.77,9.91,2970700,4427,61,3917,8405,0,0
16,RAPT4,2022-12-01,9.3,9.5,9.25,9.35,968800,1310,53,1941,3304,0,0
17,RAPT4,2023-01-26,8.22,8.45,8.22,8.37,2845500,5223,66,3563,8852,0,0
18,RAPT4,2023-08-21,12.24,12.29,11.99,12.12,1880100,2396,126,2951,5473,0,0
19,RAPT4,2023-07-28,11.72,12.46,11.67,12.46,5364600,4564,117,2615,7294,2,0
20,RAPT4,2023-06-13,11.78,11.92,11.57,11.68,3432000,3399,85,5807,9290,1,0
21,RAPT4,2023-06-06,11.12,11.3,11.08,11.27,5449700,3606,104,3129,6838,1,0
22,RAPT4,2023-03-06,7.76,8.02,7.76,7.97,2588900,3459,51,2407,5917,0,0
23,RAPT4,2023-01-30,8.3,8.37,8.01,8.05,1450700,1191,76,1922,3189,0,0
24,RAPT4,2022-08-15,11.41,11.6,11.33,11.51,1796700,2733,65,3214,6012,0,0
25,RAPT4,2023-03-20,7.48,7.58,7.36,7.37,1915700,2605,49,2400,5054,0,0
26,RAPT4,2022-06-14,9.37,9.51,9.2,9.25,1579700,2676,60,2757,5493,0,0
27,RAPT4,2023-02-09,7.94,8.04,7.66,7.71,3580900,3528,53,5567,9147,1,0
28,RAPT4,2023-05-26,10.64,10.77,10.51,10.66,1664200,2246,86,2640,4972,0,0
29,RAPT4,2023-04-27,8.0,8.14,7.93,8.12,1644900,2001,50,2016,4067,0,0
30,RAPT4,2023-08-11,11.88,12.4,11.88,12.35,2214100,4161,92,2336,6589,0,0
31,RAPT4,2023-04-26,8.06,8.06,7.93,7.95,1562200,1588,50,2437,4075,0,0
32,RAPT4,2022-09-06,9.42,9.43,9.1,9.26,4584400,8665,69,5612,14346,0,0
33,RAPT4,2023-01-24,7.92,8.05,7.92,7.99,1165000,1185,41,2062,3288,0,0
34,RAPT4,2023-04-07,7.2,7.3,7.16,7.2,1694300,1743,58,1376,3177,0,0
35,RAPT4,2022-06-23,9.69,9.96,9.69,9.75,2064900,3256,79,2509,5844,0,0
36,RAPT4,2022-11-30,9.36,9.4,9.12,9.33,1740900,1671,56,1816,3542,1,0
37,RAPT4,2023-04-05,7.44,7.46,7.16,7.23,3041800,2467,52,2173,4692,0,0
38,RAPT4,2023-01-06,7.91,8.13,7.87,7.93,5480100,4255,65,10027,14347,0,0
39,RAPT4,2023-08-16,12.55,12.84,12.54,12.63,2230000,3562,95,2534,6191,0,0
40,RAPT4,2023-06-29,11.96,12.13,11.92,11.99,2095200,2745,82,3427,6254,0,0
41,RAPT4,2023-01-04,7.95,7.99,7.76,7.84,3253300,3882,48,4355,8285,0,0
42,RAPT4,2022-10-27,9.37,9.69,9.27,9.5,2288900,3172,51,4473,7696,0,0
43,RAPT4,2022-12-22,8.4,8.42,8.22,8.3,3337200,5031,49,4071,9150,1,0
44,RAPT4,2023-06-16,11.88,11.95,11.77,11.77,1855000,1645,119,3131,4895,0,0
45,RAPT4,2022-08-08,11.17,11.43,11.13,11.23,1265900,1561,67,1861,3489,0,0
46,RAPT4,2023-03-09,8.26,8.46,8.26,8.31,3217400,5155,42,4702,9898,1,0
47,RAPT4,2022-08-10,11.14,11.35,11.07,11.25,1469700,3152,50,2309,5511,0,0
48,RAPT4,2022-06-24,9.83,9.92,9.67,9.7,2654700,1539,129,2310,3903,75,0
49,RAPT4,2023-03-13,7.97,7.97,7.8,7.91,2959100,2718,53,3103,5874,0,0
50,RAPT4,2023-05-15,10.06,10.27,9.86,10.1,3579300,5322,92,4201,9615,0,0
51,RAPT4,2022-08-19,10.91,11.01,10.54,10.54,1231600,1596,70,2070,3736,0,0
52,RAPT4,2022-11-22,9.54,9.67,9.42,9.49,1454200,2756,37,2651,5444,0,0
53,RAPT4,2022-11-18,9.55,9.78,9.33,9.34,2380000,2903,37,4064,7004,0,0
54,RAPT4,2022-08-17,11.44,11.58,11.24,11.43,1496700,2695,38,2233,4966,0,0
55,RAPT4,2023-01-16,8.23,8.27,7.9,7.92,1649100,2179,56,2508,4742,1,0
56,RAPT4,2022-09-02,9.83,10.06,9.75,9.83,5196000,5575,119,4287,9981,0,0
57,RAPT4,2022-10-11,9.82,9.86,9.67,9.73,2428000,3371,56,4005,7432,0,0
58,RAPT4,2023-08-18,12.34,12.41,12.17,12.32,1124600,1937,78,2299,4314,0,0
59,RAPT4,2023-02-15,7.89,8.15,7.87,7.99,2401400,2646,46,3221,5913,0,0
60,RAPT4,2022-12-15,8.16,8.33,8.07,8.13,2787300,4407,41,5888,10335,1,0
61,RAPT4,2022-07-08,9.93,10.09,9.82,9.9,1945900,2846,62,3170,6078,0,0
62,RAPT4,2023-05-19,10.22,10.54,10.16,10.35,2734100,3339,62,4104,7505,0,0
63,RAPT4,2023-08-25,12.74,12.81,12.5,12.5,2049200,1946,120,3839,5905,0,0
64,RAPT4,2022-11-03,9.89,10.33,9.85,10.22,1738400,3546,72,2668,6286,0,0
65,RAPT4,2022-07-06,9.29,9.45,9.13,9.27,2905900,3143,53,2556,5752,0,0
66,RAPT4,2023-06-26,12.29,12.3,12.07,12.08,1551700,2037,67,2130,4234,0,0
67,RAPT4,2023-06-20,11.83,12.0,11.76,11.87,2138100,3165,79,2887,6131,0,0
68,RAPT4,2023-08-02,12.31,12.82,12.25,12.78,2684200,3080,117,2611,5808,0,0
69,RAPT4,2022-09-23,9.73,9.87,9.64,9.76,1359300,2058,47,2488,4593,0,0
70,RAPT4,2023-07-03,12.17,12.22,12.05,12.14,2749700,4462,107,2575,7144,0,0
71,RAPT4,2022-10-21,9.62,9.89,9.51,9.8,2359700,3339,59,4159,7557,0,0
72,RAPT4,2023-07-27,11.73,11.78,11.51,11.6,2160800,1842,103,2974,4919,0,0
73,RAPT4,2023-04-28,8.12,8.29,8.1,8.23,1821000,1687,83,2084,3854,0,0
74,RAPT4,2022-10-19,9.95,9.95,9.84,9.87,1516400,2848,62,3310,6220,0,0
75,RAPT4,2022-08-23,10.59,10.67,10.38,10.42,2187200,2714,68,2595,5377,0,0
76,RAPT4,2023-01-25,8.04,8.2,7.97,8.19,1655500,1986,46,1509,3541,0,0
77,RAPT4,2023-04-19,7.83,7.88,7.71,7.74,2266000,2120,59,2793,4972,0,0
78,RAPT4,2022-10-25,9.64,9.71,9.36,9.42,2299200,2523,71,2773,5367,0,0
79,RAPT4,2023-05-22,10.38,10.51,10.29,10.35,1771300,2697,71,2805,5573,0,0
80,RAPT4,2022-11-17,9.3,9.46,9.1,9.45,2245800,3624,55,4462,8141,0,0
81,RAPT4,2023-03-01,7.95,7.95,7.54,7.79,4218000,3577,73,5018,8668,0,0
82,RAPT4,2023-02-27,7.87,7.9,7.74,7.88,1625600,1954,53,2201,4208,0,0
83,RAPT4,2023-06-23,12.25,12.36,12.13,12.28,1576000,2293,86,1672,4051,0,0
84,RAPT4,2022-09-27,9.5,9.56,9.38,9.45,1662800,1857,58,1581,3496,0,0
85,RAPT4,2022-06-15,9.42,10.06,9.38,9.95,5109100,5471,260,5028,10578,181,0
86,RAPT4,2023-03-16,7.57,7.6,7.4,7.51,3089800,2950,44,5216,8209,1,0
87,RAPT4,2022-06-21,9.68,9.78,9.39,9.53,2198800,2552,247,2556,5183,172,0
88,RAPT4,2023-07-07,11.99,12.2,11.95,12.19,2073600,3058,73,3292,6423,0,0
89,RAPT4,2023-01-10,8.04,8.26,8.03,8.22,2837200,3344,56,3801,7199,2,0
