,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,RCSL4,2022-06-06,0.77,0.79,0.76,0.78,184900,83,0,164,247,0,0
1,RCSL4,2022-06-07,0.78,0.79,0.75,0.76,161000,98,0,137,235,0,0
2,RCSL4,2022-06-08,0.78,0.78,0.75,0.75,92900,90,0,106,196,0,0
3,RCSL4,2022-06-09,0.77,0.8,0.74,0.77,286300,348,4,327,679,0,0
4,RCSL4,2022-06-10,0.79,0.79,0.72,0.77,315200,261,0,341,602,0,0
5,RCSL4,2022-06-13,0.75,0.77,0.71,0.73,325000,369,2,445,816,0,0
6,RCSL4,2022-06-14,0.74,0.77,0.7,0.71,528200,251,0,437,688,0,0
7,RCSL4,2022-06-15,0.73,0.74,0.71,0.72,364200,333,2,252,587,0,0
8,RCSL4,2022-06-17,0.73,0.73,0.69,0.69,219600,209,1,301,511,0,0
9,RCSL4,2022-06-20,0.72,0.73,0.7,0.7,204600,267,0,294,561,0,0
10,RCSL4,2022-06-21,0.71,0.71,0.69,0.69,190400,217,4,203,424,0,0
11,RCSL4,2022-06-22,0.7,0.71,0.69,0.7,207200,290,0,173,463,0,0
12,RCSL4,2022-06-23,0.7,0.73,0.7,0.72,715400,570,0,157,727,0,0
13,RCSL4,2022-06-24,0.73,0.75,0.69,0.7,481000,272,2,319,593,0,0
14,RCSL4,2022-06-27,1.33,1.41,1.28,1.29,950500,886,0,1126,2012,0,0
15,RCSL4,2022-06-28,1.3,1.32,1.14,1.15,653200,462,29,1038,1529,0,0
16,RCSL4,2022-06-29,1.16,1.19,1.03,1.03,521100,383,0,417,800,0,0
17,RCSL4,2022-06-30,1.02,1.03,0.9,1.0,974800,848,0,713,1561,0,0
18,RCSL4,2022-07-01,1.04,1.08,1.01,1.03,833500,723,0,372,1095,0,0
19,RCSL4,2022-07-04,1.03,1.05,1.02,1.02,214700,168,0,271,439,0,0
20,RCSL4,2022-07-05,1.04,1.05,1.02,1.03,170000,228,0,161,389,0,0
21,RCSL4,2022-07-06,1.05,1.06,1.01,1.02,371600,206,1,214,421,0,0
22,RCSL4,2022-07-07,1.05,1.08,1.03,1.05,322100,237,0,97,334,0,0
23,RCSL4,2022-07-08,1.07,1.17,1.06,1.12,1342600,1630,1,476,2107,0,0
24,RCSL4,2022-07-11,1.15,1.22,1.1,1.11,901200,564,0,545,1109,0,0
25,RCSL4,2022-07-12,1.1,1.13,1.07,1.1,210900,167,0,118,285,0,0
26,RCSL4,2022-07-13,1.12,1.19,1.09,1.12,562400,367,8,289,664,0,0
27,RCSL4,2022-07-14,1.12,1.15,1.03,1.03,581300,244,0,217,461,0,0
28,RCSL4,2022-07-15,1.05,1.06,1.0,1.0,459300,178,0,180,358,0,0
29,RCSL4,2022-07-18,1.0,1.02,0.99,1.0,104000,38,0,52,90,0,0
30,RCSL4,2022-07-19,0.99,1.0,0.97,0.98,105000,62,0,63,125,0,0
31,RCSL4,2022-07-20,0.98,1.01,0.97,1.0,206300,88,0,53,141,0,0
32,RCSL4,2022-07-21,1.0,1.06,0.98,1.02,536900,135,0,112,247,0,0
33,RCSL4,2022-07-22,1.04,1.04,1.0,1.01,245800,50,0,87,137,0,0
34,RCSL4,2022-07-25,1.02,1.04,1.0,1.0,118000,85,0,46,131,0,0
35,RCSL4,2022-07-26,1.0,1.05,0.98,1.01,832500,257,0,256,513,0,0
36,RCSL4,2022-07-27,1.02,1.04,1.01,1.04,250700,265,0,96,361,0,0
37,RCSL4,2022-07-28,1.04,1.06,1.02,1.03,356900,429,0,171,600,0,0
38,RCSL4,2022-07-29,1.04,1.06,1.03,1.03,179100,259,0,71,330,0,0
39,RCSL4,2022-08-01,1.04,1.1,1.04,1.05,481600,522,0,233,755,0,0
40,RCSL4,2022-08-02,1.07,1.08,1.04,1.04,475400,481,0,211,692,0,0
41,RCSL4,2022-08-03,1.06,1.14,1.06,1.1,453800,582,0,170,752,0,0
42,RCSL4,2022-08-08,1.11,1.15,1.1,1.11,790200,646,1,288,935,0,0
43,RCSL4,2022-08-09,1.12,1.14,1.12,1.12,189400,221,0,134,355,0,0
44,RCSL4,2022-08-10,1.14,1.14,1.1,1.11,573100,298,0,227,525,0,0
45,RCSL4,2022-08-12,1.11,1.12,1.1,1.11,94000,110,0,155,265,0,0
46,RCSL4,2022-08-15,1.12,1.14,1.1,1.13,458500,295,0,191,486,0,0
47,RCSL4,2022-08-16,1.14,1.14,1.1,1.11,169900,169,0,241,410,0,0
48,RCSL4,2022-08-17,1.12,1.14,1.06,1.07,1667900,405,0,741,1146,0,0
49,RCSL4,2022-08-18,1.06,1.07,1.03,1.04,262400,69,0,95,164,0,0
50,RCSL4,2022-08-19,1.04,1.05,1.01,1.03,372100,142,0,240,382,0,0
51,RCSL4,2022-08-22,1.03,1.04,1.0,1.03,114300,168,0,175,343,0,0
52,RCSL4,2022-08-23,1.03,1.04,1.02,1.03,272800,125,0,169,294,0,0
53,RCSL4,2022-08-24,1.03,1.05,1.02,1.03,160400,44,0,54,98,0,0
54,RCSL4,2022-08-25,1.03,1.06,1.03,1.05,313800,111,0,207,318,0,0
55,RCSL4,2022-08-26,1.05,1.06,1.03,1.05,359500,127,0,204,331,0,0
56,RCSL4,2022-08-29,1.05,1.05,1.02,1.03,305000,111,0,243,354,0,0
57,RCSL4,2022-08-30,1.03,1.04,1.01,1.02,332700,106,0,210,316,0,0
58,RCSL4,2022-08-31,1.03,1.03,1.01,1.03,63200,86,0,146,232,0,0
59,RCSL4,2022-09-01,1.02,1.04,0.99,1.03,173400,207,0,120,327,0,0
60,RCSL4,2022-09-02,1.02,1.05,1.02,1.04,43600,123,0,49,172,0,0
61,RCSL4,2022-09-05,1.02,1.04,1.02,1.02,343700,130,0,74,204,0,0
62,RCSL4,2022-09-06,1.04,1.04,1.01,1.03,366900,204,0,118,322,0,0
63,RCSL4,2022-09-08,1.03,1.04,1.01,1.01,50900,184,0,47,231,0,0
64,RCSL4,2022-09-09,1.02,1.04,1.02,1.03,404600,412,0,170,582,0,0
65,RCSL4,2022-09-12,1.03,1.04,1.01,1.03,555800,497,0,160,657,0,0
66,RCSL4,2022-09-13,1.02,1.05,1.02,1.04,388000,577,0,98,675,0,0
67,RCSL4,2022-09-15,1.13,1.17,1.07,1.07,1501600,1141,0,601,1742,0,0
68,RCSL4,2022-09-16,1.08,1.1,1.04,1.06,643800,847,0,415,1262,0,0
69,RCSL4,2022-09-19,1.07,1.08,1.02,1.04,1179400,199,0,297,496,0,0
70,RCSL4,2022-09-20,1.03,1.05,1.01,1.01,279500,32,0,110,142,0,0
71,RCSL4,2022-09-21,1.02,1.02,1.0,1.02,156300,38,0,66,104,0,0
72,RCSL4,2022-09-22,1.01,1.03,1.0,1.02,244600,31,1,54,86,0,0
73,RCSL4,2022-09-23,1.01,1.02,0.97,0.99,310800,19,22,59,100,0,0
74,RCSL4,2022-09-27,1.01,1.01,0.99,0.99,144700,180,2,106,288,0,0
75,RCSL4,2022-09-28,1.0,1.01,0.97,0.98,408200,430,0,212,642,0,0
76,RCSL4,2022-09-29,0.99,0.99,0.96,0.97,280900,382,0,94,476,0,0
77,RCSL4,2022-09-30,0.97,0.99,0.97,0.98,445700,254,0,299,553,0,0
78,RCSL4,2022-10-03,0.99,1.01,0.97,1.01,834400,656,2,243,901,0,0
79,RCSL4,2022-10-04,1.01,1.04,1.0,1.03,500700,594,0,227,821,0,0
80,RCSL4,2022-10-05,1.03,1.03,1.01,1.02,471600,206,1,95,302,0,0
81,RCSL4,2022-10-06,1.02,1.03,1.01,1.02,199100,168,0,111,279,0,0
82,RCSL4,2022-10-07,1.03,1.1,1.02,1.03,417800,320,5,134,459,0,0
83,RCSL4,2022-10-10,1.04,1.09,1.01,1.01,889100,651,1,222,874,0,0
84,RCSL4,2022-10-11,1.03,1.04,1.01,1.02,257700,248,0,383,631,0,0
85,RCSL4,2022-10-13,1.02,1.03,1.0,1.02,272600,276,0,109,385,0,0
86,RCSL4,2022-10-14,1.02,1.03,0.99,0.99,266200,137,1,152,290,0,0
87,RCSL4,2022-10-17,0.99,1.02,0.98,1.0,346800,430,0,72,502,0,0
88,RCSL4,2022-10-18,1.0,1.01,0.98,0.98,169100,294,5,151,450,0,0
89,RCSL4,2022-10-19,0.99,1.0,0.96,0.99,516600,514,0,336,850,0,0
90,RCSL4,2022-10-20,0.99,1.0,0.96,0.96,229400,378,0,250,628,0,0
91,RCSL4,2022-10-21,0.97,0.99,0.96,0.98,304000,347,37,200,584,0,0
92,RCSL4,2022-10-24,0.99,0.99,0.97,0.97,212000,100,0,65,165,0,0
93,RCSL4,2022-10-25,0.98,1.0,0.96,0.97,538300,423,1,157,581,0,0
94,RCSL4,2022-10-26,0.98,0.98,0.96,0.98,62100,273,1,68,342,0,0
95,RCSL4,2022-10-27,0.98,0.99,0.97,0.99,57800,190,1,36,227,0,0
96,RCSL4,2022-10-28,0.99,1.15,0.98,1.09,859900,636,1,266,903,0,0
97,RCSL4,2022-10-31,1.04,1.12,1.01,1.05,221800,159,0,204,363,0,0
98,RCSL4,2022-11-01,1.07,1.12,1.04,1.09,205600,235,0,149,384,0,0
99,RCSL4,2022-11-03,1.08,1.18,1.08,1.14,577200,597,0,178,775,0,0
100,RCSL4,2022-11-04,1.17,1.22,1.13,1.16,433400,327,0,210,537,0,0
101,RCSL4,2022-11-07,1.16,1.19,1.09,1.09,336200,363,0,239,602,0,0
102,RCSL4,2022-11-08,1.1,1.11,1.05,1.06,255400,302,0,162,464,0,0
103,RCSL4,2022-11-09,1.07,1.12,1.04,1.05,531700,696,2,246,944,0,0
104,RCSL4,2022-11-10,1.05,1.06,0.99,1.02,311500,501,1,165,667,0,0
105,RCSL4,2022-11-14,0.99,0.99,0.94,0.95,168400,222,0,119,341,0,0
106,RCSL4,2022-11-17,0.94,0.94,0.85,0.86,646900,408,0,319,727,0,0
107,RCSL4,2022-11-18,0.86,0.88,0.81,0.81,449500,530,0,170,700,0,0
108,RCSL4,2022-11-21,0.82,0.84,0.8,0.83,142400,269,0,68,337,0,0
109,RCSL4,2022-11-22,0.84,0.84,0.81,0.82,109600,163,1,111,275,0,0
110,RCSL4,2022-11-23,0.83,0.83,0.78,0.8,392900,386,1,174,561,0,0
111,RCSL4,2022-11-24,0.8,0.85,0.79,0.85,257400,365,14,102,481,0,0
112,RCSL4,2022-11-25,0.85,0.89,0.83,0.87,245800,428,0,166,594,0,0
113,RCSL4,2022-11-28,0.87,0.87,0.81,0.82,256200,319,1,116,436,0,0
114,RCSL4,2022-11-29,0.82,0.83,0.8,0.8,295200,487,1,152,640,0,0
115,RCSL4,2022-11-30,0.82,0.83,0.8,0.82,88400,275,0,75,350,0,0
116,RCSL4,2022-12-01,0.82,0.83,0.76,0.81,163300,153,0,151,304,0,0
117,RCSL4,2022-12-02,0.82,0.85,0.78,0.85,213600,285,0,80,365,0,0
118,RCSL4,2022-12-05,0.82,0.86,0.81,0.83,182200,186,0,167,353,0,0
119,RCSL4,2022-12-06,0.81,0.84,0.81,0.83,131100,253,0,62,315,0,0
120,RCSL4,2022-12-07,0.84,0.84,0.79,0.82,108900,122,0,95,217,0,0
121,RCSL4,2022-12-08,0.82,0.83,0.77,0.77,135400,174,0,99,273,0,0
122,RCSL4,2022-12-09,0.78,0.79,0.72,0.73,89000,84,0,62,146,0,0
123,RCSL4,2022-12-12,0.73,0.78,0.72,0.76,208100,288,0,80,368,0,0
124,RCSL4,2022-12-13,0.77,0.78,0.74,0.78,151900,331,0,56,387,0,0
125,RCSL4,2022-12-14,0.78,0.78,0.71,0.72,452600,269,0,142,411,0,0
126,RCSL4,2022-12-15,0.72,0.72,0.68,0.68,198000,158,0,197,355,0,0
127,RCSL4,2022-12-16,0.7,0.7,0.61,0.63,791900,245,0,322,567,0,0
128,RCSL4,2022-12-19,0.63,0.67,0.61,0.65,323000,356,5,124,485,0,0
129,RCSL4,2022-12-20,0.65,0.68,0.64,0.66,483000,438,0,146,584,0,0
130,RCSL4,2022-12-21,0.66,0.68,0.64,0.66,162400,210,3,161,374,0,0
131,RCSL4,2022-12-22,0.66,0.73,0.66,0.7,663400,702,5,217,924,0,0
132,RCSL4,2022-12-23,0.74,0.75,0.72,0.74,470100,380,0,173,553,0,0
133,RCSL4,2022-12-26,0.75,0.8,0.69,0.75,840000,538,0,362,900,0,0
134,RCSL4,2022-12-27,0.67,0.78,0.59,0.66,2064300,959,0,749,1708,0,0
135,RCSL4,2022-12-28,0.66,0.72,0.64,0.64,1430400,556,0,268,824,0,0
136,RCSL4,2022-12-29,0.64,0.66,0.6,0.6,515400,172,0,185,357,0,0
137,RCSL4,2023-01-02,0.61,0.62,0.59,0.6,169800,232,1,71,304,0,0
138,RCSL4,2023-01-03,0.61,0.67,0.59,0.62,2120400,1019,0,340,1359,0,0
139,RCSL4,2023-01-04,0.64,0.64,0.6,0.6,592500,221,7,165,393,0,0
140,RCSL4,2023-01-05,0.61,0.61,0.59,0.6,483400,321,1,130,452,0,0
141,RCSL4,2023-01-06,0.61,0.63,0.6,0.6,674600,297,0,206,503,0,0
