,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,RDNI3,2022-06-06,7.52,7.98,7.47,7.75,20200,42,4,32,78,0,0
1,RDNI3,2022-06-07,7.65,7.89,7.46,7.6,24400,22,3,24,49,0,0
2,RDNI3,2022-06-08,7.47,7.83,7.47,7.77,12000,21,7,24,52,0,0
3,RDNI3,2022-06-09,7.58,8.0,7.47,7.86,17700,21,11,20,52,0,0
4,RDNI3,2022-06-10,7.86,7.97,7.53,7.84,12100,20,7,32,59,0,0
5,RDNI3,2022-06-13,7.7,7.87,7.46,7.76,9700,28,3,21,52,0,0
6,RDNI3,2022-06-14,7.84,7.86,7.49,7.8,9100,16,6,9,31,0,0
7,RDNI3,2022-06-15,7.7,7.88,7.47,7.73,7500,10,5,9,24,0,0
8,RDNI3,2022-06-17,7.87,7.87,7.47,7.85,4600,6,10,13,29,0,0
9,RDNI3,2022-06-20,7.66,7.69,7.47,7.55,3900,12,8,5,25,0,0
10,RDNI3,2022-06-21,7.55,7.86,7.47,7.8,14000,23,5,26,54,0,0
11,RDNI3,2022-06-22,7.79,7.8,7.47,7.8,6700,13,8,10,31,0,0
12,RDNI3,2022-06-23,7.65,7.7,7.45,7.45,11700,17,6,19,42,0,0
13,RDNI3,2022-06-24,7.6,7.86,7.45,7.45,12400,33,0,37,70,0,0
14,RDNI3,2022-06-27,7.47,7.86,7.47,7.6,8700,15,0,27,42,0,0
15,RDNI3,2022-06-28,7.57,7.87,7.52,7.87,16000,34,0,31,65,0,0
16,RDNI3,2022-06-29,7.69,7.78,7.15,7.7,9000,17,0,38,55,0,0
17,RDNI3,2022-06-30,7.9,7.96,7.47,7.65,12600,32,0,28,60,0,0
18,RDNI3,2022-07-01,7.47,7.76,7.32,7.6,6900,13,0,12,25,0,0
19,RDNI3,2022-07-04,7.56,7.93,7.38,7.5,24000,70,0,57,127,0,0
20,RDNI3,2022-07-05,7.65,7.8,7.32,7.4,12900,39,0,38,77,0,0
21,RDNI3,2022-07-06,7.59,7.78,7.42,7.42,1500,6,0,3,9,0,0
22,RDNI3,2022-07-07,7.31,7.58,7.24,7.44,5500,19,0,15,34,0,0
23,RDNI3,2022-07-08,7.36,7.64,7.21,7.21,12900,21,0,21,42,0,0
24,RDNI3,2022-07-11,7.35,7.58,7.22,7.27,6400,10,2,10,22,0,0
25,RDNI3,2022-07-12,7.21,7.47,7.19,7.27,4200,5,0,18,23,0,0
26,RDNI3,2022-07-13,7.1,7.47,7.06,7.45,17000,36,4,20,60,0,0
27,RDNI3,2022-07-14,7.27,7.56,7.26,7.39,6700,18,0,15,33,0,0
28,RDNI3,2022-07-15,7.39,7.6,7.26,7.26,6800,16,0,15,31,0,0
29,RDNI3,2022-07-18,7.25,7.6,7.22,7.22,6400,16,0,16,32,0,0
30,RDNI3,2022-07-19,7.22,7.64,7.22,7.4,2800,8,0,4,12,0,0
31,RDNI3,2022-07-20,7.26,7.57,7.26,7.34,7500,14,8,16,38,0,0
32,RDNI3,2022-07-21,7.25,7.39,7.04,7.3,9800,30,0,16,46,0,0
33,RDNI3,2022-07-22,7.45,7.73,7.26,7.3,8100,23,0,16,39,0,0
34,RDNI3,2022-07-25,7.15,7.73,7.11,7.26,11700,18,1,17,36,0,0
35,RDNI3,2022-07-26,7.23,7.63,7.23,7.45,4200,14,0,4,18,0,0
36,RDNI3,2022-07-27,7.27,7.59,7.12,7.36,4100,15,0,12,27,0,0
37,RDNI3,2022-07-28,7.21,7.48,7.2,7.2,4900,13,0,16,29,0,0
38,RDNI3,2022-07-29,7.31,7.57,7.2,7.2,7900,23,0,17,40,0,0
39,RDNI3,2022-08-01,7.35,7.54,7.2,7.2,9700,30,0,19,49,0,0
40,RDNI3,2022-08-02,7.35,7.66,7.2,7.2,2500,12,0,6,18,0,0
41,RDNI3,2022-08-03,7.18,7.48,7.18,7.44,25800,13,10,14,37,0,0
42,RDNI3,2022-08-08,7.35,7.68,7.31,7.31,7700,30,0,21,51,0,0
43,RDNI3,2022-08-09,7.22,7.68,7.22,7.35,14200,21,5,16,42,0,0
