,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,RDOR3,2022-06-06,34.4,34.63,32.93,33.29,3371500,6549,215,5062,11725,3,98
1,RDOR3,2022-06-07,32.91,33.73,32.82,33.29,4006700,7707,169,6520,14356,9,31
2,RDOR3,2022-06-08,33.07,34.3,32.82,33.31,3906900,9237,198,7384,16749,7,63
3,RDOR3,2022-06-09,33.18,34.58,32.84,34.41,3841200,9269,253,5947,15378,4,87
4,RDOR3,2022-06-10,33.21,33.93,32.69,33.18,2629400,6734,303,5472,12384,10,115
5,RDOR3,2022-06-13,32.79,32.82,31.66,32.01,3589400,10447,324,7234,17906,0,99
6,RDOR3,2022-06-14,31.99,32.1,31.17,31.95,4842200,11224,180,9266,20584,3,83
7,RDOR3,2022-06-15,32.33,33.12,31.5,31.7,8068300,14164,310,14218,28571,6,115
8,RDOR3,2022-06-17,31.19,31.23,29.94,30.1,9948100,10816,379,9427,20512,2,108
9,RDOR3,2022-06-20,30.27,30.66,29.4,29.48,2635700,6731,238,6221,13105,1,84
10,RDOR3,2022-06-21,29.49,30.72,29.41,30.38,5138900,9128,259,11224,20505,5,101
11,RDOR3,2022-06-22,30.04,30.62,29.37,29.62,4077500,8058,236,7967,16205,1,55
12,RDOR3,2022-06-23,29.85,30.9,29.48,29.52,3020200,5812,226,6815,12782,2,69
13,RDOR3,2022-06-24,29.94,29.94,29.23,29.59,2252700,5734,208,5781,11661,0,62
14,RDOR3,2022-06-27,29.5,30.4,29.4,29.71,1921200,4825,234,4601,9582,0,78
15,RDOR3,2022-06-28,29.54,29.63,28.03,28.22,3795600,7747,273,7182,15110,1,91
16,RDOR3,2022-06-29,28.5,29.65,28.29,29.08,5130100,10901,344,10557,21623,0,179
17,RDOR3,2022-06-30,28.38,29.35,28.25,28.81,2993000,6618,244,8342,15119,0,85
18,RDOR3,2022-07-01,28.56,28.75,27.77,28.7,4012900,10326,390,9983,20560,2,137
19,RDOR3,2022-07-04,28.54,29.88,28.21,28.5,1832200,4232,234,5490,9847,0,109
20,RDOR3,2022-07-05,28.55,29.28,28.08,28.99,3094100,9039,248,8042,17280,0,49
21,RDOR3,2022-07-06,28.71,30.33,28.31,29.95,2740300,7210,241,6879,14229,0,101
22,RDOR3,2022-07-07,30.13,30.33,29.14,30.14,2814400,5709,222,7258,13114,3,72
23,RDOR3,2022-07-08,30.3,30.63,29.46,29.78,3729000,6291,242,7164,13596,2,99
24,RDOR3,2022-07-11,29.27,30.12,28.61,29.16,2990000,7638,193,7703,15469,7,58
25,RDOR3,2022-07-12,29.07,30.05,28.79,29.44,3701400,8524,200,6335,15003,12,44
26,RDOR3,2022-07-13,29.15,29.16,28.15,28.25,4060700,9949,275,9309,19411,3,119
27,RDOR3,2022-07-14,28.0,28.0,27.08,27.37,4696300,9212,257,7821,17187,1,102
28,RDOR3,2022-07-15,27.42,27.6,26.71,26.85,3430700,5647,269,6574,12421,0,69
29,RDOR3,2022-07-18,26.86,27.41,25.75,26.0,4400500,7907,267,6209,14285,4,94
30,RDOR3,2022-07-19,26.21,27.3,26.02,27.21,3680700,7413,258,6230,13781,7,113
31,RDOR3,2022-07-20,26.76,28.62,26.72,28.37,4358600,6648,310,5730,12579,0,109
32,RDOR3,2022-07-21,28.16,30.8,27.49,30.31,12274600,11446,394,14513,26205,15,133
33,RDOR3,2022-07-22,30.3,31.23,30.06,30.27,9264300,11600,509,12648,24378,14,365
34,RDOR3,2022-07-25,31.5,31.8,30.65,31.0,6258500,7220,547,14231,21690,45,263
35,RDOR3,2022-07-26,31.05,31.15,29.74,30.19,3443100,7359,294,7022,14522,3,150
36,RDOR3,2022-07-27,30.11,31.4,30.11,31.38,6535800,7083,282,5433,12693,1,104
37,RDOR3,2022-07-28,30.97,31.7,30.42,31.49,2024800,4650,290,6536,11309,40,127
38,RDOR3,2022-07-29,31.49,32.72,31.3,32.7,5904300,7748,270,6955,14859,2,112
39,RDOR3,2022-08-01,32.51,32.96,31.87,31.91,3276700,6925,261,8000,15070,3,113
40,RDOR3,2022-08-02,32.14,33.46,32.04,33.24,6105400,8001,368,8384,16548,5,200
41,RDOR3,2022-08-03,32.96,34.04,32.93,33.23,2952400,4616,235,6195,10936,0,110
42,RDOR3,2022-08-08,33.94,36.59,33.79,36.2,7911500,7479,356,11167,18865,3,134
43,RDOR3,2022-08-09,35.98,36.08,34.18,34.9,2811400,6642,250,6438,13257,2,71
44,RDOR3,2022-08-10,35.95,36.74,35.28,35.65,2836700,7205,367,5840,13280,4,128
45,RDOR3,2022-08-12,35.21,36.9,35.05,36.6,4368400,7926,329,10445,18595,3,102
46,RDOR3,2022-08-15,35.99,39.06,35.99,39.06,10881300,12729,1590,14859,27925,1048,205
47,RDOR3,2022-08-16,38.0,38.33,36.61,37.4,8761200,13895,556,10113,24303,19,242
48,RDOR3,2022-08-17,37.5,37.75,35.79,35.9,6901000,9901,667,9229,19302,300,195
49,RDOR3,2022-08-18,35.97,36.38,34.77,35.91,3316000,6582,259,5555,12256,5,135
50,RDOR3,2022-08-19,35.67,35.67,34.5,34.83,4578300,9693,237,8435,18277,4,84
51,RDOR3,2022-08-22,34.3,34.71,33.56,33.74,3142900,6506,1038,5716,12425,738,97
52,RDOR3,2022-08-23,33.94,34.56,33.31,34.48,2503800,4494,245,5627,10241,3,122
53,RDOR3,2022-08-24,34.2,35.14,33.87,34.72,3097700,3949,321,8201,12366,3,102
54,RDOR3,2022-08-25,34.66,35.23,34.27,34.6,9238400,8972,486,8050,17220,136,152
55,RDOR3,2022-08-26,34.62,35.13,33.09,33.4,2579200,5887,274,5449,11491,0,119
56,RDOR3,2022-08-29,33.38,34.01,33.04,33.08,2013100,5024,270,4243,9435,2,100
57,RDOR3,2022-08-30,33.04,33.78,32.93,33.08,3348300,8447,295,7352,15986,1,107
58,RDOR3,2022-08-31,33.5,34.32,32.92,33.6,4572500,7782,889,7528,15532,554,113
59,RDOR3,2022-09-01,33.4,34.65,33.18,34.01,6286300,11259,315,11910,23357,5,122
60,RDOR3,2022-09-02,33.97,35.22,33.52,33.95,7824400,9197,378,8407,17863,4,115
61,RDOR3,2022-09-05,34.22,36.1,34.22,35.32,3196700,6854,372,6874,13915,5,180
62,RDOR3,2022-09-06,34.7,34.83,33.23,33.23,4457600,5716,211,7545,13412,2,58
63,RDOR3,2022-09-08,33.63,33.63,32.48,33.17,2190800,5633,245,5287,11080,0,85
64,RDOR3,2022-09-09,33.62,34.9,33.59,34.06,3318700,4716,285,5251,10110,6,136
65,RDOR3,2022-09-12,34.56,35.18,34.28,34.87,3047200,5497,241,4943,10613,4,64
66,RDOR3,2022-09-13,33.66,33.84,32.86,33.14,4325800,7449,235,6378,13984,2,76
67,RDOR3,2022-09-15,33.0,33.4,31.73,31.92,3616500,7374,296,7604,15144,0,130
68,RDOR3,2022-09-16,31.8,32.55,31.3,32.21,5164900,7588,285,9172,16928,2,115
69,RDOR3,2022-09-19,32.16,33.4,32.05,33.35,2720800,6788,256,4484,11443,1,84
70,RDOR3,2022-09-20,33.2,34.25,33.09,34.0,5025100,7697,239,7321,15183,7,67
71,RDOR3,2022-09-21,34.3,34.89,33.73,34.07,4870900,6758,318,7193,14176,4,89
72,RDOR3,2022-09-22,34.8,35.34,33.56,35.2,5313300,11121,246,7460,18728,9,90
73,RDOR3,2022-09-23,34.21,34.85,34.01,34.5,2307700,5442,185,4203,9791,1,38
74,RDOR3,2022-09-27,32.9,33.42,31.06,31.38,6316700,12565,298,10540,23259,6,138
75,RDOR3,2022-09-28,31.19,31.47,30.42,30.75,4771400,8021,277,10099,18262,2,133
76,RDOR3,2022-09-29,30.04,30.19,28.21,29.85,10363800,13353,588,19575,33151,4,361
77,RDOR3,2022-09-30,29.28,30.18,28.96,29.72,6224900,9609,302,11117,20909,2,117
78,RDOR3,2022-10-03,30.5,31.85,30.3,31.52,6850100,12435,310,9169,21800,5,109
79,RDOR3,2022-10-04,32.5,32.7,31.16,31.75,4505900,7149,292,7507,14866,3,79
80,RDOR3,2022-10-05,31.81,32.07,30.76,32.0,5053700,12564,273,8457,21215,2,77
81,RDOR3,2022-10-06,32.05,32.98,31.89,32.12,5440200,8341,281,6636,15104,33,121
82,RDOR3,2022-10-07,32.18,32.38,31.02,31.51,3112000,6116,218,6683,12934,0,83
83,RDOR3,2022-10-10,31.56,32.05,31.04,31.46,3541400,8392,195,6008,14546,0,49
84,RDOR3,2022-10-11,31.15,31.55,29.9,29.94,7805000,9141,275,8181,17501,2,94
85,RDOR3,2022-10-13,29.9,30.33,29.0,29.63,8625400,12578,291,14244,27037,7,69
86,RDOR3,2022-10-14,29.9,30.24,28.53,28.54,5199300,6363,343,8552,15142,4,112
87,RDOR3,2022-10-17,29.0,29.14,28.7,28.84,3055000,4933,210,6676,11747,2,70
88,RDOR3,2022-10-18,29.16,29.78,28.87,29.7,6477800,12227,197,10354,22723,2,53
89,RDOR3,2022-10-19,29.68,29.99,28.98,29.88,18056400,33136,620,37580,71172,36,128
90,RDOR3,2022-10-20,30.29,30.29,28.94,29.4,6145400,10784,332,5387,16409,1,93
91,RDOR3,2022-10-21,29.21,30.5,28.97,30.25,9601800,14762,227,13670,28599,7,53
92,RDOR3,2022-10-24,30.33,30.41,29.41,29.64,5726400,7031,299,7769,15036,4,59
93,RDOR3,2022-10-25,29.47,30.05,28.75,29.02,8280300,6973,225,10107,17234,5,66
94,RDOR3,2022-10-26,28.79,29.01,27.82,28.17,6406600,9335,202,13412,22901,1,47
95,RDOR3,2022-10-27,28.25,30.43,27.9,29.0,7770100,8636,295,8671,17532,3,67
96,RDOR3,2022-10-28,28.82,30.99,28.82,30.45,4005100,8598,209,8128,16884,3,48
97,RDOR3,2022-10-31,30.15,32.39,29.52,32.24,7829100,19803,297,13818,33816,8,94
98,RDOR3,2022-11-01,31.5,33.8,31.37,33.12,6960500,14260,334,13188,27659,6,117
99,RDOR3,2022-11-03,32.21,33.88,32.12,33.27,7307600,9672,279,7233,17096,16,72
100,RDOR3,2022-11-04,33.94,34.43,32.77,32.82,3828100,10382,233,4746,15304,6,51
101,RDOR3,2022-11-07,32.7,33.73,32.56,32.7,8720000,10887,202,10569,21604,7,47
102,RDOR3,2022-11-08,32.72,33.49,32.24,32.6,6645400,10364,293,10377,20934,7,93
103,RDOR3,2022-11-09,32.2,32.88,32.11,32.3,6846300,8224,219,8644,17022,14,51
104,RDOR3,2022-11-10,32.01,34.55,31.65,32.2,18628300,22878,477,23433,46470,16,302
105,RDOR3,2022-11-14,31.48,32.11,30.55,31.5,7146100,13827,211,10555,24523,7,63
106,RDOR3,2022-11-17,29.13,29.71,28.21,29.49,7326100,13323,274,10827,24337,9,78
107,RDOR3,2022-11-18,29.84,30.9,28.3,28.3,4488900,9545,263,10221,19901,3,125
108,RDOR3,2022-11-21,28.51,29.37,28.42,28.82,3172500,6927,217,6226,13286,1,83
109,RDOR3,2022-11-22,29.08,29.58,27.91,28.32,4302500,7374,268,10336,17924,0,54
110,RDOR3,2022-11-23,28.2,29.7,27.72,29.33,7780200,11613,365,15825,27589,5,209
