,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,RECV3,2022-06-06,26.5,27.87,26.1,26.12,1819900,3805,1454,4687,8579,1367,0
1,RECV3,2022-06-07,25.99,26.41,25.44,25.56,1083600,2768,62,2682,5512,0,0
2,RECV3,2022-06-08,25.56,26.87,25.41,26.5,1349000,2334,86,1985,4401,4,0
3,RECV3,2022-06-09,26.18,27.21,26.18,26.88,910200,2559,352,2465,5092,284,0
4,RECV3,2022-06-10,26.36,26.83,25.76,26.52,974100,2266,112,2380,4708,50,0
5,RECV3,2022-06-13,26.04,26.05,24.48,24.9,1022900,2996,68,2140,5204,0,0
6,RECV3,2022-06-14,25.18,25.52,23.52,23.75,2237300,4948,80,4976,10003,1,0
7,RECV3,2022-06-15,24.01,26.18,24.01,25.45,4278100,7135,126,8545,15805,1,0
8,RECV3,2022-06-17,24.93,24.93,23.86,24.78,4176000,7308,228,7560,14999,97,0
9,RECV3,2022-06-20,24.76,24.86,22.95,24.35,2975400,5303,118,5565,10985,1,0
10,RECV3,2022-06-21,24.67,25.62,24.24,25.11,2019600,3974,117,3285,7357,19,0
11,RECV3,2022-06-22,23.91,24.77,23.43,23.83,2442400,3586,150,3724,7459,1,0
12,RECV3,2022-06-23,24.11,24.6,22.92,23.3,2267000,4715,237,4825,9679,98,0
13,RECV3,2022-06-24,23.42,24.71,22.65,24.46,2418500,3584,164,4749,8497,0,0
14,RECV3,2022-06-27,24.74,25.2,23.89,24.35,2135300,6056,128,5009,11192,1,0
15,RECV3,2022-06-28,24.86,25.4,24.66,25.35,1302800,1842,143,2965,4949,1,0
16,RECV3,2022-06-29,25.4,26.25,25.24,25.94,1223500,1726,127,2581,4431,3,0
17,RECV3,2022-06-30,25.31,25.87,24.91,25.4,2602200,3322,170,3374,6863,3,0
18,RECV3,2022-07-01,25.63,25.96,24.75,25.79,1992300,2780,413,4227,7154,266,0
19,RECV3,2022-07-04,25.7,27.31,25.7,26.87,1162300,2798,108,2622,5526,2,0
20,RECV3,2022-07-05,26.63,26.63,24.2,25.44,2124200,4073,138,5321,9530,2,0
21,RECV3,2022-07-06,25.4,25.54,23.3,23.88,1998400,3693,138,4788,8616,3,0
22,RECV3,2022-07-07,24.75,25.31,24.33,24.6,2130900,4500,113,3447,8060,0,0
23,RECV3,2022-07-08,24.61,25.95,24.59,25.55,1758400,2832,125,4375,7332,0,0
24,RECV3,2022-07-11,25.0,25.15,24.0,24.08,963000,1784,177,2820,4781,0,0
25,RECV3,2022-07-12,23.4,23.48,21.97,22.59,3223100,4499,122,4980,9599,2,0
26,RECV3,2022-07-13,22.57,23.07,22.29,22.49,999300,2413,108,2980,5501,0,0
27,RECV3,2022-07-14,22.2,22.8,21.17,22.43,2177700,3550,107,2839,6493,3,0
28,RECV3,2022-07-15,23.17,23.62,22.38,23.1,1511900,3338,117,3449,6904,0,0
29,RECV3,2022-07-18,22.92,24.5,22.92,23.76,835500,2024,76,2358,4458,0,0
30,RECV3,2022-07-19,23.84,24.62,23.6,24.47,921400,2780,80,2273,5133,0,0
31,RECV3,2022-07-20,24.19,25.09,23.84,24.62,1062600,1836,86,1574,3494,2,0
32,RECV3,2022-07-21,24.2,24.3,23.34,24.0,1173200,1884,905,2770,4757,802,0
33,RECV3,2022-07-22,24.08,24.08,23.0,23.26,1582300,2581,106,2831,5518,0,0
34,RECV3,2022-07-25,23.76,24.06,23.4,23.87,825000,2470,102,2196,4767,1,0
35,RECV3,2022-07-26,23.89,24.45,23.2,23.61,1356400,2616,87,3474,6176,1,0
36,RECV3,2022-07-27,23.53,23.6,22.96,23.39,1050000,2790,74,2581,5445,0,0
37,RECV3,2022-07-28,23.6,24.11,23.19,24.07,1448400,3729,90,2663,6480,2,0
38,RECV3,2022-07-29,24.13,24.76,23.98,24.74,2268400,5135,219,4834,10052,136,0
39,RECV3,2022-08-01,24.52,24.52,23.46,23.74,1013500,2440,104,3254,5798,0,0
40,RECV3,2022-08-02,23.73,24.67,23.52,24.54,761100,2531,98,2294,4923,0,0
41,RECV3,2022-08-03,24.33,25.06,23.95,24.34,893100,2341,77,3026,5444,0,0
42,RECV3,2022-08-08,24.02,25.15,23.67,24.47,1510900,4931,119,3517,8566,1,0
43,RECV3,2022-08-09,24.66,25.5,24.5,24.76,1109600,2676,80,2593,5349,0,0
44,RECV3,2022-08-10,25.18,26.05,24.84,26.05,1213700,3617,111,2960,6686,2,0
45,RECV3,2022-08-12,25.3,26.05,25.04,25.93,1302300,3487,81,3172,6738,2,0
46,RECV3,2022-08-15,25.4,25.58,24.6,25.3,1360400,4354,88,3349,7791,0,0
47,RECV3,2022-08-16,25.38,25.59,24.67,25.13,1225800,3506,173,3223,6797,105,0
48,RECV3,2022-08-17,24.9,25.78,24.85,25.17,1273000,3686,94,2674,6454,0,0
49,RECV3,2022-08-18,25.32,25.95,24.9,24.99,1169500,3361,76,2836,6272,1,0
50,RECV3,2022-08-19,24.91,24.91,23.6,24.05,1994300,5828,93,4950,10871,0,0
51,RECV3,2022-08-22,23.97,24.75,23.5,24.61,2273700,4551,90,5933,10574,0,0
52,RECV3,2022-08-23,24.5,25.35,24.41,24.9,19890100,5857,340,4911,11106,2,0
53,RECV3,2022-08-24,25.0,25.53,24.61,25.38,2410100,5116,90,5690,10894,2,0
54,RECV3,2022-08-25,25.4,26.33,25.35,26.0,1586500,4878,77,3614,8569,0,0
55,RECV3,2022-08-26,25.99,26.75,25.82,26.33,1440100,2776,95,3054,5925,0,0
56,RECV3,2022-08-29,26.39,27.91,26.33,26.75,2165000,4793,88,7575,12456,0,0
57,RECV3,2022-08-30,26.6,26.74,25.83,26.12,1259400,2712,102,2598,5412,0,0
58,RECV3,2022-08-31,26.11,27.39,25.83,27.25,1589700,2750,124,2941,5815,0,0
59,RECV3,2022-09-01,27.14,27.58,26.82,27.32,2003200,5112,1562,4666,9852,1488,0
60,RECV3,2022-09-02,27.47,28.17,26.55,27.7,2990100,6191,98,7239,13525,3,0
61,RECV3,2022-09-05,28.25,30.06,28.12,29.08,3621000,7997,185,7815,15971,26,0
62,RECV3,2022-09-06,28.85,28.92,27.74,28.05,1834000,4194,93,4525,8812,0,0
63,RECV3,2022-09-08,28.3,28.44,26.88,27.6,1939300,5139,109,5302,10550,0,0
64,RECV3,2022-09-09,28.1,28.64,27.74,28.15,1889700,3844,114,5694,9650,2,0
65,RECV3,2022-09-12,28.53,29.12,27.93,28.25,1883700,4314,69,4877,9259,1,0
66,RECV3,2022-09-13,27.82,28.16,26.91,26.91,1769500,3221,77,4587,7882,3,0
67,RECV3,2022-09-15,27.57,27.92,27.11,27.19,2074400,4378,105,6259,10741,1,0
68,RECV3,2022-09-16,27.15,27.19,26.24,26.92,6216300,6922,1317,7343,14462,1120,0
69,RECV3,2022-09-19,26.53,27.66,26.53,27.5,2752500,5747,414,7098,12946,313,0
70,RECV3,2022-09-20,27.57,27.83,27.03,27.32,1480900,5215,81,4680,9976,0,0
71,RECV3,2022-09-21,27.38,28.38,27.38,27.94,1694600,3726,83,4633,8442,0,0
72,RECV3,2022-09-22,28.21,28.29,27.44,28.08,1550500,4291,74,3281,7642,4,0
73,RECV3,2022-09-23,27.54,27.54,25.95,26.3,4326600,6076,106,7728,13905,5,0
74,RECV3,2022-09-27,25.03,25.04,24.2,24.23,2257100,6149,91,6461,12701,0,0
75,RECV3,2022-09-28,24.26,25.26,24.23,24.99,3319700,6999,124,7027,14150,0,0
76,RECV3,2022-09-29,24.74,24.9,24.1,24.76,2490300,4299,71,4078,8447,1,0
77,RECV3,2022-09-30,24.76,25.29,24.53,25.06,1754700,5534,96,3805,9435,0,0
78,RECV3,2022-10-03,26.0,26.82,25.74,26.15,2655300,7771,92,5789,13652,0,0
79,RECV3,2022-10-04,26.76,27.99,26.75,27.7,3051600,5174,112,5422,10706,2,0
80,RECV3,2022-10-05,27.86,29.17,27.83,28.93,2485100,5971,102,4849,10920,2,0
81,RECV3,2022-10-06,28.9,29.13,28.67,29.03,1055300,2732,78,2619,5429,0,0
82,RECV3,2022-10-07,28.98,29.75,28.55,28.7,1698800,3775,95,4264,8132,2,0
83,RECV3,2022-10-10,28.96,29.22,28.21,28.66,1505400,4585,83,3819,8485,2,0
84,RECV3,2022-10-11,28.71,28.76,27.6,28.19,2166100,4770,392,5115,9976,301,0
