,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,RNEW11,2022-06-06,4.86,4.89,4.71,4.79,6400,23,0,24,47,0,0
1,RNEW11,2022-06-07,4.85,4.99,4.74,4.86,9300,35,0,35,70,0,0
2,RNEW11,2022-06-08,4.98,4.99,4.76,4.78,8100,22,0,44,66,0,0
3,RNEW11,2022-06-09,4.99,4.99,4.69,4.72,13500,13,0,112,125,0,0
4,RNEW11,2022-06-10,4.6,4.79,4.5,4.56,5600,20,0,24,44,0,0
5,RNEW11,2022-06-13,4.56,4.77,4.5,4.5,14000,23,0,36,59,0,0
6,RNEW11,2022-06-14,4.6,4.64,4.5,4.5,2100,5,0,13,18,0,0
7,RNEW11,2022-06-15,4.58,4.7,4.55,4.69,2500,9,0,11,20,0,0
8,RNEW11,2022-06-17,4.55,4.99,4.5,4.84,14800,42,0,54,96,0,0
9,RNEW11,2022-06-20,4.78,4.95,4.66,4.83,2700,14,0,11,25,0,0
10,RNEW11,2022-06-21,4.95,5.75,4.7,4.84,79100,420,0,128,548,0,0
11,RNEW11,2022-06-22,5.01,5.54,5.0,5.0,51300,79,0,108,187,0,0
12,RNEW11,2022-06-23,5.0,5.21,4.87,5.09,12800,35,0,56,91,0,0
13,RNEW11,2022-06-24,5.39,5.4,5.18,5.29,7300,23,0,17,40,0,0
14,RNEW11,2022-06-27,5.25,5.42,5.2,5.33,3000,16,0,11,27,0,0
15,RNEW11,2022-06-28,5.32,5.43,5.14,5.14,3400,18,0,16,34,0,0
16,RNEW11,2022-06-29,5.4,5.4,4.95,5.1,4700,16,0,22,38,0,0
17,RNEW11,2022-06-30,4.98,5.14,4.98,5.14,16300,17,0,112,129,0,0
18,RNEW11,2022-07-01,5.23,5.26,5.2,5.26,400,3,0,1,4,0,0
19,RNEW11,2022-07-04,5.73,5.74,5.16,5.3,5300,26,0,15,41,0,0
20,RNEW11,2022-07-05,5.34,5.34,5.23,5.3,2200,7,0,11,18,0,0
21,RNEW11,2022-07-06,5.03,5.45,5.03,5.2,15800,18,0,135,153,0,0
22,RNEW11,2022-07-07,5.27,6.11,5.26,5.83,13400,53,0,26,79,0,0
23,RNEW11,2022-07-08,5.83,6.01,5.51,5.99,10900,30,0,30,60,0,0
24,RNEW11,2022-07-11,5.71,5.99,5.71,5.84,30800,25,2,65,92,0,0
25,RNEW11,2022-07-12,5.79,6.01,5.79,6.0,5800,26,0,29,55,0,0
26,RNEW11,2022-07-13,6.02,6.04,5.95,6.03,4200,25,0,8,33,0,0
27,RNEW11,2022-07-14,6.79,6.79,6.09,6.56,13600,62,1,50,113,0,0
28,RNEW11,2022-07-15,6.69,7.0,6.51,6.64,14500,47,0,55,102,0,0
29,RNEW11,2022-07-18,6.64,6.65,6.3,6.6,10100,42,1,40,83,0,0
30,RNEW11,2022-07-19,6.54,6.75,6.5,6.75,7500,16,0,5,21,0,0
31,RNEW11,2022-07-20,6.66,6.79,6.59,6.79,4700,40,0,5,45,0,0
32,RNEW11,2022-07-21,6.69,7.4,6.69,7.4,12200,75,0,14,89,0,0
33,RNEW11,2022-07-22,7.44,7.44,7.1,7.12,13100,35,0,23,58,0,0
34,RNEW11,2022-07-25,7.04,7.25,7.0,7.16,8000,22,0,27,49,0,0
35,RNEW11,2022-07-26,7.18,7.9,7.18,7.81,30000,44,1,168,213,0,0
36,RNEW11,2022-07-27,7.78,7.9,7.19,7.74,39000,190,1,63,254,0,0
37,RNEW11,2022-07-28,7.99,8.36,7.92,8.22,29700,86,0,65,151,0,0
38,RNEW11,2022-07-29,8.19,8.33,7.7,8.33,19900,82,0,42,124,0,0
39,RNEW11,2022-08-01,8.29,8.33,7.86,8.06,31300,87,0,67,154,0,0
40,RNEW11,2022-08-02,7.94,8.27,7.94,8.08,28100,26,0,95,121,0,0
41,RNEW11,2022-08-03,8.11,8.49,8.0,8.49,42300,69,0,47,116,0,0
42,RNEW11,2022-08-08,8.74,8.9,8.42,8.42,10600,43,0,24,67,0,0
43,RNEW11,2022-08-09,8.52,8.53,8.4,8.5,2700,17,0,5,22,0,0
44,RNEW11,2022-08-10,8.73,8.73,8.56,8.72,5700,21,0,19,40,0,0
45,RNEW11,2022-08-12,8.39,8.4,8.04,8.18,11600,34,0,38,72,0,0
46,RNEW11,2022-08-15,8.23,8.45,8.19,8.45,2600,21,0,4,25,0,0
47,RNEW11,2022-08-16,8.59,8.76,8.45,8.45,5700,13,0,13,26,0,0
48,RNEW11,2022-08-17,8.59,9.0,8.47,8.55,15200,43,0,40,83,0,0
49,RNEW11,2022-08-18,8.45,8.53,8.17,8.3,11100,58,0,31,89,0,0
50,RNEW11,2022-08-19,8.4,8.4,7.55,7.55,18100,117,0,29,146,0,0
51,RNEW11,2022-08-22,7.4,8.13,7.4,8.09,14600,62,0,28,90,0,0
52,RNEW11,2022-08-23,8.05,8.05,7.57,7.87,28800,103,0,76,179,0,0
53,RNEW11,2022-08-24,7.77,7.77,7.6,7.61,8900,28,0,21,49,0,0
