,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ROMI3,2022-06-06,14.51,14.62,13.59,13.75,452200,827,148,1241,2092,0,124
1,ROMI3,2022-06-07,13.71,14.11,13.26,14.11,437500,1133,79,1174,2346,0,40
2,ROMI3,2022-06-08,14.06,14.44,13.76,13.82,322600,1024,127,1073,2124,0,100
3,ROMI3,2022-06-09,13.75,13.82,13.44,13.54,269500,670,100,744,1449,0,65
4,ROMI3,2022-06-10,13.33,13.4,12.84,12.84,469000,1130,139,1306,2467,0,108
5,ROMI3,2022-06-13,12.84,13.09,12.5,12.88,585300,1242,157,1335,2612,0,122
6,ROMI3,2022-06-14,12.72,12.77,12.05,12.16,300100,713,110,853,1599,0,77
7,ROMI3,2022-06-15,12.44,12.49,12.11,12.33,270700,743,99,765,1528,0,79
8,ROMI3,2022-06-17,12.06,12.58,11.77,12.58,334200,731,121,940,1714,0,78
9,ROMI3,2022-06-20,12.54,12.54,12.0,12.0,269000,513,85,813,1350,0,61
10,ROMI3,2022-06-21,12.14,12.43,12.03,12.13,348000,756,75,955,1741,0,45
11,ROMI3,2022-06-22,12.0,12.8,11.98,12.48,474900,1120,112,1004,2162,0,74
12,ROMI3,2022-06-23,12.48,12.64,12.18,12.2,215000,596,70,532,1162,0,36
13,ROMI3,2022-06-24,12.36,12.75,12.24,12.53,278600,593,95,668,1307,0,49
14,ROMI3,2022-06-27,12.67,12.67,12.32,12.43,174900,697,64,494,1216,0,39
15,ROMI3,2022-06-28,12.32,12.84,12.03,12.1,338800,818,81,968,1806,0,61
16,ROMI3,2022-06-29,12.21,12.22,11.84,12.0,302200,753,90,1028,1805,0,66
17,ROMI3,2022-06-30,11.85,12.09,11.61,12.02,352400,1017,99,920,1970,0,66
18,ROMI3,2022-07-01,12.16,12.33,11.76,12.12,259700,747,96,841,1615,0,69
19,ROMI3,2022-07-04,12.04,12.09,11.35,11.39,301300,518,128,947,1536,0,57
20,ROMI3,2022-07-05,11.24,11.24,10.81,11.13,709600,1527,152,1759,3319,0,119
21,ROMI3,2022-07-06,11.14,11.49,10.98,11.4,448100,1281,97,960,2264,0,74
22,ROMI3,2022-07-07,11.5,11.88,11.4,11.78,370600,1287,88,861,2172,0,64
23,ROMI3,2022-07-08,11.56,11.87,11.41,11.52,419500,910,115,831,1794,0,62
24,ROMI3,2022-07-11,11.22,11.63,11.2,11.31,437900,1201,131,998,2238,0,92
25,ROMI3,2022-07-12,11.4,11.77,11.4,11.72,354600,766,107,698,1483,0,88
26,ROMI3,2022-07-13,11.69,12.63,11.61,12.12,614900,1465,143,1154,2647,0,115
27,ROMI3,2022-07-14,12.05,12.18,11.64,11.99,292400,604,88,714,1343,0,63
28,ROMI3,2022-07-15,11.99,12.0,11.76,11.91,215000,699,71,628,1358,0,40
29,ROMI3,2022-07-18,11.91,12.38,11.75,11.99,297400,667,98,918,1624,0,59
30,ROMI3,2022-07-19,11.99,12.16,11.8,12.07,259000,728,96,627,1386,0,65
31,ROMI3,2022-07-20,11.84,12.48,11.82,12.18,532500,1184,124,1044,2260,0,92
32,ROMI3,2022-07-21,12.2,12.84,11.95,12.84,438800,883,131,582,1491,0,105
33,ROMI3,2022-07-22,12.78,13.03,12.6,12.75,258400,592,90,621,1239,0,64
34,ROMI3,2022-07-25,13.0,13.0,12.36,12.43,352000,721,94,821,1592,0,44
35,ROMI3,2022-07-26,12.41,12.65,12.31,12.44,196800,456,66,615,1098,0,39
36,ROMI3,2022-07-27,12.52,12.69,12.45,12.51,230400,492,86,595,1118,0,55
37,ROMI3,2022-07-28,12.63,13.09,12.6,13.05,292500,596,96,501,1127,0,66
38,ROMI3,2022-07-29,13.1,13.49,13.06,13.3,365800,846,99,796,1670,0,71
39,ROMI3,2022-08-01,13.4,13.55,13.1,13.2,308800,1090,107,850,1980,0,67
40,ROMI3,2022-08-02,13.22,13.59,13.09,13.39,163700,514,60,403,938,0,39
41,ROMI3,2022-08-03,13.45,13.58,13.26,13.39,237900,743,81,566,1350,0,40
42,ROMI3,2022-08-08,14.1,14.29,13.88,14.03,219900,545,101,736,1333,0,49
