,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,RPAD6,2022-06-06,4.65,4.65,4.65,4.65,100,1,0,0,1,0,0
1,RPAD6,2022-06-08,4.33,4.65,4.33,4.65,800,0,1,2,3,0,0
2,RPAD6,2022-06-09,4.75,4.75,4.75,4.75,100,1,0,0,1,0,0
3,RPAD6,2022-06-13,4.33,4.33,4.33,4.33,300,1,0,0,1,0,0
4,RPAD6,2022-06-15,4.45,4.58,4.45,4.58,200,2,0,0,2,0,0
5,RPAD6,2022-06-21,4.33,4.33,4.33,4.33,100,0,0,1,1,0,0
6,RPAD6,2022-06-27,4.38,4.5,4.38,4.5,200,1,0,1,2,0,0
7,RPAD6,2022-08-09,4.5,4.58,4.5,4.58,300,2,0,1,3,0,0
8,RPAD6,2022-08-10,4.58,4.6,4.58,4.6,300,0,2,1,3,0,0
9,RPAD6,2022-08-12,4.5,4.57,4.44,4.44,1500,4,1,1,6,0,0
10,RPAD6,2022-08-26,4.55,4.55,4.55,4.55,100,0,1,0,1,0,0
11,RPAD6,2022-08-29,4.74,4.88,4.55,4.55,1100,2,0,6,8,0,0
12,RPAD6,2022-09-02,4.8,4.8,4.8,4.8,100,1,0,0,1,0,0
13,RPAD6,2022-09-05,4.8,4.8,4.33,4.41,13900,36,0,16,52,0,0
14,RPAD6,2022-09-08,4.3,4.4,4.3,4.4,900,2,0,2,4,0,0
15,RPAD6,2022-09-09,4.48,4.6,4.48,4.6,800,4,0,0,4,0,0
16,RPAD6,2022-09-12,4.73,5.29,4.61,4.99,13900,48,0,18,66,0,0
17,RPAD6,2022-09-13,5.0,5.4,4.56,4.6,5200,17,0,9,26,0,0
18,RPAD6,2022-09-15,4.62,4.89,4.62,4.89,300,1,0,2,3,0,0
19,RPAD6,2022-09-16,5.0,5.79,4.89,5.64,11100,26,0,15,41,0,0
20,RPAD6,2022-09-19,5.64,6.09,5.64,5.7,1900,7,0,6,13,0,0
21,RPAD6,2022-09-20,5.8,5.9,5.8,5.8,1400,3,0,1,4,0,0
22,RPAD6,2022-09-21,5.9,5.9,5.53,5.55,600,1,0,2,3,0,0
23,RPAD6,2022-09-22,5.55,5.75,5.52,5.75,4200,2,0,11,13,0,0
24,RPAD6,2022-09-23,5.53,5.53,5.44,5.44,800,0,1,5,6,0,0
25,RPAD6,2022-09-27,5.5,5.5,5.5,5.5,100,0,0,1,1,0,0
26,RPAD6,2022-09-28,5.65,5.65,5.65,5.65,100,1,0,0,1,0,0
27,RPAD6,2022-09-29,5.3,5.3,5.15,5.16,2000,1,0,9,10,0,0
28,RPAD6,2022-09-30,5.3,5.3,5.3,5.3,100,1,0,0,1,0,0
29,RPAD6,2022-10-03,5.49,5.49,5.02,5.24,1700,3,0,6,9,0,0
30,RPAD6,2022-10-04,5.4,5.4,5.4,5.4,100,1,0,0,1,0,0
31,RPAD6,2022-10-07,5.03,5.27,5.03,5.27,200,1,0,1,2,0,0
32,RPAD6,2022-10-10,5.01,5.17,5.0,5.05,3400,3,0,5,8,0,0
33,RPAD6,2022-10-11,5.2,5.2,5.2,5.2,100,1,0,0,1,0,0
34,RPAD6,2022-10-21,5.01,5.17,5.01,5.17,300,3,0,0,3,0,0
35,RPAD6,2022-10-25,5.2,5.2,5.2,5.2,300,1,0,0,1,0,0
36,RPAD6,2022-10-28,5.23,5.23,5.23,5.23,300,1,0,0,1,0,0
37,RPAD6,2022-11-01,4.72,4.99,4.72,4.99,600,1,0,4,5,0,0
38,RPAD6,2022-11-03,5.11,5.11,5.0,5.0,300,2,0,0,2,0,0
39,RPAD6,2022-11-04,5.16,5.16,5.16,5.16,400,2,0,0,2,0,0
