,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,RPMG3,2022-06-06,2.48,2.51,2.44,2.47,2100,5,0,8,13,0,0
1,RPMG3,2022-06-07,2.54,2.54,2.37,2.37,39900,22,0,11,33,0,0
2,RPMG3,2022-06-08,2.37,2.4,2.34,2.35,11000,5,0,18,23,0,0
3,RPMG3,2022-06-09,2.3,2.37,2.26,2.3,10100,12,0,16,28,0,0
4,RPMG3,2022-06-10,2.27,2.29,2.26,2.29,2200,5,0,4,9,0,0
5,RPMG3,2022-06-13,2.29,2.29,2.12,2.15,10100,14,0,15,29,0,0
6,RPMG3,2022-06-14,2.14,2.28,2.11,2.14,7400,19,1,6,26,0,0
7,RPMG3,2022-06-15,2.17,2.23,2.14,2.18,5500,3,1,18,22,0,0
8,RPMG3,2022-06-17,2.17,2.28,2.17,2.21,1200,5,0,4,9,0,0
9,RPMG3,2022-06-20,2.21,2.21,2.17,2.18,1700,3,0,6,9,0,0
10,RPMG3,2022-06-21,2.2,2.2,2.17,2.2,2700,4,0,10,14,0,0
11,RPMG3,2022-06-22,2.15,2.21,2.14,2.14,4900,7,0,19,26,0,0
12,RPMG3,2022-06-23,2.29,2.29,2.14,2.16,4500,4,0,11,15,0,0
13,RPMG3,2022-06-24,2.15,2.24,2.15,2.21,1600,10,0,2,12,0,0
14,RPMG3,2022-06-27,2.21,2.29,2.2,2.25,21100,20,0,9,29,0,0
15,RPMG3,2022-06-28,2.32,2.32,2.16,2.21,6200,12,0,10,22,0,0
16,RPMG3,2022-06-29,2.17,2.2,2.14,2.14,2400,2,0,5,7,0,0
17,RPMG3,2022-06-30,2.2,2.29,2.12,2.2,22400,24,0,11,35,0,0
18,RPMG3,2022-07-01,2.16,2.18,2.13,2.15,19800,9,0,7,16,0,0
19,RPMG3,2022-07-04,2.15,2.21,2.12,2.12,8300,6,0,14,20,0,0
20,RPMG3,2022-07-05,2.11,2.19,2.06,2.08,14700,5,0,10,15,0,0
21,RPMG3,2022-07-06,2.1,2.13,2.03,2.08,12100,11,0,22,33,0,0
22,RPMG3,2022-07-07,2.12,2.12,2.08,2.08,8400,10,1,10,21,0,0
23,RPMG3,2022-07-08,2.1,2.12,2.06,2.11,15000,11,0,18,29,0,0
24,RPMG3,2022-07-11,2.09,2.09,2.05,2.05,4300,12,0,8,20,0,0
25,RPMG3,2022-07-12,2.03,2.07,2.02,2.06,13500,18,1,18,37,0,0
26,RPMG3,2022-07-13,2.09,2.09,2.05,2.07,13200,16,0,9,25,0,0
27,RPMG3,2022-07-14,2.07,2.09,2.07,2.07,9400,6,0,2,8,0,0
28,RPMG3,2022-07-15,2.07,2.07,2.01,2.01,18600,7,0,18,25,0,0
29,RPMG3,2022-07-18,2.05,2.05,2.0,2.0,20500,5,0,24,29,0,0
30,RPMG3,2022-07-19,2.02,2.06,2.01,2.02,4100,8,0,11,19,0,0
31,RPMG3,2022-07-20,2.04,2.07,2.04,2.05,3900,8,0,3,11,0,0
32,RPMG3,2022-07-21,2.01,2.05,2.01,2.02,8300,6,0,25,31,0,0
33,RPMG3,2022-07-22,2.06,2.25,2.05,2.07,23300,56,0,29,85,0,0
34,RPMG3,2022-07-25,2.06,2.06,2.02,2.03,4500,13,0,14,27,0,0
35,RPMG3,2022-07-26,2.05,2.05,2.0,2.0,6200,6,0,17,23,0,0
36,RPMG3,2022-07-27,2.02,2.05,2.0,2.0,7700,4,1,18,23,0,0
37,RPMG3,2022-07-28,2.02,2.05,2.0,2.03,5900,7,0,10,17,0,0
38,RPMG3,2022-07-29,2.01,2.05,1.99,2.0,13300,12,0,22,34,0,0
39,RPMG3,2022-08-01,2.0,2.0,1.98,1.98,10300,8,0,19,27,0,0
40,RPMG3,2022-08-02,1.98,2.09,1.95,2.0,13900,18,3,11,32,0,0
41,RPMG3,2022-08-03,2.02,2.03,1.99,2.01,10600,13,0,20,33,0,0
42,RPMG3,2022-08-08,2.13,2.15,2.06,2.08,31600,45,0,26,71,0,0
43,RPMG3,2022-08-09,2.13,2.13,2.06,2.07,27500,27,0,38,65,0,0
44,RPMG3,2022-08-10,2.08,2.14,2.07,2.13,15300,26,0,17,43,0,0
45,RPMG3,2022-08-12,2.08,2.13,2.05,2.07,5700,16,0,7,23,0,0
46,RPMG3,2022-08-15,2.05,2.12,2.05,2.06,16000,18,0,16,34,0,0
47,RPMG3,2022-08-16,2.06,2.09,2.05,2.09,9800,16,0,14,30,0,0
48,RPMG3,2022-08-17,2.09,2.11,2.05,2.05,12500,16,0,25,41,0,0
49,RPMG3,2022-08-18,2.05,2.09,2.03,2.03,31800,24,1,20,45,0,0
50,RPMG3,2022-08-19,1.99,2.11,1.99,2.05,79800,58,0,34,92,0,0
51,RPMG3,2022-08-22,2.01,2.02,1.99,2.0,23200,8,0,24,32,0,0
52,RPMG3,2022-08-23,2.0,2.08,2.0,2.02,45400,26,0,16,42,0,0
53,RPMG3,2022-08-24,2.02,2.05,2.01,2.02,4100,5,0,7,12,0,0
54,RPMG3,2022-08-25,2.02,2.06,2.02,2.03,8800,7,1,5,13,0,0
55,RPMG3,2022-08-26,2.01,2.04,1.97,1.99,17400,30,0,40,70,0,0
56,RPMG3,2022-08-29,1.99,2.03,1.99,2.0,5500,9,1,13,23,0,0
57,RPMG3,2022-08-30,2.0,2.01,1.86,1.9,32100,19,0,61,80,0,0
58,RPMG3,2022-08-31,1.93,1.93,1.86,1.9,11700,18,1,25,44,0,0
59,RPMG3,2022-09-01,1.88,1.92,1.87,1.9,4700,5,1,10,16,0,0
60,RPMG3,2022-09-02,1.93,2.0,1.91,2.0,5200,12,0,5,17,0,0
61,RPMG3,2022-09-05,2.0,2.0,1.97,2.0,6000,9,4,6,19,0,0
62,RPMG3,2022-09-06,1.97,1.97,1.91,1.91,7400,0,0,16,16,0,0
63,RPMG3,2022-09-08,1.91,1.99,1.9,1.91,9200,16,1,11,28,0,0
64,RPMG3,2022-09-09,1.94,1.96,1.92,1.96,15400,23,0,67,90,0,0
65,RPMG3,2022-09-12,1.96,2.0,1.93,1.95,16400,17,0,31,48,0,0
66,RPMG3,2022-09-13,1.94,1.98,1.94,1.96,3800,5,0,7,12,0,0
67,RPMG3,2022-09-15,1.96,2.01,1.96,2.01,15000,11,0,9,20,0,0
68,RPMG3,2022-09-16,1.87,1.98,1.87,1.98,16700,13,1,20,34,0,0
69,RPMG3,2022-09-19,1.95,2.0,1.94,1.97,9000,17,0,8,25,0,0
70,RPMG3,2022-09-20,1.99,2.0,1.95,1.99,4300,10,0,8,18,0,0
71,RPMG3,2022-09-21,1.99,2.0,1.95,1.96,4000,7,0,11,18,0,0
72,RPMG3,2022-09-22,1.91,1.99,1.91,1.96,2000,7,0,3,10,0,0
73,RPMG3,2022-09-23,1.95,1.95,1.92,1.92,1700,3,0,9,12,0,0
74,RPMG3,2022-09-27,1.87,1.92,1.87,1.88,14000,15,0,65,80,0,0
75,RPMG3,2022-09-28,1.9,1.93,1.9,1.93,2300,7,0,6,13,0,0
76,RPMG3,2022-09-29,1.91,1.91,1.87,1.87,2900,1,0,13,14,0,0
77,RPMG3,2022-09-30,1.89,1.9,1.88,1.9,7300,8,0,8,16,0,0
78,RPMG3,2022-10-03,1.91,1.95,1.91,1.94,15400,8,2,6,16,0,0
79,RPMG3,2022-10-04,1.95,1.96,1.92,1.92,3300,9,0,5,14,0,0
80,RPMG3,2022-10-05,1.9,1.96,1.9,1.92,2300,12,0,1,13,0,0
81,RPMG3,2022-10-06,1.9,1.96,1.9,1.95,7000,9,0,10,19,0,0
82,RPMG3,2022-10-07,1.95,1.95,1.94,1.94,2800,6,0,2,8,0,0
83,RPMG3,2022-10-10,1.9,1.96,1.86,1.92,13500,6,2,10,18,0,0
84,RPMG3,2022-10-11,1.92,1.95,1.9,1.92,5400,6,0,12,18,0,0
85,RPMG3,2022-10-13,1.92,1.92,1.87,1.9,8600,20,0,6,26,0,0
86,RPMG3,2022-10-14,1.88,1.93,1.86,1.86,8200,10,0,15,25,0,0
87,RPMG3,2022-10-17,1.88,1.9,1.87,1.87,4200,7,0,12,19,0,0
88,RPMG3,2022-10-18,1.87,1.92,1.85,1.89,13900,11,0,23,34,0,0
89,RPMG3,2022-10-19,1.89,1.89,1.85,1.88,18200,26,0,34,60,0,0
90,RPMG3,2022-10-20,1.87,1.95,1.85,1.86,19500,30,0,34,64,0,0
91,RPMG3,2022-10-21,1.89,1.91,1.85,1.89,3300,5,2,13,20,0,0
92,RPMG3,2022-10-24,1.88,1.89,1.84,1.84,4100,7,2,10,19,0,0
93,RPMG3,2022-10-25,1.86,1.87,1.85,1.85,4500,3,0,16,19,0,0
94,RPMG3,2022-10-26,1.84,1.87,1.84,1.84,4100,3,1,12,16,0,0
95,RPMG3,2022-10-27,1.86,1.92,1.86,1.89,12100,11,2,8,21,0,0
96,RPMG3,2022-10-28,1.89,1.96,1.85,1.9,3900,7,0,12,19,0,0
97,RPMG3,2022-10-31,1.89,1.9,1.84,1.88,4600,6,1,16,23,0,0
98,RPMG3,2022-11-01,1.93,2.01,1.9,1.92,15900,26,1,16,43,0,0
99,RPMG3,2022-11-03,1.92,2.0,1.92,1.95,4700,14,0,10,24,0,0
100,RPMG3,2022-11-04,1.93,1.95,1.93,1.93,4300,2,0,17,19,0,0
101,RPMG3,2022-11-07,1.93,1.94,1.92,1.94,2600,2,0,3,5,0,0
102,RPMG3,2022-11-08,1.96,1.98,1.88,1.88,3600,13,0,13,26,0,0
103,RPMG3,2022-11-09,1.89,1.97,1.86,1.86,4000,4,0,10,14,0,0
104,RPMG3,2022-11-10,1.86,1.88,1.85,1.88,7600,0,1,10,11,0,0
105,RPMG3,2022-11-14,1.85,1.87,1.84,1.85,26900,3,0,9,12,0,0
106,RPMG3,2022-11-17,1.75,1.88,1.72,1.88,18600,20,0,15,35,0,0
107,RPMG3,2022-11-18,1.87,1.87,1.81,1.83,3300,4,1,3,8,0,0
108,RPMG3,2022-11-21,1.8,1.87,1.79,1.87,5600,11,0,5,16,0,0
109,RPMG3,2022-11-22,1.8,1.85,1.72,1.85,3700,9,0,9,18,0,0
110,RPMG3,2022-11-23,1.78,1.81,1.78,1.79,1400,3,0,5,8,0,0
111,RPMG3,2022-11-24,1.77,1.82,1.77,1.79,1400,2,0,3,5,0,0
112,RPMG3,2022-11-25,1.79,1.79,1.77,1.77,1600,1,0,3,4,0,0
113,RPMG3,2022-11-28,1.77,1.78,1.77,1.78,300,0,0,2,2,0,0
114,RPMG3,2022-11-29,1.77,1.78,1.76,1.78,700,1,0,5,6,0,0
115,RPMG3,2022-11-30,1.73,1.78,1.73,1.78,2200,2,0,4,6,0,0
116,RPMG3,2022-12-01,1.78,1.78,1.71,1.71,5500,3,0,9,12,0,0
117,RPMG3,2022-12-02,1.7,1.7,1.69,1.7,5000,9,0,6,15,0,0
118,RPMG3,2022-12-05,1.67,1.73,1.56,1.65,19300,10,0,31,41,0,0
119,RPMG3,2022-12-06,1.58,1.73,1.57,1.57,8400,11,0,11,22,0,0
120,RPMG3,2022-12-07,1.67,1.68,1.57,1.57,3900,10,0,5,15,0,0
121,RPMG3,2022-12-08,1.59,1.65,1.57,1.6,7000,20,0,3,23,0,0
122,RPMG3,2022-12-09,1.62,1.67,1.59,1.59,11700,8,0,6,14,0,0
123,RPMG3,2022-12-12,1.59,1.64,1.55,1.64,3800,5,0,5,10,0,0
124,RPMG3,2022-12-13,1.62,1.62,1.56,1.6,3300,9,0,7,16,0,0
125,RPMG3,2022-12-14,1.6,1.6,1.54,1.55,3400,6,0,7,13,0,0
126,RPMG3,2022-12-15,1.52,1.62,1.51,1.55,3800,8,0,4,12,0,0
127,RPMG3,2022-12-16,1.53,1.62,1.51,1.6,8800,13,1,9,23,0,0
128,RPMG3,2022-12-19,1.58,1.58,1.57,1.57,1800,5,0,2,7,0,0
129,RPMG3,2022-12-20,1.57,1.57,1.53,1.56,5500,8,0,7,15,0,0
130,RPMG3,2022-12-21,1.56,1.56,1.52,1.53,3700,8,0,9,17,0,0
131,RPMG3,2022-12-22,1.58,1.58,1.51,1.53,7600,10,0,9,19,0,0
132,RPMG3,2022-12-23,1.55,1.57,1.53,1.53,9200,8,0,6,14,0,0
133,RPMG3,2022-12-26,1.56,1.6,1.52,1.53,3700,22,0,3,25,0,0
134,RPMG3,2022-12-27,1.55,1.87,1.55,1.8,172000,156,1,109,266,0,0
135,RPMG3,2022-12-28,1.78,1.8,1.67,1.8,83200,30,0,43,73,0,0
136,RPMG3,2022-12-29,1.77,1.78,1.68,1.7,21000,20,1,8,29,0,0
137,RPMG3,2023-01-02,1.72,1.72,1.55,1.68,23900,24,0,25,49,0,0
138,RPMG3,2023-01-03,1.68,1.74,1.6,1.63,21500,26,0,23,49,0,0
139,RPMG3,2023-01-04,1.67,1.67,1.6,1.6,9700,5,0,12,17,0,0
140,RPMG3,2023-01-05,1.65,1.71,1.61,1.7,11400,27,2,13,42,0,0
141,RPMG3,2023-01-06,1.7,1.7,1.64,1.68,2000,11,0,2,13,0,0
142,RPMG3,2023-01-09,1.66,1.66,1.61,1.61,5000,7,0,10,17,0,0
143,RPMG3,2023-01-10,1.61,1.66,1.61,1.66,7300,11,0,7,18,0,0
144,RPMG3,2023-01-11,1.64,1.64,1.62,1.62,3300,7,1,8,16,0,0
145,RPMG3,2023-01-12,1.62,1.78,1.62,1.67,6600,28,0,6,34,0,0
146,RPMG3,2023-01-13,1.76,1.78,1.62,1.62,31300,16,0,26,42,0,0
147,RPMG3,2023-01-16,1.62,1.76,1.61,1.63,38900,34,0,40,74,0,0
148,RPMG3,2023-01-17,1.63,1.66,1.58,1.58,24500,2,0,32,34,0,0
149,RPMG3,2023-01-18,1.58,1.64,1.58,1.6,4400,9,0,6,15,0,0
150,RPMG3,2023-01-19,1.59,1.65,1.59,1.59,7500,6,0,14,20,0,0
151,RPMG3,2023-01-20,1.61,1.62,1.58,1.62,12800,13,0,11,24,0,0
152,RPMG3,2023-01-23,1.6,1.63,1.59,1.59,8200,9,0,14,23,0,0
153,RPMG3,2023-01-24,1.59,1.62,1.58,1.62,1600,6,0,6,12,0,0
154,RPMG3,2023-01-25,1.62,1.65,1.61,1.63,2700,12,0,1,13,0,0
155,RPMG3,2023-01-26,1.61,1.65,1.59,1.6,13100,11,0,27,38,0,0
156,RPMG3,2023-01-30,1.58,1.61,1.58,1.58,28500,16,2,28,46,0,0
157,RPMG3,2023-01-31,1.58,1.64,1.58,1.6,26700,34,0,20,54,0,0
158,RPMG3,2023-02-01,1.63,1.64,1.58,1.59,22300,21,1,24,46,0,0
159,RPMG3,2023-02-02,1.63,1.68,1.61,1.65,29800,36,1,18,55,0,0
160,RPMG3,2023-02-03,1.67,1.67,1.61,1.63,15100,16,1,18,35,0,0
161,RPMG3,2023-02-06,1.59,1.63,1.58,1.62,13900,7,0,17,24,0,0
162,RPMG3,2023-02-07,1.63,1.63,1.6,1.61,5100,9,1,8,18,0,0
163,RPMG3,2023-02-08,1.61,1.63,1.59,1.6,4400,5,1,14,20,0,0
164,RPMG3,2023-02-09,1.6,1.63,1.57,1.61,25500,10,0,16,26,0,0
165,RPMG3,2023-02-10,1.58,1.61,1.58,1.58,4900,5,0,6,11,0,0
166,RPMG3,2023-02-13,1.57,1.61,1.56,1.61,17600,11,0,9,20,0,0
167,RPMG3,2023-02-14,1.57,1.61,1.57,1.6,8400,4,0,4,8,0,0
168,RPMG3,2023-02-15,1.58,1.59,1.56,1.59,5600,4,0,10,14,0,0
169,RPMG3,2023-02-16,1.57,1.62,1.57,1.62,3100,0,3,8,11,0,0
170,RPMG3,2023-02-17,1.63,1.63,1.6,1.61,4800,7,0,10,17,0,0
171,RPMG3,2023-02-20,1.63,1.63,1.6,1.61,4800,7,0,10,17,0,0
172,RPMG3,2023-02-21,1.63,1.63,1.6,1.61,4800,7,0,10,17,0,0
173,RPMG3,2023-02-22,1.57,1.7,1.53,1.63,22900,23,0,9,32,0,0
174,RPMG3,2023-02-23,1.67,1.81,1.59,1.65,60400,61,0,42,103,0,0
175,RPMG3,2023-02-24,1.63,1.66,1.59,1.62,25600,7,0,21,28,0,0
176,RPMG3,2023-02-27,1.61,1.66,1.6,1.63,13700,10,0,11,21,0,0
177,RPMG3,2023-02-28,1.64,1.66,1.61,1.61,8500,7,1,9,17,0,0
178,RPMG3,2023-03-01,1.61,1.66,1.61,1.66,7000,7,0,6,13,0,0
179,RPMG3,2023-03-02,1.64,1.68,1.64,1.68,13600,14,0,4,18,0,0
180,RPMG3,2023-03-03,1.68,1.68,1.62,1.67,1400,4,0,6,10,0,0
181,RPMG3,2023-03-06,1.66,1.67,1.61,1.64,10900,5,0,11,16,0,0
182,RPMG3,2023-03-07,1.61,1.64,1.61,1.64,6800,5,0,5,10,0,0
183,RPMG3,2023-03-08,1.62,1.64,1.61,1.64,14800,15,0,4,19,0,0
184,RPMG3,2023-03-09,1.64,1.64,1.61,1.64,15000,6,0,9,15,0,0
185,RPMG3,2023-03-10,1.64,1.65,1.62,1.62,15000,13,0,5,18,0,0
186,RPMG3,2023-03-13,1.61,1.67,1.61,1.61,2200,2,0,7,9,0,0
187,RPMG3,2023-03-14,1.61,1.64,1.61,1.64,5300,4,0,9,13,0,0
188,RPMG3,2023-03-15,1.61,1.63,1.61,1.61,7800,3,0,3,6,0,0
189,RPMG3,2023-03-16,1.62,1.71,1.62,1.62,26500,26,0,2,28,0,0
190,RPMG3,2023-03-17,1.69,1.69,1.61,1.61,1600,1,0,11,12,0,0
191,RPMG3,2023-03-20,1.67,1.67,1.52,1.52,17700,6,0,24,30,0,0
192,RPMG3,2023-03-21,1.54,1.56,1.52,1.52,3200,2,0,14,16,0,0
193,RPMG3,2023-03-23,1.51,1.62,1.51,1.57,8000,11,0,6,17,0,0
194,RPMG3,2023-03-24,1.59,1.63,1.53,1.53,20600,14,0,6,20,0,0
195,RPMG3,2023-03-27,1.58,1.61,1.57,1.57,7400,14,0,3,17,0,0
196,RPMG3,2023-03-28,1.56,1.6,1.54,1.6,35800,13,0,11,24,0,0
197,RPMG3,2023-03-29,1.6,1.63,1.54,1.63,1800,3,0,7,10,0,0
198,RPMG3,2023-03-30,1.64,1.66,1.58,1.58,7100,12,0,8,20,0,0
