,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,RRRP3,2022-06-06,48.76,49.07,46.66,46.72,1684600,4029,151,4410,8589,1,0
1,RRRP3,2022-06-07,46.51,47.47,46.26,46.8,1858200,4649,137,5276,10062,0,0
2,RRRP3,2022-06-08,46.86,47.57,46.45,46.79,1890600,4756,151,3956,8860,3,0
3,RRRP3,2022-06-09,46.76,47.15,45.56,45.98,1619100,4845,171,4012,9027,1,0
4,RRRP3,2022-06-10,45.54,45.73,44.41,44.62,3082800,7754,190,7610,15552,2,0
5,RRRP3,2022-06-13,42.85,43.85,41.72,42.8,2820800,7796,205,6162,14161,2,0
6,RRRP3,2022-06-14,43.21,43.48,40.36,40.51,4299100,9476,239,7629,17339,5,0
7,RRRP3,2022-06-15,41.5,42.57,40.15,40.9,4704300,10784,224,8604,19606,6,0
8,RRRP3,2022-06-17,39.9,39.9,35.92,36.5,7622700,14053,385,14851,29287,2,0
9,RRRP3,2022-06-20,36.02,36.3,33.86,35.6,6557200,13103,232,10416,23750,1,0
10,RRRP3,2022-06-21,36.75,36.9,35.93,36.62,5082900,10295,258,10914,21466,1,0
11,RRRP3,2022-06-22,34.52,35.18,33.78,33.91,5408400,12189,340,8484,21013,0,0
12,RRRP3,2022-06-23,34.37,34.7,32.53,32.8,5104400,9415,1893,11711,21369,1650,0
13,RRRP3,2022-06-24,33.76,34.5,32.49,34.2,3908700,10684,173,7865,18719,3,0
14,RRRP3,2022-06-27,34.9,36.6,34.4,36.49,5501900,10336,204,12970,23509,1,0
15,RRRP3,2022-06-28,37.23,37.52,35.76,36.47,4205000,8007,219,10368,18593,1,0
16,RRRP3,2022-06-29,36.54,36.62,35.25,35.7,2649000,6061,198,6112,12369,2,0
17,RRRP3,2022-06-30,34.99,35.58,34.4,34.8,3583300,7779,272,6518,14568,1,0
18,RRRP3,2022-07-01,35.26,35.89,34.79,35.31,2523600,6303,208,5320,11827,4,0
19,RRRP3,2022-07-04,35.77,36.82,35.36,36.25,2322800,6770,211,6005,12986,0,0
20,RRRP3,2022-07-05,35.45,35.57,33.45,33.57,6359700,13080,305,13546,26928,3,0
21,RRRP3,2022-07-06,33.89,33.91,30.9,31.64,9524800,16831,256,18559,35644,2,0
22,RRRP3,2022-07-07,32.82,33.19,31.9,32.0,6423200,13291,297,12232,25820,0,0
23,RRRP3,2022-07-08,32.38,33.59,32.26,32.82,4307800,7448,144,7391,14979,4,0
24,RRRP3,2022-07-11,31.9,32.49,31.62,32.4,3304700,6030,119,6191,12338,2,0
25,RRRP3,2022-07-12,31.52,31.78,30.01,30.18,6285500,8262,263,12947,21468,4,0
26,RRRP3,2022-07-13,30.13,30.15,28.35,28.4,8842600,12438,298,17416,30152,0,0
27,RRRP3,2022-07-14,27.86,29.5,26.86,29.0,9474100,13795,263,13959,28012,5,0
28,RRRP3,2022-07-15,29.91,30.06,28.5,28.65,4546600,9150,242,7643,17034,1,0
29,RRRP3,2022-07-18,29.46,30.1,29.12,29.47,4504700,7547,182,7968,15693,4,0
30,RRRP3,2022-07-19,29.1,30.55,29.07,30.49,4499100,8209,205,6394,14804,4,0
31,RRRP3,2022-07-20,30.21,32.03,30.21,31.7,4949200,11164,157,7784,19103,2,0
32,RRRP3,2022-07-21,30.75,30.88,29.82,30.34,5352700,9505,230,9526,19259,2,0
33,RRRP3,2022-07-22,30.15,30.33,29.34,29.47,3958500,7429,156,6965,14549,1,0
34,RRRP3,2022-07-25,29.86,30.73,29.4,30.15,3467100,6727,190,4811,11725,3,0
35,RRRP3,2022-07-26,30.9,31.18,29.79,29.82,2938000,5526,189,5866,11579,2,0
36,RRRP3,2022-07-27,29.94,30.78,29.59,30.72,2515000,5632,137,4518,10285,2,0
37,RRRP3,2022-07-28,30.98,31.94,30.54,31.75,4143400,8100,197,7326,15609,14,0
38,RRRP3,2022-07-29,32.5,34.57,32.31,34.1,5182300,10727,238,11836,22798,3,0
39,RRRP3,2022-08-01,33.0,33.3,32.22,32.39,2671100,6791,228,5146,12165,0,0
40,RRRP3,2022-08-02,32.39,33.17,32.0,33.12,2973200,6623,146,5770,12536,3,0
41,RRRP3,2022-08-03,35.0,35.0,32.65,32.75,4663000,9401,215,8556,18170,2,0
42,RRRP3,2022-08-08,33.55,34.59,33.25,34.28,3115800,5863,172,5829,11863,1,0
43,RRRP3,2022-08-09,34.33,34.92,33.9,34.41,2105800,4490,222,4773,9481,4,0
44,RRRP3,2022-08-10,34.77,35.13,33.99,34.41,3273700,9274,245,7537,17053,3,0
45,RRRP3,2022-08-12,34.89,35.75,34.35,34.75,3814100,7765,197,6572,14531,3,0
46,RRRP3,2022-08-15,33.48,33.88,33.15,33.57,4452600,9313,329,8063,17704,1,0
47,RRRP3,2022-08-16,33.5,33.72,32.81,33.22,2642300,5748,157,5979,11881,3,0
48,RRRP3,2022-08-17,32.89,34.05,32.89,33.51,3010000,7237,222,5047,12505,1,0
49,RRRP3,2022-08-18,34.35,35.54,33.72,35.46,4600400,8121,278,8126,16521,4,0
50,RRRP3,2022-08-19,34.69,34.99,33.53,34.55,5246100,9650,179,8783,18606,6,0
51,RRRP3,2022-08-22,34.47,34.76,33.63,34.24,3353500,6245,194,5451,11887,3,0
52,RRRP3,2022-08-23,34.6,36.75,34.57,36.15,5617200,11705,220,9816,21739,2,0
53,RRRP3,2022-08-24,36.41,37.06,36.08,37.0,3735700,7911,163,7811,15880,5,0
54,RRRP3,2022-08-25,37.08,37.81,36.6,37.14,2806000,5774,175,6168,12114,3,0
55,RRRP3,2022-08-26,37.0,37.43,36.66,37.04,2067900,3613,124,5327,9064,0,0
56,RRRP3,2022-08-29,36.9,39.16,36.9,37.91,4643300,10138,199,8240,18575,2,0
57,RRRP3,2022-08-30,37.52,38.03,36.48,37.05,5104200,9391,198,9370,18955,4,0
58,RRRP3,2022-08-31,37.14,37.7,36.42,37.14,3341300,7051,206,5136,12390,3,0
59,RRRP3,2022-09-01,37.06,37.46,36.2,36.68,3288100,7438,200,5615,13253,0,0
60,RRRP3,2022-09-02,37.46,38.33,36.85,37.2,3780800,6987,202,8281,15469,1,0
61,RRRP3,2022-09-05,38.15,38.97,38.15,38.56,4517600,7327,193,7397,14905,12,0
62,RRRP3,2022-09-06,38.0,38.19,37.08,37.57,3508100,7819,201,7013,15030,3,0
63,RRRP3,2022-09-08,37.08,37.1,35.27,36.16,5557300,11205,317,8685,20140,67,0
64,RRRP3,2022-09-09,37.01,37.61,36.82,37.16,3489300,6893,200,6887,13977,3,0
65,RRRP3,2022-09-12,38.0,38.43,37.05,37.15,3691300,4735,180,5348,10258,5,0
66,RRRP3,2022-09-13,37.0,37.92,36.96,36.99,3972400,6061,160,7701,13918,4,0
67,RRRP3,2022-09-15,38.52,38.52,37.36,37.36,3490500,5474,218,6316,12001,7,0
68,RRRP3,2022-09-16,37.37,38.1,37.0,38.06,2928300,4028,243,5977,10246,2,0
69,RRRP3,2022-09-19,37.01,38.67,37.01,38.14,3407800,5605,197,5754,11552,4,0
70,RRRP3,2022-09-20,38.5,39.25,37.74,38.63,5607700,8553,184,10319,19049,7,0
71,RRRP3,2022-09-21,39.23,40.11,38.9,39.23,4609900,8249,177,8767,17185,8,0
72,RRRP3,2022-09-22,39.88,40.12,38.48,39.46,4034500,8925,107,8265,17294,3,0
73,RRRP3,2022-09-23,38.43,38.68,37.08,37.25,6160300,9525,225,15614,25362,2,0
74,RRRP3,2022-09-27,35.62,35.62,34.46,34.7,5395400,8872,247,13269,22370,18,0
75,RRRP3,2022-09-28,34.81,36.19,34.32,35.76,4267300,6416,170,7952,14536,2,0
76,RRRP3,2022-09-29,35.79,35.87,34.22,34.8,4429600,7931,201,5980,14108,4,0
77,RRRP3,2022-09-30,34.7,36.51,34.39,35.69,3589700,6484,135,7968,14586,1,0
78,RRRP3,2022-10-03,37.5,38.17,36.73,37.99,4351000,8697,220,9087,18004,0,0
79,RRRP3,2022-10-04,38.56,42.57,38.56,41.71,13509800,24373,270,20412,45050,5,0
80,RRRP3,2022-10-05,42.0,43.93,41.93,43.06,6819700,12334,268,15067,27660,9,0
81,RRRP3,2022-10-06,43.56,43.7,42.63,42.96,3177800,6580,176,7480,14222,14,0
82,RRRP3,2022-10-07,43.01,43.9,42.63,42.86,3448500,7040,173,8152,15363,2,0
83,RRRP3,2022-10-10,42.98,43.89,42.67,42.85,3340900,7045,131,6881,14049,8,0
84,RRRP3,2022-10-11,42.7,42.87,41.64,42.46,4018000,9579,142,9393,19109,5,0
85,RRRP3,2022-10-13,41.55,43.3,41.05,42.53,3055600,6194,152,7649,13988,7,0
86,RRRP3,2022-10-14,42.49,42.94,39.88,40.03,4539500,8647,248,8859,17745,9,0
87,RRRP3,2022-10-17,40.79,41.53,40.22,40.8,2729300,4954,123,6570,11642,5,0
88,RRRP3,2022-10-18,41.0,41.93,40.76,41.51,2940400,6450,117,6444,13003,8,0
89,RRRP3,2022-10-19,41.62,44.26,41.62,43.95,12091600,18328,450,19700,38448,30,0
90,RRRP3,2022-10-20,44.49,45.8,43.94,44.41,5195600,9123,176,8944,18233,10,0
91,RRRP3,2022-10-21,44.43,46.2,43.86,45.63,5277400,9830,216,12135,22169,12,0
92,RRRP3,2022-10-24,45.0,45.84,44.55,45.1,2531600,4255,136,5980,10365,6,0
93,RRRP3,2022-10-25,44.91,46.24,43.97,44.0,3312500,6821,198,8649,15662,6,0
94,RRRP3,2022-10-26,43.94,44.87,43.43,43.79,2801500,6520,202,9116,15833,5,0
95,RRRP3,2022-10-27,43.75,44.77,43.35,43.4,2785400,7595,166,6759,14514,6,0
96,RRRP3,2022-10-28,43.27,44.03,43.01,43.8,2116200,4912,148,5927,10982,5,0
97,RRRP3,2022-10-31,42.27,46.7,42.12,46.27,4968400,10311,317,11594,22216,6,0
98,RRRP3,2022-11-01,47.6,48.84,46.15,46.5,4970700,10322,450,10426,20969,229,0
99,RRRP3,2022-11-03,46.51,48.01,46.03,48.0,3212200,8621,185,6154,14951,9,0
100,RRRP3,2022-11-04,48.8,51.58,48.64,51.15,6330300,13738,327,12544,26600,9,0
101,RRRP3,2022-11-07,50.35,51.24,48.6,48.76,3809400,10512,286,8915,19654,59,0
102,RRRP3,2022-11-08,48.6,48.75,46.17,47.0,4670300,10550,213,10324,21077,10,0
103,RRRP3,2022-11-09,46.9,48.08,45.74,46.21,4808000,11139,148,8678,19961,4,0
104,RRRP3,2022-11-10,45.14,46.2,43.06,43.49,5368300,11799,173,11303,23270,5,0
105,RRRP3,2022-11-14,43.65,43.98,42.36,43.45,4242900,9407,173,8796,18366,10,0
106,RRRP3,2022-11-17,39.36,39.63,37.3,38.82,8565000,18477,350,16229,35056,0,0
107,RRRP3,2022-11-18,39.42,40.05,37.96,37.98,4799800,11889,145,10234,22264,4,0
108,RRRP3,2022-11-21,37.7,38.98,36.53,37.65,4593000,9636,195,7008,16839,0,0
109,RRRP3,2022-11-22,38.65,39.31,36.62,36.94,4803300,10955,237,10994,22186,0,0
110,RRRP3,2022-11-23,36.58,36.81,35.0,35.46,5556500,12972,181,11549,24700,2,0
111,RRRP3,2022-11-24,35.9,37.62,35.68,37.4,4395600,11440,119,7052,18593,18,0
112,RRRP3,2022-11-25,37.4,37.74,35.27,35.4,4329800,6919,175,9494,16587,1,0
113,RRRP3,2022-11-28,34.4,35.27,34.04,34.79,4013600,9352,256,8523,18129,2,0
114,RRRP3,2022-11-29,35.6,36.63,35.1,35.89,3581700,7133,229,7337,14694,5,0
115,RRRP3,2022-11-30,36.41,37.15,35.5,36.99,5599600,9452,276,10409,20136,1,0
116,RRRP3,2022-12-01,36.99,37.58,35.96,36.14,4110800,10989,200,9875,21062,2,0
117,RRRP3,2022-12-02,36.32,36.77,35.5,36.59,2474700,5382,170,4935,10486,1,0
118,RRRP3,2022-12-05,36.78,37.1,34.92,35.2,5077900,14427,157,12547,27128,3,0
119,RRRP3,2022-12-06,35.17,35.46,33.56,33.95,5691000,11961,239,9234,21433,1,0
120,RRRP3,2022-12-07,33.81,34.15,32.9,33.27,3702700,8854,178,7513,16544,1,0
121,RRRP3,2022-12-08,33.47,34.32,32.99,33.3,3526100,9211,150,8402,17760,3,0
122,RRRP3,2022-12-09,33.32,33.86,32.56,32.77,2840800,5886,149,5095,11130,0,0
123,RRRP3,2022-12-12,32.67,33.52,32.12,33.33,3392100,6755,143,6150,13045,3,0
124,RRRP3,2022-12-13,33.5,34.55,33.07,33.63,3316700,8685,175,7581,16437,4,0
125,RRRP3,2022-12-14,33.59,34.53,33.09,33.5,5697600,11440,210,10255,21900,5,0
126,RRRP3,2022-12-15,33.01,33.55,32.7,32.87,4400100,8270,192,7282,15741,3,0
127,RRRP3,2022-12-16,32.67,32.92,31.45,32.72,6451000,8344,188,8620,17149,3,0
128,RRRP3,2022-12-19,33.45,33.49,31.66,31.85,5099300,11159,288,10383,21830,0,0
