,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,RSID3,2022-06-06,2.31,2.32,2.1,2.13,254000,166,22,349,537,0,0
1,RSID3,2022-06-07,2.08,2.19,2.05,2.1,607600,136,1,189,326,0,0
2,RSID3,2022-06-08,2.06,2.27,2.06,2.22,163400,308,0,197,505,0,0
3,RSID3,2022-06-09,2.25,2.38,2.16,2.18,161800,270,0,252,522,0,0
4,RSID3,2022-06-10,2.2,2.21,2.06,2.11,98000,169,7,169,345,0,0
5,RSID3,2022-06-13,2.06,2.07,1.86,1.93,199200,185,9,219,413,0,0
6,RSID3,2022-06-14,1.96,2.1,1.81,1.84,186900,228,12,250,490,0,0
7,RSID3,2022-06-15,1.87,1.98,1.8,1.9,101900,197,0,166,363,0,0
8,RSID3,2022-06-17,1.94,1.94,1.78,1.9,87300,89,1,153,243,0,0
9,RSID3,2022-06-20,1.91,2.05,1.81,1.93,260700,463,1,324,788,0,0
10,RSID3,2022-06-21,2.0,2.1,1.87,1.9,160500,283,0,289,572,0,0
11,RSID3,2022-06-22,1.87,2.0,1.83,1.9,110900,157,0,142,299,0,0
12,RSID3,2022-06-23,1.93,2.05,1.87,1.92,97200,162,0,174,336,0,0
13,RSID3,2022-06-24,1.94,1.95,1.85,1.93,117000,181,0,180,361,0,0
14,RSID3,2022-06-27,2.02,2.22,1.93,2.2,402400,617,18,414,1049,0,0
15,RSID3,2022-06-28,2.23,2.3,2.1,2.17,468900,347,4,237,588,0,0
16,RSID3,2022-06-29,2.14,2.42,2.07,2.28,1413700,491,0,357,848,0,0
17,RSID3,2022-06-30,2.23,2.42,2.23,2.33,231100,256,1,153,410,0,0
18,RSID3,2022-07-01,2.38,2.5,2.25,2.42,184600,353,0,203,556,0,0
19,RSID3,2022-07-04,2.41,2.5,2.33,2.42,74600,96,0,53,149,0,0
20,RSID3,2022-07-05,2.43,2.43,2.25,2.38,124400,162,0,117,279,0,0
21,RSID3,2022-07-06,2.38,2.51,2.32,2.36,78400,136,8,105,249,0,0
22,RSID3,2022-07-07,2.45,2.65,2.38,2.62,116300,202,0,130,332,0,0
23,RSID3,2022-07-08,2.67,2.67,2.5,2.57,54300,79,0,110,189,0,0
24,RSID3,2022-07-11,2.6,2.69,2.42,2.54,150000,231,0,203,434,0,0
25,RSID3,2022-07-12,2.5,2.6,2.38,2.41,93800,97,14,120,231,0,0
26,RSID3,2022-07-13,2.37,2.43,2.28,2.29,91500,106,1,101,207,1,0
27,RSID3,2022-07-14,2.33,2.34,2.18,2.18,76900,48,0,87,135,0,0
28,RSID3,2022-07-15,2.22,2.29,2.11,2.25,108100,80,1,90,170,1,0
29,RSID3,2022-07-18,2.27,2.31,2.25,2.28,52800,55,0,61,116,0,0
30,RSID3,2022-07-19,2.28,2.34,2.27,2.32,90500,60,1,46,106,1,0
31,RSID3,2022-07-20,2.34,2.5,2.31,2.5,103900,122,13,57,192,0,0
32,RSID3,2022-07-21,2.5,2.6,2.49,2.56,82300,110,15,81,206,0,0
33,RSID3,2022-07-22,2.56,2.63,2.5,2.58,31000,56,0,40,96,0,0
34,RSID3,2022-07-25,2.6,2.71,2.58,2.66,42700,37,0,58,95,0,0
35,RSID3,2022-07-26,2.68,2.74,2.45,2.55,153400,120,15,103,238,0,0
36,RSID3,2022-07-27,2.59,2.69,2.5,2.68,93700,84,0,74,158,0,0
37,RSID3,2022-07-28,2.65,2.86,2.56,2.79,155700,191,10,84,285,0,0
38,RSID3,2022-07-29,2.79,3.09,2.79,3.04,405400,546,19,273,838,0,0
39,RSID3,2022-08-01,2.95,3.2,2.92,3.12,157300,186,22,139,347,0,0
40,RSID3,2022-08-02,3.14,3.44,3.04,3.32,343900,583,23,287,893,0,0
41,RSID3,2022-08-03,3.32,3.59,3.28,3.53,268800,486,14,293,793,0,0
42,RSID3,2022-08-08,3.38,3.53,3.3,3.3,147600,243,13,248,504,0,0
43,RSID3,2022-08-09,3.35,3.35,3.23,3.26,92600,83,17,113,213,0,0
44,RSID3,2022-08-10,3.23,3.45,3.21,3.34,120700,208,16,135,359,0,0
45,RSID3,2022-08-12,3.11,3.25,3.0,3.16,220600,214,12,179,405,0,0
46,RSID3,2022-08-15,3.34,3.67,3.26,3.54,274600,363,18,267,648,0,0
47,RSID3,2022-08-16,3.64,3.97,3.55,3.78,285300,308,14,334,656,0,0
48,RSID3,2022-08-17,3.79,3.86,3.62,3.77,119800,170,12,148,330,0,0
49,RSID3,2022-08-18,3.8,3.8,3.54,3.8,129100,179,14,204,397,0,0
50,RSID3,2022-08-19,3.7,3.74,3.55,3.55,81100,155,15,144,314,0,0
51,RSID3,2022-08-22,3.64,3.64,3.3,3.3,115100,64,24,173,261,0,0
52,RSID3,2022-08-23,3.33,3.45,3.31,3.41,98200,202,13,130,345,0,0
53,RSID3,2022-08-24,3.41,3.55,3.41,3.52,112900,178,0,119,297,0,0
54,RSID3,2022-08-25,3.51,3.65,3.44,3.62,155200,114,1,125,239,1,0
55,RSID3,2022-08-26,3.64,3.72,3.4,3.42,117300,112,0,145,257,0,0
56,RSID3,2022-08-29,3.43,3.59,3.34,3.54,125000,139,12,94,245,0,0
57,RSID3,2022-08-30,3.54,3.56,3.25,3.25,104700,87,1,135,222,1,0
58,RSID3,2022-08-31,3.28,3.35,3.05,3.12,172700,124,16,117,256,1,0
59,RSID3,2022-09-01,3.12,3.14,2.94,3.1,116900,102,7,113,222,0,0
60,RSID3,2022-09-02,3.05,3.28,3.05,3.08,72000,84,15,53,152,0,0
61,RSID3,2022-09-05,3.07,3.27,3.06,3.18,52100,56,7,47,110,0,0
62,RSID3,2022-09-06,3.15,3.15,3.0,3.03,51200,52,10,58,120,0,0
63,RSID3,2022-09-08,3.12,3.24,3.12,3.19,40000,71,0,60,131,0,0
64,RSID3,2022-09-09,3.23,3.3,3.18,3.3,65700,83,0,45,128,0,0
65,RSID3,2022-09-12,3.33,3.41,3.26,3.34,53400,51,0,63,114,0,0
66,RSID3,2022-09-13,3.25,3.35,3.24,3.26,31300,90,8,40,138,0,0
67,RSID3,2022-09-15,3.1,3.19,3.1,3.19,47700,63,10,62,135,0,0
68,RSID3,2022-09-16,3.15,3.19,3.08,3.14,31900,129,7,19,155,0,0
69,RSID3,2022-09-19,3.16,3.2,3.08,3.15,53700,76,0,48,124,0,0
70,RSID3,2022-09-20,2.83,2.88,2.55,2.85,676700,716,14,464,1194,0,0
71,RSID3,2022-09-21,2.8,2.88,2.59,2.65,181600,212,0,246,458,0,0
72,RSID3,2022-09-22,2.65,2.79,2.62,2.79,120800,85,0,86,171,0,0
73,RSID3,2022-09-23,2.78,2.8,2.63,2.75,81000,89,0,87,176,0,0
74,RSID3,2022-09-27,2.71,2.8,2.65,2.73,50700,76,0,79,155,0,0
75,RSID3,2022-09-28,2.74,2.78,2.58,2.64,130400,132,0,124,256,0,0
76,RSID3,2022-09-29,2.68,2.71,2.5,2.69,79400,59,0,81,140,0,0
77,RSID3,2022-09-30,2.65,2.88,2.65,2.79,342400,201,0,166,367,0,0
78,RSID3,2022-10-03,2.83,3.04,2.74,2.96,236800,196,1,208,405,0,0
79,RSID3,2022-10-04,2.94,2.94,2.83,2.83,71000,61,8,92,161,0,0
80,RSID3,2022-10-05,2.83,2.98,2.8,2.94,108800,169,0,90,259,0,0
81,RSID3,2022-10-06,2.94,3.0,2.88,3.0,41700,43,12,34,88,1,0
82,RSID3,2022-10-07,2.98,2.98,2.86,2.92,54700,75,0,105,180,0,0
83,RSID3,2022-10-10,2.92,2.93,2.81,2.84,34500,37,0,65,102,0,0
84,RSID3,2022-10-11,2.87,2.91,2.84,2.9,22800,47,0,43,90,0,0
85,RSID3,2022-10-13,2.91,2.91,2.82,2.87,21600,66,0,21,87,0,0
86,RSID3,2022-10-14,2.92,3.09,2.85,2.95,51800,98,0,41,139,0,0
87,RSID3,2022-10-17,2.95,2.99,2.83,2.95,45000,128,0,54,182,0,0
88,RSID3,2022-10-18,2.93,2.96,2.88,2.96,22700,113,0,61,174,0,0
89,RSID3,2022-10-19,2.97,3.1,2.95,3.02,132600,244,2,126,370,2,0
90,RSID3,2022-10-20,3.07,3.17,2.86,2.89,161100,200,15,218,433,0,0
91,RSID3,2022-10-21,2.93,3.0,2.87,3.0,47200,108,0,79,187,0,0
92,RSID3,2022-10-24,2.99,3.05,2.91,3.0,35200,68,13,51,132,0,0
93,RSID3,2022-10-25,2.98,2.98,2.86,2.89,28200,58,17,71,146,0,0
94,RSID3,2022-10-26,2.87,2.93,2.82,2.9,30600,70,5,34,109,0,0
95,RSID3,2022-10-27,2.91,2.92,2.8,2.86,72800,97,9,64,170,0,0
96,RSID3,2022-10-28,2.86,2.9,2.85,2.88,15000,47,0,26,73,0,0
97,RSID3,2022-10-31,2.89,3.0,2.84,2.95,81700,166,1,95,261,1,0
98,RSID3,2022-11-01,2.96,3.08,2.85,2.95,138900,200,0,145,345,0,0
99,RSID3,2022-11-03,2.95,3.41,2.95,3.41,466500,507,1,275,783,0,0
100,RSID3,2022-11-04,3.41,3.49,3.24,3.42,184800,205,12,207,424,0,0
101,RSID3,2022-11-07,3.39,3.5,3.14,3.14,86900,78,23,98,199,0,0
102,RSID3,2022-11-08,3.16,3.43,3.15,3.36,125200,167,16,117,300,0,0
103,RSID3,2022-11-09,3.32,3.42,3.29,3.42,24800,88,11,22,121,0,0
104,RSID3,2022-11-10,3.3,3.38,2.96,2.98,93700,84,16,88,188,0,0
105,RSID3,2022-11-14,3.05,3.05,2.91,2.95,27300,41,10,68,119,0,0
106,RSID3,2022-11-17,2.82,2.82,2.61,2.67,80800,59,0,65,124,0,0
107,RSID3,2022-11-18,2.74,2.83,2.44,2.44,426300,180,0,189,369,0,0
108,RSID3,2022-11-21,2.52,2.58,2.27,2.41,267700,157,9,164,330,0,0
109,RSID3,2022-11-22,2.45,2.5,2.36,2.44,36100,50,0,45,95,0,0
110,RSID3,2022-11-23,2.37,2.46,2.37,2.46,6000,23,4,9,36,0,0
111,RSID3,2022-11-24,2.5,2.61,2.46,2.6,41000,63,0,15,78,0,0
112,RSID3,2022-11-25,2.61,2.71,2.38,2.41,54300,82,0,52,134,0,0
113,RSID3,2022-11-28,2.45,2.45,2.24,2.41,83900,54,1,74,128,1,0
114,RSID3,2022-11-29,2.41,2.5,2.37,2.4,21900,54,7,17,78,0,0
115,RSID3,2022-11-30,2.37,2.42,2.35,2.35,9500,20,0,10,30,0,0
116,RSID3,2022-12-01,2.31,2.45,2.3,2.45,19100,53,0,15,68,0,0
117,RSID3,2022-12-02,2.38,2.46,2.37,2.39,13800,28,0,19,47,0,0
118,RSID3,2022-12-05,2.4,2.52,2.4,2.51,22200,28,0,34,62,0,0
119,RSID3,2022-12-06,2.5,2.58,2.43,2.58,28700,26,11,29,66,0,0
120,RSID3,2022-12-07,2.51,2.54,2.41,2.42,39200,25,0,44,69,0,0
121,RSID3,2022-12-08,2.45,2.5,2.33,2.37,28400,39,0,42,81,0,0
122,RSID3,2022-12-09,2.47,2.47,2.36,2.44,18100,17,0,32,49,0,0
