,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SANB3,2022-06-06,15.6,15.6,15.24,15.32,45700,137,0,234,371,0,0
1,SANB3,2022-06-07,15.33,15.38,15.09,15.19,54500,115,0,301,416,0,0
2,SANB3,2022-06-08,15.16,15.25,14.95,15.15,68200,195,0,382,577,0,0
3,SANB3,2022-06-09,14.97,15.15,14.92,15.14,59900,196,0,295,491,0,0
4,SANB3,2022-06-10,15.15,15.22,14.72,15.03,120300,389,0,647,1036,0,0
5,SANB3,2022-06-13,15.0,15.0,14.47,14.74,224500,582,0,1193,1775,0,0
6,SANB3,2022-06-14,14.51,14.71,14.34,14.52,159300,446,0,797,1243,0,0
7,SANB3,2022-06-15,14.55,14.7,14.45,14.65,90200,281,1,481,763,0,0
8,SANB3,2022-06-17,14.66,14.75,14.08,14.4,407300,1084,0,2563,3647,0,0
9,SANB3,2022-06-20,14.4,14.73,14.29,14.65,138300,368,0,574,942,0,0
10,SANB3,2022-06-21,14.65,14.74,14.37,14.73,93900,282,4,510,796,0,0
11,SANB3,2022-06-22,14.74,14.74,14.28,14.45,102900,257,19,564,840,0,0
12,SANB3,2022-06-23,14.35,14.62,14.01,14.05,267800,548,0,1715,2263,0,0
13,SANB3,2022-06-24,14.24,14.28,14.01,14.01,213200,497,0,1161,1658,0,0
14,SANB3,2022-06-27,14.25,14.28,14.04,14.27,89600,284,0,460,744,0,0
15,SANB3,2022-06-28,14.32,14.43,14.11,14.35,80500,225,0,414,639,0,0
16,SANB3,2022-06-29,14.33,14.33,13.98,13.98,260500,408,0,1564,1972,0,0
17,SANB3,2022-06-30,13.99,14.02,13.8,13.8,278700,636,9,1650,2295,0,0
18,SANB3,2022-07-01,13.87,13.97,13.61,13.85,242300,720,0,1316,2036,0,0
19,SANB3,2022-07-04,13.87,14.03,13.65,13.7,190300,308,0,1036,1344,0,0
20,SANB3,2022-07-05,13.77,13.85,13.35,13.85,349100,828,0,2151,2979,0,0
21,SANB3,2022-07-06,13.85,13.89,13.5,13.59,296600,600,0,1638,2238,0,0
22,SANB3,2022-07-07,13.7,13.76,13.5,13.6,318600,748,14,1775,2537,0,0
23,SANB3,2022-07-08,13.62,13.72,13.51,13.6,174600,442,0,953,1395,0,0
24,SANB3,2022-07-11,13.59,13.6,13.22,13.36,408300,799,15,2177,2991,0,0
25,SANB3,2022-07-12,13.4,13.43,13.21,13.3,317600,730,0,1692,2422,0,0
26,SANB3,2022-07-13,13.3,13.3,13.05,13.1,478500,829,26,2144,2999,0,0
27,SANB3,2022-07-14,13.12,13.13,12.73,12.83,488900,1048,22,2576,3646,0,0
