,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SAPR4,2022-06-06,4.04,4.05,3.95,3.99,1405300,705,17,1233,1955,0,0
1,SAPR4,2022-06-07,3.95,4.0,3.95,3.99,1499400,1520,57,494,2071,0,0
2,SAPR4,2022-06-08,3.9,3.99,3.9,3.96,1352000,759,47,592,1398,0,0
3,SAPR4,2022-06-09,3.94,3.96,3.9,3.92,1453000,573,129,757,1459,0,0
4,SAPR4,2022-06-10,3.9,3.92,3.85,3.87,1795800,1176,31,1604,2811,0,0
5,SAPR4,2022-06-13,3.85,3.88,3.82,3.83,2560600,1571,32,2199,3802,0,0
6,SAPR4,2022-06-14,3.86,3.91,3.81,3.81,2537300,717,19,1242,1978,0,0
7,SAPR4,2022-06-15,3.85,3.87,3.78,3.85,1973600,834,22,893,1749,0,0
8,SAPR4,2022-06-17,3.81,3.88,3.79,3.82,2811600,1652,110,931,2693,0,0
9,SAPR4,2022-06-20,3.83,3.86,3.77,3.8,1987100,1409,22,1400,2831,0,0
10,SAPR4,2022-06-21,3.8,3.81,3.7,3.71,3120900,1040,75,4496,5611,0,0
11,SAPR4,2022-06-22,3.7,3.77,3.69,3.72,1443000,1142,130,590,1862,0,0
12,SAPR4,2022-06-23,3.73,3.75,3.7,3.71,1965800,899,8,688,1595,0,0
13,SAPR4,2022-06-24,3.75,3.77,3.69,3.74,3318300,2458,23,3184,5665,0,0
14,SAPR4,2022-06-27,3.74,3.82,3.73,3.75,2762600,1425,0,3060,4485,0,0
15,SAPR4,2022-06-28,3.77,3.81,3.73,3.75,1804700,1240,26,1420,2686,0,0
16,SAPR4,2022-06-29,3.74,3.77,3.7,3.72,2032200,951,23,1406,2380,0,0
17,SAPR4,2022-06-30,3.73,3.77,3.68,3.76,3033500,1570,44,3018,4632,0,0
18,SAPR4,2022-07-01,3.66,3.72,3.61,3.69,2224900,1300,25,2728,4053,0,0
19,SAPR4,2022-07-04,3.69,3.71,3.62,3.62,1496000,877,0,1195,2072,0,0
20,SAPR4,2022-07-05,3.61,3.64,3.56,3.59,1649400,1380,38,1141,2559,0,0
21,SAPR4,2022-07-06,3.59,3.66,3.56,3.62,2111400,1333,25,1654,3012,0,0
22,SAPR4,2022-07-07,3.64,3.66,3.59,3.61,2436800,971,62,1589,2622,0,0
23,SAPR4,2022-07-08,3.59,3.61,3.57,3.6,2054000,2017,19,1232,3268,0,0
24,SAPR4,2022-07-11,3.59,3.6,3.56,3.58,1757600,1208,1,929,2137,1,0
25,SAPR4,2022-07-12,3.59,3.64,3.57,3.62,1382600,953,22,745,1720,0,0
26,SAPR4,2022-07-13,3.61,3.66,3.61,3.62,1269700,765,18,721,1504,0,0
27,SAPR4,2022-07-14,3.62,3.62,3.59,3.61,1283200,923,35,877,1835,0,0
28,SAPR4,2022-07-15,3.61,3.63,3.58,3.6,938200,525,57,473,1055,0,0
29,SAPR4,2022-07-18,3.61,3.63,3.54,3.55,2339000,1322,130,2061,3513,0,0
30,SAPR4,2022-07-19,3.55,3.58,3.54,3.58,1445500,928,18,1235,2181,0,0
31,SAPR4,2022-07-20,3.58,3.67,3.58,3.63,2516100,1575,12,1073,2660,0,0
32,SAPR4,2022-07-21,3.63,3.63,3.59,3.61,1364500,1442,0,1042,2484,0,0
33,SAPR4,2022-07-22,3.6,3.64,3.6,3.62,790500,533,29,694,1256,0,0
34,SAPR4,2022-07-25,3.65,3.7,3.64,3.68,1269600,734,25,493,1252,0,0
35,SAPR4,2022-07-26,3.68,3.7,3.66,3.68,1417200,641,47,725,1413,0,0
36,SAPR4,2022-07-27,3.69,3.78,3.69,3.78,1496800,821,43,455,1319,0,0
37,SAPR4,2022-07-28,3.78,3.81,3.71,3.71,1751700,749,26,1069,1844,0,0
38,SAPR4,2022-07-29,3.72,3.77,3.71,3.76,1206400,1157,34,521,1712,0,0
39,SAPR4,2022-08-01,3.75,3.8,3.73,3.74,1757000,994,47,839,1880,0,0
40,SAPR4,2022-08-02,3.73,3.79,3.73,3.78,1161200,894,19,631,1544,0,0
41,SAPR4,2022-08-03,3.77,3.87,3.75,3.85,1355200,1046,12,591,1649,0,0
42,SAPR4,2022-08-08,3.76,3.77,3.67,3.69,3615600,1357,300,1572,3229,0,0
43,SAPR4,2022-08-09,3.7,3.74,3.61,3.63,3837400,3384,57,1942,5383,0,0
44,SAPR4,2022-08-10,3.65,3.72,3.63,3.71,2699300,4236,0,1035,5271,0,0
45,SAPR4,2022-08-12,3.66,3.67,3.61,3.67,3948900,3655,0,2205,5860,0,0
46,SAPR4,2022-08-15,3.66,3.77,3.64,3.76,2635800,2587,64,1899,4550,0,0
47,SAPR4,2022-08-16,3.74,3.8,3.73,3.75,2104400,2318,26,1144,3488,0,0
48,SAPR4,2022-08-17,3.74,3.81,3.74,3.78,2809600,2529,37,1381,3947,0,0
49,SAPR4,2022-08-18,3.78,3.85,3.78,3.82,2969300,7678,20,4577,12275,0,0
50,SAPR4,2022-08-19,3.81,3.83,3.76,3.79,2971600,2509,58,1907,4474,0,0
51,SAPR4,2022-08-22,3.81,3.81,3.71,3.73,2312500,1244,33,2108,3385,0,0
52,SAPR4,2022-08-23,3.74,3.74,3.66,3.7,3484200,1924,13,4483,6420,0,0
53,SAPR4,2022-08-24,3.7,3.7,3.63,3.65,4556500,2413,42,2296,4751,0,0
54,SAPR4,2022-08-25,3.65,3.67,3.57,3.61,7076800,2770,63,3791,6624,0,0
55,SAPR4,2022-08-26,3.62,3.62,3.56,3.6,5904000,2565,59,2935,5559,0,0
56,SAPR4,2022-08-29,3.6,3.66,3.57,3.63,4488800,1762,0,1413,3175,0,0
57,SAPR4,2022-08-30,3.63,3.66,3.52,3.53,5584500,1774,63,4873,6710,0,0
58,SAPR4,2022-08-31,3.56,3.58,3.51,3.51,6034100,3981,57,4778,8816,0,0
59,SAPR4,2022-09-01,3.55,3.57,3.5,3.56,3910500,1785,20,1302,3107,0,0
60,SAPR4,2022-09-02,3.56,3.58,3.53,3.56,2934400,1271,39,1006,2316,0,0
61,SAPR4,2022-09-05,3.56,3.58,3.54,3.57,2333100,1169,64,790,2023,0,0
62,SAPR4,2022-09-06,3.55,3.56,3.51,3.53,4148700,1980,41,1765,3786,0,0
63,SAPR4,2022-09-08,3.54,3.57,3.5,3.53,5081900,1921,28,2550,4499,0,0
64,SAPR4,2022-09-09,3.55,3.59,3.53,3.59,3277700,1566,32,1216,2814,0,0
65,SAPR4,2022-09-12,3.6,3.62,3.57,3.59,2870700,1005,0,1149,2154,0,0
66,SAPR4,2022-09-13,3.58,3.58,3.52,3.54,3465700,1122,0,1663,2785,0,0
67,SAPR4,2022-09-15,3.53,3.54,3.5,3.53,3175500,1826,27,1260,3113,0,0
68,SAPR4,2022-09-16,3.52,3.55,3.5,3.53,3590900,1375,64,1051,2490,0,0
69,SAPR4,2022-09-19,3.53,3.56,3.5,3.55,2771400,1134,48,1841,3023,0,0
70,SAPR4,2022-09-20,3.55,3.57,3.53,3.54,2812700,1174,18,1734,2926,0,0
71,SAPR4,2022-09-21,3.56,3.58,3.53,3.56,1808200,1359,11,914,2284,0,0
72,SAPR4,2022-09-22,3.57,3.66,3.57,3.64,3284300,1282,21,736,2039,0,0
73,SAPR4,2022-09-23,3.66,3.68,3.62,3.65,1812100,813,23,655,1491,0,0
74,SAPR4,2022-09-27,3.64,3.64,3.51,3.53,4006900,921,259,2251,3431,0,0
75,SAPR4,2022-09-28,3.53,3.54,3.49,3.49,4074200,1024,29,2400,3453,0,0
