,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SBFG3,2022-06-06,25.21,25.22,23.8,24.21,518800,1575,59,1508,3142,0,0
1,SBFG3,2022-06-07,23.97,23.97,23.09,23.25,645800,2113,53,2310,4475,1,0
2,SBFG3,2022-06-08,23.12,23.48,22.83,23.17,526500,2076,48,1746,3870,0,0
3,SBFG3,2022-06-09,23.2,23.54,22.81,23.38,748400,2523,77,1846,4446,0,0
4,SBFG3,2022-06-10,23.14,23.31,22.25,22.68,1031200,3322,65,2451,5837,1,0
5,SBFG3,2022-06-13,22.33,22.33,20.89,20.94,2346400,3536,78,3431,7042,3,0
6,SBFG3,2022-06-14,21.34,21.43,20.29,20.5,1225400,3309,66,3510,6884,1,0
7,SBFG3,2022-06-15,20.79,21.32,20.23,20.77,2563700,4245,65,4759,9065,4,0
8,SBFG3,2022-06-17,20.65,20.73,19.82,20.53,1568800,3577,74,4005,7653,3,0
9,SBFG3,2022-06-20,20.6,21.02,19.88,20.14,715300,2009,78,2071,4156,2,0
10,SBFG3,2022-06-21,20.37,20.67,19.79,20.0,1258800,2608,63,3604,6259,16,0
11,SBFG3,2022-06-22,19.87,20.46,19.69,20.05,1115800,3369,75,2885,6328,1,0
12,SBFG3,2022-06-23,20.3,20.71,19.84,20.41,3238200,4461,75,3696,8223,9,0
13,SBFG3,2022-06-24,20.47,20.68,19.59,19.98,1906300,3275,73,3205,6549,4,0
14,SBFG3,2022-06-27,19.85,20.52,19.63,20.07,1841300,4329,76,4413,8817,1,0
15,SBFG3,2022-06-28,20.32,20.4,18.66,19.16,1885300,4959,68,4885,9912,0,0
16,SBFG3,2022-06-29,19.17,19.44,18.71,19.02,1315700,3835,57,4905,8797,0,0
17,SBFG3,2022-06-30,18.85,19.42,18.66,18.76,1355100,3536,83,2936,6555,0,0
18,SBFG3,2022-07-01,19.03,19.19,18.53,18.97,780700,2418,61,2383,4862,0,0
19,SBFG3,2022-07-04,18.72,19.1,18.24,18.33,455600,1265,55,1539,2859,0,0
20,SBFG3,2022-07-05,18.2,18.77,17.65,18.77,1135600,3939,77,2590,6606,0,0
21,SBFG3,2022-07-06,18.58,19.48,18.57,19.28,1247700,3817,50,3462,7327,2,0
22,SBFG3,2022-07-07,19.59,20.3,19.34,20.16,1279300,4112,58,2656,6826,0,0
23,SBFG3,2022-07-08,20.11,20.59,19.95,20.43,1053700,3268,52,2505,5824,1,0
24,SBFG3,2022-07-11,20.1,20.48,19.65,20.04,1139900,3252,62,3568,6881,1,0
25,SBFG3,2022-07-12,19.94,20.82,19.7,20.45,954000,2657,74,3322,6052,1,0
26,SBFG3,2022-07-13,20.34,20.71,19.71,19.76,1248800,2991,56,3211,6257,1,0
27,SBFG3,2022-07-14,19.5,19.7,19.12,19.12,1103500,2424,88,1909,4421,0,0
28,SBFG3,2022-07-15,19.43,19.45,18.53,19.05,1251500,2881,69,2692,5642,0,0
29,SBFG3,2022-07-18,18.99,19.44,18.02,18.27,925600,2385,69,2026,4480,0,0
30,SBFG3,2022-07-19,18.11,18.49,17.77,18.25,1450800,3268,62,3039,6369,0,0
31,SBFG3,2022-07-20,18.15,19.55,18.15,19.33,1160100,2545,71,2771,5387,0,0
32,SBFG3,2022-07-21,19.59,19.92,19.34,19.81,908100,1993,57,2733,4783,0,0
33,SBFG3,2022-07-22,19.9,20.13,19.6,19.68,1189400,2053,59,3917,6029,0,0
34,SBFG3,2022-07-25,19.91,20.49,19.59,20.22,924300,2922,63,2302,5287,0,0
35,SBFG3,2022-07-26,20.21,20.21,19.48,19.49,737500,2352,35,2177,4564,0,0
36,SBFG3,2022-07-27,19.72,20.63,19.66,20.35,961700,2963,68,2402,5433,0,0
37,SBFG3,2022-07-28,20.57,21.39,20.37,20.97,914600,3218,165,2696,5970,109,0
38,SBFG3,2022-07-29,21.11,21.22,20.55,20.81,546000,1486,63,1565,3114,0,0
39,SBFG3,2022-08-01,20.82,22.15,20.68,21.91,1521200,3809,261,3794,7678,186,0
40,SBFG3,2022-08-02,21.69,21.75,20.22,20.52,3204200,6669,79,8280,15027,1,0
41,SBFG3,2022-08-03,20.64,21.32,19.42,21.15,3348000,7081,92,5668,12836,5,0
42,SBFG3,2022-08-08,22.45,22.95,22.07,22.6,1006200,3033,59,3217,6309,0,0
43,SBFG3,2022-08-09,22.5,22.82,21.14,21.3,4159500,4031,392,4496,8600,319,0
44,SBFG3,2022-08-10,21.63,22.49,21.56,22.32,2324300,6295,62,3884,10235,6,0
45,SBFG3,2022-08-12,22.07,22.74,22.07,22.62,1366700,2842,54,2594,5487,3,0
46,SBFG3,2022-08-15,22.44,24.4,22.08,24.02,1555000,4067,69,3792,7928,0,0
47,SBFG3,2022-08-16,23.95,24.07,23.01,23.05,1081000,2634,735,2627,5325,671,0
48,SBFG3,2022-08-17,23.05,23.44,22.7,22.88,979500,2713,56,2634,5403,0,0
49,SBFG3,2022-08-18,23.34,23.34,22.39,22.6,1397000,2444,119,3505,6065,3,0
50,SBFG3,2022-08-19,22.35,22.35,20.82,20.9,1706300,3340,103,2627,6068,2,0
51,SBFG3,2022-08-22,20.77,20.77,19.85,20.03,2176100,3378,66,3741,7185,0,0
52,SBFG3,2022-08-23,20.09,20.75,19.94,20.44,3245100,5737,69,5868,11669,5,0
53,SBFG3,2022-08-24,20.58,21.52,20.32,21.13,3184800,4619,72,3226,7913,4,0
54,SBFG3,2022-08-25,21.26,21.85,20.97,21.4,1238700,2315,54,1482,3849,2,0
55,SBFG3,2022-08-26,21.4,21.89,21.1,21.82,1224800,2878,62,2467,5405,2,0
56,SBFG3,2022-08-29,21.59,22.78,21.31,22.35,1940700,4331,56,3202,7587,2,0
57,SBFG3,2022-08-30,22.34,22.9,21.68,22.0,1218100,2476,40,2574,5087,3,0
58,SBFG3,2022-08-31,22.22,22.57,21.85,22.07,1193600,2617,55,2898,5569,1,0
59,SBFG3,2022-09-01,21.86,22.72,21.48,22.54,1359100,3010,73,2424,5504,3,0
60,SBFG3,2022-09-02,22.71,23.0,22.24,22.58,920700,2469,50,1549,4068,0,0
61,SBFG3,2022-09-05,22.65,24.0,22.36,23.55,1203700,3749,73,2780,6601,1,0
62,SBFG3,2022-09-06,23.47,23.47,21.97,22.35,2158600,4557,58,4552,9167,0,0
63,SBFG3,2022-09-08,22.66,23.25,22.52,23.21,1389900,3943,59,3798,7799,1,0
64,SBFG3,2022-09-09,23.33,24.04,23.07,23.51,1186400,3899,39,3382,7320,0,0
65,SBFG3,2022-09-12,23.77,24.13,23.42,23.8,1091200,3038,73,3330,6441,0,0
66,SBFG3,2022-09-13,23.28,23.3,22.34,22.75,966600,1962,64,2413,4437,2,0
67,SBFG3,2022-09-15,22.64,22.8,21.88,22.2,1477600,2031,76,3335,5441,1,0
68,SBFG3,2022-09-16,22.09,22.26,21.29,22.18,1313300,3451,59,3116,6624,2,0
69,SBFG3,2022-09-19,22.14,22.88,21.93,22.48,450500,1617,57,1224,2898,0,0
70,SBFG3,2022-09-20,22.5,22.75,22.21,22.21,968100,2505,43,2256,4802,2,0
71,SBFG3,2022-09-21,22.27,23.29,22.1,22.89,1648600,4385,63,2682,7126,4,0
72,SBFG3,2022-09-22,23.12,23.98,22.52,23.89,1592700,4519,73,3832,8424,0,0
73,SBFG3,2022-09-23,23.31,23.46,22.71,22.92,1009700,2826,39,2454,5318,1,0
74,SBFG3,2022-09-27,21.86,21.94,20.86,20.89,1438200,3578,68,3498,7144,0,0
75,SBFG3,2022-09-28,20.8,21.11,20.1,20.78,1365500,4786,48,4044,8878,0,0
76,SBFG3,2022-09-29,20.36,20.4,19.2,19.47,2571700,4736,64,5955,10754,1,0
77,SBFG3,2022-09-30,19.49,20.46,19.35,20.1,2723400,4115,72,3956,8141,2,0
78,SBFG3,2022-10-03,20.6,21.53,20.6,21.19,1460600,4827,63,2898,7788,0,0
79,SBFG3,2022-10-04,21.71,22.26,21.19,21.36,1360700,3468,75,4113,7655,1,0
80,SBFG3,2022-10-05,21.35,21.41,20.65,21.08,1100000,2761,75,2798,5634,0,0
81,SBFG3,2022-10-06,21.03,21.11,20.35,20.91,3012900,5783,76,5167,11022,4,0
82,SBFG3,2022-10-07,20.99,21.06,19.82,19.9,1871900,4666,82,4392,9140,0,0
83,SBFG3,2022-10-10,19.92,20.33,19.34,20.08,1289600,2681,60,2286,5025,2,0
84,SBFG3,2022-10-11,20.2,20.28,19.5,20.02,1340700,4135,63,3894,8090,2,0
85,SBFG3,2022-10-13,19.7,20.58,19.41,19.87,1490400,4333,72,2493,6897,1,0
86,SBFG3,2022-10-14,19.81,19.99,18.8,18.83,1935700,3772,70,3857,7694,5,0
87,SBFG3,2022-10-17,19.0,19.55,18.81,19.1,1186700,4204,40,3505,7749,0,0
88,SBFG3,2022-10-18,19.23,19.45,18.65,18.82,864000,2219,54,2449,4722,0,0
89,SBFG3,2022-10-19,18.7,18.81,18.1,18.39,3027800,7952,104,7644,15698,2,0
90,SBFG3,2022-10-20,18.44,18.44,17.8,17.95,2503700,3672,66,5309,9044,3,0
91,SBFG3,2022-10-21,17.84,18.19,17.5,18.19,2557500,5251,81,5663,10991,4,0
92,SBFG3,2022-10-24,17.71,18.11,17.42,17.73,2881700,6061,454,5691,11844,362,0
93,SBFG3,2022-10-25,17.64,18.72,17.55,18.3,2142700,7612,65,5500,13176,1,0
94,SBFG3,2022-10-26,18.17,18.28,17.2,17.31,1638200,3021,72,2855,5948,0,0
95,SBFG3,2022-10-27,17.36,18.34,17.23,17.95,2067700,4062,76,4556,8692,2,0
96,SBFG3,2022-10-28,17.81,18.46,17.68,18.21,1750700,3705,66,3899,7669,1,0
97,SBFG3,2022-10-31,17.78,19.16,17.78,18.9,1815200,3647,78,2512,6235,2,0
98,SBFG3,2022-11-01,18.94,19.29,18.58,18.8,868200,2488,71,2912,5471,0,0
99,SBFG3,2022-11-03,18.65,20.5,18.06,20.49,5648200,6490,100,7311,13896,5,0
100,SBFG3,2022-11-04,20.69,21.14,19.86,20.16,3920800,7280,71,5399,12747,3,0
101,SBFG3,2022-11-07,19.85,20.03,18.61,18.85,2016600,4181,76,4478,8734,1,0
102,SBFG3,2022-11-08,18.6,19.18,18.31,18.92,1504900,3688,549,3696,7442,491,0
103,SBFG3,2022-11-09,18.93,19.36,18.67,18.89,1298800,4420,55,3540,8013,2,0
104,SBFG3,2022-11-10,18.45,18.45,16.61,16.84,2325200,5951,89,4741,10781,0,0
105,SBFG3,2022-11-14,16.3,17.0,16.07,16.57,1798400,3899,56,4245,8199,1,0
106,SBFG3,2022-11-17,15.19,15.28,14.12,14.93,4205200,7354,76,6941,14370,1,0
107,SBFG3,2022-11-18,15.09,15.6,14.91,15.0,1463700,3112,59,3044,6215,0,0
108,SBFG3,2022-11-21,15.08,15.76,14.94,15.56,1078200,2927,49,3601,6577,0,0
109,SBFG3,2022-11-22,15.58,15.75,14.86,15.18,922000,2509,48,2845,5402,0,0
110,SBFG3,2022-11-23,15.14,15.27,14.57,14.96,2039200,4579,43,4377,8999,0,0
111,SBFG3,2022-11-24,15.12,15.84,15.1,15.46,1494400,2430,49,2053,4530,2,0
112,SBFG3,2022-11-25,15.43,15.43,14.75,15.07,1264500,2789,47,3375,6211,0,0
113,SBFG3,2022-11-28,15.07,15.31,14.55,14.6,874000,2275,59,2299,4633,0,0
114,SBFG3,2022-11-29,14.7,15.21,14.3,14.74,1154700,2286,60,3029,5375,0,0
115,SBFG3,2022-11-30,14.77,14.85,13.98,14.59,4693700,5583,78,7033,12686,8,0
116,SBFG3,2022-12-01,14.54,14.54,13.83,14.21,3444900,4844,57,4075,8970,6,0
117,SBFG3,2022-12-02,14.22,14.61,13.91,14.41,1727100,3153,78,2510,5740,1,0
118,SBFG3,2022-12-05,14.34,14.4,13.37,13.55,1201700,2574,81,4377,7032,0,0
119,SBFG3,2022-12-06,13.67,13.67,13.18,13.29,1540600,4060,179,3742,7863,118,0
120,SBFG3,2022-12-07,13.23,13.59,12.91,12.91,4257100,4435,87,5123,9634,11,0
121,SBFG3,2022-12-08,12.84,12.93,12.42,12.61,2262600,5079,68,5316,10463,0,0
122,SBFG3,2022-12-09,12.57,12.73,12.01,12.12,1248000,2351,48,3863,6261,1,0
123,SBFG3,2022-12-12,12.03,12.34,11.6,11.83,1384100,2852,53,3764,6669,0,0
124,SBFG3,2022-12-13,11.86,12.36,11.6,11.66,1390100,2128,52,3845,6024,1,0
125,SBFG3,2022-12-14,11.54,11.63,10.9,11.39,2367800,5016,58,4572,9646,0,0
126,SBFG3,2022-12-15,11.3,11.8,11.2,11.35,947200,3260,51,2104,5415,0,0
127,SBFG3,2022-12-16,11.32,11.42,10.66,10.79,2559600,4703,89,5669,10460,1,0
128,SBFG3,2022-12-19,10.72,11.76,10.72,11.64,2225500,6393,60,4607,11059,1,0
129,SBFG3,2022-12-20,11.6,12.82,11.23,12.72,3803900,5583,91,5497,11167,4,0
130,SBFG3,2022-12-21,13.0,13.18,12.27,12.46,3646500,5974,62,4314,10346,4,0
131,SBFG3,2022-12-22,12.47,12.97,12.3,12.89,1785900,3787,51,3559,7395,2,0
132,SBFG3,2022-12-23,12.95,13.75,12.89,13.43,2056800,5451,74,4328,9852,1,0
133,SBFG3,2022-12-26,13.4,13.55,13.01,13.19,517400,1189,39,1396,2624,0,0
134,SBFG3,2022-12-27,13.1,13.32,12.47,12.58,1934200,4025,52,5265,9341,1,0
135,SBFG3,2022-12-28,12.66,13.12,12.49,12.77,1106200,2934,64,2300,5298,0,0
136,SBFG3,2022-12-29,12.81,13.22,12.33,12.78,1066700,2298,100,1728,4126,0,0
137,SBFG3,2023-01-02,12.78,12.78,11.7,11.91,958900,2578,43,2037,4658,0,0
138,SBFG3,2023-01-03,11.89,12.05,11.29,11.33,920100,2194,57,2349,4600,0,0
139,SBFG3,2023-01-04,11.38,11.78,11.26,11.59,928500,3727,35,2710,6472,0,0
140,SBFG3,2023-01-05,11.61,11.84,11.15,11.32,4059000,4113,97,4142,8348,4,0
141,SBFG3,2023-01-06,11.19,12.05,11.19,12.05,1545100,3409,67,3479,6953,2,0
142,SBFG3,2023-01-09,11.99,12.22,11.48,11.7,2217200,3819,77,3750,7641,5,0
143,SBFG3,2023-01-10,11.64,12.21,11.27,12.21,4066400,8034,69,5448,13548,3,0
144,SBFG3,2023-01-11,12.21,12.28,11.32,11.71,6889200,7201,93,6456,13744,6,0
145,SBFG3,2023-01-12,11.45,11.52,10.71,11.0,3972100,6567,115,6853,13517,18,0
146,SBFG3,2023-01-13,10.87,11.19,10.42,10.94,4523900,5725,87,6667,12475,4,0
147,SBFG3,2023-01-16,10.86,10.88,10.42,10.7,2501700,3953,76,4078,8104,3,0
148,SBFG3,2023-01-17,10.72,10.97,10.55,10.84,2424500,3524,59,3421,6997,7,0
149,SBFG3,2023-01-18,10.95,11.31,10.67,10.76,1595600,4403,56,4024,8482,1,0
150,SBFG3,2023-01-19,10.61,10.81,10.26,10.65,2949800,4364,37,4797,9197,1,0
151,SBFG3,2023-01-20,10.65,10.91,10.43,10.63,1347600,2751,46,3319,6115,1,0
152,SBFG3,2023-01-23,10.71,10.94,10.59,10.72,1364300,3250,44,3697,6991,0,0
153,SBFG3,2023-01-24,10.75,10.97,10.63,10.94,1892300,3894,41,3125,7058,2,0
154,SBFG3,2023-01-25,10.84,11.28,10.65,11.2,1675800,4162,46,2885,7092,1,0
155,SBFG3,2023-01-26,11.22,11.33,10.96,11.29,1724500,3086,46,2978,6105,5,0
156,SBFG3,2023-01-30,11.09,11.46,10.74,10.84,1135100,3742,73,3089,6904,0,0
157,SBFG3,2023-01-31,10.84,11.15,10.82,11.08,1073600,2670,62,2743,5473,2,0
158,SBFG3,2023-02-01,11.03,11.13,10.43,10.88,2323000,4422,63,4087,8572,0,0
159,SBFG3,2023-02-02,10.79,11.21,10.77,10.93,2651600,4637,60,4050,8742,5,0
160,SBFG3,2023-02-03,11.0,11.0,10.1,10.1,3569600,4507,118,6932,11556,1,0
161,SBFG3,2023-02-06,10.09,10.17,9.83,9.83,1710800,3526,67,3656,7248,1,0
162,SBFG3,2023-02-07,9.83,9.91,9.07,9.07,4130600,4586,90,5327,9999,4,0
163,SBFG3,2023-02-08,9.14,9.32,8.65,9.1,3802500,6081,72,6018,12167,4,0
164,SBFG3,2023-02-09,9.09,9.19,8.57,8.62,2053700,4191,66,5226,9481,2,0
165,SBFG3,2023-02-10,8.6,8.74,8.48,8.6,1100200,3341,46,2996,6383,0,0
166,SBFG3,2023-02-13,8.61,8.7,8.23,8.56,2712600,4908,59,5990,10956,1,0
167,SBFG3,2023-02-14,8.55,8.72,8.06,8.13,2909100,4178,75,3562,7815,0,0
168,SBFG3,2023-02-15,8.0,9.24,8.0,8.83,5528900,5499,95,4655,10246,3,0
169,SBFG3,2023-02-16,8.72,9.23,8.61,9.08,2076600,3695,68,3746,7509,0,0
170,SBFG3,2023-02-17,9.05,9.09,8.69,8.74,1740900,3325,62,2476,5863,0,0
171,SBFG3,2023-02-20,9.05,9.09,8.69,8.74,1740900,3325,62,2476,5863,0,0
172,SBFG3,2023-02-21,9.05,9.09,8.69,8.74,1740900,3325,62,2476,5863,0,0
173,SBFG3,2023-02-22,8.74,8.74,8.35,8.51,1178000,2395,115,2351,4795,66,0
174,SBFG3,2023-02-23,8.47,8.68,8.32,8.6,2884000,3145,52,2761,5953,5,0
175,SBFG3,2023-02-24,8.61,9.05,8.61,8.95,3244300,7933,333,4552,12555,263,0
176,SBFG3,2023-02-27,8.97,9.05,8.63,8.68,1796000,4409,58,3952,8419,0,0
177,SBFG3,2023-02-28,8.68,8.75,8.17,8.2,2084200,3072,91,3783,6946,0,0
178,SBFG3,2023-03-01,8.25,8.31,7.82,7.93,3168200,4521,77,4543,9138,3,0
179,SBFG3,2023-03-02,7.94,8.45,7.94,8.15,1592200,2619,72,3737,6427,1,0
180,SBFG3,2023-03-03,8.21,8.21,7.5,7.7,7336400,6668,99,9981,16740,8,0
181,SBFG3,2023-03-06,7.76,8.62,7.7,8.4,3674900,5157,61,7374,12588,4,0
182,SBFG3,2023-03-07,8.34,8.7,8.28,8.52,1239000,3401,45,2778,6224,0,0
183,SBFG3,2023-03-08,8.55,9.33,8.47,9.27,3266400,6659,69,6036,12755,9,0
184,SBFG3,2023-03-09,9.27,9.5,9.18,9.25,3140600,6238,85,8448,14769,2,0
185,SBFG3,2023-03-10,9.13,9.2,8.65,8.83,1865700,3213,58,2964,6234,1,0
186,SBFG3,2023-03-13,8.78,8.92,8.51,8.86,788200,2663,71,2230,4964,0,0
187,SBFG3,2023-03-14,8.83,8.99,8.44,8.7,941200,2199,51,2350,4600,0,0
188,SBFG3,2023-03-15,8.54,8.95,8.14,8.69,1092600,3220,57,2877,6154,0,0
189,SBFG3,2023-03-16,8.63,9.32,8.62,9.1,1773100,3360,53,3682,7092,3,0
190,SBFG3,2023-03-17,9.16,9.16,8.62,8.78,1382600,3087,73,2993,6151,2,0
191,SBFG3,2023-03-20,8.75,8.83,8.24,8.44,1329600,3469,64,2851,6384,0,0
192,SBFG3,2023-03-21,8.18,8.55,8.17,8.4,2520200,2608,87,3214,5905,4,0
193,SBFG3,2023-03-23,8.16,8.28,7.51,7.77,5140300,4447,90,4785,9318,4,0
194,SBFG3,2023-03-24,7.84,8.09,7.7,8.0,2102500,3172,49,3723,6942,2,0
195,SBFG3,2023-03-27,8.01,8.27,7.96,8.18,840700,1774,36,2014,3823,1,0
196,SBFG3,2023-03-28,8.16,8.58,7.95,8.39,1274100,3659,53,3136,6848,0,0
197,SBFG3,2023-03-29,8.19,8.48,7.68,8.13,1527300,3032,61,3665,6758,0,0
198,SBFG3,2023-03-30,8.27,8.75,8.17,8.73,1854500,3800,84,2841,6717,8,0
199,SBFG3,2023-03-31,8.68,8.84,8.1,8.3,3070300,5990,86,5977,12052,1,0
200,SBFG3,2023-04-04,7.96,8.15,7.28,7.34,3208400,3287,97,4880,8264,0,0
201,SBFG3,2023-04-05,7.22,7.87,7.1,7.6,3683300,3683,66,4524,8269,4,0
202,SBFG3,2023-04-06,7.47,7.72,7.47,7.66,728000,1506,49,1660,3215,0,0
203,SBFG3,2023-04-07,7.47,7.72,7.47,7.66,728000,1506,49,1660,3215,0,0
204,SBFG3,2023-04-10,7.66,7.79,7.34,7.38,934600,1471,85,1352,2908,0,0
205,SBFG3,2023-04-11,7.39,8.36,7.38,8.23,3985600,6330,53,4576,10958,1,0
206,SBFG3,2023-04-12,8.3,9.06,8.3,8.57,3559100,8266,52,4902,13219,1,0
207,SBFG3,2023-04-13,8.57,8.64,8.2,8.37,1223200,2230,53,2159,4441,1,0
208,SBFG3,2023-04-14,8.29,8.3,7.95,8.01,775400,1775,46,1641,3461,1,0
209,SBFG3,2023-04-17,8.02,8.02,7.73,7.95,957100,2120,63,2377,4560,0,0
210,SBFG3,2023-04-18,7.98,8.02,7.64,7.72,1201400,1720,49,2339,4107,1,0
211,SBFG3,2023-04-19,7.55,7.64,7.31,7.31,2440300,2960,72,4256,7288,0,0
212,SBFG3,2023-04-20,7.31,7.51,7.16,7.38,2257600,3428,66,4689,8183,0,0
213,SBFG3,2023-04-21,7.31,7.51,7.16,7.38,2257600,3428,66,4689,8183,0,0
214,SBFG3,2023-04-24,7.38,7.44,7.19,7.28,1053000,1974,43,2023,4040,0,0
215,SBFG3,2023-04-25,7.29,7.3,7.05,7.09,2491800,3273,53,3211,6536,1,0
216,SBFG3,2023-04-26,7.07,7.51,6.94,7.19,2004400,2931,58,2340,5328,1,0
217,SBFG3,2023-04-27,7.16,7.34,7.04,7.28,1042500,2780,33,1769,4581,1,0
218,SBFG3,2023-04-28,7.3,7.69,7.15,7.68,2745400,4322,130,3768,8219,1,0
219,SBFG3,2023-05-01,7.3,7.69,7.15,7.68,2745400,4322,130,3768,8219,1,0
220,SBFG3,2023-05-02,7.54,7.6,7.31,7.32,1340700,2371,67,2608,5046,0,0
221,SBFG3,2023-05-03,7.32,7.41,7.1,7.25,2637600,3436,49,4922,8407,0,0
222,SBFG3,2023-05-04,7.25,7.56,7.11,7.56,2368200,5271,51,5081,10403,0,0
223,SBFG3,2023-05-05,7.56,8.23,7.55,8.1,3454600,4878,75,3881,8831,3,0
224,SBFG3,2023-05-08,8.38,8.62,8.1,8.15,3343100,4879,59,4694,9630,2,0
225,SBFG3,2023-05-09,8.01,8.48,7.89,8.24,6010600,7127,52,5372,12547,4,0
226,SBFG3,2023-05-10,8.35,8.55,8.25,8.44,2377100,3836,73,3896,7801,4,0
227,SBFG3,2023-05-11,8.42,8.76,8.15,8.71,3879200,4265,75,4632,8968,4,0
228,SBFG3,2023-05-12,8.6,8.76,8.35,8.39,1297600,2327,90,2011,4428,0,0
