,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SBSP3,2022-06-06,46.59,46.6,44.63,45.43,3104400,7614,171,6551,14335,1,0
1,SBSP3,2022-06-07,45.4,45.5,44.59,44.8,2471800,5236,195,5122,10552,1,0
2,SBSP3,2022-06-08,44.45,44.54,43.91,44.16,1492600,4834,163,3602,8598,1,0
3,SBSP3,2022-06-09,43.96,44.68,43.9,44.38,1961200,6174,164,4482,10819,1,0
4,SBSP3,2022-06-10,43.68,44.02,42.77,43.23,2205000,6410,124,5098,11631,1,0
5,SBSP3,2022-06-13,42.6,42.75,41.65,42.08,2977100,6446,174,6537,13156,1,0
6,SBSP3,2022-06-14,41.93,42.38,41.2,42.17,3070200,6674,139,7599,14410,2,0
7,SBSP3,2022-06-15,42.51,42.84,41.96,42.55,3069300,5770,247,6299,12272,44,0
8,SBSP3,2022-06-17,42.39,42.39,40.7,40.7,7077300,10056,319,8177,18513,39,0
9,SBSP3,2022-06-20,41.43,41.74,40.08,41.18,1792700,4199,150,5018,9340,27,0
10,SBSP3,2022-06-21,41.12,41.3,40.03,40.3,2419900,6121,173,6984,13266,12,0
11,SBSP3,2022-06-22,39.92,42.06,39.91,41.37,3472700,6085,172,7211,13465,3,0
12,SBSP3,2022-06-23,41.54,42.04,40.94,41.09,2698600,6008,190,5682,11878,2,0
13,SBSP3,2022-06-24,41.46,42.13,40.61,41.74,2495000,7339,162,4943,12442,2,0
14,SBSP3,2022-06-27,41.86,42.52,41.16,42.11,2327400,7252,149,4466,11866,1,0
15,SBSP3,2022-06-28,42.61,43.67,41.82,42.25,3910500,6820,149,8329,15296,2,0
16,SBSP3,2022-06-29,42.43,42.43,41.39,41.75,2457500,4538,156,6675,11365,4,0
17,SBSP3,2022-06-30,41.11,42.17,40.66,41.62,4013700,7398,269,7982,15646,3,0
18,SBSP3,2022-07-01,42.2,43.35,41.09,43.02,4366500,7647,238,9918,17800,3,0
19,SBSP3,2022-07-04,42.79,42.9,42.0,42.0,1429000,4093,138,4607,8837,1,0
20,SBSP3,2022-07-05,41.99,42.45,40.65,41.16,4315900,10042,249,7829,18117,3,0
21,SBSP3,2022-07-06,41.11,41.69,40.74,41.36,2221900,5941,167,5806,11912,2,0
22,SBSP3,2022-07-07,41.88,42.69,41.56,42.46,3587700,6077,179,7127,13377,6,0
23,SBSP3,2022-07-08,42.42,43.57,42.15,42.67,2366000,5017,132,5442,10588,3,0
24,SBSP3,2022-07-11,41.85,42.7,41.81,42.24,1682000,4215,145,5173,9532,1,0
25,SBSP3,2022-07-12,42.43,42.95,42.08,42.8,1555700,3681,151,5022,8853,1,0
26,SBSP3,2022-07-13,42.48,43.05,42.38,42.38,1899200,4944,143,6205,11291,1,0
27,SBSP3,2022-07-14,41.78,42.46,41.78,42.3,1772400,4444,136,5343,9921,2,0
28,SBSP3,2022-07-15,42.3,43.54,41.57,43.05,2275400,5117,151,6048,11314,2,0
29,SBSP3,2022-07-18,43.25,43.49,42.32,42.32,1601400,3656,165,3971,7790,2,0
30,SBSP3,2022-07-19,42.77,42.87,42.01,42.75,1497300,3471,135,3666,7271,1,0
31,SBSP3,2022-07-20,42.59,43.31,42.14,42.22,1846200,4682,138,5219,10038,1,0
32,SBSP3,2022-07-21,42.08,42.61,41.91,42.45,2105700,4741,152,5703,10595,1,0
33,SBSP3,2022-07-22,42.45,43.69,42.32,43.69,2018800,4095,150,4972,9213,4,0
34,SBSP3,2022-07-25,43.83,44.13,43.52,43.96,2044800,4358,152,5841,10347,4,0
35,SBSP3,2022-07-26,43.9,43.9,43.2,43.45,1712600,3985,137,4299,8418,3,0
36,SBSP3,2022-07-27,43.67,44.09,43.3,44.08,1259400,2178,137,2303,4615,3,0
37,SBSP3,2022-07-28,43.78,44.9,43.65,44.84,1490000,3307,212,4034,7497,56,0
38,SBSP3,2022-07-29,44.7,44.88,44.25,44.5,1710400,3251,196,3559,7005,1,0
39,SBSP3,2022-08-01,44.5,45.36,44.35,44.84,2163900,5974,130,5264,11366,2,0
40,SBSP3,2022-08-02,44.81,45.14,44.45,45.1,1117100,2940,168,3148,6252,4,0
41,SBSP3,2022-08-03,45.1,45.71,44.67,45.48,2576900,5621,165,5825,11610,1,0
42,SBSP3,2022-08-08,46.81,47.55,46.48,47.55,2692600,7189,182,5670,13039,2,0
43,SBSP3,2022-08-09,47.55,48.02,46.41,46.78,3243600,7380,160,8252,15785,7,0
44,SBSP3,2022-08-10,47.3,47.35,46.83,47.24,2078300,5936,349,4885,11013,157,0
45,SBSP3,2022-08-12,45.3,45.51,42.95,43.8,6398000,12490,258,13097,25840,5,0
46,SBSP3,2022-08-15,43.76,44.94,43.33,44.53,4065300,9659,164,7861,17678,6,0
47,SBSP3,2022-08-16,44.71,45.03,44.2,44.45,1875400,4685,147,3709,8539,2,0
48,SBSP3,2022-08-17,44.2,46.34,44.17,46.34,3345200,8750,152,8075,16975,2,0
49,SBSP3,2022-08-18,46.33,47.35,45.93,46.64,1836000,5443,136,4075,9651,3,0
50,SBSP3,2022-08-19,46.08,47.37,46.02,46.2,3577600,7960,158,6715,14832,1,0
51,SBSP3,2022-08-22,46.19,46.66,45.8,46.47,1852200,4174,156,5232,9560,2,0
52,SBSP3,2022-08-23,46.36,47.38,46.09,47.12,2794500,5584,142,5083,10807,2,0
53,SBSP3,2022-08-24,46.99,48.1,46.99,47.85,2979000,7232,134,7883,15247,2,0
54,SBSP3,2022-08-25,47.86,48.5,47.21,48.4,4352600,9643,143,8046,17832,0,0
55,SBSP3,2022-08-26,48.65,48.65,47.49,47.52,2427200,5072,156,4684,9911,1,0
56,SBSP3,2022-08-29,47.33,48.66,47.28,48.05,2509500,6921,226,5650,12794,3,0
57,SBSP3,2022-08-30,48.5,48.8,47.64,47.9,2355500,5948,146,7224,13317,1,0
58,SBSP3,2022-08-31,48.29,49.56,48.07,49.35,6535000,7488,1724,8569,16368,1413,0
59,SBSP3,2022-09-01,49.61,49.85,48.42,49.09,4224100,8999,190,8852,18035,6,0
60,SBSP3,2022-09-02,49.09,49.79,48.51,49.3,4487100,7767,321,10405,18489,4,0
61,SBSP3,2022-09-05,49.97,50.82,49.31,50.35,2640400,6185,225,5114,11514,10,0
62,SBSP3,2022-09-06,49.88,50.21,48.71,48.92,4497400,9684,183,9957,19823,1,0
63,SBSP3,2022-09-08,50.1,51.58,49.56,51.52,6815000,14922,282,12564,27764,4,0
64,SBSP3,2022-09-09,51.6,53.48,51.56,52.86,4671100,10865,169,9320,20352,2,0
65,SBSP3,2022-09-12,53.38,53.94,52.05,52.2,3482300,8482,213,8191,16884,2,0
66,SBSP3,2022-09-13,51.45,52.29,51.12,51.56,3627300,9814,188,8753,18754,1,0
67,SBSP3,2022-09-15,51.07,51.07,48.49,49.01,7019000,13380,236,12840,26450,6,0
68,SBSP3,2022-09-16,47.2,47.85,45.42,46.91,17728400,21865,468,18249,40575,7,0
69,SBSP3,2022-09-19,46.5,48.98,45.87,48.98,4819000,10322,209,11064,21594,1,0
70,SBSP3,2022-09-20,48.25,48.65,47.05,47.99,3405800,6005,267,7473,13740,5,0
71,SBSP3,2022-09-21,47.64,47.99,46.84,46.86,4666800,7718,291,10599,18604,4,0
72,SBSP3,2022-09-22,47.57,47.84,46.56,47.49,3722100,9352,199,7368,16919,0,0
73,SBSP3,2022-09-23,46.75,47.57,46.01,46.31,4521300,10033,234,9189,19455,1,0
74,SBSP3,2022-09-27,44.5,44.5,43.21,43.78,8089000,13162,204,12600,25960,6,0
75,SBSP3,2022-09-28,44.85,46.67,44.5,46.11,7734200,15176,307,13290,28767,6,0
76,SBSP3,2022-09-29,45.91,46.57,44.57,46.55,5434000,9225,245,9507,18976,1,0
77,SBSP3,2022-09-30,46.97,50.1,46.85,49.64,10487100,18774,294,15755,34815,8,0
78,SBSP3,2022-10-03,57.2,59.98,55.0,58.0,26067400,30907,741,33162,64795,15,0
79,SBSP3,2022-10-04,58.26,59.12,56.67,57.95,9082900,14581,324,15365,30261,9,0
80,SBSP3,2022-10-05,57.7,58.9,57.3,57.9,4668800,10004,271,10156,20421,10,0
81,SBSP3,2022-10-06,57.93,58.3,56.85,56.85,4805800,8736,308,7868,16893,19,0
82,SBSP3,2022-10-07,56.99,57.85,56.34,57.75,8293100,12532,606,15258,28043,353,0
83,SBSP3,2022-10-10,57.65,58.38,57.01,58.16,3176100,8722,193,5995,14909,1,0
84,SBSP3,2022-10-11,58.14,58.74,56.86,56.89,5252500,10242,702,10033,20461,516,0
85,SBSP3,2022-10-13,56.8,56.99,54.83,55.9,11334300,13024,285,15692,28981,20,0
86,SBSP3,2022-10-14,56.19,56.38,54.3,54.4,6795700,9308,283,9042,18622,11,0
87,SBSP3,2022-10-17,55.0,56.98,54.8,56.27,5728600,12634,229,12938,25799,2,0
88,SBSP3,2022-10-18,57.14,57.14,55.09,56.28,3920300,8771,244,6286,15297,4,0
89,SBSP3,2022-10-19,56.4,57.25,56.12,56.93,5330800,10644,392,13084,24094,26,0
90,SBSP3,2022-10-20,57.3,57.49,55.83,56.57,3527500,9630,246,7715,17589,2,0
91,SBSP3,2022-10-21,56.21,59.18,56.04,59.1,6704000,16361,209,12492,29058,4,0
92,SBSP3,2022-10-24,58.16,58.68,57.49,58.47,3310200,6217,158,8127,14500,2,0
93,SBSP3,2022-10-25,58.55,58.77,57.63,57.85,3190200,5735,231,5729,11690,5,0
94,SBSP3,2022-10-26,56.85,57.8,56.22,56.86,4622900,9309,229,10349,19883,4,0
95,SBSP3,2022-10-27,57.32,58.74,56.97,57.97,5898800,11257,241,9720,21203,15,0
96,SBSP3,2022-10-28,58.05,60.34,57.49,60.28,6506900,13998,315,9496,23801,8,0
97,SBSP3,2022-10-31,61.0,61.69,58.38,59.9,12857800,22681,401,18790,41860,12,0
98,SBSP3,2022-11-01,60.21,61.1,59.09,59.34,5229500,11727,221,9893,21827,14,0
99,SBSP3,2022-11-03,59.11,60.27,58.84,59.95,2439500,6179,221,5373,11771,2,0
100,SBSP3,2022-11-04,60.67,61.19,59.25,59.54,2908400,5908,216,5928,12048,4,0
101,SBSP3,2022-11-07,58.78,59.48,57.66,58.12,3964500,7528,249,10020,17794,3,0
102,SBSP3,2022-11-08,57.84,58.69,56.85,58.4,3380600,8285,206,6397,14885,3,0
103,SBSP3,2022-11-09,58.22,59.06,57.0,57.68,2956400,7068,216,6400,13683,1,0
104,SBSP3,2022-11-10,57.29,57.45,55.0,55.42,5690400,12521,300,12637,25457,1,0
105,SBSP3,2022-11-14,57.25,58.37,56.44,57.82,3750800,8319,184,8862,17362,3,0
106,SBSP3,2022-11-17,55.9,56.0,53.44,55.11,7946200,17094,248,16045,33383,4,0
107,SBSP3,2022-11-18,55.69,55.8,54.67,55.21,4031000,7653,255,8923,16830,1,0
108,SBSP3,2022-11-21,56.35,59.43,56.27,59.25,7666500,13041,246,18687,31970,4,0
109,SBSP3,2022-11-22,59.6,60.23,58.58,58.86,4987800,8539,188,13422,22147,2,0
110,SBSP3,2022-11-23,59.01,59.21,58.24,59.0,2987600,6644,173,10116,16932,1,0
111,SBSP3,2022-11-24,59.59,60.94,59.35,60.48,2966000,5168,188,8311,13665,2,0
112,SBSP3,2022-11-25,59.96,61.69,58.83,60.09,4408400,8493,215,11177,19885,0,0
113,SBSP3,2022-11-28,60.37,60.78,59.26,60.17,3080500,6971,187,8597,15754,1,0
114,SBSP3,2022-11-29,60.06,60.4,58.95,59.84,3201600,8303,148,7104,15551,4,0
115,SBSP3,2022-11-30,59.8,60.29,59.09,60.29,7243100,7402,242,12614,20258,0,0
116,SBSP3,2022-12-01,59.94,60.94,59.4,60.23,2079900,4620,226,7241,12087,0,0
117,SBSP3,2022-12-02,60.6,61.69,59.55,60.77,2411600,7788,192,6478,14458,0,0
118,SBSP3,2022-12-05,60.63,60.79,58.91,59.23,2115900,7968,132,5695,13795,0,0
119,SBSP3,2022-12-06,59.5,60.0,55.78,56.57,8728800,16029,245,13512,29773,13,0
120,SBSP3,2022-12-07,56.24,57.97,56.24,57.46,3178200,8270,181,9565,18014,2,0
121,SBSP3,2022-12-08,57.22,57.46,54.99,56.32,5022100,12680,189,10104,22972,1,0
122,SBSP3,2022-12-09,56.36,57.1,55.36,55.77,3641400,7631,159,5944,13728,6,0
123,SBSP3,2022-12-12,55.7,56.43,53.75,54.44,5624500,12181,263,12288,24728,4,0
124,SBSP3,2022-12-13,54.44,55.67,53.51,54.0,6073600,12506,601,11584,24303,388,0
125,SBSP3,2022-12-14,53.45,55.14,52.92,55.04,7198800,12254,244,13048,25536,10,0
126,SBSP3,2022-12-15,54.61,56.32,54.17,55.33,3007500,6179,195,9708,16081,1,0
127,SBSP3,2022-12-16,55.33,55.77,52.66,53.11,14521000,18876,354,14010,33234,6,0
128,SBSP3,2022-12-19,53.3,54.93,53.3,54.75,2531800,4982,219,6890,12091,0,0
129,SBSP3,2022-12-20,54.62,56.9,53.95,56.23,4381000,10320,188,9581,20089,0,0
130,SBSP3,2022-12-21,56.23,56.8,55.03,55.5,3710800,7687,240,8042,15969,0,0
131,SBSP3,2022-12-22,57.2,58.28,56.48,56.84,6057100,8728,330,9081,18138,1,0
132,SBSP3,2022-12-23,56.44,58.63,56.23,58.11,2301000,5699,168,5033,10900,0,0
133,SBSP3,2022-12-26,57.53,57.87,56.83,57.49,861200,2622,135,2293,5050,0,0
134,SBSP3,2022-12-27,57.74,57.81,55.86,56.48,1661600,5788,164,4016,9968,0,0
135,SBSP3,2022-12-28,56.89,57.77,56.01,57.34,2559900,8509,189,4901,13596,3,0
136,SBSP3,2022-12-29,57.75,58.09,56.43,57.16,3206800,5438,1898,4708,10390,1654,0
137,SBSP3,2023-01-02,56.35,56.56,52.83,53.45,2990300,7169,205,7475,14849,0,0
138,SBSP3,2023-01-03,54.51,55.18,52.53,52.94,3804800,7728,290,7913,15930,1,0
139,SBSP3,2023-01-04,53.31,54.0,52.5,53.35,1982500,4885,183,5907,10975,0,0
140,SBSP3,2023-01-05,53.67,55.09,53.16,54.68,3490600,6574,329,6665,13432,136,0
141,SBSP3,2023-01-06,54.69,55.37,54.36,54.93,1667100,4822,125,5422,10369,0,0
142,SBSP3,2023-01-09,54.78,55.78,54.04,55.03,2255000,5979,228,5564,11770,1,0
143,SBSP3,2023-01-10,54.2,55.42,54.2,55.19,1907800,5482,209,5496,11187,0,0
144,SBSP3,2023-01-11,55.12,55.98,54.64,55.83,3744800,5233,185,5559,10976,1,0
145,SBSP3,2023-01-12,55.77,56.55,54.77,55.17,4737100,6212,214,7245,13671,0,0
146,SBSP3,2023-01-13,54.6,55.29,54.33,54.7,1969500,4041,171,6126,10338,0,0
147,SBSP3,2023-01-16,55.09,55.15,53.84,54.85,1685900,4762,143,4329,9234,0,0
148,SBSP3,2023-01-17,54.99,55.65,54.64,55.35,5809000,9003,189,6607,15791,8,0
149,SBSP3,2023-01-18,55.68,55.98,54.88,55.19,4605400,5690,186,8201,14074,3,0
150,SBSP3,2023-01-19,54.74,55.78,54.71,55.34,1925500,5407,162,5009,10578,0,0
151,SBSP3,2023-01-20,55.26,55.47,52.9,53.6,4792000,10459,260,8426,19143,2,0
152,SBSP3,2023-01-23,53.56,53.9,51.95,52.39,4645500,9168,213,9404,18781,4,0
153,SBSP3,2023-01-24,52.7,53.83,52.42,53.83,3151100,7185,171,6703,14047,12,0
154,SBSP3,2023-01-25,53.68,54.54,53.23,54.54,2918300,7399,153,6325,13871,6,0
155,SBSP3,2023-01-26,54.7,54.96,53.71,54.06,1808000,5076,150,5926,11152,0,0
156,SBSP3,2023-01-30,53.71,55.05,53.58,54.06,2037500,4611,166,6074,10850,1,0
157,SBSP3,2023-01-31,54.35,55.86,54.35,55.66,4467300,6141,915,8227,14620,663,0
158,SBSP3,2023-02-01,55.37,56.43,54.83,55.6,2993900,7394,188,7902,15479,5,0
159,SBSP3,2023-02-02,55.43,56.62,55.2,55.71,2712600,6210,168,6746,13123,1,0
160,SBSP3,2023-02-03,55.53,55.58,53.25,53.5,3043400,7612,266,5990,13864,4,0
161,SBSP3,2023-02-06,53.6,53.6,52.18,53.52,2647100,6168,159,8487,14812,2,0
162,SBSP3,2023-02-07,53.92,53.92,51.39,51.67,3271800,7775,258,9025,17056,2,0
163,SBSP3,2023-02-08,52.0,53.03,51.7,52.55,3821300,7366,178,8483,16020,7,0
164,SBSP3,2023-02-09,52.64,53.64,51.72,52.08,9534500,10571,207,11390,22153,15,0
165,SBSP3,2023-02-10,51.76,53.22,51.76,53.0,1800600,4459,142,4485,9085,1,0
166,SBSP3,2023-02-13,52.97,53.8,52.7,53.5,1879700,5356,180,4059,9593,2,0
167,SBSP3,2023-02-14,53.57,55.77,53.44,54.5,4773800,8593,169,13279,22033,8,0
168,SBSP3,2023-02-15,54.2,55.65,53.8,54.4,3737500,8126,187,9444,17755,2,0
169,SBSP3,2023-02-16,53.94,55.1,53.23,55.04,2960400,6842,214,6164,13218,2,0
170,SBSP3,2023-02-17,54.78,55.78,54.5,54.5,3135900,6132,126,6835,13090,3,0
171,SBSP3,2023-02-20,54.78,55.78,54.5,54.5,3135900,6132,126,6835,13090,3,0
172,SBSP3,2023-02-21,54.78,55.78,54.5,54.5,3135900,6132,126,6835,13090,3,0
173,SBSP3,2023-02-22,54.68,54.97,52.82,53.38,2179900,3955,379,6314,10647,1,0
174,SBSP3,2023-02-23,53.68,53.76,52.21,52.71,2540200,6117,193,5032,11341,1,0
175,SBSP3,2023-02-24,52.82,53.2,52.29,52.69,2110000,4448,143,4611,9200,2,0
176,SBSP3,2023-02-27,52.71,53.7,52.46,53.36,2389600,4574,143,4950,9665,2,0
177,SBSP3,2023-02-28,53.35,53.76,51.7,51.75,5924400,6462,371,7410,14242,1,0
178,SBSP3,2023-03-01,52.98,53.02,51.34,52.08,3510300,7079,201,8397,15671,6,0
179,SBSP3,2023-03-02,51.85,53.04,51.69,51.87,1960400,4660,178,4077,8912,3,0
180,SBSP3,2023-03-03,51.9,52.25,51.25,51.42,1060100,2129,126,3296,5551,0,0
181,SBSP3,2023-03-06,51.52,52.04,50.52,51.54,2127200,6356,224,5093,11673,0,0
182,SBSP3,2023-03-07,51.21,52.12,51.16,51.9,1290400,3243,162,3474,6878,1,0
183,SBSP3,2023-03-08,52.23,53.25,51.9,53.16,3009000,8606,201,6461,15267,1,0
184,SBSP3,2023-03-09,53.11,53.4,51.54,52.13,3124600,7643,189,7467,15298,1,0
185,SBSP3,2023-03-10,51.75,52.05,50.24,50.81,2971000,6691,756,7353,14260,540,0
186,SBSP3,2023-03-13,50.45,52.14,49.94,51.61,4555600,9931,175,7498,17601,3,0
187,SBSP3,2023-03-14,51.71,52.92,51.64,52.28,2019400,5850,155,5174,11179,0,0
188,SBSP3,2023-03-15,51.92,53.75,51.42,53.46,2563700,6871,182,6955,14006,2,0
189,SBSP3,2023-03-16,53.41,54.06,52.85,53.45,3010100,5281,163,5643,11083,4,0
190,SBSP3,2023-03-17,53.0,53.06,51.23,51.23,5362900,7618,328,5564,13509,1,0
191,SBSP3,2023-03-20,51.43,51.65,50.16,50.67,2277500,4452,171,6621,11244,0,0
192,SBSP3,2023-03-21,50.65,50.65,49.08,49.63,3294400,6957,1192,6401,13567,983,0
193,SBSP3,2023-03-23,49.92,50.2,47.45,47.68,2685700,6611,264,6963,13838,0,0
194,SBSP3,2023-03-24,48.21,48.29,45.0,47.5,7641600,16707,340,14895,31940,2,0
195,SBSP3,2023-03-27,47.52,48.99,47.31,48.75,4021600,8429,219,6764,15404,8,0
196,SBSP3,2023-03-28,48.52,50.07,48.27,49.41,3451800,6335,208,5891,12431,3,0
197,SBSP3,2023-03-29,49.67,50.21,48.81,50.03,3282300,7587,188,5481,13254,2,0
198,SBSP3,2023-03-30,50.64,51.6,50.04,51.25,2978100,7119,191,7372,14679,3,0
199,SBSP3,2023-03-31,51.0,51.23,50.04,50.38,1998300,5319,195,3856,9370,0,0
200,SBSP3,2023-04-04,50.88,51.45,50.46,50.88,1702600,5736,136,4427,10298,1,0
201,SBSP3,2023-04-05,50.7,50.7,48.99,49.61,5352400,7941,229,7592,15752,10,0
202,SBSP3,2023-04-06,49.86,50.75,49.76,50.29,1892200,3661,159,3525,7344,1,0
203,SBSP3,2023-04-07,49.86,50.75,49.76,50.29,1892200,3661,159,3525,7344,1,0
204,SBSP3,2023-04-10,50.45,50.6,48.56,49.11,5991200,6288,266,6752,13302,4,0
205,SBSP3,2023-04-11,50.25,51.58,49.98,51.35,4021200,8115,213,8698,16987,39,0
206,SBSP3,2023-04-12,51.1,52.07,50.82,51.35,2710200,7613,235,7203,15049,2,0
207,SBSP3,2023-04-13,51.6,51.76,50.77,51.13,2148900,5975,197,3735,9907,0,0
208,SBSP3,2023-04-14,51.05,51.14,49.39,49.78,6140800,8621,277,6819,15711,6,0
209,SBSP3,2023-04-17,49.69,49.71,48.19,48.76,3540400,7185,216,6098,13498,1,0
210,SBSP3,2023-04-18,49.23,49.23,47.45,47.52,2948500,6164,236,5480,11878,2,0
211,SBSP3,2023-04-19,47.45,48.3,46.76,48.0,3659400,9620,178,7888,17683,3,0
212,SBSP3,2023-04-20,48.31,48.67,47.67,48.46,3580400,6368,188,6497,13049,4,0
213,SBSP3,2023-04-21,48.31,48.67,47.67,48.53,3580400,6368,188,6497,13049,4,0
214,SBSP3,2023-04-24,48.47,49.47,48.2,48.63,4068000,5970,171,5248,11389,0,0
215,SBSP3,2023-04-25,48.21,49.1,47.91,49.1,3884400,4741,190,4821,9751,1,0
216,SBSP3,2023-04-26,48.51,49.13,47.9,48.2,3933600,4597,225,4050,8871,1,0
217,SBSP3,2023-04-27,47.93,48.06,45.91,46.27,6180200,11696,225,9799,21718,2,0
218,SBSP3,2023-04-28,46.69,46.69,45.32,45.91,5178200,11015,294,8165,19472,2,0
219,SBSP3,2023-05-01,46.69,46.69,45.32,45.91,5178200,11015,294,8165,19472,2,0
220,SBSP3,2023-05-02,45.01,45.53,43.95,44.45,2567700,5666,249,7658,13572,1,0
221,SBSP3,2023-05-03,44.1,44.6,43.78,44.2,2340200,5814,175,7313,13301,1,0
222,SBSP3,2023-05-04,44.6,46.42,44.54,46.32,4069400,9840,206,8869,18914,1,0
223,SBSP3,2023-05-05,46.35,46.63,45.04,46.13,4057800,7089,139,5745,12968,5,0
224,SBSP3,2023-05-08,46.25,46.42,45.18,45.95,3089900,5336,184,5868,11386,2,0
225,SBSP3,2023-05-09,45.78,46.67,45.78,46.48,1355700,4602,167,3084,7853,0,0
226,SBSP3,2023-05-10,45.88,48.25,45.82,48.1,5025000,7481,220,8083,15783,1,0
227,SBSP3,2023-05-11,47.51,49.2,47.51,48.46,3881700,7483,185,7002,14665,5,0
228,SBSP3,2023-05-12,50.0,52.46,49.2,52.3,9152300,18248,330,14674,33246,6,0
229,SBSP3,2023-05-15,52.18,53.14,51.99,52.54,2347100,6038,211,4936,11184,1,0
230,SBSP3,2023-05-16,52.1,52.53,50.65,50.65,2814100,7082,206,5402,12688,2,0
231,SBSP3,2023-05-17,51.26,51.97,50.31,50.73,1820600,4997,212,3715,8924,0,0
232,SBSP3,2023-05-18,50.5,51.17,49.95,50.84,2869700,7484,129,5908,13521,0,0
233,SBSP3,2023-05-19,50.91,51.54,50.66,50.95,3454900,5614,181,5422,11216,1,0
234,SBSP3,2023-05-22,51.48,51.6,50.52,50.84,1057500,2403,190,3254,5847,0,0
235,SBSP3,2023-05-23,50.57,51.6,49.97,50.7,1298500,3294,186,2980,6460,0,0
236,SBSP3,2023-05-24,50.11,50.57,49.7,49.91,1883000,4093,179,3719,7991,0,0
237,SBSP3,2023-05-25,51.05,51.56,50.17,51.56,2425900,7010,167,4863,12039,1,0
238,SBSP3,2023-05-26,51.69,53.91,51.59,53.69,6552900,10742,211,11344,22289,8,0
239,SBSP3,2023-05-29,53.7,53.7,52.7,52.93,1435900,4167,141,2849,7157,0,0
240,SBSP3,2023-05-30,53.34,53.76,52.28,52.43,2155700,5049,251,4751,9950,101,0
241,SBSP3,2023-05-31,52.9,53.28,52.03,52.33,5757400,8089,311,8216,16614,2,0
242,SBSP3,2023-06-01,52.7,52.8,51.17,52.52,2591300,6759,202,7477,14433,5,0
243,SBSP3,2023-06-02,52.97,53.84,52.39,53.33,2816800,6164,218,5744,12123,3,0
244,SBSP3,2023-06-05,53.41,53.46,51.85,52.33,2068700,4535,186,4283,9004,0,0
245,SBSP3,2023-06-06,52.44,54.48,52.44,54.06,2027000,5776,157,5919,11850,2,0
246,SBSP3,2023-06-07,54.5,55.07,53.14,53.57,2650200,8058,203,4446,12701,6,0
247,SBSP3,2023-06-09,53.65,54.89,53.33,54.31,2596400,7926,211,5811,13939,9,0
248,SBSP3,2023-06-12,55.1,55.37,53.94,54.75,2676400,5409,199,7382,12979,11,0
249,SBSP3,2023-06-13,54.9,55.09,53.4,53.94,1757000,4615,179,3379,8172,1,0
250,SBSP3,2023-06-14,53.99,54.58,53.07,53.49,4810000,8300,201,9216,17712,5,0
251,SBSP3,2023-06-15,54.09,54.09,52.89,53.25,3021700,7685,202,6341,14225,3,0
252,SBSP3,2023-06-16,53.22,54.44,52.9,53.73,4970300,6605,198,7600,14399,4,0
253,SBSP3,2023-06-19,53.81,54.97,53.76,54.58,1174000,2843,125,2756,5724,0,0
254,SBSP3,2023-06-20,54.59,55.58,54.16,55.46,2334500,4723,157,4889,9767,2,0
255,SBSP3,2023-06-21,55.44,55.92,54.63,55.57,1947000,3520,127,4580,8225,2,0
256,SBSP3,2023-06-22,55.23,55.45,54.22,54.77,1785900,3399,155,3117,6667,4,0
257,SBSP3,2023-06-23,54.4,56.09,54.33,55.74,1834500,4681,146,3328,8155,0,0
258,SBSP3,2023-06-26,55.73,56.06,54.68,54.68,2183300,3917,201,3391,7506,3,0
259,SBSP3,2023-06-27,55.24,56.14,54.59,55.2,1964700,4388,160,4870,9417,1,0
260,SBSP3,2023-06-28,55.65,55.65,54.65,55.05,1863600,4127,166,3196,7486,3,0
261,SBSP3,2023-06-29,54.99,55.78,54.76,55.78,1244800,2650,165,2845,5659,1,0
262,SBSP3,2023-07-03,56.35,57.16,56.05,56.53,4152200,3908,187,7146,11239,2,0
263,SBSP3,2023-07-04,56.52,56.7,54.96,55.65,1278500,2784,142,2524,5449,1,0
264,SBSP3,2023-07-05,55.5,56.54,55.01,56.02,2377100,5777,165,3862,9799,5,0
265,SBSP3,2023-07-06,55.73,55.73,54.5,54.89,2665300,6651,180,6198,13027,2,0
266,SBSP3,2023-07-07,55.29,56.57,54.88,56.0,2184300,5518,142,4390,10048,2,0
267,SBSP3,2023-07-10,55.83,56.64,55.68,55.82,2628300,4033,124,3135,7288,4,0
268,SBSP3,2023-07-11,55.59,55.59,53.99,55.13,3721700,6768,272,7013,14042,11,0
269,SBSP3,2023-07-12,55.5,55.95,54.9,55.02,2761300,6016,132,6248,12396,0,0
270,SBSP3,2023-07-13,55.0,56.14,54.95,55.66,1894900,2455,169,2836,5457,3,0
271,SBSP3,2023-07-17,54.53,54.69,53.9,54.05,2155000,4197,128,3196,7518,3,0
272,SBSP3,2023-07-18,54.11,54.76,53.54,54.58,2040500,4645,165,2844,7654,0,0
