,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SCAR3,2022-06-06,31.51,31.51,30.71,31.5,3300,6,0,18,24,0,0
1,SCAR3,2022-06-07,31.52,31.94,31.51,31.89,1300,7,0,3,10,0,0
2,SCAR3,2022-06-08,31.51,31.74,31.51,31.74,600,3,0,2,5,0,0
3,SCAR3,2022-06-09,31.55,31.55,31.51,31.51,200,0,0,2,2,0,0
4,SCAR3,2022-06-10,31.06,31.06,29.69,29.7,7800,24,0,26,50,0,0
5,SCAR3,2022-06-13,29.11,29.11,26.63,26.69,17700,26,0,115,141,0,0
6,SCAR3,2022-06-14,27.2,27.5,26.23,27.5,7800,24,0,28,52,0,0
7,SCAR3,2022-06-15,28.0,28.5,28.0,28.5,500,1,0,4,5,0,0
8,SCAR3,2022-06-17,28.5,28.7,27.7,28.7,1100,6,0,5,11,0,0
9,SCAR3,2022-06-20,28.0,28.68,27.24,28.13,3100,1,0,25,26,0,0
10,SCAR3,2022-06-21,28.22,28.96,28.2,28.96,1400,5,0,4,9,0,0
11,SCAR3,2022-06-22,28.7,29.39,28.3,29.39,700,1,0,6,7,0,0
12,SCAR3,2022-06-23,29.4,29.4,27.66,28.0,2600,1,0,23,24,0,0
13,SCAR3,2022-06-24,27.81,27.81,26.6,26.6,3900,0,0,34,34,0,0
14,SCAR3,2022-06-27,26.6,27.0,25.84,25.84,2900,3,0,23,26,0,0
15,SCAR3,2022-06-28,26.91,26.99,25.01,26.99,11400,20,0,18,38,0,0
16,SCAR3,2022-06-29,27.5,28.0,27.5,28.0,400,1,0,3,4,0,0
17,SCAR3,2022-06-30,27.22,28.97,27.05,28.97,4100,15,0,6,21,0,0
18,SCAR3,2022-07-01,28.12,28.97,27.23,28.4,7000,12,0,44,56,0,0
19,SCAR3,2022-07-04,29.44,29.44,27.99,28.0,1300,4,0,7,11,0,0
20,SCAR3,2022-07-05,27.6,27.61,25.61,25.8,13600,25,0,84,109,0,0
21,SCAR3,2022-07-06,25.62,26.38,25.25,25.25,5900,17,0,33,50,0,0
22,SCAR3,2022-07-07,25.88,26.69,25.0,25.0,6800,13,0,30,43,0,0
23,SCAR3,2022-07-08,25.0,25.49,24.9,24.9,7200,10,0,17,27,0,0
24,SCAR3,2022-07-11,25.2,25.4,25.13,25.4,2400,4,7,7,18,0,0
25,SCAR3,2022-07-12,25.06,25.49,25.0,25.49,4000,5,0,31,36,0,0
26,SCAR3,2022-07-13,25.0,25.4,25.0,25.0,1500,6,0,1,7,0,0
27,SCAR3,2022-07-14,24.75,25.29,24.75,25.0,3500,3,4,25,32,0,0
28,SCAR3,2022-07-15,25.06,25.1,25.06,25.1,400,3,0,1,4,0,0
29,SCAR3,2022-07-18,25.13,25.16,25.0,25.0,700,4,0,3,7,0,0
30,SCAR3,2022-07-19,24.82,25.07,24.82,25.0,1900,1,0,13,14,0,0
31,SCAR3,2022-07-20,25.37,25.4,25.25,25.39,4400,8,0,2,10,0,0
32,SCAR3,2022-07-21,25.25,25.25,25.25,25.25,100,0,1,0,1,0,0
33,SCAR3,2022-07-25,25.35,25.4,25.0,25.25,7500,3,0,17,20,0,0
34,SCAR3,2022-07-26,25.05,25.05,23.7,25.0,8200,17,1,25,43,0,0
35,SCAR3,2022-07-27,25.24,25.4,25.24,25.4,2400,4,0,2,6,0,0
36,SCAR3,2022-07-28,25.4,25.4,25.01,25.01,2200,2,0,18,20,0,0
37,SCAR3,2022-07-29,25.4,25.4,25.25,25.25,2300,9,0,4,13,0,0
