,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SEER3,2022-06-06,7.94,7.97,7.51,7.58,546200,963,30,1405,2398,0,0
1,SEER3,2022-06-07,7.55,7.63,7.31,7.42,519500,1103,22,1384,2509,0,0
2,SEER3,2022-06-08,7.36,7.66,7.32,7.42,331000,920,22,808,1750,0,0
3,SEER3,2022-06-09,7.44,7.66,7.35,7.52,270200,931,20,686,1637,0,0
4,SEER3,2022-06-10,7.48,7.5,7.15,7.19,518500,1100,23,1225,2348,0,0
5,SEER3,2022-06-13,6.97,7.25,6.95,7.08,519100,1164,17,1015,2196,0,0
6,SEER3,2022-06-14,7.08,7.21,6.99,7.05,317200,1141,25,874,2040,0,0
7,SEER3,2022-06-15,7.17,7.32,7.08,7.22,348500,1223,22,1275,2520,0,0
8,SEER3,2022-06-17,7.12,7.37,6.99,7.28,367700,1183,107,798,2005,83,0
9,SEER3,2022-06-20,7.33,7.52,7.15,7.19,201000,503,37,564,1104,0,0
10,SEER3,2022-06-21,7.22,7.29,6.82,6.89,376700,1101,25,961,2087,0,0
11,SEER3,2022-06-22,6.73,7.05,6.72,6.83,246500,714,29,609,1352,0,0
12,SEER3,2022-06-23,6.91,6.96,6.72,6.76,296500,913,45,720,1678,0,0
13,SEER3,2022-06-24,6.78,6.93,6.62,6.71,332900,761,20,767,1548,0,0
14,SEER3,2022-06-27,6.71,6.81,6.53,6.74,436300,894,49,1014,1957,0,0
15,SEER3,2022-06-28,6.78,6.9,6.51,6.54,268300,745,32,835,1612,0,0
16,SEER3,2022-06-29,6.55,6.58,6.3,6.32,345800,713,10,971,1694,0,0
17,SEER3,2022-06-30,6.27,6.41,6.18,6.2,591500,1457,40,1505,3002,0,0
18,SEER3,2022-07-01,6.3,6.43,6.14,6.24,450300,992,20,1388,2400,0,0
19,SEER3,2022-07-04,6.28,6.28,5.81,5.81,367000,490,32,887,1409,0,0
20,SEER3,2022-07-05,5.8,5.83,5.52,5.78,725000,1551,22,1697,3270,0,0
21,SEER3,2022-07-06,5.86,6.95,5.84,6.92,1687600,3167,25,3488,6680,0,0
22,SEER3,2022-07-07,7.01,7.02,6.76,6.89,415400,1183,39,993,2215,0,0
23,SEER3,2022-07-08,6.78,7.0,6.78,6.94,293600,819,26,731,1576,0,0
24,SEER3,2022-07-11,6.85,6.99,6.66,6.87,319500,738,27,682,1447,0,0
25,SEER3,2022-07-12,6.89,7.14,6.74,7.0,401300,1098,36,1231,2365,0,0
26,SEER3,2022-07-13,6.98,7.06,6.8,6.83,211200,636,28,568,1232,0,0
27,SEER3,2022-07-14,6.78,6.89,6.69,6.88,155400,449,22,363,834,0,0
28,SEER3,2022-07-15,6.88,6.89,6.55,6.7,287600,771,0,683,1454,0,0
29,SEER3,2022-07-18,6.69,6.81,6.19,6.24,731100,1218,27,1280,2525,0,0
30,SEER3,2022-07-19,6.22,6.41,6.07,6.16,473500,814,19,911,1744,0,0
31,SEER3,2022-07-20,6.02,6.27,5.98,6.27,521600,862,41,1009,1912,0,0
32,SEER3,2022-07-21,6.32,6.5,6.1,6.15,365700,754,18,859,1631,0,0
33,SEER3,2022-07-22,6.18,6.34,6.04,6.11,341300,542,19,796,1357,0,0
34,SEER3,2022-07-25,6.14,6.19,6.02,6.08,331300,610,27,632,1269,0,0
35,SEER3,2022-07-26,6.1,6.1,5.76,5.91,325200,569,46,663,1278,0,0
36,SEER3,2022-07-27,5.92,6.19,5.88,6.07,362400,896,22,822,1740,0,0
37,SEER3,2022-07-28,6.14,6.23,6.07,6.1,411500,843,0,1045,1888,0,0
38,SEER3,2022-07-29,6.13,6.13,5.83,5.9,448400,776,16,1321,2113,0,0
39,SEER3,2022-08-01,5.85,6.06,5.84,5.92,660100,1221,26,1398,2645,0,0
40,SEER3,2022-08-02,5.89,6.09,5.81,5.81,721700,1076,24,1454,2554,0,0
41,SEER3,2022-08-03,5.86,6.17,5.86,6.02,634500,1243,40,1483,2766,0,0
42,SEER3,2022-08-08,6.55,6.78,6.46,6.5,619600,942,20,1404,2366,0,0
43,SEER3,2022-08-09,6.54,6.58,6.27,6.31,500300,944,0,1526,2470,0,0
44,SEER3,2022-08-10,6.32,6.64,6.32,6.45,929400,1896,51,2590,4537,0,0
45,SEER3,2022-08-12,6.4,6.44,6.2,6.33,723200,1479,38,1223,2740,0,0
46,SEER3,2022-08-15,6.4,6.57,6.15,6.42,615900,1368,46,1032,2446,0,0
47,SEER3,2022-08-16,6.49,6.49,6.0,6.07,1158600,1328,44,2416,3788,0,0
48,SEER3,2022-08-17,6.0,6.2,5.95,6.12,578200,1172,15,1291,2478,0,0
49,SEER3,2022-08-18,6.16,6.16,5.96,6.06,1004500,1435,21,1368,2822,2,0
50,SEER3,2022-08-19,6.02,6.08,5.97,6.02,352400,456,39,698,1193,0,0
51,SEER3,2022-08-22,6.01,6.12,5.91,6.1,439100,975,28,876,1879,0,0
52,SEER3,2022-08-23,6.06,6.16,6.0,6.06,389000,777,29,1055,1861,0,0
53,SEER3,2022-08-24,6.08,6.49,6.08,6.28,1316200,1707,21,2883,4611,0,0
54,SEER3,2022-08-25,6.3,6.4,6.24,6.27,611800,918,25,1673,2616,0,0
55,SEER3,2022-08-26,6.3,6.44,6.15,6.17,579600,1208,16,1518,2742,0,0
56,SEER3,2022-08-29,6.2,6.36,6.1,6.27,387300,762,25,1124,1911,0,0
57,SEER3,2022-08-30,6.23,6.34,6.06,6.15,452300,1182,36,1330,2548,0,0
58,SEER3,2022-08-31,6.16,6.32,6.09,6.25,644800,1223,38,2004,3265,0,0
59,SEER3,2022-09-01,6.22,6.42,6.18,6.4,893000,2228,34,2428,4690,0,0
60,SEER3,2022-09-02,6.43,6.43,6.2,6.22,605100,1344,35,1149,2528,0,0
61,SEER3,2022-09-05,6.24,6.24,6.08,6.14,376700,560,26,482,1068,0,0
62,SEER3,2022-09-06,6.1,6.1,5.93,6.0,764000,1263,32,1219,2514,0,0
63,SEER3,2022-09-08,5.98,6.22,5.98,6.14,431700,993,25,752,1770,0,0
64,SEER3,2022-09-09,6.25,6.46,6.15,6.2,695500,1001,35,1034,2070,0,0
65,SEER3,2022-09-12,6.26,6.34,6.17,6.3,383800,690,29,769,1488,0,0
66,SEER3,2022-09-13,6.24,6.27,6.09,6.1,412700,542,37,936,1515,0,0
67,SEER3,2022-09-15,5.95,6.06,5.84,5.99,823400,1234,42,1669,2944,1,0
68,SEER3,2022-09-16,5.75,5.76,5.5,5.66,3909300,2826,147,3820,6793,0,0
69,SEER3,2022-09-19,5.61,6.29,5.54,6.25,1634700,2151,55,1427,3633,0,0
70,SEER3,2022-09-20,6.27,6.59,6.21,6.44,1341300,2395,46,1759,4200,0,0
71,SEER3,2022-09-21,6.47,6.64,6.34,6.54,521500,954,29,867,1850,0,0
72,SEER3,2022-09-22,6.6,6.93,6.48,6.9,558800,970,40,809,1819,0,0
73,SEER3,2022-09-23,6.8,7.1,6.7,6.98,1092800,1878,33,2003,3914,0,0
74,SEER3,2022-09-27,6.74,6.94,6.59,6.61,393400,680,36,516,1232,0,0
75,SEER3,2022-09-28,6.65,7.62,6.52,7.45,2168200,1991,46,1515,3548,4,0
76,SEER3,2022-09-29,7.39,7.55,7.26,7.3,1090100,1012,34,1001,2047,0,0
77,SEER3,2022-09-30,7.35,7.7,7.26,7.54,1384500,1263,38,1595,2895,1,0
78,SEER3,2022-10-03,7.54,7.75,7.15,7.46,897700,1503,49,1369,2921,0,0
79,SEER3,2022-10-04,7.59,7.76,7.32,7.52,725600,1445,35,1823,3303,0,0
80,SEER3,2022-10-05,7.45,7.98,7.45,7.78,1478900,1722,41,1598,3360,1,0
81,SEER3,2022-10-06,7.86,8.2,7.78,7.87,1217400,1611,45,1417,3072,1,0
82,SEER3,2022-10-07,7.9,7.9,7.68,7.8,362800,735,33,739,1507,0,0
83,SEER3,2022-10-10,7.8,7.8,7.44,7.66,513300,1122,40,893,2055,0,0
84,SEER3,2022-10-11,7.68,7.77,7.55,7.63,638900,708,37,609,1354,0,0
85,SEER3,2022-10-13,7.56,7.77,7.43,7.72,353700,620,35,669,1324,0,0
86,SEER3,2022-10-14,7.78,7.8,7.29,7.33,588800,946,35,1292,2273,0,0
87,SEER3,2022-10-17,7.34,7.46,7.25,7.27,353100,929,35,697,1661,0,0
88,SEER3,2022-10-18,7.34,7.42,7.18,7.24,393400,1306,17,899,2222,0,0
