,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SGPS3,2022-06-06,2.84,2.84,2.7,2.71,72400,52,7,69,128,0,0
1,SGPS3,2022-06-07,2.79,2.85,2.65,2.76,103200,257,0,133,390,0,0
2,SGPS3,2022-06-08,2.77,2.79,2.6,2.63,101300,38,1,89,128,0,0
3,SGPS3,2022-06-09,2.61,2.69,2.57,2.69,56200,88,0,97,185,0,0
4,SGPS3,2022-06-10,2.7,2.7,2.55,2.56,38400,12,0,59,71,0,0
5,SGPS3,2022-06-13,2.55,2.72,2.47,2.47,105900,114,2,95,211,0,0
6,SGPS3,2022-06-14,2.53,2.6,2.49,2.49,28900,35,0,25,60,0,0
7,SGPS3,2022-06-15,2.5,2.67,2.41,2.47,58000,38,0,50,88,0,0
8,SGPS3,2022-06-17,2.41,2.88,2.38,2.88,222000,125,15,82,222,0,0
9,SGPS3,2022-06-20,2.66,2.92,2.66,2.85,66300,39,0,125,164,0,0
10,SGPS3,2022-06-21,2.98,3.23,2.92,3.04,128000,180,9,153,342,0,0
11,SGPS3,2022-06-22,3.02,3.3,2.93,3.2,120900,129,25,170,324,0,0
12,SGPS3,2022-06-23,3.18,3.36,3.06,3.25,83100,155,3,159,317,0,0
13,SGPS3,2022-06-24,3.3,3.57,3.13,3.13,94900,182,0,200,382,0,0
14,SGPS3,2022-06-27,3.19,3.28,3.0,3.0,68500,42,10,192,244,0,0
15,SGPS3,2022-06-28,3.2,3.2,2.9,3.18,70700,28,5,36,69,0,0
16,SGPS3,2022-06-29,3.06,3.19,3.0,3.06,45800,33,12,48,93,0,0
17,SGPS3,2022-06-30,2.99,3.0,2.85,2.94,48600,27,12,43,82,0,0
18,SGPS3,2022-07-01,2.97,3.25,2.97,3.0,32900,43,10,15,68,0,0
19,SGPS3,2022-07-04,3.06,3.17,2.86,2.86,40900,33,7,34,74,0,0
20,SGPS3,2022-07-05,2.99,3.42,2.95,3.42,100100,128,0,65,193,0,0
21,SGPS3,2022-07-06,3.42,3.49,3.21,3.21,64100,52,13,70,135,0,0
22,SGPS3,2022-07-07,3.27,3.35,3.12,3.21,26500,29,0,51,80,0,0
23,SGPS3,2022-07-08,3.19,3.25,3.11,3.11,10200,26,0,19,45,0,0
24,SGPS3,2022-07-11,3.11,3.15,3.0,3.04,21300,26,13,26,65,0,0
25,SGPS3,2022-07-12,3.0,3.34,2.98,3.28,34600,53,0,42,95,0,0
26,SGPS3,2022-07-13,3.26,3.27,3.18,3.22,48500,10,5,20,35,0,0
27,SGPS3,2022-07-14,3.09,3.35,3.06,3.18,17900,29,4,21,54,0,0
28,SGPS3,2022-07-15,3.25,3.4,3.22,3.39,29500,45,0,12,57,0,0
29,SGPS3,2022-07-18,3.39,3.4,3.32,3.38,8300,6,0,15,21,0,0
30,SGPS3,2022-07-19,3.37,3.41,3.26,3.27,24100,40,0,12,52,0,0
31,SGPS3,2022-07-20,3.27,3.45,3.27,3.45,27500,29,0,16,45,0,0
32,SGPS3,2022-07-21,3.35,3.45,3.34,3.45,13300,9,8,13,30,0,0
33,SGPS3,2022-07-22,3.47,3.59,3.47,3.52,8300,18,1,11,30,0,0
34,SGPS3,2022-07-25,3.59,3.84,3.58,3.7,59600,36,0,55,91,0,0
35,SGPS3,2022-07-26,3.8,3.84,3.7,3.7,83000,11,4,32,47,0,0
36,SGPS3,2022-07-27,3.65,3.75,3.6,3.75,14600,8,5,8,21,0,0
37,SGPS3,2022-07-28,3.7,3.74,3.65,3.65,21600,6,4,16,26,0,0
38,SGPS3,2022-07-29,3.66,3.72,3.58,3.72,25400,14,12,17,43,0,0
39,SGPS3,2022-08-01,3.6,3.63,3.45,3.63,18500,17,10,42,69,0,0
40,SGPS3,2022-08-02,3.64,3.71,3.63,3.7,3400,5,2,13,20,0,0
41,SGPS3,2022-08-03,3.65,3.8,3.65,3.75,22600,22,0,18,40,0,0
42,SGPS3,2022-08-08,4.25,4.55,4.25,4.37,27600,40,2,30,72,0,0
43,SGPS3,2022-08-09,4.33,4.4,4.03,4.2,18800,20,0,76,96,0,0
44,SGPS3,2022-08-10,4.3,4.45,4.3,4.4,51400,32,5,13,50,0,0
45,SGPS3,2022-08-12,4.69,4.95,4.59,4.75,52700,50,8,55,113,0,0
46,SGPS3,2022-08-15,4.62,4.8,4.5,4.71,35400,37,12,70,119,0,0
47,SGPS3,2022-08-16,4.74,4.81,4.67,4.81,19200,15,11,24,50,0,0
48,SGPS3,2022-08-17,4.81,4.81,4.69,4.7,20900,12,0,57,69,0,0
49,SGPS3,2022-08-18,4.73,4.73,4.2,4.2,96200,70,19,144,233,0,0
50,SGPS3,2022-08-19,4.22,4.22,3.69,3.69,113800,85,11,202,298,0,0
51,SGPS3,2022-08-22,3.69,3.69,3.45,3.53,52800,44,0,96,140,0,0
52,SGPS3,2022-08-23,3.63,3.69,3.25,3.37,234400,308,25,254,587,0,0
53,SGPS3,2022-08-24,3.35,3.68,3.32,3.39,322200,418,16,230,664,0,0
54,SGPS3,2022-08-25,3.43,3.55,3.36,3.36,114700,89,11,116,216,0,0
55,SGPS3,2022-08-26,3.44,3.46,3.19,3.25,102400,128,22,112,262,0,0
56,SGPS3,2022-08-29,3.22,3.33,3.11,3.27,64800,104,19,63,186,0,0
57,SGPS3,2022-08-30,3.29,3.3,3.0,3.07,275600,199,19,205,423,0,0
58,SGPS3,2022-08-31,3.06,3.09,3.0,3.01,65200,98,0,68,166,0,0
59,SGPS3,2022-09-01,3.09,3.09,3.01,3.02,34300,61,13,58,132,0,0
60,SGPS3,2022-09-02,3.13,3.13,3.01,3.07,47800,41,18,87,146,0,0
61,SGPS3,2022-09-05,3.05,3.1,3.0,3.02,33900,37,0,51,88,0,0
62,SGPS3,2022-09-06,3.0,3.02,2.8,2.81,173500,121,0,285,406,0,0
63,SGPS3,2022-09-08,2.83,2.88,2.71,2.74,73200,40,0,116,156,0,0
64,SGPS3,2022-09-09,2.77,2.85,2.72,2.72,93800,60,11,134,205,0,0
65,SGPS3,2022-09-12,2.75,2.88,2.75,2.77,154100,79,0,203,282,0,0
66,SGPS3,2022-09-13,2.75,2.77,2.71,2.74,41000,50,0,100,150,0,0
67,SGPS3,2022-09-15,2.78,2.8,2.7,2.7,49700,52,0,111,163,0,0
68,SGPS3,2022-09-16,2.69,2.73,2.64,2.64,58100,50,0,143,193,0,0
69,SGPS3,2022-09-19,2.62,2.66,2.57,2.59,74000,73,0,111,184,0,0
70,SGPS3,2022-09-20,2.61,2.64,2.53,2.53,95600,218,0,156,374,0,0
71,SGPS3,2022-09-21,2.55,2.56,2.46,2.47,115300,36,7,198,241,0,0
72,SGPS3,2022-09-22,2.41,2.63,2.41,2.51,198300,332,12,142,486,0,0
73,SGPS3,2022-09-23,2.51,2.52,2.42,2.44,87400,71,10,126,207,0,0
74,SGPS3,2022-09-27,2.37,2.37,2.25,2.29,34000,57,0,86,143,0,0
75,SGPS3,2022-09-28,2.25,2.29,2.22,2.24,36200,59,0,104,163,0,0
76,SGPS3,2022-09-29,2.22,2.25,2.14,2.15,158700,98,0,158,256,0,0
77,SGPS3,2022-09-30,2.15,2.24,2.14,2.19,49700,107,0,193,300,0,0
78,SGPS3,2022-10-03,2.24,2.47,2.18,2.43,122600,197,0,209,406,0,0
79,SGPS3,2022-10-04,2.47,2.6,2.45,2.47,95500,211,0,217,428,0,0
80,SGPS3,2022-10-05,2.5,2.52,2.46,2.46,60100,98,0,191,289,0,0
81,SGPS3,2022-10-06,2.5,2.5,2.41,2.45,46300,70,0,182,252,0,0
82,SGPS3,2022-10-07,2.46,2.48,2.41,2.41,52000,25,7,41,73,0,0
83,SGPS3,2022-10-10,2.45,2.45,2.35,2.36,31300,43,0,86,129,0,0
84,SGPS3,2022-10-11,2.43,2.43,2.26,2.26,31000,39,6,74,119,0,0
85,SGPS3,2022-10-13,2.29,2.29,2.21,2.23,33600,45,0,115,160,0,0
86,SGPS3,2022-10-14,2.24,2.26,2.21,2.21,28900,46,0,55,101,0,0
87,SGPS3,2022-10-17,2.24,2.3,2.2,2.26,66000,82,0,108,190,0,0
88,SGPS3,2022-10-18,2.29,2.31,2.24,2.29,34100,68,0,59,127,0,0
89,SGPS3,2022-10-19,2.32,2.48,2.22,2.48,217400,242,14,240,496,0,0
90,SGPS3,2022-10-20,2.34,2.41,2.34,2.35,28200,35,6,32,73,0,0
91,SGPS3,2022-10-21,2.42,2.45,2.24,2.25,158900,156,1,174,331,0,0
92,SGPS3,2022-10-24,2.23,2.27,2.16,2.2,59400,70,1,173,244,0,0
93,SGPS3,2022-10-25,2.25,2.25,2.15,2.18,38600,89,0,112,201,0,0
94,SGPS3,2022-10-26,2.19,2.19,2.1,2.11,29800,40,0,87,127,0,0
95,SGPS3,2022-10-27,2.12,2.18,2.11,2.14,40900,37,0,65,102,0,0
96,SGPS3,2022-10-28,2.13,2.25,2.13,2.2,49900,101,0,97,198,0,0
