,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SHOW3,2022-06-06,3.9,3.9,3.69,3.75,255500,246,19,342,607,0,0
1,SHOW3,2022-06-07,3.7,3.72,3.49,3.49,182300,205,0,473,678,0,0
2,SHOW3,2022-06-08,3.45,3.64,3.41,3.64,159100,331,25,198,554,0,0
3,SHOW3,2022-06-09,3.67,3.67,3.51,3.55,121100,171,0,268,439,0,0
4,SHOW3,2022-06-10,3.51,3.51,3.3,3.34,169500,254,0,392,646,0,0
5,SHOW3,2022-06-13,3.26,3.27,3.14,3.25,197800,254,0,318,572,0,0
6,SHOW3,2022-06-14,3.23,3.25,3.03,3.05,202000,204,0,438,642,0,0
7,SHOW3,2022-06-15,3.05,3.2,2.97,3.11,316400,289,29,454,772,0,0
8,SHOW3,2022-06-17,3.08,3.12,2.94,3.12,249300,325,52,314,691,0,0
9,SHOW3,2022-06-20,3.07,3.1,2.88,2.91,373400,417,0,482,899,0,0
10,SHOW3,2022-06-21,2.91,2.98,2.81,2.81,275800,306,0,436,742,0,0
11,SHOW3,2022-06-22,2.8,2.88,2.75,2.84,130000,230,15,275,520,0,0
12,SHOW3,2022-06-23,2.82,2.94,2.82,2.94,197300,290,0,240,530,0,0
13,SHOW3,2022-06-24,2.95,3.07,2.85,3.07,468800,496,0,638,1134,0,0
14,SHOW3,2022-06-27,3.01,3.09,2.95,3.05,203700,320,27,185,532,0,0
15,SHOW3,2022-06-28,3.1,3.24,2.96,3.05,296600,446,0,416,862,0,0
16,SHOW3,2022-06-29,3.06,3.07,2.85,3.04,263000,274,45,312,631,0,0
17,SHOW3,2022-06-30,3.05,3.05,2.81,2.98,798300,1280,28,917,2225,0,0
18,SHOW3,2022-07-01,3.0,3.0,2.87,2.92,169000,220,0,251,471,0,0
19,SHOW3,2022-07-04,2.9,2.91,2.84,2.86,332300,132,29,208,369,0,0
20,SHOW3,2022-07-05,2.84,2.85,2.74,2.76,221500,218,22,365,605,0,0
21,SHOW3,2022-07-06,2.76,2.92,2.72,2.77,331800,305,0,503,808,0,0
22,SHOW3,2022-07-07,2.79,2.88,2.66,2.66,695800,432,35,481,948,0,0
23,SHOW3,2022-07-08,2.67,2.72,2.59,2.6,396500,214,0,368,582,0,0
24,SHOW3,2022-07-11,2.57,2.6,2.5,2.52,139300,93,0,189,282,0,0
25,SHOW3,2022-07-12,2.5,2.58,2.42,2.48,306000,145,23,410,578,0,0
26,SHOW3,2022-07-13,2.46,2.53,2.43,2.5,146100,199,0,134,333,0,0
27,SHOW3,2022-07-14,2.49,2.52,2.4,2.48,80300,125,0,108,233,0,0
28,SHOW3,2022-07-15,2.55,2.55,2.48,2.53,142200,100,0,206,306,0,0
29,SHOW3,2022-07-18,2.54,2.58,2.45,2.51,153000,111,0,240,351,0,0
30,SHOW3,2022-07-19,2.49,2.52,2.46,2.51,82700,125,0,101,226,0,0
31,SHOW3,2022-07-20,2.51,2.64,2.51,2.62,319500,300,0,325,625,0,0
32,SHOW3,2022-07-21,2.68,2.69,2.44,2.55,625300,508,34,742,1284,0,0
33,SHOW3,2022-07-22,2.57,2.58,2.46,2.47,164000,95,1,198,294,0,0
34,SHOW3,2022-07-25,2.47,2.55,2.46,2.5,192600,122,0,115,237,0,0
35,SHOW3,2022-07-26,2.52,2.58,2.45,2.54,151800,130,0,129,259,0,0
36,SHOW3,2022-07-27,2.54,2.67,2.51,2.65,224200,220,17,201,438,0,0
37,SHOW3,2022-07-28,2.65,2.73,2.61,2.69,130300,183,0,109,292,0,0
38,SHOW3,2022-07-29,2.71,2.73,2.59,2.61,115200,136,40,233,409,0,0
39,SHOW3,2022-08-01,2.57,2.69,2.57,2.6,116700,117,6,206,329,0,0
40,SHOW3,2022-08-02,2.6,2.64,2.53,2.58,60200,93,0,129,222,0,0
41,SHOW3,2022-08-03,2.58,2.67,2.56,2.67,89900,92,9,69,170,0,0
42,SHOW3,2022-08-08,2.67,2.76,2.66,2.68,161100,154,16,160,330,0,0
43,SHOW3,2022-08-09,2.68,2.76,2.62,2.67,117200,116,10,149,275,0,0
44,SHOW3,2022-08-10,2.67,2.73,2.65,2.67,213400,154,0,433,587,0,0
45,SHOW3,2022-08-12,2.75,3.08,2.74,3.01,979200,1449,22,1512,2983,0,0
46,SHOW3,2022-08-15,3.0,3.2,2.86,3.11,644800,1228,22,591,1841,0,0
47,SHOW3,2022-08-16,3.11,3.19,3.02,3.03,305200,399,23,355,777,0,0
48,SHOW3,2022-08-17,3.02,3.08,2.91,3.02,166600,282,19,300,601,0,0
49,SHOW3,2022-08-18,3.08,3.21,2.99,3.11,449200,565,12,600,1177,0,0
50,SHOW3,2022-08-19,3.11,3.25,2.94,3.2,524900,964,10,699,1673,0,0
51,SHOW3,2022-08-22,3.11,3.22,3.03,3.22,167500,208,7,235,450,0,0
52,SHOW3,2022-08-23,3.24,3.43,3.17,3.4,278600,462,17,437,916,0,0
53,SHOW3,2022-08-24,3.4,3.58,3.32,3.51,156000,285,30,352,667,0,0
54,SHOW3,2022-08-25,3.63,3.9,3.56,3.77,574000,1007,24,849,1880,0,0
55,SHOW3,2022-08-26,3.78,3.79,3.45,3.53,598800,794,43,708,1545,0,0
56,SHOW3,2022-08-29,3.55,3.71,3.42,3.66,226200,387,18,325,730,0,0
57,SHOW3,2022-08-30,3.61,3.68,3.49,3.54,178100,238,24,324,586,0,0
58,SHOW3,2022-08-31,3.59,3.83,3.49,3.82,280800,408,63,300,771,0,0
59,SHOW3,2022-09-01,3.78,3.81,3.49,3.61,489700,664,30,680,1374,0,0
60,SHOW3,2022-09-02,3.64,3.69,3.45,3.5,146700,152,21,241,414,0,0
61,SHOW3,2022-09-05,3.45,3.5,3.24,3.32,462400,530,26,697,1253,0,0
62,SHOW3,2022-09-06,3.32,3.32,2.95,3.1,769300,501,41,625,1167,0,0
63,SHOW3,2022-09-08,3.06,3.19,3.05,3.17,238300,276,16,292,584,0,0
64,SHOW3,2022-09-09,3.19,3.2,3.07,3.18,140100,140,23,147,310,0,0
65,SHOW3,2022-09-12,3.18,3.23,3.14,3.14,96900,137,0,167,304,0,0
66,SHOW3,2022-09-13,3.13,3.13,3.04,3.09,89600,151,0,160,311,0,0
67,SHOW3,2022-09-15,2.98,3.04,2.93,2.93,116600,120,9,149,278,0,0
68,SHOW3,2022-09-16,2.96,2.99,2.89,2.9,171900,74,0,154,228,0,0
69,SHOW3,2022-09-19,2.89,3.13,2.84,3.08,217800,252,0,208,460,0,0
70,SHOW3,2022-09-20,3.07,3.09,2.98,3.04,142100,90,0,367,457,0,0
71,SHOW3,2022-09-21,3.01,3.12,2.99,3.11,139400,352,26,237,615,0,0
72,SHOW3,2022-09-22,3.11,3.18,3.03,3.08,132100,143,0,191,334,0,0
73,SHOW3,2022-09-23,3.08,3.14,3.0,3.08,227200,210,21,197,428,0,0
74,SHOW3,2022-09-27,3.05,3.05,2.9,2.94,90900,72,2,130,204,0,0
75,SHOW3,2022-09-28,2.94,2.96,2.86,2.86,90600,57,0,116,173,0,0
76,SHOW3,2022-09-29,2.84,2.94,2.77,2.94,176700,182,31,121,334,0,0
77,SHOW3,2022-09-30,2.92,3.09,2.87,3.02,278100,338,18,398,753,1,0
78,SHOW3,2022-10-03,3.1,3.12,2.97,3.04,304500,306,0,355,661,0,0
79,SHOW3,2022-10-04,3.05,3.14,2.98,3.0,195200,204,0,249,453,0,0
80,SHOW3,2022-10-05,3.0,3.07,2.9,2.92,192400,256,1,326,583,0,0
81,SHOW3,2022-10-06,2.94,2.98,2.91,2.93,188400,113,1,202,316,0,0
82,SHOW3,2022-10-07,2.98,3.08,2.94,3.0,274000,250,0,215,465,0,0
83,SHOW3,2022-10-10,3.04,3.05,2.92,3.01,156800,212,13,192,417,0,0
84,SHOW3,2022-10-11,3.0,3.0,2.92,2.96,105200,122,1,166,289,0,0
85,SHOW3,2022-10-13,2.99,3.1,2.91,3.05,181200,293,9,175,477,0,0
86,SHOW3,2022-10-14,3.07,3.14,2.96,3.01,150000,226,0,273,499,0,0
87,SHOW3,2022-10-17,3.1,3.28,3.02,3.18,1026700,1179,31,829,2039,0,0
88,SHOW3,2022-10-18,3.28,3.28,3.07,3.15,604700,815,34,858,1707,0,0
89,SHOW3,2022-10-19,3.09,3.13,3.0,3.06,540800,558,70,850,1478,0,0
90,SHOW3,2022-10-20,3.08,3.13,3.0,3.03,280600,311,4,674,989,0,0
91,SHOW3,2022-10-21,3.05,3.05,3.0,3.03,121500,134,0,120,254,0,0
92,SHOW3,2022-10-24,3.08,3.12,2.97,3.01,87700,115,15,117,247,0,0
93,SHOW3,2022-10-25,3.02,3.17,2.99,3.09,418400,458,13,325,796,0,0
94,SHOW3,2022-10-26,3.1,3.15,3.02,3.03,145500,189,20,180,389,0,0
95,SHOW3,2022-10-27,3.05,3.14,2.94,2.94,673900,465,24,434,923,0,0
96,SHOW3,2022-10-28,2.96,2.99,2.8,2.84,656500,281,32,389,702,0,0
97,SHOW3,2022-10-31,2.83,2.95,2.73,2.89,571900,575,13,463,1051,0,0
98,SHOW3,2022-11-01,2.94,3.05,2.87,2.94,436700,425,0,402,827,0,0
99,SHOW3,2022-11-03,2.92,3.2,2.92,3.13,1064000,1459,12,922,2393,0,0
100,SHOW3,2022-11-04,3.18,3.24,3.08,3.09,287700,299,18,296,613,0,0
101,SHOW3,2022-11-07,3.11,3.15,2.98,2.98,303700,457,12,350,819,0,0
102,SHOW3,2022-11-08,3.02,3.05,2.92,2.93,230900,302,0,266,568,0,0
103,SHOW3,2022-11-09,2.94,2.94,2.77,2.77,270300,170,0,281,451,0,0
104,SHOW3,2022-11-10,2.78,2.82,2.66,2.82,161500,208,0,238,446,0,0
105,SHOW3,2022-11-14,2.85,2.88,2.72,2.85,162500,250,9,194,453,0,0
106,SHOW3,2022-11-17,2.8,2.8,2.53,2.56,593800,567,2,572,1141,0,0
107,SHOW3,2022-11-18,2.62,2.67,2.53,2.64,202900,146,0,157,303,0,0
