,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SIMH3,2022-06-06,11.92,11.98,11.39,11.66,3070500,3348,105,3119,6557,15,0
1,SIMH3,2022-06-07,11.5,11.61,11.25,11.43,2824700,5266,73,5078,10417,0,0
2,SIMH3,2022-06-08,11.37,11.55,11.13,11.2,1727300,3056,68,3147,6271,0,0
3,SIMH3,2022-06-09,11.22,11.59,11.06,11.59,2235500,4203,80,4274,8557,0,0
4,SIMH3,2022-06-10,11.35,11.39,10.76,10.92,3155700,4135,90,6680,10904,1,0
5,SIMH3,2022-06-13,10.56,10.59,10.05,10.22,5293200,6429,228,8337,14993,1,0
6,SIMH3,2022-06-14,10.33,10.33,10.0,10.14,2035200,3844,78,4873,8795,0,0
7,SIMH3,2022-06-15,10.25,10.49,10.15,10.47,1980100,3725,79,3723,7527,0,0
8,SIMH3,2022-06-17,10.13,10.33,9.89,10.05,5034800,5834,180,5391,11405,0,0
9,SIMH3,2022-06-20,10.13,10.31,9.8,9.9,1657900,2141,83,2583,4807,0,0
10,SIMH3,2022-06-21,10.0,10.07,9.74,9.86,1762200,3004,71,2794,5869,0,0
11,SIMH3,2022-06-22,9.73,9.97,9.61,9.87,2287700,4011,90,3348,7449,0,0
12,SIMH3,2022-06-23,9.91,10.0,9.79,9.9,2561000,4264,78,3497,7838,1,0
13,SIMH3,2022-06-24,10.03,10.03,9.65,9.8,2510000,2738,80,2853,5671,0,0
14,SIMH3,2022-06-27,9.83,9.9,9.73,9.82,1598000,3169,92,2533,5794,0,0
15,SIMH3,2022-06-28,9.9,9.91,9.46,9.52,3066000,2651,99,3677,6426,1,0
16,SIMH3,2022-06-29,9.59,9.6,9.27,9.4,1879300,3805,81,3431,7317,0,0
17,SIMH3,2022-06-30,9.29,9.39,9.16,9.35,2305500,3991,83,3737,7811,0,0
18,SIMH3,2022-07-01,9.13,9.39,9.03,9.3,4033200,5656,102,4337,10093,2,0
19,SIMH3,2022-07-04,9.23,9.34,9.13,9.14,1806900,3351,78,2540,5969,0,0
20,SIMH3,2022-07-05,9.09,9.13,8.77,9.1,4155400,7914,79,9497,17490,0,0
21,SIMH3,2022-07-06,9.1,9.25,8.91,9.1,3279800,6221,56,5048,11325,0,0
22,SIMH3,2022-07-07,9.28,9.6,9.26,9.32,3031000,5269,71,5486,10826,0,0
23,SIMH3,2022-07-08,9.4,9.59,9.34,9.46,1403400,1781,63,2134,3978,0,0
24,SIMH3,2022-07-11,9.3,9.32,8.8,8.87,3174700,2734,102,5296,8132,0,0
25,SIMH3,2022-07-12,8.92,8.93,8.57,8.76,3685700,5723,84,4632,10439,0,0
26,SIMH3,2022-07-13,8.74,9.01,8.65,8.95,1839500,3162,71,2637,5870,0,0
27,SIMH3,2022-07-14,8.84,9.07,8.75,9.02,1500500,1973,70,1872,3915,0,0
28,SIMH3,2022-07-15,9.03,9.08,8.72,8.74,2197100,4965,110,2891,7966,0,0
29,SIMH3,2022-07-18,8.86,9.18,8.86,9.03,1619300,4619,48,2041,6708,0,0
30,SIMH3,2022-07-19,9.05,9.27,9.05,9.12,1632200,5145,61,2193,7399,0,0
31,SIMH3,2022-07-20,9.13,9.54,9.12,9.47,1625300,3020,54,2162,5236,0,0
32,SIMH3,2022-07-21,9.55,9.65,9.35,9.58,1690600,2704,69,2109,4882,0,0
33,SIMH3,2022-07-22,9.59,9.65,9.4,9.54,1087500,1522,75,1919,3516,0,0
34,SIMH3,2022-07-25,9.62,9.69,9.46,9.52,1231800,2480,53,2609,5142,0,0
35,SIMH3,2022-07-26,9.58,9.61,9.13,9.2,1156100,1237,95,2478,3810,0,0
36,SIMH3,2022-07-27,9.23,9.73,9.18,9.63,1409600,1855,76,1300,3231,0,0
