,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SLCE3,2022-06-06,56.95,56.95,54.41,54.5,1160800,2685,101,3642,6428,0,0
1,SLCE3,2022-06-07,54.27,54.72,53.11,53.23,1218600,2821,138,3386,6344,1,0
2,SLCE3,2022-06-08,53.3,54.37,53.01,53.37,1496100,4161,97,3849,8107,0,0
3,SLCE3,2022-06-09,53.32,53.95,52.85,53.22,822500,2096,90,1654,3840,0,0
4,SLCE3,2022-06-10,52.52,53.33,51.82,52.6,1011200,2487,99,2212,4797,1,0
5,SLCE3,2022-06-13,51.97,52.3,51.12,51.55,1095300,3637,139,3231,7007,0,0
6,SLCE3,2022-06-14,51.7,51.92,49.93,50.54,1056400,2800,73,3392,6264,1,0
7,SLCE3,2022-06-15,51.1,52.45,51.0,52.0,1395500,3956,205,3161,7246,76,0
8,SLCE3,2022-06-17,51.42,52.97,51.42,52.3,2053700,3511,280,3786,7501,76,0
9,SLCE3,2022-06-20,52.46,52.72,51.02,51.74,1218400,2753,137,3150,6011,29,0
10,SLCE3,2022-06-21,51.82,52.6,51.45,52.51,1099000,3340,139,3182,6608,53,0
11,SLCE3,2022-06-22,51.69,51.94,48.37,48.82,2744900,6813,206,6697,13680,36,0
12,SLCE3,2022-06-23,48.82,49.26,45.5,45.72,3292900,8086,222,7896,16169,35,0
13,SLCE3,2022-06-24,46.02,46.17,44.37,44.8,2856100,7405,135,7472,15012,0,0
14,SLCE3,2022-06-27,45.08,46.27,44.78,45.28,1481700,4500,115,3732,8347,0,0
15,SLCE3,2022-06-28,46.0,46.62,45.15,45.35,1531200,3191,114,4101,7405,1,0
16,SLCE3,2022-06-29,45.5,46.89,45.47,46.7,1558700,3258,126,4650,8034,0,0
17,SLCE3,2022-06-30,46.39,46.49,44.03,44.08,2686800,5253,229,6755,12237,0,0
18,SLCE3,2022-07-01,43.51,44.67,43.0,44.42,2007700,5690,187,5209,11086,0,0
19,SLCE3,2022-07-04,44.0,44.9,43.47,44.36,1046800,2672,120,2525,5315,2,0
20,SLCE3,2022-07-05,44.41,44.57,42.81,43.25,1620400,4720,120,4332,9172,0,0
21,SLCE3,2022-07-06,42.93,43.75,42.69,43.3,1514000,4956,72,4941,9969,0,0
22,SLCE3,2022-07-07,43.63,46.29,43.63,45.54,2220400,5179,115,5130,10419,5,0
23,SLCE3,2022-07-08,45.7,45.96,44.75,45.66,1191300,3057,110,3296,6463,0,0
24,SLCE3,2022-07-11,44.8,45.52,43.06,43.63,2100700,5802,131,5163,11096,0,0
25,SLCE3,2022-07-12,43.42,43.53,40.76,40.91,2701400,6477,170,7607,14252,2,0
26,SLCE3,2022-07-13,40.63,40.85,39.13,40.52,3023400,8029,446,8095,16271,299,0
27,SLCE3,2022-07-14,40.11,41.28,39.7,39.71,1629800,3821,183,4568,8571,1,0
28,SLCE3,2022-07-15,40.02,40.36,38.83,39.47,1795900,4065,124,5012,9200,1,0
29,SLCE3,2022-07-18,39.79,41.9,39.47,41.05,1709800,5331,92,5295,10717,1,0
30,SLCE3,2022-07-19,41.26,42.02,40.88,41.65,1620300,3827,135,3977,7938,1,0
31,SLCE3,2022-07-20,41.44,42.23,40.97,42.0,947500,3197,90,2737,6024,0,0
32,SLCE3,2022-07-21,42.08,42.11,40.7,41.85,998300,3099,135,2599,5833,0,0
33,SLCE3,2022-07-22,41.48,43.01,41.22,42.56,1801200,4423,611,4199,8718,515,0
34,SLCE3,2022-07-25,42.75,43.64,42.5,43.08,1566900,2866,150,3693,6704,5,0
35,SLCE3,2022-07-26,43.02,43.9,42.76,43.3,920500,2182,112,2861,5154,1,0
36,SLCE3,2022-07-27,43.46,43.89,42.78,43.84,925500,2451,88,2879,5418,0,0
37,SLCE3,2022-07-28,43.56,44.28,43.0,43.6,942700,2047,102,2795,4943,1,0
38,SLCE3,2022-07-29,43.55,44.46,43.32,44.09,1822800,3676,120,2592,6387,1,0
39,SLCE3,2022-08-01,43.97,43.98,41.7,41.71,2049100,5547,152,5312,11011,0,0
40,SLCE3,2022-08-02,41.89,43.47,41.67,43.2,1055000,2911,116,3183,6210,0,0
41,SLCE3,2022-08-03,43.18,43.58,42.47,42.69,1377400,3364,96,3902,7362,0,0
42,SLCE3,2022-08-08,42.51,43.6,41.56,41.82,1781200,4154,116,5413,9683,0,0
43,SLCE3,2022-08-09,42.22,42.77,41.75,42.75,2913500,4065,107,4881,9044,9,0
44,SLCE3,2022-08-10,43.0,44.42,42.72,44.18,1553200,4931,121,3082,8129,5,0
45,SLCE3,2022-08-12,44.07,45.98,43.91,45.7,1726400,3990,116,3295,7399,2,0
46,SLCE3,2022-08-15,45.15,45.67,43.8,44.15,1962100,4891,89,6049,11029,0,0
47,SLCE3,2022-08-16,44.15,45.3,43.42,44.9,1919300,5241,80,5309,10629,1,0
48,SLCE3,2022-08-17,44.63,45.93,44.08,45.53,2827900,4029,110,4246,8385,0,0
49,SLCE3,2022-08-18,45.49,45.67,43.98,44.21,1153300,3355,99,4527,7980,1,0
50,SLCE3,2022-08-19,43.94,43.97,42.86,43.18,1231700,4179,103,3860,8142,0,0
51,SLCE3,2022-08-22,42.83,44.49,42.73,43.63,1284000,3665,125,4541,8331,0,0
52,SLCE3,2022-08-23,43.51,45.73,43.51,45.65,1698400,4598,123,4132,8853,0,0
53,SLCE3,2022-08-24,45.55,48.25,45.31,47.1,2794700,6661,101,7410,14169,3,0
54,SLCE3,2022-08-25,47.1,48.09,46.8,47.91,1621800,4128,95,4339,8562,0,0
55,SLCE3,2022-08-26,48.12,48.5,47.57,48.32,1401000,3995,87,4919,9001,0,0
56,SLCE3,2022-08-29,48.35,49.45,48.06,48.72,1158400,3669,88,3274,7031,0,0
57,SLCE3,2022-08-30,48.7,49.18,48.02,48.42,1397900,4436,80,4310,8825,1,0
58,SLCE3,2022-08-31,48.92,49.34,48.19,48.56,1153600,2889,126,3427,6442,0,0
59,SLCE3,2022-09-01,48.55,50.96,48.0,49.37,2425800,5474,166,5089,10725,4,0
60,SLCE3,2022-09-02,49.62,49.7,48.09,48.59,1437000,4493,176,3875,8543,1,0
61,SLCE3,2022-09-05,49.33,49.71,48.4,49.2,1248500,2108,122,2266,4485,11,0
62,SLCE3,2022-09-06,49.08,49.57,48.5,48.64,792100,2855,97,2433,5385,0,0
63,SLCE3,2022-09-08,48.9,48.9,46.67,47.32,2196000,6216,154,4967,11337,0,0
64,SLCE3,2022-09-09,47.46,48.87,47.45,48.55,1060400,3611,89,3355,7055,0,0
65,SLCE3,2022-09-12,49.24,49.47,47.85,48.5,1720900,4949,153,4619,9721,0,0
66,SLCE3,2022-09-13,48.1,48.64,46.11,46.3,1421300,3687,111,4364,8162,0,0
67,SLCE3,2022-09-15,46.74,47.05,46.35,46.68,762700,2033,78,3071,5182,0,0
68,SLCE3,2022-09-16,46.31,46.48,45.65,46.48,2475300,3781,206,5075,9062,0,0
69,SLCE3,2022-09-19,46.2,47.05,45.78,47.04,842100,2417,83,2680,5180,0,0
70,SLCE3,2022-09-20,46.84,47.76,46.37,46.92,1232500,2992,117,3409,6516,2,0
71,SLCE3,2022-09-21,46.99,48.2,46.58,46.67,1897000,5024,136,4045,9203,2,0
72,SLCE3,2022-09-22,46.93,49.75,46.93,49.35,2024200,5555,325,4407,10096,191,0
73,SLCE3,2022-09-23,48.83,49.25,47.8,48.2,1457700,3604,117,3436,7156,1,0
74,SLCE3,2022-09-27,46.49,46.88,45.0,45.38,983500,2460,88,3504,6052,0,0
75,SLCE3,2022-09-28,45.4,45.54,44.83,44.98,821300,2464,108,2604,5176,0,0
76,SLCE3,2022-09-29,44.6,44.63,42.75,43.39,1955400,5841,119,5269,11229,0,0
77,SLCE3,2022-09-30,43.2,43.69,42.51,43.3,2009500,6298,117,4456,10871,0,0
78,SLCE3,2022-10-03,44.09,44.56,43.12,43.67,2333400,7091,141,5399,12631,0,0
79,SLCE3,2022-10-04,44.29,45.13,42.12,42.71,2550400,6144,167,7331,13641,1,0
80,SLCE3,2022-10-05,42.71,42.75,41.88,42.2,2077800,5826,134,5522,11481,1,0
81,SLCE3,2022-10-06,42.41,43.01,42.05,42.59,999400,3240,131,2763,6130,4,0
82,SLCE3,2022-10-07,42.62,43.06,42.11,42.3,817500,2772,99,1717,4587,1,0
83,SLCE3,2022-10-10,42.74,45.34,42.54,44.57,2116800,6134,90,4270,10494,0,0
84,SLCE3,2022-10-11,44.56,44.99,43.91,44.02,904400,3282,96,2684,6062,0,0
85,SLCE3,2022-10-13,43.65,44.37,43.32,43.8,1105300,3380,116,2864,6355,5,0
86,SLCE3,2022-10-14,43.91,44.43,43.3,43.53,1272600,2520,114,3298,5930,2,0
87,SLCE3,2022-10-17,43.88,44.97,43.55,44.79,1013900,2643,123,3446,6212,0,0
88,SLCE3,2022-10-18,44.46,45.8,44.29,45.59,850300,2556,84,2266,4906,0,0
89,SLCE3,2022-10-19,45.38,46.21,45.05,45.5,1816200,5184,156,5380,10714,6,0
90,SLCE3,2022-10-20,46.01,46.08,45.07,45.7,938700,2972,102,2209,5283,0,0
91,SLCE3,2022-10-21,45.42,46.21,44.84,45.93,1029600,3906,119,2510,6535,0,0
92,SLCE3,2022-10-24,45.11,45.62,44.49,44.73,1106300,4047,98,3178,7321,2,0
93,SLCE3,2022-10-25,44.52,44.74,43.25,43.38,1388900,4475,145,3144,7763,1,0
94,SLCE3,2022-10-26,43.19,44.91,42.96,44.59,2315500,3810,127,5183,9120,0,0
95,SLCE3,2022-10-27,44.81,45.84,44.23,45.05,1152300,4202,138,3353,7693,0,0
96,SLCE3,2022-10-28,44.85,46.39,44.74,45.23,1132700,3499,104,2839,6442,0,0
97,SLCE3,2022-10-31,44.61,46.27,44.48,45.77,1068800,3355,160,3017,6532,0,0
98,SLCE3,2022-11-01,45.45,47.94,45.31,47.0,1392300,3944,149,3151,7244,0,0
99,SLCE3,2022-11-03,47.35,47.39,45.89,47.08,1723500,5545,140,4199,9884,0,0
