,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SLED4,2022-06-06,4.67,4.71,4.48,4.58,11000,21,0,29,50,0,0
1,SLED4,2022-06-07,4.45,4.57,4.41,4.45,6500,7,0,13,20,0,0
2,SLED4,2022-06-08,4.45,4.45,4.21,4.35,9000,15,0,22,37,0,0
3,SLED4,2022-06-09,4.3,4.35,4.2,4.2,4500,9,0,16,25,0,0
4,SLED4,2022-06-10,4.12,4.14,3.75,3.8,35000,52,8,64,124,0,0
5,SLED4,2022-06-13,3.8,3.85,3.45,3.45,10500,19,2,33,54,0,0
6,SLED4,2022-06-14,3.47,3.74,3.47,3.61,4100,11,0,6,17,0,0
7,SLED4,2022-06-15,3.7,3.7,3.52,3.55,5000,15,1,14,30,0,0
8,SLED4,2022-06-17,3.54,3.61,3.45,3.54,3900,8,1,7,16,0,0
9,SLED4,2022-06-20,3.3,3.6,3.2,3.52,10900,29,0,16,45,0,0
10,SLED4,2022-06-21,3.52,3.75,3.5,3.6,5600,10,1,15,26,0,0
11,SLED4,2022-06-22,3.6,3.68,3.33,3.53,4700,13,2,16,31,0,0
12,SLED4,2022-06-23,3.6,3.6,3.52,3.53,1700,5,1,6,11,1,0
13,SLED4,2022-06-24,3.81,3.91,3.66,3.83,5600,17,0,11,28,0,0
14,SLED4,2022-06-27,3.83,4.21,3.66,3.73,19500,27,12,36,75,0,0
15,SLED4,2022-06-28,3.76,3.8,3.62,3.79,5700,13,3,23,39,0,0
16,SLED4,2022-06-29,3.78,3.78,3.61,3.61,2500,7,2,10,19,0,0
17,SLED4,2022-06-30,3.6,3.78,3.55,3.78,2900,12,1,4,17,0,0
18,SLED4,2022-07-01,3.58,3.78,3.58,3.78,600,0,1,5,6,0,0
19,SLED4,2022-07-04,3.76,3.78,3.75,3.75,7700,4,0,16,20,0,0
20,SLED4,2022-07-05,3.65,3.74,3.65,3.67,1100,6,0,1,7,0,0
21,SLED4,2022-07-06,3.67,3.85,3.61,3.82,6700,17,2,14,33,0,0
22,SLED4,2022-07-07,3.87,3.91,3.8,3.8,3800,10,0,13,23,0,0
23,SLED4,2022-07-08,3.85,3.85,3.55,3.66,5100,12,2,17,31,0,0
24,SLED4,2022-07-11,3.66,3.75,3.65,3.75,3200,8,0,7,15,0,0
25,SLED4,2022-07-12,3.61,3.69,3.61,3.68,1100,4,0,3,7,0,0
26,SLED4,2022-07-13,3.68,3.68,3.39,3.47,14000,26,1,33,60,0,0
27,SLED4,2022-07-14,3.45,3.45,3.25,3.35,3600,14,2,11,27,0,0
28,SLED4,2022-07-15,3.4,3.4,3.34,3.4,1700,7,0,9,16,0,0
29,SLED4,2022-07-18,3.4,3.52,3.4,3.5,2700,6,0,10,16,0,0
30,SLED4,2022-07-19,3.5,3.54,3.37,3.37,600,4,1,0,5,0,0
31,SLED4,2022-07-20,3.54,3.7,3.41,3.42,8400,24,0,18,42,0,0
32,SLED4,2022-07-21,3.46,3.6,3.4,3.56,10600,25,0,12,37,0,0
33,SLED4,2022-07-22,3.66,3.7,3.52,3.65,9800,15,1,18,34,0,0
34,SLED4,2022-07-25,3.65,3.93,3.53,3.82,8500,24,0,15,39,0,0
35,SLED4,2022-07-26,3.82,3.82,3.62,3.66,2600,3,1,5,9,0,0
36,SLED4,2022-07-27,3.62,3.9,3.62,3.7,6400,12,0,17,29,0,0
37,SLED4,2022-07-28,3.88,3.88,3.65,3.66,3000,8,0,10,18,0,0
38,SLED4,2022-07-29,3.67,3.86,3.65,3.65,5400,7,0,17,24,0,0
39,SLED4,2022-08-01,3.71,3.94,3.68,3.78,8800,18,1,18,37,0,0
40,SLED4,2022-08-02,3.78,3.8,3.72,3.78,1300,5,0,3,8,0,0
41,SLED4,2022-08-03,3.78,3.83,3.71,3.71,2400,4,0,11,15,0,0
42,SLED4,2022-08-08,3.86,4.39,3.75,4.38,31400,77,0,30,107,0,0
43,SLED4,2022-08-09,4.37,4.5,4.0,4.12,36800,70,0,81,151,0,0
44,SLED4,2022-08-10,4.34,4.34,4.0,4.19,5800,21,0,16,37,0,0
45,SLED4,2022-08-12,4.45,4.54,4.26,4.26,22900,52,1,53,106,0,0
46,SLED4,2022-08-15,4.36,4.52,4.33,4.4,18400,47,2,39,88,0,0
47,SLED4,2022-08-16,4.72,4.72,4.28,4.58,16700,50,0,33,83,0,0
48,SLED4,2022-08-17,4.53,4.8,4.53,4.78,18600,40,1,24,65,0,0
49,SLED4,2022-08-18,4.75,4.83,4.6,4.73,3600,16,0,14,30,0,0
50,SLED4,2022-08-19,4.6,4.75,4.51,4.69,8200,21,0,22,43,0,0
51,SLED4,2022-08-22,4.85,4.85,4.61,4.77,7800,26,0,11,37,0,0
52,SLED4,2022-08-23,4.74,4.81,4.63,4.81,5500,19,2,14,35,0,0
53,SLED4,2022-08-24,4.85,4.85,4.51,4.51,4000,9,1,8,18,0,0
54,SLED4,2022-08-25,4.85,4.85,4.54,4.65,2800,13,0,7,20,0,0
55,SLED4,2022-08-26,4.54,4.8,4.54,4.61,2500,5,0,6,11,0,0
56,SLED4,2022-08-29,4.55,4.71,4.31,4.31,4300,3,0,10,13,0,0
57,SLED4,2022-08-30,4.31,4.41,4.24,4.37,3600,12,0,12,24,0,0
58,SLED4,2022-08-31,4.4,4.44,4.2,4.44,10000,29,1,9,39,0,0
59,SLED4,2022-09-01,4.5,4.5,4.3,4.5,9400,17,2,10,29,0,0
60,SLED4,2022-09-02,4.69,4.72,4.54,4.72,6700,21,0,13,34,0,0
61,SLED4,2022-09-05,4.82,4.93,4.57,4.69,11500,34,0,26,60,0,0
62,SLED4,2022-09-06,4.99,4.99,4.59,4.81,5000,27,0,10,37,0,0
