,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SMFT3,2022-09-06,16.65,16.8,15.49,15.71,2348100,2571,68,2471,5110,0,0
1,SMFT3,2023-04-06,13.73,13.95,13.36,13.52,3031800,2411,59,1756,4225,1,0
2,SMFT3,2022-10-31,16.2,17.86,16.2,17.33,1911500,4212,69,5076,9356,1,0
3,SMFT3,2022-10-03,15.68,16.6,15.58,16.06,1950600,5214,55,3213,8480,2,0
4,SMFT3,2022-06-09,13.5,13.82,13.24,13.64,1380000,1112,1171,981,2141,1123,0
5,SMFT3,2022-08-29,15.82,16.57,15.75,16.12,1350200,2314,52,2360,4724,2,0
6,SMFT3,2022-08-30,16.21,16.56,15.34,15.39,1423200,3207,59,3548,6814,0,0
7,SMFT3,2023-04-11,13.39,14.53,13.39,14.15,3335100,6222,77,4481,10778,2,0
8,SMFT3,2022-12-21,13.45,13.62,13.04,13.31,995100,2653,50,2801,5501,3,0
9,SMFT3,2022-09-27,15.01,15.21,14.55,14.63,630100,1498,43,1720,3261,0,0
10,SMFT3,2023-07-26,22.36,22.47,21.65,22.45,3768700,5616,108,4707,10426,5,0
11,SMFT3,2023-03-27,13.5,13.56,13.1,13.44,1276000,2346,62,2211,4619,0,0
12,SMFT3,2023-07-05,21.8,22.32,21.5,21.93,1051100,2221,104,2659,4984,0,0
13,SMFT3,2023-02-09,16.12,16.56,15.89,16.08,2204800,1232,88,1213,2525,8,0
14,SMFT3,2023-04-24,13.81,14.6,13.81,14.41,1362000,2350,109,1620,4078,1,0
15,SMFT3,2023-01-26,15.32,15.64,15.06,15.49,458700,1231,53,992,2275,1,0
16,SMFT3,2023-08-24,23.7,23.88,23.49,23.55,1879800,4342,730,2665,7116,621,0
17,SMFT3,2023-01-11,14.77,15.03,14.1,14.84,1350300,2999,56,2817,5872,0,0
18,SMFT3,2023-07-17,21.13,21.89,20.68,21.89,1381800,2053,129,3780,5961,1,0
19,SMFT3,2022-08-22,15.06,15.24,14.81,14.9,1392400,2304,229,3129,5661,1,0
20,SMFT3,2023-03-07,15.16,15.16,14.7,14.92,923700,1799,75,1509,3381,2,0
21,SMFT3,2022-10-27,15.53,16.46,15.4,16.29,656100,1278,52,1543,2873,0,0
22,SMFT3,2022-07-19,10.48,10.81,10.43,10.74,734000,1749,48,1168,2964,1,0
23,SMFT3,2022-11-14,15.63,16.2,15.58,15.87,2619600,1701,76,1468,3245,0,0
24,SMFT3,2023-05-02,15.37,15.75,15.11,15.55,2255400,3940,108,4735,8779,4,0
25,SMFT3,2023-05-03,15.48,15.9,15.23,15.73,1347100,3227,117,2231,5573,2,0
26,SMFT3,2022-12-19,12.22,13.0,12.17,12.75,1286100,3504,81,3083,6668,0,0
27,SMFT3,2022-07-05,10.0,10.01,9.63,9.94,1275200,1388,67,1031,2485,1,0
28,SMFT3,2022-09-01,16.65,16.68,15.89,16.29,2299500,2510,55,4423,6987,1,0
