,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SMTO3,2022-06-06,51.99,51.99,51.0,51.01,1165600,3538,86,3738,7362,0,0
1,SMTO3,2022-06-07,50.39,50.81,48.29,48.56,2652400,5586,416,5341,11051,292,0
2,SMTO3,2022-06-08,47.85,47.96,46.01,46.76,2994700,8838,162,7155,16151,4,0
3,SMTO3,2022-06-09,46.25,46.9,45.63,46.2,1734300,5274,94,5032,10398,2,0
4,SMTO3,2022-06-10,45.76,46.16,45.09,45.11,1559000,4308,96,4092,8496,0,0
5,SMTO3,2022-06-13,44.4,45.16,44.33,44.93,1395000,4538,77,4680,9295,0,0
6,SMTO3,2022-06-14,44.91,44.98,44.15,44.43,903900,3779,93,3313,7185,0,0
7,SMTO3,2022-06-15,44.98,45.35,44.1,44.6,1284000,4217,161,3459,7761,76,0
8,SMTO3,2022-06-17,44.17,44.19,43.03,43.8,1767900,5405,196,3059,8587,73,0
9,SMTO3,2022-06-20,43.87,43.91,41.85,41.86,1125300,3932,174,3815,7881,40,0
10,SMTO3,2022-06-21,42.0,42.24,39.71,41.2,2574400,7997,147,7686,15787,43,0
11,SMTO3,2022-06-22,40.92,40.93,38.72,39.3,2375400,7695,158,6384,14196,41,0
12,SMTO3,2022-06-23,39.26,40.0,38.33,38.38,1521600,5492,138,4325,9914,41,0
13,SMTO3,2022-06-24,38.35,39.55,38.08,39.28,1367900,3737,109,4915,8731,30,0
14,SMTO3,2022-06-27,39.67,40.49,39.02,39.55,1596100,3651,82,3663,7395,1,0
15,SMTO3,2022-06-28,40.07,40.07,39.06,39.41,1661600,8076,97,4179,12335,17,0
16,SMTO3,2022-06-29,39.5,39.66,38.38,38.59,1064700,3316,108,3879,7271,32,0
17,SMTO3,2022-06-30,37.81,37.91,35.96,36.17,7600000,6036,532,6723,13282,9,0
18,SMTO3,2022-07-01,36.34,36.94,35.29,36.32,1864900,5805,134,5777,11716,0,0
19,SMTO3,2022-07-04,35.66,37.14,35.66,36.32,1241200,3389,79,3968,7434,2,0
20,SMTO3,2022-07-05,36.42,36.7,35.75,35.99,1839000,4178,86,5069,9332,1,0
21,SMTO3,2022-07-06,35.87,35.87,35.07,35.25,1185200,4506,102,3942,8550,0,0
22,SMTO3,2022-07-07,35.72,36.2,34.34,34.67,1685800,4532,84,5426,10042,0,0
23,SMTO3,2022-07-08,34.46,35.97,34.46,35.24,1488700,7440,83,4079,11602,0,0
