,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SNSY3,2022-06-23,7.98,7.98,7.98,7.98,200,1,0,1,2,0,0
1,SNSY3,2022-07-01,6.99,6.99,6.98,6.98,300,2,1,0,3,0,0
2,SNSY3,2022-07-04,6.9,6.9,5.9,6.03,800,5,1,1,7,0,0
3,SNSY3,2022-07-05,6.05,7.0,6.05,7.0,900,3,0,1,4,0,0
4,SNSY3,2022-07-07,7.0,7.0,6.9,6.9,200,2,0,0,2,0,0
5,SNSY3,2022-07-08,6.9,6.9,6.89,6.89,200,2,0,0,2,0,0
6,SNSY3,2022-07-14,6.85,6.85,6.8,6.8,300,2,0,1,3,0,0
7,SNSY3,2022-07-15,6.3,6.8,6.3,6.8,200,1,0,1,2,0,0
8,SNSY3,2022-07-18,7.46,7.46,7.39,7.39,200,0,1,1,2,0,0
9,SNSY3,2022-07-27,6.78,6.78,6.78,6.78,200,0,1,1,2,0,0
10,SNSY3,2022-08-01,6.65,6.65,6.65,6.65,300,2,0,0,2,0,0
11,SNSY3,2022-08-02,6.6,6.6,6.6,6.6,400,4,0,0,4,0,0
12,SNSY3,2022-08-03,7.4,8.01,6.85,6.85,1400,7,2,3,12,0,0
13,SNSY3,2022-08-08,7.68,7.7,7.65,7.7,1500,4,0,6,10,0,0
14,SNSY3,2022-08-10,6.86,7.04,6.86,7.04,1300,1,0,4,5,0,0
15,SNSY3,2022-08-12,7.68,7.7,7.68,7.68,1200,3,0,0,3,0,0
16,SNSY3,2022-08-15,7.69,7.7,7.69,7.7,2900,13,0,0,13,0,0
17,SNSY3,2022-08-19,7.05,7.05,7.05,7.05,600,0,0,3,3,0,0
18,SNSY3,2022-08-23,6.78,6.8,6.45,6.8,700,4,0,2,6,0,0
19,SNSY3,2022-08-24,7.1,7.25,6.6,6.6,700,5,0,1,6,0,0
20,SNSY3,2022-08-25,7.14,7.25,7.05,7.2,1800,7,0,3,10,0,0
21,SNSY3,2022-08-29,7.0,7.4,7.0,7.4,2100,5,0,0,5,0,0
22,SNSY3,2022-09-06,7.4,7.4,7.4,7.4,500,4,0,0,4,0,0
23,SNSY3,2022-09-08,7.1,7.68,7.1,7.68,200,2,0,0,2,0,0
24,SNSY3,2022-09-13,7.58,7.58,7.58,7.58,200,0,0,1,1,0,0
25,SNSY3,2022-09-21,7.0,7.0,7.0,7.0,500,3,0,0,3,0,0
26,SNSY3,2022-09-23,7.57,7.57,7.39,7.39,500,3,0,0,3,0,0
27,SNSY3,2022-09-30,6.9,7.59,6.9,7.59,900,5,0,1,6,0,0
28,SNSY3,2022-10-04,7.65,7.65,7.0,7.0,1600,3,0,3,6,0,0
29,SNSY3,2022-10-05,7.0,7.0,7.0,7.0,100,0,0,1,1,0,0
30,SNSY3,2022-10-13,7.0,7.0,7.0,7.0,100,1,0,0,1,0,0
31,SNSY3,2022-10-17,6.4,6.99,6.32,6.99,300,2,1,0,3,0,0
32,SNSY3,2022-10-18,6.99,6.99,6.99,6.99,100,0,0,1,1,0,0
33,SNSY3,2022-10-26,6.58,6.99,6.58,6.99,300,3,0,0,3,0,0
34,SNSY3,2022-11-03,6.01,6.5,5.99,6.11,18500,27,0,48,75,0,0
35,SNSY3,2022-11-04,6.12,6.12,5.6,5.68,2500,9,0,9,18,0,0
36,SNSY3,2022-11-07,5.61,5.61,5.6,5.6,400,1,0,1,2,0,0
37,SNSY3,2022-11-08,5.52,5.52,5.17,5.17,1100,2,0,5,7,0,0
38,SNSY3,2022-11-09,5.11,5.5,5.11,5.5,400,1,0,2,3,0,0
39,SNSY3,2022-11-10,5.5,5.5,5.39,5.39,700,2,0,0,2,0,0
40,SNSY3,2022-11-22,4.52,4.52,4.45,4.45,300,2,0,1,3,0,0
41,SNSY3,2022-11-23,4.1,4.5,4.1,4.5,800,2,0,3,5,0,0
42,SNSY3,2022-11-24,4.5,5.53,4.5,4.82,2400,8,1,3,12,0,0
43,SNSY3,2022-11-25,5.0,5.36,4.55,4.88,4200,9,0,12,21,0,0
44,SNSY3,2022-11-29,5.34,5.4,5.24,5.39,1400,5,0,3,8,0,0
45,SNSY3,2022-12-01,5.77,5.77,5.77,5.77,100,1,0,0,1,0,0
46,SNSY3,2022-12-12,4.83,4.97,4.76,4.97,1600,6,0,6,12,0,0
47,SNSY3,2022-12-13,4.94,4.94,4.35,4.35,2500,8,2,10,20,0,0
48,SNSY3,2022-12-15,4.0,4.49,4.0,4.49,600,5,0,1,6,0,0
49,SNSY3,2022-12-16,4.79,4.79,4.5,4.5,200,2,0,0,2,0,0
50,SNSY3,2022-12-19,4.81,4.81,4.81,4.81,200,0,0,1,1,0,0
51,SNSY3,2022-12-20,4.7,4.7,4.69,4.69,500,3,0,0,3,0,0
52,SNSY3,2022-12-21,4.9,4.9,4.9,4.9,100,1,0,0,1,0,0
53,SNSY3,2022-12-23,4.0,4.0,4.0,4.0,100,1,0,0,1,0,0
54,SNSY3,2022-12-26,4.02,4.21,3.63,4.01,500,2,0,3,5,0,0
55,SNSY3,2022-12-27,4.58,4.58,4.49,4.49,200,1,0,1,2,0,0
56,SNSY3,2022-12-28,4.39,4.39,4.39,4.39,100,1,0,0,1,0,0
57,SNSY3,2022-12-29,4.4,4.4,4.02,4.39,400,2,1,1,4,0,0
58,SNSY3,2023-01-05,4.15,4.45,4.12,4.45,600,4,0,0,4,0,0
59,SNSY3,2023-01-11,4.6,4.6,4.6,4.6,100,1,0,0,1,0,0
60,SNSY3,2023-01-12,4.9,4.9,4.6,4.9,500,2,0,0,2,0,0
61,SNSY3,2023-01-13,4.22,4.49,4.06,4.06,4600,9,0,22,31,0,0
62,SNSY3,2023-01-17,4.29,4.29,3.83,3.83,900,1,0,4,5,0,0
63,SNSY3,2023-01-18,3.99,3.99,3.98,3.99,300,2,0,0,2,0,0
64,SNSY3,2023-01-23,3.7,4.0,3.7,3.75,1600,1,0,4,5,0,0
65,SNSY3,2023-01-25,3.65,3.79,3.65,3.79,800,1,0,1,2,0,0
66,SNSY3,2023-01-30,3.86,3.87,3.8,3.8,1000,5,0,1,6,0,0
67,SNSY3,2023-02-01,3.52,3.68,3.52,3.68,2700,4,0,8,12,0,0
68,SNSY3,2023-02-02,3.85,3.85,3.85,3.85,100,0,1,0,1,0,0
