,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SOJA3,2022-06-06,13.25,13.28,12.91,13.01,158500,431,33,471,935,0,0
1,SOJA3,2022-06-07,12.99,13.3,12.81,13.25,251800,506,91,698,1295,0,0
2,SOJA3,2022-06-08,13.19,13.21,12.95,12.95,134600,379,23,445,847,0,0
3,SOJA3,2022-06-09,12.97,13.03,12.79,12.89,195100,606,31,621,1258,0,0
4,SOJA3,2022-06-10,12.8,12.82,12.51,12.67,207100,489,68,477,1034,0,0
5,SOJA3,2022-06-13,12.5,12.61,12.26,12.39,284700,655,38,782,1475,0,0
6,SOJA3,2022-06-14,12.59,12.6,12.16,12.27,146500,572,26,409,1007,0,0
7,SOJA3,2022-06-15,12.39,12.48,12.23,12.37,131100,464,26,344,834,0,0
8,SOJA3,2022-06-17,12.26,12.46,12.13,12.3,225400,770,24,833,1627,0,0
9,SOJA3,2022-06-20,12.25,12.35,11.97,12.17,278800,464,238,564,1063,203,0
10,SOJA3,2022-06-21,12.19,12.3,11.78,11.97,280700,834,19,909,1762,0,0
11,SOJA3,2022-06-22,11.94,12.2,11.8,11.8,215800,677,41,442,1160,0,0
12,SOJA3,2022-06-23,11.96,11.97,11.59,11.65,537000,1364,61,974,2399,0,0
13,SOJA3,2022-06-24,11.67,11.79,11.3,11.39,309200,862,45,1223,2130,0,0
14,SOJA3,2022-06-27,11.43,11.5,11.15,11.37,296600,769,43,595,1407,0,0
15,SOJA3,2022-06-28,11.42,11.43,11.03,11.09,199600,530,30,551,1111,0,0
16,SOJA3,2022-06-29,11.14,11.14,10.76,10.93,326700,752,40,1000,1792,0,0
17,SOJA3,2022-06-30,10.9,10.9,10.47,10.51,328200,698,58,961,1717,0,0
18,SOJA3,2022-07-01,10.62,10.88,10.42,10.69,206500,451,35,441,927,0,0
19,SOJA3,2022-07-04,10.8,11.19,10.68,11.1,158400,522,42,316,879,1,0
20,SOJA3,2022-07-05,11.09,11.09,10.83,10.83,210900,549,25,736,1310,0,0
21,SOJA3,2022-07-06,10.87,11.13,10.74,10.95,189600,553,25,412,990,0,0
22,SOJA3,2022-07-07,11.11,11.26,10.9,10.93,143300,366,34,342,741,1,0
23,SOJA3,2022-07-08,10.81,10.99,10.71,10.81,116300,281,33,367,681,0,0
24,SOJA3,2022-07-11,10.7,10.79,10.59,10.65,123800,339,29,378,746,0,0
25,SOJA3,2022-07-12,10.67,10.67,10.32,10.47,225700,598,47,611,1255,1,0
26,SOJA3,2022-07-13,10.31,10.62,10.29,10.3,175100,664,26,443,1133,0,0
27,SOJA3,2022-07-14,10.1,10.31,10.05,10.27,202900,380,37,294,711,0,0
28,SOJA3,2022-07-15,10.28,10.33,10.14,10.18,103900,298,15,290,603,0,0
29,SOJA3,2022-07-18,10.33,10.5,10.21,10.26,146700,349,34,334,716,1,0
30,SOJA3,2022-07-19,10.23,10.44,10.21,10.38,151100,518,43,468,1029,0,0
31,SOJA3,2022-07-20,10.39,10.68,10.37,10.68,291600,307,31,347,685,0,0
32,SOJA3,2022-07-21,10.54,10.69,10.54,10.62,89100,215,18,250,483,0,0
33,SOJA3,2022-07-22,10.62,10.78,10.6,10.74,110900,278,13,431,722,0,0
34,SOJA3,2022-07-25,10.61,10.94,10.61,10.94,65500,203,32,168,403,0,0
35,SOJA3,2022-07-26,10.88,10.98,10.54,10.57,159200,378,43,439,860,0,0
36,SOJA3,2022-07-27,10.55,10.92,10.54,10.9,153000,530,19,467,1016,0,0
37,SOJA3,2022-07-28,10.73,11.04,10.73,10.89,123100,331,18,345,694,0,0
38,SOJA3,2022-07-29,10.95,10.97,10.72,10.78,134000,394,62,299,755,0,0
