,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SQIA3,2022-06-06,19.25,19.35,18.71,19.12,525200,1387,42,1437,2866,0,0
1,SQIA3,2022-06-07,18.9,18.99,18.48,18.5,1216300,3145,59,2833,6035,2,0
2,SQIA3,2022-06-08,18.49,18.49,17.87,18.08,1440900,4674,64,2692,7428,2,0
3,SQIA3,2022-06-09,18.14,18.3,17.62,17.62,968200,2066,49,2576,4690,1,0
4,SQIA3,2022-06-10,17.51,17.63,16.91,17.05,1420000,4130,51,4149,8329,1,0
5,SQIA3,2022-06-13,16.47,16.7,16.03,16.32,961300,3299,87,2277,5663,0,0
6,SQIA3,2022-06-14,16.22,16.7,15.74,16.64,1237500,2996,45,2453,5494,0,0
7,SQIA3,2022-06-15,16.89,16.98,16.27,16.45,1274200,3389,136,2065,5518,72,0
8,SQIA3,2022-06-17,16.21,17.28,16.12,16.87,1379600,3541,137,2768,6368,78,0
9,SQIA3,2022-06-20,16.83,17.46,16.45,16.54,1364100,2572,101,3251,5879,45,0
10,SQIA3,2022-06-21,16.75,16.99,16.41,16.5,731300,1726,92,1839,3607,50,0
11,SQIA3,2022-06-22,16.43,16.96,16.32,16.48,1201500,2246,35,2424,4704,1,0
12,SQIA3,2022-06-23,16.54,17.27,16.46,17.24,629800,1556,34,1214,2804,0,0
13,SQIA3,2022-06-24,17.23,17.43,16.57,16.62,593500,1210,40,1863,3113,0,0
14,SQIA3,2022-06-27,16.84,16.93,16.35,16.81,587100,1134,40,1610,2784,0,0
15,SQIA3,2022-06-28,16.99,17.05,16.15,16.25,473300,857,47,1570,2474,0,0
16,SQIA3,2022-06-29,16.38,16.38,15.91,16.0,592600,1098,33,1552,2683,0,0
17,SQIA3,2022-06-30,15.86,16.1,15.6,15.9,822700,1309,65,2014,3388,0,0
18,SQIA3,2022-07-01,15.89,16.5,15.74,16.38,825100,1651,52,2395,4098,0,0
19,SQIA3,2022-07-04,16.41,16.55,15.89,15.92,487400,937,54,1279,2270,0,0
20,SQIA3,2022-07-05,15.8,16.24,15.51,16.24,483600,1198,54,1662,2914,0,0
21,SQIA3,2022-07-06,16.08,17.02,16.08,16.72,701400,1842,38,1866,3746,0,0
22,SQIA3,2022-07-07,16.97,17.2,16.79,16.93,715800,1472,59,1453,2984,0,0
23,SQIA3,2022-07-08,16.95,17.3,16.75,16.8,451500,1121,55,954,2130,0,0
24,SQIA3,2022-07-11,16.65,17.12,16.05,16.05,644700,1296,37,1623,2956,0,0
25,SQIA3,2022-07-12,16.0,16.16,15.7,15.81,565800,1298,31,1488,2817,0,0
26,SQIA3,2022-07-13,15.78,16.43,15.73,16.1,350800,904,40,1196,2140,0,0
27,SQIA3,2022-07-14,16.01,16.17,15.85,16.02,372500,952,39,1088,2078,1,0
28,SQIA3,2022-07-15,16.12,16.49,15.91,16.19,342400,782,37,1147,1966,0,0
29,SQIA3,2022-07-18,16.29,16.44,15.45,15.45,595800,1286,43,1387,2716,0,0
30,SQIA3,2022-07-19,15.61,16.08,15.39,15.93,431500,1214,38,1220,2472,0,0
31,SQIA3,2022-07-20,15.92,16.89,15.86,16.79,534200,1306,34,1335,2675,0,0
32,SQIA3,2022-07-21,16.79,16.95,16.68,16.93,369300,955,26,1103,2084,0,0
33,SQIA3,2022-07-22,16.89,16.95,16.49,16.75,471200,1303,30,1753,3086,0,0
34,SQIA3,2022-07-25,16.89,17.1,16.64,16.7,348400,864,26,1073,1963,0,0
35,SQIA3,2022-07-26,16.71,16.85,16.28,16.44,271800,512,29,868,1408,1,0
36,SQIA3,2022-07-27,16.44,17.5,16.44,17.29,506400,1019,34,981,2034,0,0
37,SQIA3,2022-07-28,17.28,17.49,16.98,17.13,480400,1322,40,1143,2504,1,0
38,SQIA3,2022-07-29,17.08,17.44,17.0,17.25,506700,1167,33,1374,2574,0,0
