,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SULA3,2022-06-06,8.71,8.71,8.46,8.46,1900,5,0,11,16,0,0
1,SULA3,2022-06-07,8.39,8.69,8.12,8.34,1800,4,0,10,14,0,0
2,SULA3,2022-06-08,8.1,8.68,8.1,8.42,3200,17,0,13,30,0,0
3,SULA3,2022-06-09,8.42,8.76,8.42,8.76,1200,9,0,2,11,0,0
4,SULA3,2022-06-10,8.36,8.62,8.36,8.37,2100,5,0,8,13,0,0
5,SULA3,2022-06-13,8.49,8.5,8.0,8.25,3200,4,0,11,15,0,0
6,SULA3,2022-06-14,8.25,8.25,7.81,8.14,2100,9,0,12,21,0,0
7,SULA3,2022-06-15,8.5,8.5,8.03,8.21,2500,9,0,11,20,0,0
8,SULA3,2022-06-17,7.9,7.9,7.65,7.66,6500,14,0,34,48,0,0
9,SULA3,2022-06-20,7.65,7.69,7.35,7.45,5100,12,0,30,42,0,0
10,SULA3,2022-06-21,7.45,8.0,7.45,7.76,5400,28,0,12,40,0,0
11,SULA3,2022-06-22,7.65,7.69,7.42,7.5,4000,14,0,16,30,0,0
12,SULA3,2022-06-23,7.59,7.84,7.34,7.34,8000,22,0,33,55,0,0
13,SULA3,2022-06-24,7.49,7.56,7.35,7.51,5600,16,0,11,27,0,0
14,SULA3,2022-06-27,7.81,7.81,7.45,7.45,2400,13,0,7,20,0,0
15,SULA3,2022-06-28,7.4,7.42,7.16,7.2,4200,6,1,32,39,0,0
16,SULA3,2022-06-29,7.2,7.64,7.2,7.31,3700,22,0,11,33,0,0
17,SULA3,2022-06-30,7.4,7.89,7.07,7.37,6100,36,1,13,50,0,0
18,SULA3,2022-07-01,7.37,7.37,7.03,7.32,4700,15,2,27,44,0,0
19,SULA3,2022-07-04,7.32,7.7,7.32,7.4,9400,28,0,33,61,0,0
20,SULA3,2022-07-05,7.17,7.42,7.08,7.42,3000,12,0,13,25,0,0
21,SULA3,2022-07-06,7.26,7.81,7.26,7.45,6200,40,0,17,57,0,0
22,SULA3,2022-07-07,7.45,7.67,7.45,7.6,3100,28,0,3,31,0,0
