,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SUZB3,2022-06-06,53.05,53.68,52.96,53.28,2040100,4080,199,4681,8960,0,0
1,SUZB3,2022-06-07,53.6,54.69,53.6,54.41,3976000,7826,236,7587,15648,1,0
2,SUZB3,2022-06-08,54.28,54.29,52.15,52.73,3833500,9662,331,7306,17295,4,0
3,SUZB3,2022-06-09,52.55,52.65,51.52,51.74,3749800,10992,249,6315,17555,1,0
4,SUZB3,2022-06-10,51.93,51.93,50.75,51.53,4504200,9664,264,6094,15971,51,0
5,SUZB3,2022-06-13,51.17,52.28,50.72,51.93,6256300,9800,343,11103,21242,4,0
6,SUZB3,2022-06-14,51.9,51.92,49.94,50.51,7753500,12016,314,11391,23719,2,0
7,SUZB3,2022-06-15,51.01,51.46,50.0,50.23,8162000,11110,425,11582,23034,83,0
8,SUZB3,2022-06-17,49.56,50.5,48.06,48.65,19818800,18639,579,28908,47974,152,0
9,SUZB3,2022-06-20,49.19,49.71,48.51,48.94,2415400,6164,278,5877,12279,40,0
10,SUZB3,2022-06-21,48.91,49.75,48.6,48.63,4604000,9617,254,8458,18279,50,0
11,SUZB3,2022-06-22,48.26,48.26,46.38,47.0,6648400,13362,318,9962,23602,40,0
12,SUZB3,2022-06-23,47.11,47.6,44.91,45.47,10660300,20844,367,14924,36094,41,0
13,SUZB3,2022-06-24,47.22,48.17,46.73,48.05,12651600,20434,456,18992,39874,8,0
14,SUZB3,2022-06-27,48.0,49.99,48.0,48.9,5033000,9659,177,9968,19803,1,0
15,SUZB3,2022-06-28,49.36,50.41,49.21,49.6,5703600,11277,313,12606,24193,3,0
16,SUZB3,2022-06-29,49.54,49.91,48.4,48.95,4590200,9704,261,11200,21113,52,0
17,SUZB3,2022-06-30,47.99,50.77,47.95,49.5,8993300,19926,383,15685,35992,2,0
18,SUZB3,2022-07-01,49.71,50.8,49.26,50.65,5992400,10450,360,10525,21332,3,0
