,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,SYNE3,2022-06-06,5.58,5.58,5.12,5.14,653900,1242,50,1714,3005,1,0
1,SYNE3,2022-06-07,5.17,5.17,4.93,4.99,903500,1145,40,3940,5125,0,0
2,SYNE3,2022-06-08,4.93,4.97,4.81,4.89,640400,794,34,982,1809,1,0
3,SYNE3,2022-06-09,4.89,4.9,4.75,4.78,480100,736,52,989,1777,0,0
4,SYNE3,2022-06-10,4.72,4.72,4.62,4.64,460800,1048,15,1134,2197,0,0
5,SYNE3,2022-06-13,4.64,4.64,4.36,4.42,677100,1293,25,1311,2629,0,0
6,SYNE3,2022-06-14,4.43,4.44,4.19,4.28,564200,1101,28,1384,2513,0,0
7,SYNE3,2022-06-15,4.27,4.32,4.17,4.26,567000,1071,27,1369,2467,0,0
8,SYNE3,2022-06-17,4.2,4.25,4.1,4.23,466300,1123,29,1011,2163,0,0
9,SYNE3,2022-06-20,4.23,4.33,4.11,4.17,375000,598,16,998,1612,0,0
10,SYNE3,2022-06-21,4.16,4.22,4.04,4.09,646000,869,18,1693,2580,0,0
11,SYNE3,2022-06-22,4.09,4.17,4.0,4.11,495200,1015,20,1173,2208,0,0
12,SYNE3,2022-06-23,4.14,4.24,4.11,4.19,477400,1495,25,812,2332,0,0
13,SYNE3,2022-06-24,4.23,4.32,4.17,4.21,346100,976,28,814,1818,0,0
14,SYNE3,2022-06-27,4.25,4.25,4.11,4.14,375100,875,33,758,1666,0,0
15,SYNE3,2022-06-28,4.13,4.22,4.0,4.08,690100,914,25,1501,2440,0,0
16,SYNE3,2022-06-29,4.12,4.15,4.04,4.06,281800,429,18,688,1135,0,0
17,SYNE3,2022-06-30,4.07,4.14,3.98,4.09,710200,1961,25,1114,3100,0,0
18,SYNE3,2022-07-01,4.13,4.18,4.05,4.12,430200,888,18,992,1898,0,0
19,SYNE3,2022-07-04,4.15,4.24,4.1,4.11,353300,525,23,601,1149,0,0
20,SYNE3,2022-07-05,4.09,4.14,4.05,4.14,394500,857,27,731,1615,0,0
21,SYNE3,2022-07-06,4.15,4.25,4.12,4.17,426200,929,29,785,1743,0,0
22,SYNE3,2022-07-07,4.22,4.33,4.16,4.18,536100,1158,19,2075,3252,0,0
23,SYNE3,2022-07-08,4.18,4.2,4.08,4.1,261100,593,20,708,1321,0,0
24,SYNE3,2022-07-11,4.1,4.14,4.02,4.07,415200,633,25,628,1286,0,0
25,SYNE3,2022-07-12,4.07,4.25,4.05,4.22,527200,1027,18,775,1820,0,0
26,SYNE3,2022-07-13,4.21,4.3,4.21,4.26,312200,1170,16,679,1865,0,0
27,SYNE3,2022-07-14,4.23,4.26,4.13,4.16,389000,1014,18,791,1823,0,0
28,SYNE3,2022-07-15,4.16,4.18,4.06,4.15,326000,513,30,681,1224,0,0
29,SYNE3,2022-07-18,4.13,4.21,4.02,4.03,360700,510,20,885,1415,0,0
30,SYNE3,2022-07-19,4.12,4.13,4.03,4.11,308600,596,27,456,1079,0,0
31,SYNE3,2022-07-20,4.09,4.22,4.09,4.16,516000,735,31,592,1358,0,0
32,SYNE3,2022-07-21,4.16,4.2,4.1,4.12,305000,586,27,658,1271,0,0
33,SYNE3,2022-07-22,4.1,4.16,4.05,4.1,484600,619,20,636,1275,0,0
34,SYNE3,2022-07-25,4.1,4.11,4.04,4.09,449700,710,23,718,1451,0,0
35,SYNE3,2022-07-26,4.07,4.11,3.96,4.0,1064300,830,34,1170,2034,0,0
36,SYNE3,2022-07-27,3.99,4.07,3.95,4.02,878200,978,22,795,1795,0,0
37,SYNE3,2022-07-28,4.08,4.15,4.01,4.07,484600,850,22,685,1557,0,0
38,SYNE3,2022-07-29,4.14,4.14,4.04,4.13,688800,825,15,805,1644,1,0
39,SYNE3,2022-08-01,4.12,4.23,4.07,4.14,599300,1550,35,922,2507,0,0
40,SYNE3,2022-08-02,4.16,4.22,4.09,4.1,340700,484,24,882,1390,0,0
41,SYNE3,2022-08-03,4.14,4.2,4.1,4.2,316300,586,21,580,1186,1,0
42,SYNE3,2022-08-08,4.49,4.5,4.39,4.41,428900,755,28,791,1574,0,0
43,SYNE3,2022-08-09,4.41,4.47,4.36,4.45,294600,661,12,686,1359,0,0
44,SYNE3,2022-08-10,4.37,4.4,4.13,4.36,1280800,1664,34,1676,3374,0,0
45,SYNE3,2022-08-12,4.37,4.41,4.33,4.37,327300,746,21,573,1340,0,0
46,SYNE3,2022-08-15,4.39,4.79,4.36,4.64,1125200,2108,24,1525,3657,0,0
47,SYNE3,2022-08-16,4.7,4.76,4.56,4.73,545900,1515,23,1150,2688,0,0
48,SYNE3,2022-08-17,4.73,4.81,4.67,4.75,347400,622,15,843,1480,0,0
49,SYNE3,2022-08-18,4.8,4.8,4.57,4.62,349900,503,17,955,1475,0,0
50,SYNE3,2022-08-19,4.62,4.65,4.45,4.49,367900,690,18,919,1627,0,0
51,SYNE3,2022-08-22,4.49,4.49,4.3,4.36,420300,480,17,832,1329,0,0
52,SYNE3,2022-08-23,4.6,4.64,4.39,4.46,349200,528,69,496,1093,0,0
53,SYNE3,2022-08-24,4.46,4.5,4.43,4.5,253100,531,17,491,1039,0,0
54,SYNE3,2022-08-25,4.5,4.8,4.49,4.73,660600,1034,21,734,1789,0,0
55,SYNE3,2022-08-26,4.78,4.78,4.54,4.59,322200,607,22,626,1255,0,0
56,SYNE3,2022-08-29,4.59,4.64,4.49,4.5,267400,575,25,722,1322,0,0
57,SYNE3,2022-08-30,4.56,4.61,4.45,4.48,336500,673,20,723,1416,0,0
58,SYNE3,2022-08-31,4.55,4.59,4.45,4.54,333700,608,25,724,1357,0,0
59,SYNE3,2022-09-01,4.55,4.64,4.39,4.56,485000,851,29,882,1762,0,0
60,SYNE3,2022-09-02,4.58,4.65,4.49,4.55,389800,722,69,667,1458,0,0
61,SYNE3,2022-09-05,4.6,4.64,4.58,4.58,242200,420,0,442,862,0,0
62,SYNE3,2022-09-06,4.6,4.61,4.46,4.49,406800,661,16,814,1491,0,0
63,SYNE3,2022-09-08,4.52,4.57,4.45,4.53,292300,947,19,497,1463,0,0
64,SYNE3,2022-09-09,4.55,4.86,4.55,4.82,702400,1800,18,713,2531,0,0
65,SYNE3,2022-09-12,4.91,5.05,4.86,4.96,500400,1096,26,711,1833,0,0
66,SYNE3,2022-09-13,4.83,5.06,4.82,4.94,363700,763,15,1003,1781,0,0
67,SYNE3,2022-09-15,4.83,4.92,4.76,4.87,366900,1001,16,710,1727,0,0
68,SYNE3,2022-09-16,4.86,5.05,4.8,4.95,674600,1292,14,1029,2335,0,0
69,SYNE3,2022-09-19,4.95,5.07,4.89,5.0,339800,640,28,503,1171,0,0
70,SYNE3,2022-09-20,5.01,5.03,4.88,5.0,279500,416,39,741,1196,0,0
71,SYNE3,2022-09-21,4.96,4.99,4.82,4.93,420000,626,20,1234,1880,0,0
72,SYNE3,2022-09-22,4.95,4.97,4.81,4.84,453300,599,15,719,1333,0,0
73,SYNE3,2022-09-23,4.9,4.98,4.87,4.89,339400,551,20,738,1309,0,0
74,SYNE3,2022-09-27,4.94,4.98,4.72,4.74,336600,414,20,696,1130,0,0
75,SYNE3,2022-09-28,4.75,4.82,4.67,4.7,257400,387,28,464,879,0,0
76,SYNE3,2022-09-29,4.71,4.79,4.54,4.76,515300,585,29,691,1304,1,0
77,SYNE3,2022-09-30,4.75,4.89,4.73,4.82,466200,674,23,528,1225,0,0
78,SYNE3,2022-10-03,4.9,5.02,4.84,4.91,1007900,1564,33,1036,2633,0,0
79,SYNE3,2022-10-04,4.97,5.05,4.91,4.97,426300,722,25,587,1334,0,0
80,SYNE3,2022-10-05,4.97,5.3,4.89,5.24,559100,932,21,691,1644,0,0
81,SYNE3,2022-10-06,5.25,5.42,5.24,5.32,291200,634,21,463,1118,0,0
82,SYNE3,2022-10-07,5.36,5.53,5.35,5.5,402700,993,21,696,1710,0,0
83,SYNE3,2022-10-10,5.45,5.48,5.16,5.25,412400,761,27,858,1646,0,0
84,SYNE3,2022-10-11,5.24,5.29,5.15,5.16,260000,412,16,637,1065,0,0
85,SYNE3,2022-10-13,5.17,5.27,5.1,5.17,263400,592,27,575,1194,0,0
86,SYNE3,2022-10-14,5.16,5.29,5.15,5.22,421300,788,14,924,1726,0,0
87,SYNE3,2022-10-17,5.22,5.33,5.2,5.25,308800,729,16,686,1431,0,0
88,SYNE3,2022-10-18,5.28,5.33,5.19,5.22,318700,617,19,825,1461,0,0
89,SYNE3,2022-10-19,5.21,5.25,5.08,5.16,578600,1178,36,1562,2776,0,0
90,SYNE3,2022-10-20,5.26,5.29,4.99,5.05,1365800,736,162,1045,1943,0,0
91,SYNE3,2022-10-21,4.99,5.33,4.94,5.28,538100,871,56,712,1639,0,0
92,SYNE3,2022-10-24,5.2,5.25,4.95,4.99,488900,683,38,875,1596,0,0
93,SYNE3,2022-10-25,4.98,4.98,4.84,4.89,448200,610,48,961,1619,0,0
94,SYNE3,2022-10-26,4.88,4.95,4.81,4.84,192200,418,17,556,991,0,0
95,SYNE3,2022-10-27,4.9,4.91,4.78,4.84,393400,1136,47,870,2053,0,0
96,SYNE3,2022-10-28,4.83,4.93,4.78,4.91,338000,794,17,754,1565,0,0
97,SYNE3,2022-10-31,4.8,5.12,4.79,5.07,563400,1279,23,706,2008,0,0
98,SYNE3,2022-11-01,5.11,5.39,5.11,5.27,705900,1298,50,1012,2360,0,0
99,SYNE3,2022-11-03,5.25,5.4,5.16,5.24,454800,1199,38,833,2070,0,0
100,SYNE3,2022-11-04,5.27,5.39,5.22,5.29,353700,823,39,733,1595,0,0
101,SYNE3,2022-11-07,5.37,5.37,5.06,5.12,292900,406,24,842,1272,0,0
102,SYNE3,2022-11-08,5.12,5.12,4.99,5.11,254300,435,23,548,1006,0,0
103,SYNE3,2022-11-09,5.15,5.19,5.0,5.02,295000,645,20,609,1274,0,0
104,SYNE3,2022-11-10,5.01,5.02,4.67,4.84,607700,840,17,1521,2378,0,0
105,SYNE3,2022-11-14,4.9,5.03,4.83,5.02,362000,753,21,602,1376,0,0
106,SYNE3,2022-11-17,4.51,4.55,4.36,4.49,477300,668,19,738,1425,0,0
107,SYNE3,2022-11-18,4.51,4.74,4.48,4.5,368400,766,14,1146,1926,0,0
108,SYNE3,2022-11-21,4.53,4.67,4.44,4.59,265400,636,10,531,1177,0,0
109,SYNE3,2022-11-22,4.6,4.63,4.54,4.6,203500,274,10,594,878,0,0
110,SYNE3,2022-11-23,4.53,4.54,4.41,4.48,310200,496,14,675,1185,0,0
111,SYNE3,2022-11-24,4.55,4.68,4.45,4.57,288100,558,29,451,1037,1,0
112,SYNE3,2022-11-25,4.57,4.64,4.5,4.54,239300,277,4,619,900,0,0
113,SYNE3,2022-11-28,4.54,4.54,4.44,4.44,196600,345,0,398,743,0,0
114,SYNE3,2022-11-29,4.45,4.62,4.41,4.58,303200,633,16,547,1196,0,0
115,SYNE3,2022-11-30,4.58,4.59,4.35,4.44,356100,409,13,653,1075,0,0
116,SYNE3,2022-12-01,4.48,4.49,4.4,4.47,432600,765,16,793,1574,0,0
117,SYNE3,2022-12-02,4.5,4.52,4.41,4.47,153700,324,13,322,659,0,0
118,SYNE3,2022-12-05,4.49,4.49,4.38,4.47,248800,408,23,489,920,0,0
119,SYNE3,2022-12-06,4.47,4.47,4.39,4.4,170800,324,19,419,762,0,0
120,SYNE3,2022-12-07,4.4,4.46,4.28,4.3,260200,477,25,613,1115,0,0
121,SYNE3,2022-12-08,4.3,4.3,4.08,4.16,281700,457,19,775,1251,0,0
122,SYNE3,2022-12-09,4.2,4.58,4.16,4.58,209100,524,34,459,1017,0,0
123,SYNE3,2022-12-12,4.55,4.55,4.13,4.28,412100,660,19,709,1388,0,0
124,SYNE3,2022-12-13,4.25,4.27,4.06,4.15,341700,608,39,781,1428,0,0
125,SYNE3,2022-12-14,4.14,4.16,4.0,4.1,519400,844,30,909,1783,0,0
126,SYNE3,2022-12-15,4.09,4.2,4.02,4.03,262600,521,22,718,1261,0,0
127,SYNE3,2022-12-16,4.06,4.08,3.98,4.02,306200,511,41,588,1140,0,0
128,SYNE3,2022-12-19,4.02,4.08,3.98,3.98,244900,560,25,528,1113,0,0
129,SYNE3,2022-12-20,4.03,4.2,3.98,4.06,221600,667,13,442,1122,0,0
130,SYNE3,2022-12-21,4.06,4.13,3.98,4.05,388000,690,18,1086,1794,0,0
131,SYNE3,2022-12-22,4.1,4.1,3.96,4.03,291400,375,20,947,1342,0,0
132,SYNE3,2022-12-23,4.03,4.15,3.98,4.02,788200,814,21,3621,4456,0,0
133,SYNE3,2022-12-26,4.02,4.06,3.91,4.0,241500,482,17,577,1076,0,0
134,SYNE3,2022-12-27,4.01,4.04,3.88,3.92,426200,438,17,1412,1867,0,0
135,SYNE3,2022-12-28,3.92,4.07,3.86,4.04,562300,662,19,1305,1986,0,0
136,SYNE3,2022-12-29,4.08,4.18,4.02,4.15,490800,626,51,551,1228,0,0
137,SYNE3,2023-01-02,4.13,4.13,4.0,4.06,857000,354,16,488,858,0,0
138,SYNE3,2023-01-03,4.06,4.08,3.96,4.01,380000,563,20,1343,1926,0,0
139,SYNE3,2023-01-04,4.01,4.03,3.92,4.0,358000,454,26,797,1277,0,0
140,SYNE3,2023-01-05,4.09,4.09,3.95,4.01,411900,619,39,683,1340,1,0
141,SYNE3,2023-01-06,4.01,4.11,3.98,4.02,295100,448,20,572,1040,0,0
142,SYNE3,2023-01-09,4.0,4.1,3.93,4.03,438900,725,24,1471,2220,0,0
143,SYNE3,2023-01-10,4.03,4.25,3.99,4.2,393600,947,20,672,1639,0,0
144,SYNE3,2023-01-11,4.25,4.27,4.17,4.22,248500,676,25,747,1448,0,0
145,SYNE3,2023-01-12,4.21,4.26,4.11,4.11,271900,542,22,860,1424,0,0
146,SYNE3,2023-01-13,4.12,4.12,4.0,4.0,228300,375,32,706,1113,0,0
147,SYNE3,2023-01-16,4.0,4.08,3.98,4.04,355500,1005,20,739,1764,0,0
148,SYNE3,2023-01-17,4.1,4.15,4.0,4.0,552300,1599,22,1102,2723,0,0
149,SYNE3,2023-01-18,4.06,4.07,3.98,3.98,241200,397,31,533,961,0,0
150,SYNE3,2023-01-19,3.98,4.07,3.97,3.99,431600,482,24,604,1108,2,0
151,SYNE3,2023-01-20,3.99,4.02,3.96,4.02,272400,490,22,390,902,0,0
152,SYNE3,2023-01-23,4.02,4.29,4.01,4.23,660800,944,26,873,1842,1,0
153,SYNE3,2023-01-24,4.25,4.26,4.11,4.14,300500,447,22,904,1373,0,0
154,SYNE3,2023-01-25,4.19,4.25,4.05,4.19,428500,667,24,574,1265,0,0
155,SYNE3,2023-01-26,4.19,4.24,4.12,4.15,272000,573,13,373,959,0,0
156,SYNE3,2023-01-30,4.1,4.14,4.04,4.06,133200,290,10,324,624,0,0
157,SYNE3,2023-01-31,4.08,4.25,4.04,4.21,402400,638,24,428,1089,1,0
158,SYNE3,2023-02-01,4.18,4.23,4.07,4.11,248100,522,28,563,1113,0,0
159,SYNE3,2023-02-02,4.11,4.24,4.11,4.13,226200,527,26,378,931,0,0
160,SYNE3,2023-02-03,4.13,4.2,4.1,4.1,234300,381,23,474,878,0,0
161,SYNE3,2023-02-06,4.1,4.13,4.04,4.05,299900,488,37,480,1005,0,0
162,SYNE3,2023-02-07,4.07,4.1,4.0,4.0,323800,538,25,437,1000,0,0
163,SYNE3,2023-02-08,4.1,4.1,4.0,4.01,303700,459,21,513,993,0,0
164,SYNE3,2023-02-09,4.02,4.07,3.95,3.98,265000,319,20,601,940,0,0
165,SYNE3,2023-02-10,4.04,4.04,3.96,4.04,240300,450,25,542,1017,0,0
166,SYNE3,2023-02-13,4.04,4.04,3.95,3.96,224600,473,23,439,935,0,0
167,SYNE3,2023-02-14,4.0,4.05,3.95,4.02,376900,503,16,354,873,0,0
168,SYNE3,2023-02-15,4.0,4.16,3.98,4.16,340200,704,18,636,1358,0,0
169,SYNE3,2023-02-16,4.08,4.19,4.03,4.08,177600,358,15,356,729,0,0
170,SYNE3,2023-02-17,4.04,4.08,4.0,4.0,120800,221,18,373,612,0,0
171,SYNE3,2023-02-20,4.04,4.08,4.0,4.0,120800,221,18,373,612,0,0
172,SYNE3,2023-02-21,4.04,4.08,4.0,4.0,120800,221,18,373,612,0,0
173,SYNE3,2023-02-22,4.01,4.02,3.9,3.9,369800,481,27,571,1079,0,0
174,SYNE3,2023-02-23,3.9,4.19,3.9,4.15,611900,675,19,571,1265,0,0
175,SYNE3,2023-02-24,4.15,4.22,4.09,4.09,409600,482,19,455,956,0,0
176,SYNE3,2023-02-27,4.09,4.14,4.01,4.01,342000,444,22,435,901,0,0
177,SYNE3,2023-02-28,4.0,4.1,3.95,3.99,416700,667,18,521,1206,0,0
178,SYNE3,2023-03-01,4.0,4.03,3.88,3.98,379400,439,31,498,968,0,0
179,SYNE3,2023-03-02,3.98,3.98,3.9,3.91,274100,619,24,449,1092,0,0
180,SYNE3,2023-03-03,3.91,3.96,3.9,3.9,114700,361,0,306,667,0,0
181,SYNE3,2023-03-06,3.9,4.05,3.9,4.04,273300,422,16,282,720,0,0
182,SYNE3,2023-03-07,4.04,4.08,3.99,4.05,161900,322,14,430,766,0,0
183,SYNE3,2023-03-08,4.05,4.14,4.03,4.1,286100,660,16,577,1253,0,0
184,SYNE3,2023-03-09,4.1,4.22,4.1,4.22,263000,506,33,300,839,0,0
185,SYNE3,2023-03-10,4.16,4.18,3.83,3.96,838100,906,44,845,1795,0,0
186,SYNE3,2023-03-13,3.88,3.93,3.68,3.75,654600,621,41,951,1613,0,0
187,SYNE3,2023-03-14,3.73,3.8,3.58,3.7,374900,497,38,587,1122,0,0
188,SYNE3,2023-03-15,3.69,3.77,3.58,3.74,340400,625,16,587,1228,0,0
189,SYNE3,2023-03-16,3.8,3.8,3.68,3.8,238600,372,36,342,750,0,0
190,SYNE3,2023-03-17,3.8,3.8,3.67,3.72,173200,407,23,315,744,1,0
