,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TAEE11,2022-06-06,41.28,41.9,40.93,40.94,2740700,5764,134,6194,12092,0,0
1,TAEE11,2022-06-07,40.92,41.23,40.35,40.54,1513200,3741,165,3885,7791,0,0
2,TAEE11,2022-06-08,40.09,40.82,40.09,40.56,1759400,4116,198,4236,8550,0,0
3,TAEE11,2022-06-09,40.52,40.94,40.19,40.54,2111800,5628,175,3732,9535,0,0
4,TAEE11,2022-06-10,40.4,40.74,40.06,40.46,2279400,5466,141,5199,10804,2,0
5,TAEE11,2022-06-13,40.42,40.68,40.06,40.44,2294900,5493,233,4878,10602,2,0
6,TAEE11,2022-06-14,40.59,40.84,40.22,40.33,1079500,2961,172,3400,6532,1,0
7,TAEE11,2022-06-15,40.49,40.73,40.24,40.57,1491500,3958,246,3406,7538,72,0
8,TAEE11,2022-06-17,40.36,40.64,40.02,40.17,2604400,3853,372,4116,8267,74,0
9,TAEE11,2022-06-20,40.35,40.45,40.08,40.17,1293400,2993,135,2887,5993,22,0
10,TAEE11,2022-06-21,40.19,40.51,39.22,39.68,2179300,4046,212,6074,10288,44,0
11,TAEE11,2022-06-22,39.66,40.12,39.51,39.77,2018200,3424,250,4037,7685,26,0
12,TAEE11,2022-06-23,39.77,40.23,39.2,39.36,2140600,3382,272,3712,7337,29,0
13,TAEE11,2022-06-24,39.65,39.65,38.95,39.03,1844600,4377,201,3798,8376,0,0
14,TAEE11,2022-06-27,39.08,39.34,38.49,39.16,1997500,4547,167,4288,9001,1,0
15,TAEE11,2022-06-28,39.22,39.85,38.85,39.26,1878200,3728,136,4134,7998,0,0
16,TAEE11,2022-06-29,39.38,39.51,38.56,38.56,2296500,4404,115,4751,9269,1,0
17,TAEE11,2022-06-30,38.49,39.14,38.17,38.6,3177000,6227,224,7127,13578,0,0
18,TAEE11,2022-07-01,38.78,39.7,38.53,39.36,2538200,5261,217,6690,12167,1,0
19,TAEE11,2022-07-04,39.25,39.49,38.53,38.72,1717600,3012,158,4022,7188,4,0
20,TAEE11,2022-07-05,38.59,38.8,38.27,38.38,2048300,5634,176,4308,10118,0,0
21,TAEE11,2022-07-06,38.37,39.11,38.09,38.6,2232200,6321,140,5344,11804,1,0
22,TAEE11,2022-07-07,38.95,39.42,38.63,39.18,1860300,4557,139,5136,9832,0,0
23,TAEE11,2022-07-08,39.18,39.43,39.04,39.07,1079000,2622,127,2666,5415,0,0
24,TAEE11,2022-07-11,39.0,39.39,38.88,39.03,1694400,3996,149,4641,8784,2,0
25,TAEE11,2022-07-12,39.12,39.7,39.02,39.1,1416400,4038,119,4590,8747,0,0
26,TAEE11,2022-07-13,39.07,39.19,38.89,38.98,1430500,4722,123,4808,9652,1,0
27,TAEE11,2022-07-14,39.08,39.62,38.96,39.54,1664000,4210,137,4222,8569,0,0
28,TAEE11,2022-07-15,39.68,39.93,39.33,39.59,1389200,4708,124,3964,8795,1,0
29,TAEE11,2022-07-18,39.76,39.96,39.22,39.46,1350300,3516,113,3940,7568,1,0
30,TAEE11,2022-07-19,39.5,39.53,39.16,39.26,1525800,4368,102,4240,8710,0,0
31,TAEE11,2022-07-20,39.22,39.63,39.2,39.37,1205900,3792,135,3084,7011,0,0
32,TAEE11,2022-07-21,39.37,39.72,39.19,39.55,1032700,3759,110,3333,7200,2,0
