,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TASA3,2022-06-06,20.1,20.27,19.76,19.9,38600,81,0,108,189,0,0
1,TASA3,2022-06-07,19.85,19.85,19.0,19.59,66500,207,0,203,410,0,0
2,TASA3,2022-06-08,19.21,20.0,18.62,18.97,77100,269,0,267,536,0,0
3,TASA3,2022-06-09,18.81,18.9,18.4,18.47,36400,105,0,108,213,0,0
4,TASA3,2022-06-10,18.57,18.57,18.0,18.39,19200,78,0,49,127,0,0
5,TASA3,2022-06-13,18.15,18.15,17.49,17.85,43700,156,0,116,272,0,0
6,TASA3,2022-06-14,17.81,18.0,17.54,17.7,39200,126,3,105,234,0,0
7,TASA3,2022-06-15,17.98,17.99,17.56,17.99,27600,81,0,85,166,0,0
8,TASA3,2022-06-17,17.73,17.73,17.0,17.2,60800,133,0,192,325,0,0
9,TASA3,2022-06-20,17.2,17.36,16.62,16.7,43400,116,0,92,208,0,0
10,TASA3,2022-06-21,17.0,17.17,16.63,16.7,102800,253,0,236,489,0,0
11,TASA3,2022-06-22,16.6,16.98,16.5,16.6,36000,98,0,124,222,0,0
12,TASA3,2022-06-23,16.52,17.0,16.52,16.76,23600,81,0,65,146,0,0
13,TASA3,2022-06-24,16.78,17.35,16.66,17.35,25400,83,0,75,158,0,0
14,TASA3,2022-06-27,17.35,17.52,17.02,17.13,26700,65,0,116,181,0,0
15,TASA3,2022-06-28,17.21,17.71,16.8,16.95,21100,64,0,54,118,0,0
16,TASA3,2022-06-29,16.95,17.0,16.69,16.8,13700,37,0,41,78,0,0
17,TASA3,2022-06-30,16.51,16.65,16.0,16.22,35400,73,0,95,168,0,0
18,TASA3,2022-07-01,16.34,16.97,16.33,16.87,26400,105,0,34,139,0,0
19,TASA3,2022-07-04,17.06,17.15,16.69,16.69,29000,55,0,76,131,0,0
20,TASA3,2022-07-05,16.69,16.7,16.07,16.21,32600,63,0,109,172,0,0
21,TASA3,2022-07-06,16.36,16.9,16.36,16.77,23100,67,2,77,146,0,0
22,TASA3,2022-07-07,16.95,17.75,16.86,17.65,55800,83,1,148,231,1,0
23,TASA3,2022-07-08,17.44,17.48,17.0,17.1,19500,68,0,64,132,0,0
24,TASA3,2022-07-11,17.1,17.1,16.06,16.82,18000,56,0,60,116,0,0
25,TASA3,2022-07-12,16.96,17.7,16.73,17.57,16400,64,0,18,82,0,0
26,TASA3,2022-07-13,17.28,17.49,17.07,17.14,20200,57,0,56,113,0,0
27,TASA3,2022-07-14,17.14,17.25,16.83,16.96,17100,48,0,36,84,0,0
28,TASA3,2022-07-15,17.2,17.2,16.72,16.88,24400,60,0,90,150,0,0
29,TASA3,2022-07-18,16.88,17.23,16.88,16.91,10600,31,0,19,50,0,0
30,TASA3,2022-07-19,16.91,17.42,16.91,17.1,17800,45,2,36,83,0,0
31,TASA3,2022-07-20,17.29,17.69,17.27,17.69,10300,52,0,27,79,0,0
32,TASA3,2022-07-21,17.69,18.4,17.49,18.36,17000,63,0,49,112,0,0
33,TASA3,2022-07-22,18.28,18.28,17.86,17.95,6700,22,1,29,52,0,0
34,TASA3,2022-07-25,18.0,18.67,17.98,18.55,18300,35,0,36,71,0,0
35,TASA3,2022-07-26,18.55,18.63,18.07,18.4,28400,92,0,36,128,0,0
36,TASA3,2022-07-27,18.12,19.17,18.1,18.95,21300,99,4,56,159,0,0
37,TASA3,2022-07-28,19.01,19.25,18.3,18.62,25900,49,1,86,136,0,0
38,TASA3,2022-07-29,18.54,19.0,18.47,18.61,19800,56,0,88,144,0,0
39,TASA3,2022-08-01,18.61,19.69,18.5,18.95,26700,87,0,44,131,0,0
40,TASA3,2022-08-02,19.1,19.38,18.79,18.83,11900,37,0,37,74,0,0
41,TASA3,2022-08-03,19.07,19.22,19.0,19.01,13700,40,0,41,81,0,0
42,TASA3,2022-08-08,19.42,20.5,19.42,20.11,32700,108,0,73,181,0,0
43,TASA3,2022-08-09,20.25,20.25,19.0,19.0,43100,78,0,137,215,0,0
44,TASA3,2022-08-10,18.99,19.2,18.6,18.73,57100,80,0,116,196,0,0
45,TASA3,2022-08-12,18.92,19.16,18.75,19.1,80300,70,0,76,146,0,0
46,TASA3,2022-08-15,19.0,19.25,18.8,19.25,17200,51,0,64,115,0,0
47,TASA3,2022-08-16,18.99,19.25,18.88,19.15,12500,34,1,26,61,0,0
48,TASA3,2022-08-17,19.0,19.26,18.91,18.91,14900,36,0,49,85,0,0
49,TASA3,2022-08-18,19.15,19.15,18.51,18.52,15900,24,0,65,89,0,0
50,TASA3,2022-08-19,18.5,18.5,17.77,17.95,39900,64,1,123,188,0,0
51,TASA3,2022-08-22,17.9,18.26,17.65,18.26,13600,23,0,33,56,0,0
52,TASA3,2022-08-23,18.2,18.49,18.07,18.4,5800,15,1,32,48,0,0
53,TASA3,2022-08-24,18.53,18.54,18.09,18.13,9200,29,0,37,66,0,0
54,TASA3,2022-08-25,18.34,19.6,18.25,19.15,192000,193,0,334,527,0,0
55,TASA3,2022-08-26,19.15,19.43,19.1,19.15,51800,21,0,93,114,0,0
56,TASA3,2022-08-29,19.16,19.37,19.15,19.15,50200,30,1,97,128,0,0
57,TASA3,2022-08-30,19.15,19.3,19.14,19.15,78100,45,0,136,181,0,0
58,TASA3,2022-08-31,19.14,19.15,18.0,18.08,38700,82,3,106,191,0,0
59,TASA3,2022-09-01,18.08,18.18,17.59,17.8,41700,105,3,148,256,0,0
60,TASA3,2022-09-02,18.33,18.48,17.81,18.0,45600,66,0,60,126,0,0
61,TASA3,2022-09-05,18.15,18.6,17.55,17.89,45900,63,3,78,144,0,0
62,TASA3,2022-09-06,17.89,17.91,17.55,17.88,18100,32,0,37,69,0,0
63,TASA3,2022-09-08,18.08,18.08,17.58,17.76,18300,43,0,28,71,0,0
64,TASA3,2022-09-09,17.59,18.29,17.59,17.9,14200,47,0,33,80,0,0
65,TASA3,2022-09-12,17.91,18.44,17.72,17.86,18200,34,0,42,76,0,0
66,TASA3,2022-09-13,17.84,18.04,17.76,17.76,12000,18,0,28,46,0,0
67,TASA3,2022-09-15,17.75,17.76,17.41,17.51,13000,29,0,44,73,0,0
68,TASA3,2022-09-16,17.58,17.58,17.1,17.38,14400,46,0,46,92,0,0
69,TASA3,2022-09-19,17.38,17.7,17.0,17.41,38200,81,1,87,169,0,0
70,TASA3,2022-09-20,17.41,17.56,17.03,17.03,23300,48,0,46,94,0,0
71,TASA3,2022-09-21,17.19,17.19,16.79,16.92,26100,31,0,65,96,0,0
72,TASA3,2022-09-22,16.92,17.19,16.75,17.19,14800,49,0,32,81,0,0
73,TASA3,2022-09-23,16.85,17.08,16.75,17.08,15000,33,0,47,80,0,0
74,TASA3,2022-09-27,17.16,17.16,16.25,16.25,29200,28,0,58,86,0,0
75,TASA3,2022-09-28,16.15,16.8,16.06,16.31,31300,56,0,52,108,0,0
76,TASA3,2022-09-29,16.42,16.42,16.0,16.39,20000,50,0,65,115,0,0
77,TASA3,2022-09-30,16.12,17.16,16.05,17.15,23500,61,0,32,93,0,0
78,TASA3,2022-10-03,17.19,17.49,16.88,17.31,27900,81,0,48,129,0,0
79,TASA3,2022-10-04,17.5,17.86,16.94,17.25,26700,67,0,93,160,0,0
80,TASA3,2022-10-05,17.0,17.04,16.7,16.75,21700,37,0,48,85,0,0
81,TASA3,2022-10-06,17.05,17.15,16.7,16.72,17400,50,0,64,114,0,0
82,TASA3,2022-10-07,16.75,17.06,16.7,16.81,13900,19,0,44,63,0,0
83,TASA3,2022-10-10,16.8,17.04,16.5,16.97,25000,57,0,28,85,0,0
84,TASA3,2022-10-11,17.04,17.23,16.85,17.23,35200,61,0,29,90,0,0
85,TASA3,2022-10-13,17.15,17.15,16.67,16.9,15700,40,0,52,92,0,0
86,TASA3,2022-10-14,16.51,16.96,16.0,16.2,36300,58,0,82,140,0,0
87,TASA3,2022-10-17,16.2,16.82,15.82,15.95,73400,90,1,152,243,0,0
88,TASA3,2022-10-18,16.2,16.34,15.93,16.3,16900,63,0,54,117,0,0
89,TASA3,2022-10-19,16.0,16.33,15.94,16.1,50400,108,0,122,230,0,0
90,TASA3,2022-10-20,16.3,16.3,15.74,15.85,24900,68,0,80,148,0,0
91,TASA3,2022-10-21,15.99,16.26,15.8,15.95,25000,75,0,52,127,0,0
92,TASA3,2022-10-24,16.18,16.45,15.95,16.39,35000,98,0,50,148,0,0
93,TASA3,2022-10-25,16.39,16.39,16.06,16.19,13300,33,0,52,85,0,0
94,TASA3,2022-10-26,16.0,16.0,14.7,15.21,101700,143,0,219,362,0,0
95,TASA3,2022-10-27,15.11,15.78,15.11,15.6,18500,49,0,37,86,0,0
96,TASA3,2022-10-28,15.38,16.08,15.19,15.83,45200,84,5,96,185,0,0
97,TASA3,2022-10-31,14.72,15.24,14.52,14.85,109900,199,0,248,447,0,0
98,TASA3,2022-11-01,14.62,15.2,14.45,14.94,55500,136,0,186,322,0,0
99,TASA3,2022-11-03,14.78,15.19,14.62,15.1,47800,172,1,123,296,0,0
100,TASA3,2022-11-04,15.1,15.44,14.97,15.41,30000,108,1,71,180,0,0
101,TASA3,2022-11-07,15.41,15.41,14.7,14.8,30000,65,0,94,159,0,0
102,TASA3,2022-11-08,14.69,14.92,14.51,14.6,46400,78,0,103,181,0,0
103,TASA3,2022-11-09,14.5,14.77,13.73,14.08,60000,114,0,168,282,0,0
104,TASA3,2022-11-10,14.04,14.04,12.88,13.24,130000,256,0,212,468,0,0
105,TASA3,2022-11-14,13.49,13.9,13.13,13.35,31800,85,17,60,162,0,0
106,TASA3,2022-11-17,13.89,14.24,13.12,13.75,46900,94,0,143,237,0,0
107,TASA3,2022-11-18,13.75,14.5,13.31,13.5,49100,93,1,122,216,0,0
108,TASA3,2022-11-21,14.09,14.15,13.61,13.67,25800,61,1,80,142,0,0
109,TASA3,2022-11-22,13.68,14.0,13.38,13.58,26400,61,1,73,135,0,0
110,TASA3,2022-11-23,13.55,13.65,13.33,13.65,24700,62,0,37,99,0,0
111,TASA3,2022-11-24,13.67,13.77,13.52,13.69,12300,26,0,24,50,0,0
112,TASA3,2022-11-25,13.69,13.84,13.5,13.71,11500,27,0,43,70,0,0
113,TASA3,2022-11-28,13.71,13.72,13.5,13.58,24800,44,0,47,91,0,0
114,TASA3,2022-11-29,13.6,14.1,13.6,13.61,16900,47,0,62,109,0,0
115,TASA3,2022-11-30,13.81,14.5,13.8,14.49,52600,99,0,123,222,0,0
116,TASA3,2022-12-01,14.5,14.85,14.46,14.84,30900,71,0,85,156,0,0
117,TASA3,2022-12-02,14.69,15.09,14.44,14.99,18000,59,0,64,123,0,0
118,TASA3,2022-12-05,14.99,14.99,14.39,14.39,14300,20,0,65,85,0,0
119,TASA3,2022-12-06,14.34,14.48,14.01,14.25,40700,75,0,72,147,0,0
120,TASA3,2022-12-07,14.05,14.33,13.87,14.28,14500,51,0,62,113,0,0
121,TASA3,2022-12-08,14.01,14.2,13.65,13.65,35700,65,1,103,169,0,0
122,TASA3,2022-12-09,13.65,13.89,13.5,13.5,17700,17,0,69,86,0,0
123,TASA3,2022-12-12,13.5,13.9,13.43,13.5,56100,44,0,136,180,0,0
124,TASA3,2022-12-13,13.51,13.77,13.49,13.63,72500,28,1,128,157,0,0
125,TASA3,2022-12-14,13.59,13.63,12.7,12.8,87500,86,2,195,283,0,0
126,TASA3,2022-12-15,12.8,12.92,12.63,12.84,25700,85,0,59,144,0,0
127,TASA3,2022-12-16,12.83,13.0,12.18,12.54,67300,165,0,173,338,0,0
128,TASA3,2022-12-19,12.5,12.78,12.33,12.36,34000,92,0,74,166,0,0
129,TASA3,2022-12-20,12.5,13.29,12.42,12.98,54100,138,0,86,224,0,0
130,TASA3,2022-12-21,12.98,13.06,12.61,12.8,33500,63,2,101,166,0,0
131,TASA3,2022-12-22,12.8,12.98,12.52,12.98,24000,64,1,70,135,0,0
132,TASA3,2022-12-23,12.99,13.66,12.83,12.83,70400,148,0,156,304,0,0
133,TASA3,2022-12-26,12.84,13.3,12.75,13.13,53600,137,0,117,254,0,0
134,TASA3,2022-12-27,13.16,13.33,12.99,13.19,33500,54,0,98,152,0,0
135,TASA3,2022-12-28,13.19,13.41,13.03,13.14,53500,116,4,127,247,0,0
136,TASA3,2022-12-29,13.4,13.49,13.07,13.25,34600,93,0,111,204,0,0
137,TASA3,2023-01-02,13.18,13.18,12.04,12.12,124800,172,0,375,547,0,0
138,TASA3,2023-01-03,12.12,12.35,11.7,12.0,65700,141,0,178,319,0,0
139,TASA3,2023-01-04,12.0,12.35,11.61,11.8,151800,237,0,306,543,0,0
140,TASA3,2023-01-05,11.79,12.0,11.49,12.0,152200,284,0,334,618,0,0
141,TASA3,2023-01-06,12.0,12.5,11.76,11.95,158000,289,0,359,648,0,0
142,TASA3,2023-01-09,11.95,12.1,11.69,11.99,67600,138,4,158,300,0,0
143,TASA3,2023-01-10,12.0,12.27,11.88,12.2,90700,184,0,157,341,0,0
144,TASA3,2023-01-11,12.2,12.44,12.1,12.28,48100,109,0,89,198,0,0
145,TASA3,2023-01-12,12.28,12.43,12.12,12.21,35700,97,0,127,224,0,0
146,TASA3,2023-01-13,12.25,12.36,12.08,12.18,24300,79,0,55,134,0,0
147,TASA3,2023-01-16,12.17,12.26,12.0,12.24,31100,122,0,94,216,0,0
148,TASA3,2023-01-17,12.2,12.8,12.05,12.8,53800,165,0,73,238,0,0
149,TASA3,2023-01-18,12.97,13.21,12.78,12.94,45300,134,0,118,252,0,0
150,TASA3,2023-01-19,12.85,13.43,12.76,13.4,32900,122,0,68,190,0,0
151,TASA3,2023-01-20,13.43,13.99,13.4,13.96,65600,143,0,174,317,0,0
152,TASA3,2023-01-23,13.96,15.09,13.96,15.09,94800,267,4,145,416,0,0
153,TASA3,2023-01-24,15.33,15.38,14.87,14.97,64200,137,0,152,289,0,0
154,TASA3,2023-01-25,14.97,15.19,14.61,14.96,27100,89,1,95,185,0,0
155,TASA3,2023-01-26,14.96,15.13,14.78,15.13,30000,108,0,69,177,0,0
156,TASA3,2023-01-30,15.17,15.3,14.85,15.09,24000,87,1,61,149,0,0
157,TASA3,2023-01-31,15.1,16.0,14.91,15.98,33600,125,0,78,203,0,0
158,TASA3,2023-02-01,16.16,16.37,15.75,16.01,59000,144,8,136,288,0,0
159,TASA3,2023-02-02,15.92,16.16,15.55,15.83,29500,77,0,95,172,0,0
160,TASA3,2023-02-03,15.76,15.94,15.2,15.45,18900,39,0,89,128,0,0
161,TASA3,2023-02-06,15.45,15.45,14.8,14.89,34400,84,0,123,207,0,0
162,TASA3,2023-02-07,14.89,15.02,14.77,14.87,16000,54,1,32,87,0,0
163,TASA3,2023-02-08,14.8,15.08,14.51,15.08,20300,86,0,66,152,0,0
164,TASA3,2023-02-09,15.08,15.39,14.3,14.47,37500,65,0,124,189,0,0
165,TASA3,2023-02-10,14.47,14.97,14.33,14.97,17600,47,0,26,73,0,0
166,TASA3,2023-02-13,14.97,15.48,14.78,15.44,26300,116,1,68,185,0,0
