,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TCNO4,2022-06-06,1.16,1.18,1.15,1.15,14300,8,1,28,37,0,0
1,TCNO4,2022-06-07,1.15,1.19,1.13,1.17,40800,15,1,33,49,0,0
2,TCNO4,2022-06-08,1.15,1.17,1.15,1.15,5700,9,0,19,28,0,0
3,TCNO4,2022-06-09,1.14,1.15,1.13,1.13,10100,7,0,10,17,0,0
4,TCNO4,2022-06-10,1.11,1.17,1.1,1.15,10400,11,0,20,31,0,0
5,TCNO4,2022-06-13,1.16,1.16,1.06,1.1,20400,23,0,33,56,0,0
6,TCNO4,2022-06-14,1.07,1.17,1.07,1.09,9800,12,0,16,28,0,0
7,TCNO4,2022-06-15,1.09,1.18,1.02,1.08,32800,23,6,26,55,0,0
8,TCNO4,2022-06-17,1.07,1.12,1.05,1.05,5600,10,1,6,17,0,0
9,TCNO4,2022-06-20,1.05,1.09,1.05,1.07,12000,4,1,15,20,0,0
10,TCNO4,2022-06-21,1.03,1.06,1.03,1.05,6100,7,0,13,20,0,0
11,TCNO4,2022-06-22,1.06,1.09,1.03,1.05,10200,27,0,17,44,0,0
12,TCNO4,2022-06-23,1.03,1.09,1.02,1.02,18900,13,0,18,31,0,0
13,TCNO4,2022-06-24,1.02,1.05,1.01,1.02,12900,17,0,17,34,0,0
14,TCNO4,2022-06-27,1.03,1.06,1.01,1.02,26600,23,0,20,43,0,0
15,TCNO4,2022-06-28,1.05,1.07,0.99,1.01,33200,27,0,53,80,0,0
16,TCNO4,2022-06-29,1.01,1.05,1.0,1.02,4700,1,0,10,11,0,0
17,TCNO4,2022-06-30,1.04,1.04,0.96,0.96,22900,8,0,28,36,0,0
18,TCNO4,2022-07-01,1.0,1.01,0.98,1.01,5700,18,0,10,28,0,0
19,TCNO4,2022-07-04,1.0,1.01,0.97,1.0,3800,5,0,8,13,0,0
20,TCNO4,2022-07-05,1.02,1.04,1.0,1.02,1200,6,0,5,11,0,0
21,TCNO4,2022-07-06,1.02,1.02,0.99,1.0,9800,2,0,12,14,0,0
22,TCNO4,2022-07-07,1.02,1.02,0.98,1.0,10700,14,0,14,28,0,0
23,TCNO4,2022-07-08,0.99,1.01,0.97,0.97,25400,18,0,28,46,0,0
24,TCNO4,2022-07-11,0.97,1.01,0.97,1.0,4500,3,0,21,24,0,0
25,TCNO4,2022-07-12,1.0,1.05,0.96,0.98,60700,66,0,61,127,0,0
26,TCNO4,2022-07-13,0.99,1.08,0.98,0.99,69100,101,1,72,174,0,0
27,TCNO4,2022-07-14,1.02,1.04,0.98,0.99,20100,23,1,22,46,0,0
28,TCNO4,2022-07-15,1.02,1.05,1.0,1.0,34600,25,0,32,57,0,0
