,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TECN3,2022-06-06,2.59,2.61,2.5,2.51,408600,547,17,690,1254,0,0
1,TECN3,2022-06-07,2.5,2.5,2.36,2.4,596200,491,33,1238,1762,0,0
2,TECN3,2022-06-08,2.38,2.48,2.32,2.45,437500,323,19,566,908,0,0
3,TECN3,2022-06-09,2.45,2.48,2.37,2.44,263300,196,1,193,390,0,0
4,TECN3,2022-06-10,2.43,2.45,2.36,2.39,324700,262,0,289,551,0,0
5,TECN3,2022-06-13,2.34,2.39,2.25,2.31,467100,448,0,743,1191,0,0
6,TECN3,2022-06-14,2.32,2.35,2.15,2.17,864000,406,11,481,898,0,0
7,TECN3,2022-06-15,2.17,2.45,2.17,2.45,839900,828,16,570,1414,0,0
8,TECN3,2022-06-17,2.38,2.49,2.34,2.45,448000,644,19,562,1225,0,0
9,TECN3,2022-06-20,2.49,2.57,2.39,2.5,457800,512,13,440,965,0,0
10,TECN3,2022-06-21,2.52,2.55,2.36,2.38,740500,743,14,651,1408,0,0
11,TECN3,2022-06-22,2.34,2.44,2.25,2.38,625700,389,29,403,821,0,0
12,TECN3,2022-06-23,2.4,2.49,2.32,2.36,589400,430,25,327,782,0,0
13,TECN3,2022-06-24,2.38,2.47,2.31,2.42,742100,1023,18,404,1445,0,0
14,TECN3,2022-06-27,2.42,2.49,2.41,2.47,464300,194,18,282,494,0,0
15,TECN3,2022-06-28,2.5,2.5,2.38,2.39,422900,535,14,347,896,0,0
16,TECN3,2022-06-29,2.38,2.43,2.36,2.38,260000,321,10,252,583,0,0
17,TECN3,2022-06-30,2.38,2.39,2.27,2.29,735500,938,11,316,1265,0,0
18,TECN3,2022-07-01,2.32,2.37,2.25,2.3,348900,234,0,357,591,0,0
19,TECN3,2022-07-04,2.31,2.38,2.27,2.33,692000,427,10,839,1276,0,0
20,TECN3,2022-07-05,2.3,2.33,2.23,2.28,895400,446,14,458,918,0,0
21,TECN3,2022-07-06,2.33,2.44,2.29,2.39,707200,571,19,806,1396,0,0
22,TECN3,2022-07-07,2.45,2.48,2.41,2.45,499500,741,18,674,1433,0,0
23,TECN3,2022-07-08,2.43,2.51,2.42,2.46,575100,608,16,333,956,1,0
24,TECN3,2022-07-11,2.44,2.44,2.36,2.42,276800,564,12,283,859,0,0
25,TECN3,2022-07-12,2.38,2.45,2.37,2.44,466600,519,19,174,712,0,0
26,TECN3,2022-07-13,2.44,2.49,2.4,2.45,436300,238,12,261,511,0,0
27,TECN3,2022-07-14,2.4,2.41,2.33,2.33,575300,453,30,264,747,0,0
28,TECN3,2022-07-15,2.37,2.44,2.29,2.41,407400,452,8,214,674,0,0
29,TECN3,2022-07-18,2.42,2.47,2.37,2.4,253300,342,0,251,593,0,0
30,TECN3,2022-07-19,2.41,2.43,2.34,2.37,505300,372,12,187,571,0,0
31,TECN3,2022-07-20,2.37,2.43,2.34,2.43,304400,315,0,324,639,0,0
32,TECN3,2022-07-21,2.43,2.47,2.31,2.35,1042300,466,1,1310,1777,0,0
33,TECN3,2022-07-22,2.36,2.36,2.22,2.25,695600,552,25,1194,1771,0,0
34,TECN3,2022-07-25,2.24,2.27,2.2,2.2,428700,236,13,390,639,0,0
35,TECN3,2022-07-26,2.21,2.23,2.15,2.18,264000,289,9,290,588,0,0
36,TECN3,2022-07-27,2.19,2.25,2.15,2.24,308200,383,0,290,673,0,0
37,TECN3,2022-07-28,2.26,2.32,2.23,2.31,1712700,285,15,276,576,0,0
38,TECN3,2022-07-29,2.3,2.32,2.25,2.26,168000,211,10,297,518,0,0
39,TECN3,2022-08-01,2.26,2.31,2.24,2.27,236900,359,13,389,761,0,0
40,TECN3,2022-08-02,2.27,2.35,2.27,2.31,269600,273,8,101,382,0,0
41,TECN3,2022-08-03,2.35,2.39,2.32,2.33,163500,135,0,153,288,0,0
42,TECN3,2022-08-08,2.38,2.51,2.37,2.48,574500,312,13,169,494,0,0
43,TECN3,2022-08-09,2.62,2.73,2.41,2.41,2533900,949,108,2299,3356,0,0
44,TECN3,2022-08-10,2.46,2.57,2.37,2.5,996300,882,18,621,1521,0,0
45,TECN3,2022-08-12,2.44,2.56,2.41,2.51,839300,661,0,1134,1795,0,0
46,TECN3,2022-08-15,2.51,2.83,2.5,2.76,1590100,1055,41,1801,2897,0,0
47,TECN3,2022-08-16,2.83,2.83,2.63,2.67,426500,371,12,865,1248,0,0
48,TECN3,2022-08-17,2.67,2.7,2.6,2.62,563600,892,11,932,1835,0,0
49,TECN3,2022-08-18,2.63,2.63,2.5,2.53,612600,236,16,750,1002,0,0
50,TECN3,2022-08-19,2.53,2.53,2.4,2.4,611000,253,16,1195,1464,0,0
51,TECN3,2022-08-22,2.42,2.46,2.34,2.43,273300,244,0,465,709,0,0
52,TECN3,2022-08-23,2.46,2.7,2.43,2.59,1012700,531,0,1107,1638,0,0
53,TECN3,2022-08-24,2.63,2.75,2.55,2.57,409800,171,7,356,534,0,0
54,TECN3,2022-08-25,2.59,2.64,2.59,2.6,1615400,212,14,144,370,0,0
55,TECN3,2022-08-26,2.58,2.64,2.53,2.56,149600,101,0,152,253,0,0
56,TECN3,2022-08-29,2.56,2.69,2.52,2.64,242700,249,0,174,423,0,0
57,TECN3,2022-08-30,2.6,2.65,2.53,2.59,133800,160,9,147,316,0,0
58,TECN3,2022-08-31,2.59,2.68,2.51,2.6,497200,563,0,319,882,0,0
59,TECN3,2022-09-01,2.63,2.66,2.53,2.65,610000,880,8,1726,2614,0,0
60,TECN3,2022-09-02,2.64,2.7,2.58,2.59,462400,552,25,742,1319,0,0
61,TECN3,2022-09-05,2.59,2.64,2.57,2.61,186400,224,13,330,567,0,0
62,TECN3,2022-09-06,2.64,2.64,2.45,2.47,460400,273,22,680,975,0,0
63,TECN3,2022-09-08,2.51,2.53,2.43,2.47,359900,263,15,454,732,0,0
64,TECN3,2022-09-09,2.45,2.53,2.42,2.51,425600,317,13,1517,1847,0,0
65,TECN3,2022-09-12,2.49,2.54,2.44,2.45,459800,508,8,376,892,0,0
66,TECN3,2022-09-13,2.46,2.48,2.38,2.4,490300,294,19,670,983,0,0
67,TECN3,2022-09-15,2.38,2.4,2.32,2.37,211800,133,19,273,425,0,0
68,TECN3,2022-09-16,2.35,2.37,2.27,2.34,304100,191,14,440,645,0,0
69,TECN3,2022-09-19,2.3,2.42,2.3,2.38,387900,409,7,112,528,0,0
70,TECN3,2022-09-20,2.39,2.45,2.35,2.4,220300,162,16,260,438,0,0
71,TECN3,2022-09-21,2.44,2.44,2.33,2.41,294900,409,8,357,774,0,0
72,TECN3,2022-09-22,2.4,2.43,2.35,2.41,1543900,236,25,159,420,0,0
73,TECN3,2022-09-23,2.38,2.4,2.33,2.37,260900,221,0,227,448,0,0
74,TECN3,2022-09-27,2.36,2.36,2.25,2.26,292000,139,0,435,574,0,0
75,TECN3,2022-09-28,2.28,2.32,2.23,2.31,126700,121,11,141,273,0,0
76,TECN3,2022-09-29,2.3,2.3,2.23,2.29,363900,340,36,304,680,0,0
77,TECN3,2022-09-30,2.29,2.35,2.24,2.3,883300,1323,11,1162,2496,0,0
78,TECN3,2022-10-03,2.32,2.44,2.3,2.35,1008600,1130,8,1927,3065,0,0
79,TECN3,2022-10-04,2.38,2.41,2.28,2.3,594300,524,14,709,1247,0,0
80,TECN3,2022-10-05,2.3,2.3,2.23,2.25,726500,446,29,407,882,0,0
81,TECN3,2022-10-06,2.25,2.27,2.21,2.21,1363300,570,4,506,1080,0,0
82,TECN3,2022-10-07,2.22,2.28,2.2,2.22,866300,368,21,315,704,0,0
83,TECN3,2022-10-10,2.24,2.24,2.18,2.2,396500,204,27,288,519,0,0
84,TECN3,2022-10-11,2.2,2.22,2.15,2.19,596300,481,8,423,912,0,0
85,TECN3,2022-10-13,2.17,2.24,2.14,2.21,583500,479,9,162,650,0,0
86,TECN3,2022-10-14,2.21,2.24,2.16,2.17,309100,154,0,170,324,0,0
87,TECN3,2022-10-17,2.18,2.21,2.17,2.18,288400,318,0,193,511,0,0
88,TECN3,2022-10-18,2.2,2.21,2.15,2.18,293400,230,0,236,466,0,0
89,TECN3,2022-10-19,2.21,2.21,2.15,2.15,352200,624,0,270,894,0,0
90,TECN3,2022-10-20,2.16,2.18,2.12,2.12,378800,222,32,203,457,0,0
91,TECN3,2022-10-21,2.14,2.24,2.11,2.14,435600,485,3,176,664,0,0
92,TECN3,2022-10-24,2.12,2.17,2.12,2.17,301400,212,19,135,366,0,0
93,TECN3,2022-10-25,2.17,2.19,2.12,2.14,198700,102,17,142,261,0,0
94,TECN3,2022-10-26,2.15,2.16,2.08,2.08,392800,147,12,225,384,0,0
95,TECN3,2022-10-27,2.1,2.16,2.09,2.11,338400,180,17,234,431,0,0
96,TECN3,2022-10-28,2.11,2.16,2.1,2.14,299200,309,14,293,616,0,0
97,TECN3,2022-10-31,2.12,2.22,2.12,2.21,439300,656,17,216,889,0,0
98,TECN3,2022-11-01,2.19,2.26,2.18,2.26,427400,532,8,549,1089,0,0
99,TECN3,2022-11-03,2.23,2.34,2.22,2.27,832300,767,18,575,1360,0,0
100,TECN3,2022-11-04,2.3,2.37,2.26,2.35,915600,528,15,386,929,0,0
101,TECN3,2022-11-07,2.37,2.42,2.29,2.39,650700,383,23,530,936,0,0
102,TECN3,2022-11-08,2.39,2.42,2.29,2.35,1098900,234,17,560,811,0,0
103,TECN3,2022-11-09,2.36,2.4,2.2,2.2,552800,181,21,555,757,0,0
104,TECN3,2022-11-10,2.14,2.22,2.07,2.15,991000,363,20,1152,1535,0,0
105,TECN3,2022-11-14,2.13,2.18,2.07,2.1,530000,310,0,268,578,0,0
106,TECN3,2022-11-17,2.05,2.09,1.97,2.09,309600,329,15,202,546,0,0
107,TECN3,2022-11-18,2.12,2.14,2.0,2.02,380600,248,9,240,497,0,0
108,TECN3,2022-11-21,2.02,2.08,2.02,2.05,176300,337,8,91,436,0,0
109,TECN3,2022-11-22,2.06,2.07,2.01,2.03,178100,85,0,256,341,0,0
110,TECN3,2022-11-23,2.03,2.03,1.99,2.02,254900,208,0,202,410,0,0
111,TECN3,2022-11-24,2.05,2.1,2.02,2.05,181000,367,0,94,461,0,0
112,TECN3,2022-11-25,2.07,2.17,2.06,2.1,466600,204,10,281,495,0,0
113,TECN3,2022-11-28,2.12,2.12,2.08,2.1,109700,85,7,86,178,0,0
114,TECN3,2022-11-29,2.1,2.17,2.09,2.13,338700,147,0,162,309,0,0
115,TECN3,2022-11-30,2.12,2.17,2.08,2.17,350200,153,5,235,393,0,0
116,TECN3,2022-12-01,2.17,2.17,2.12,2.12,175500,201,9,267,477,0,0
117,TECN3,2022-12-02,2.16,2.22,2.09,2.19,456300,275,10,382,667,0,0
118,TECN3,2022-12-05,2.2,2.25,2.16,2.17,384000,431,12,261,704,0,0
119,TECN3,2022-12-06,2.19,2.2,2.15,2.2,241700,399,13,463,875,0,0
120,TECN3,2022-12-07,2.2,2.26,2.2,2.25,214200,276,9,127,412,0,0
121,TECN3,2022-12-08,2.25,2.25,2.16,2.18,190400,295,15,417,727,0,0
122,TECN3,2022-12-09,2.18,2.21,2.09,2.1,245000,367,8,275,650,0,0
123,TECN3,2022-12-12,2.12,2.14,1.98,2.14,761200,879,0,940,1819,0,0
124,TECN3,2022-12-13,2.1,2.15,2.07,2.11,306400,210,7,262,479,0,0
125,TECN3,2022-12-14,2.11,2.13,2.02,2.13,335500,254,1,233,488,0,0
126,TECN3,2022-12-15,2.12,2.26,2.06,2.26,605600,269,25,175,469,0,0
127,TECN3,2022-12-16,2.21,2.24,2.15,2.18,191000,135,0,208,343,0,0
128,TECN3,2022-12-19,2.18,2.24,2.16,2.21,220700,351,4,127,482,0,0
129,TECN3,2022-12-20,2.16,2.28,2.16,2.26,312400,419,9,220,648,0,0
130,TECN3,2022-12-21,2.25,2.3,2.17,2.2,305000,237,13,414,664,0,0
131,TECN3,2022-12-22,2.2,2.23,2.16,2.2,406300,219,11,667,897,0,0
132,TECN3,2022-12-23,2.2,2.32,2.19,2.27,844000,593,14,1275,1882,0,0
133,TECN3,2022-12-26,2.25,2.32,2.25,2.26,259700,102,3,205,310,0,0
134,TECN3,2022-12-27,2.27,2.29,2.17,2.2,10726100,135,14,427,576,0,0
135,TECN3,2022-12-28,2.24,2.25,2.18,2.25,325900,154,13,194,361,0,0
