,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TEKA4,2022-06-06,10.15,10.16,10.0,10.0,2700,3,2,7,12,0,0
1,TEKA4,2022-06-07,10.31,11.61,10.31,11.14,6000,33,0,3,36,0,0
2,TEKA4,2022-06-08,11.13,11.13,10.99,11.13,3000,9,1,0,10,0,0
3,TEKA4,2022-06-09,10.94,10.94,10.6,10.6,400,1,0,3,4,0,0
4,TEKA4,2022-06-10,10.6,12.27,10.25,12.05,8500,30,0,16,46,0,0
5,TEKA4,2022-06-13,12.12,12.25,11.16,11.96,6400,15,0,13,28,0,0
6,TEKA4,2022-06-14,12.4,13.38,12.27,13.27,8500,45,0,7,52,0,0
7,TEKA4,2022-06-17,12.5,13.3,12.5,13.29,1300,8,0,0,8,0,0
8,TEKA4,2022-06-20,13.86,13.86,12.42,12.42,1100,6,0,2,8,0,0
9,TEKA4,2022-06-21,12.8,12.8,12.24,12.74,800,1,0,4,5,0,0
10,TEKA4,2022-06-22,13.28,13.28,13.19,13.19,200,2,0,0,2,0,0
11,TEKA4,2022-06-23,12.14,12.55,12.12,12.55,1100,2,0,5,7,0,0
12,TEKA4,2022-06-29,13.1,13.35,12.9,12.9,1300,8,0,2,10,0,0
13,TEKA4,2022-07-01,12.39,14.77,12.39,14.77,9500,43,0,2,45,0,0
14,TEKA4,2022-07-04,15.0,15.61,14.2,14.7,6100,22,0,15,37,0,0
15,TEKA4,2022-07-05,14.2,15.41,14.2,15.41,300,0,1,1,2,0,0
16,TEKA4,2022-07-07,15.0,15.23,13.64,13.64,11100,42,0,4,46,0,0
17,TEKA4,2022-07-08,15.49,16.49,13.75,13.75,23800,55,8,38,101,0,0
18,TEKA4,2022-07-11,13.2,14.39,13.11,14.27,3200,6,0,10,16,0,0
19,TEKA4,2022-07-12,14.28,15.99,14.28,15.97,8100,33,0,17,50,0,0
20,TEKA4,2022-07-13,14.5,15.99,14.5,15.98,3300,19,0,3,22,0,0
21,TEKA4,2022-07-14,15.98,16.29,15.0,15.89,7900,41,0,11,52,0,0
22,TEKA4,2022-07-15,16.36,16.36,15.25,15.3,1000,7,0,1,8,0,0
23,TEKA4,2022-07-18,15.9,17.03,15.9,16.8,11900,46,0,15,61,0,0
24,TEKA4,2022-07-19,16.39,17.0,16.14,16.97,5900,14,0,10,24,0,0
25,TEKA4,2022-07-20,17.38,17.47,15.8,16.29,4100,16,0,10,26,0,0
26,TEKA4,2022-07-21,15.9,15.91,15.0,15.2,3800,2,0,23,25,0,0
